id,department_code,insee_code,zip_code,-AISNE,slug,gps_lat,gps_lng
415,2,2001,2300,Abbécourt,abbecourt,49.59674752381,3.1800248571429
416,2,2002,2800,Achery,achery,49.691624183673,3.3929107142857
417,2,2003,2200,Acy,acy,49.350999756098,3.4211714634146
418,2,2004,2340,Agnicourt-et-Séchelles,agnicourt et sechelles,49.719306101695,3.964145338983
419,2,2005,2190,Aguilcourt,aguilcourt,49.397979411765,3.9760671764706
420,2,2006,2110,Aisonville-et-Bernoville,aisonville et bernoville,49.931472033898,3.5085583898305
421,2,2007,2820,Aizelles,aizelles,49.487587297297,3.8201212162162
422,2,2008,2370,Aizy-Jouy,aizy jouy,49.439200612245,3.5064210204082
423,2,2009,2240,Alaincourt,alaincourt,49.765625916667,3.3729654166667
424,2,2010,2320,Allemant,allemant,49.463734936709,3.4530997468354
425,2,2011,2290,Ambleny,ambleny,49.373969220779,3.1869712987013
426,2,2012,2200,Ambrief,ambrief,49.318561212121,3.4017203030303
427,2,2013,2190,Amifontaine,amifontaine,49.496025522388,3.922888358209
428,2,2014,2700,Amigny-Rouy,amigny rouy,49.623494,3.296191047619
429,2,2015,2600,Ancienville,ancienville,49.222282278481,3.2063313924051
430,2,2016,2800,Andelain,andelain,49.641267966102,3.3680562711864
431,2,2017,2800,Anguilcourt-le-Sart,anguilcourt le sart,49.692421458333,3.42246125
432,2,2018,2320,Anizy-le-Château,anizy le chateau,49.50357844086,3.4368411827957
433,2,2019,2480,Annois,annois,49.713094494382,3.1749291011236
434,2,2020,2500,Any-Martin-Rieux,any martin rieux,49.885616444444,4.2137854444444
435,2,2021,2360,Archon,archon,49.745009029126,4.1206641747573
436,2,2022,2130,Arcy-Sainte-Restitue,arcy sainte restitue,49.256011610738,3.4730253691275
437,2,2023,2210,Armentières-sur-Ourcq,armentieres sur ourcq,49.174456097561,3.387403902439
438,2,2024,2860,Arrancy,arrancy,49.499254107143,3.7619894642857
439,2,2025,2480,Artemps,artemps,49.762803402062,3.19675
440,2,2027,2270,Assis-sur-Serre,assis sur serre,49.681881917808,3.5561709589041
441,2,2028,2840,Athies-sous-Laon,athies sous laon,49.57599852459,3.6897718032787
442,2,2029,2490,Attilly,attilly,49.858514601227,3.1507606134969
443,2,2030,2420,Aubencheul-aux-Bois,aubencheul aux bois,50.024230714286,3.2620054761905
444,2,2031,2500,Aubenton,aubenton,49.825728513514,4.1860325675676
445,2,2032,2590,Aubigny-aux-Kaisnes,aubigny aux kaisnes,49.774971956522,3.1166939130435
446,2,2034,2300,Audignicourt,audignicourt,49.479294204545,3.1276526136364
447,2,2035,2120,Audigny,audigny,49.8677875,3.6311432
448,2,2036,2220,Augy,augy,49.3428872,3.5143621333333
449,2,2037,2000,Aulnois-sous-Laon,aulnois sous laon,49.616799295775,3.6115788732394
450,2,2038,2360,Les Autels,les autels,49.759077888889,4.2244906666667
451,2,2039,2250,Autremencourt,autremencourt,49.703232886598,3.7865328865979
452,2,2040,2580,Autreppes,autreppes,49.901117142857,3.8580735714286
453,2,2041,2300,Autreville,autreville,49.58690952381,3.2349544444444
454,2,2042,2400,Azy-sur-Marne,azy sur marne,49.003084054054,3.3564532432432
455,2,2043,2290,Bagneux,bagneux,49.457014736842,3.2775655263158
456,2,2044,2140,Bancigny,bancigny,49.798542142857,4.0359478571429
457,2,2046,2000,Barenton-Bugny,barenton bugny,49.622032924528,3.6579627358491
458,2,2047,2000,Barenton-Cel,barenton cel,49.64360775,3.64440775
459,2,2048,2270,Barenton-sur-Serre,barenton sur serre,49.670570891089,3.6873561386139
460,2,2049,2700,Barisis-aux-Bois,barisis aux bois,49.581615586592,3.3370458100559
461,2,2050,2170,Barzy-en-Thiérache,barzy en thierache,50.038678849558,3.7488212389381
462,2,2051,2850,Barzy-sur-Marne,barzy sur marne,49.0968636,3.5583081
463,2,2052,2380,Bassoles-Aulers,bassoles aulers,49.529196315789,3.3879818421053
464,2,2053,2330,Vallées en Champagne,vallees en champagne,49.00022368421,3.6072970394737
465,2,2054,2220,Bazoches-sur-Vesles,bazoches sur vesles,49.304427549669,3.6131138410596
466,2,2055,2500,Beaumé,beaume,49.822525757576,4.1479846969697
467,2,2056,2300,Beaumont-en-Beine,beaumont en beine,49.693150632911,3.1326524050633
468,2,2057,2110,Beaurevoir,beaurevoir,49.991178358209,3.3237245522388
469,2,2058,2160,Beaurieux,beaurieux,49.402979483871,3.7566718709677
470,2,2059,2800,Beautor,beautor,49.647111192661,3.337448440367
471,2,2060,2590,Beauvois-en-Vermandois,beauvois en vermandois,49.834191102362,3.0980542519685
472,2,2061,2110,Becquigny,becquigny,50.016260243902,3.4639517073171
473,2,2062,2400,Belleau,belleau,49.082863857143,3.297616
474,2,2063,2420,Bellenglise,bellenglise,49.925695652174,3.2435236231884
475,2,2064,2200,Belleu,belleu,49.357465128205,3.3391223076923
476,2,2065,2420,Bellicourt,bellicourt,49.956382,3.230902
477,2,2066,2440,Benay,benay,49.753337560976,3.3115779268293
478,2,2067,2450,Bergues-sur-Sambre,bergues sur sambre,50.030286453901,3.7101885815603
479,2,2068,2250,Berlancourt,berlancourt,49.780025806452,3.7536629032258
480,2,2069,2340,Berlise,berlise,49.665568095238,4.1167171428571
481,2,2070,2120,Bernot,bernot,49.879261016949,3.4945160169492
482,2,2071,2290,Berny-Rivière,berny riviere,49.415614705882,3.149826372549
483,2,2072,2820,Berrieux,berrieux,49.486459591837,3.8463012244898
484,2,2073,2190,Berry-au-Bac,berry au bac,49.410866275862,3.8879704137931
485,2,2074,2800,Bertaucourt-Epourdon,bertaucourt epourdon,49.625507610619,3.4002520353982
486,2,2075,2240,Berthenicourt,berthenicourt,49.777761234568,3.375015308642
487,2,2076,2190,Bertricourt,bertricourt,49.393891272727,4.0061103636364
488,2,2077,2200,Berzy-le-Sec,berzy le sec,49.322326732673,3.3059389108911
489,2,2078,2300,Besmé,besme,49.535708974359,3.1624933333333
490,2,2079,2500,Besmont,besmont,49.819519333333,4.1232071666667
491,2,2080,2870,Besny-et-Loizy,besny et loizy,49.591399090909,3.5733685714286
492,2,2081,2300,Béthancourt-en-Vaux,bethancourt en vaux,49.628356122449,3.1432857142857
493,2,2082,2210,Beugneux,beugneux,49.225367291667,3.4166329166667
494,2,2083,2130,Beuvardes,beuvardes,49.128205491803,3.4912586885246
495,2,2084,2310,Bézu-le-Guéry,bezu le guery,49.008685,3.2239040625
496,2,2085,2400,Bézu-Saint-Germain,bezu saint germain,49.106202941176,3.4073512941177
497,2,2086,2300,Bichancourt,bichancourt,49.579891518987,3.2128658227848
498,2,2087,2290,Bieuxy,bieuxy,49.451885686274,3.2660123529412
499,2,2088,2860,Bièvres,bievres,49.491449354839,3.7170403225806
500,2,2089,2200,Billy-sur-Aisne,billy sur aisne,49.356526666667,3.3815737037037
501,2,2090,2210,Billy-sur-Ourcq,billy sur ourcq,49.224718414634,3.294438902439
502,2,2091,2160,Blanzy-lès-Fismes,blanzy les fismes,49.337870625,3.6698453125
503,2,2093,2300,Blérancourt,blerancourt,49.514650746269,3.1594041791045
504,2,2094,2400,Blesmes,blesmes,49.029279722222,3.4573719444444
505,2,2095,2110,Bohain-en-Vermandois,bohain en vermandois,49.987231655172,3.463204137931
506,2,2096,2270,Bois-lès-Pargny,bois les pargny,49.740859242424,3.6531574242424
507,2,2097,2350,Boncourt,boncourt,49.620752272727,3.9543927272727
508,2,2098,2400,Bonneil,bonneil,49.00941862069,3.3460331034483
509,2,2099,2400,Bonnesvalyn,bonnesvalyn,49.126761276596,3.3320006382979
510,2,2100,2420,Bony,bony,49.991154545455,3.2211744155844
511,2,2101,2250,Bosmont-sur-Serre,bosmont sur serre,49.736248202247,3.8696501123596
512,2,2102,2860,Bouconville-Vauclair,bouconville vauclair,49.460377663551,3.7553956074766
513,2,2103,2450,Boué,boue,50.011047956204,3.7060952554744
514,2,2104,2160,Bouffignereux,bouffignereux,49.375388615385,3.8479507692308
515,2,2105,2400,Bouresches,bouresches,49.065418163265,3.3146791836735
516,2,2106,2160,Bourg-et-Comin,bourg et comin,49.403443958333,3.659910625
517,2,2107,2300,Bourguignon-sous-Coucy,bourguignon sous coucy,49.543143655914,3.1581562365591
