id,department_code,insee_code,zip_code,-ALLIER,slug,gps_lat,gps_lng
1219,3,3001,3200,Abrest,abrest,46.094124645669,3.449192992126
1220,3,3002,3210,Agonges,agonges,46.619566125654,3.1502953926702
1221,3,3003,3360,Ainay-le-Château,ainay le chateau,46.715618518519,2.7157516666667
1222,3,3004,3120,Andelaroche,andelaroche,46.250376965174,3.7402869154229
1223,3,3005,3380,Archignat,archignat,46.368166476684,2.4054640932642
1224,3,3006,3120,Arfeuilles,arfeuilles,46.145322747604,3.7368199361022
1225,3,3007,3420,Arpheuilles-Saint-Priest,arpheuilles saint priest,46.229420118343,2.6668423668639
1226,3,3008,3250,Arronnes,arronnes,46.054319595142,3.5717793927125
1227,3,3009,3460,Aubigny,aubigny,46.671056033058,3.1529551652893
1228,3,3010,3190,Audes,audes,46.464008982036,2.5680207185629
1229,3,3011,3460,Aurouër,aurouer,46.683475748031,3.3102288976378
1230,3,3012,3210,Autry-Issards,autry issards,46.543348618421,3.1189434210526
1231,3,3013,3000,Avermes,avermes,46.60284402439,3.3171696341463
1232,3,3014,3130,Avrilly,avrilly,46.328806068966,3.9668930344828
1233,3,3015,3460,Bagneux,bagneux,46.646425555556,3.2051188888889
1234,3,3016,3140,Barberier,barberier,46.221544545455,3.2500641414141
1235,3,3017,3120,Barrais-Bussolles,barrais bussolles,46.282515236686,3.6919321301775
1236,3,3018,3500,Bayet,bayet,46.259826014493,3.2728925362319
1237,3,3019,3230,Beaulon,beaulon,46.583068876812,3.6696995289855
1238,3,3020,3390,Beaune-d'Allier,beaune d allier,46.276607239583,2.8836850520833
1239,3,3021,3800,Bègues,begues,46.122777,3.138566875
1240,3,3022,3330,Bellenaves,bellenaves,46.209110358566,3.0651615936255
1241,3,3023,3700,Bellerive-sur-Allier,bellerive sur allier,46.114169256757,3.3951094594595
1242,3,3024,3130,Bert,bert,46.328806375546,3.7021588209607
1243,3,3025,3340,Bessay-sur-Allier,bessay sur allier,46.446173037975,3.3749651265823
1244,3,3026,3210,Besson,besson,46.48230619469,3.2675980088496
1245,3,3027,3170,Bézenet,bezenet,46.331667254902,2.8443256862745
1246,3,3028,3120,Billezois,billezois,46.210343577236,3.5765089430894
1247,3,3029,3260,Billy,billy,46.228985543478,3.439805326087
1248,3,3030,3800,Biozat,biozat,46.080027468354,3.2939667088608
1249,3,3031,3170,Bizeneuille,bizeneuille,46.406554705882,2.7395841176471
1250,3,3032,3390,Blomard,blomard,46.285223705584,2.9711682233502
1251,3,3033,3300,Bost,bost,46.1802388,3.50948672
1252,3,3034,3150,Boucé,bouce,46.318276086957,3.4905273043478
1253,3,3035,3130,Le Bouchaud,le bouchaud,46.303616277778,3.897671
1254,3,3036,3160,Bourbon-l'Archambault,bourbon l archambault,46.580750264026,3.0547965016502
1255,3,3037,3360,Braize,braize,46.663895612245,2.6457957142857
1256,3,3038,3500,Bransat,bransat,46.32889114094,3.2209379194631
1257,3,3039,3210,Bresnay,bresnay,46.431937790698,3.2555298837209
1258,3,3040,3000,Bressolles,bressolles,46.52758537037,3.2888864197531
1259,3,3041,3350,Le Brethon,le brethon,46.590467224199,2.7174706405694
1260,3,3042,3120,Le Breuil,le breuil,46.178545789474,3.6680645789474
1261,3,3043,3110,Broût-Vernet,brout vernet,46.201896114286,3.2790098857143
1262,3,3044,3700,Brugheas,brugheas,46.076611058824,3.3781423921569
1263,3,3045,3270,Busset,busset,46.061324412955,3.515101902834
1264,3,3046,3440,Buxières-les-Mines,buxieres les mines,46.46975721831,2.9569946830986
1265,3,3047,3600,La Celle,la celle,46.23316314433,2.7810336597938
1266,3,3048,3350,Cérilly,cerilly,46.62007916,2.81141204
1267,3,3049,3500,Cesset,cesset,46.299873902439,3.1911846341463
1268,3,3050,3250,La Chabanne,la chabanne,46.025816666667,3.7516266666667
1269,3,3051,3370,Chambérat,chamberat,46.406838561151,2.426173381295
1270,3,3052,3170,Chamblet,chamblet,46.326653231441,2.7087645414847
1271,3,3053,3140,Chantelle,chantelle,46.239865277778,3.1596003472222
1272,3,3054,3340,Chapeau,chapeau,46.491350825688,3.5130319724771
1273,3,3055,3380,La Chapelaude,la chapelaude,46.430111764706,2.4996024705882
1274,3,3056,3300,La Chapelle,la chapelle,46.088969827586,3.587789137931
1275,3,3057,3230,La Chapelle-aux-Chasses,la chapelle aux chasses,46.666726754386,3.534573245614
1276,3,3058,3390,Chappes,chappes,46.382825060976,2.9436120121951
