id,department_code,insee_code,zip_code,-ARDENNES,slug,gps_lat,gps_lng
2416,8,8001,8300,Acy-Romance,acy romance,49.493736263736,4.3276251648352
2417,8,8003,8090,Aiglemont,aiglemont,49.786468395062,4.7714258024691
2418,8,8004,8190,Aire,aire,49.475624578313,4.1581303614458
2419,8,8005,8310,Alincourt,alincourt,49.406881969697,4.3483528787879
2420,8,8006,8130,Alland'Huy-et-Sausseuil,alland huy et sausseuil,49.513776666667,4.5493504444444
2421,8,8008,8300,Amagne,amagne,49.512478409091,4.5042950757576
2422,8,8010,8130,Ambly-Fleury,ambly fleury,49.490795677966,4.4895538135593
2423,8,8011,8500,Anchamps,anchamps,49.921193870968,4.6662287096774
2424,8,8013,8450,Angecourt,angecourt,49.635650735294,4.9765051470588
2425,8,8014,8310,Annelles,annelles,49.434303611111,4.4146884722222
2426,8,8015,8260,Antheny,antheny,49.846266842105,4.3096251315789
2427,8,8016,8290,Aouste,aouste,49.79423872093,4.3113715116279
2428,8,8017,8250,Apremont,apremont,49.258126285714,4.9642535238095
2429,8,8018,8400,Ardeuil-et-Montfauxelles,ardeuil et montfauxelles,49.2672375,4.7025384375
2430,8,8019,8390,Les Grandes-Armoises,les grandes armoises,49.52882175,4.899909
2431,8,8020,8390,Les Petites-Armoises,les petites armoises,49.5017152,4.8270558666667
2432,8,8021,8300,Arnicourt,arnicourt,49.555794464286,4.3367121428571
2433,8,8022,8090,Arreux,arreux,49.828012654867,4.6613792035398
2434,8,8023,8390,Artaise-le-Vivier,artaise le vivier,49.572380803571,4.8940009821429
2435,8,8024,8190,Asfeld,asfeld,49.479638025478,4.1283085987261
2436,8,8025,8130,Attigny,attigny,49.477670909091,4.5904783636364
2437,8,8026,8150,Aubigny-les-Pothées,aubigny les pothees,49.773328089172,4.4263634394904
2438,8,8027,8270,Auboncourt-Vauzelles,auboncourt vauzelles,49.557240808081,4.4853486868687
2439,8,8028,8320,Aubrives,aubrives,50.092151775701,4.7633074766355
2440,8,8029,8370,Auflance,auflance,49.612507606838,5.2958061538461
2441,8,8030,8380,Auge,auge,49.855254545455,4.2659618181818
2442,8,8031,8400,Aure,aure,49.275997403846,4.6220064423077
2443,8,8032,8310,Aussonce,aussonce,49.339176285714,4.3342078571429
2444,8,8033,8240,Authe,authe,49.463022190476,4.8838303809524
2445,8,8034,8210,Autrecourt-et-Pourron,autrecourt et pourron,49.605174344828,5.0304117931035
2446,8,8035,8240,Autruche,autruche,49.455235403226,4.9071227419355
2447,8,8036,8250,Autry,autry,49.262532297297,4.8415013513513
2448,8,8037,8260,Auvillers-les-Forges,auvillers les forges,49.865556161616,4.3656494949495
2449,8,8038,8300,Avançon,avancon,49.4778888,4.2542956
2450,8,8039,8190,Avaux,avaux,49.458562818182,4.0704153636364
2451,8,8040,8000,Les Ayvelles,les ayvelles,49.722589139785,4.75117
2452,8,8041,8430,Baâlons,baalons,49.599822823529,4.6637421764706
2453,8,8042,8160,Balaives-et-Butz,balaives et butz,49.669606875,4.713315390625
2454,8,8043,8200,Balan,balan,49.688346271186,4.9627493220339
2455,8,8044,8190,Balham,balham,49.49051984375,4.15209578125
2456,8,8045,8400,Ballay,ballay,49.417180795455,4.7462079545455
2457,8,8046,8220,Banogne-Recouvrance,banogne recouvrance,49.568358378378,4.1345991891892
2458,8,8047,8430,Barbaise,barbaise,49.673101089109,4.5815228712871
2459,8,8048,8300,Barby,barby,49.525320422535,4.3089842253521
2460,8,8049,8240,Bar-lès-Buzancy,bar les buzancy,49.444634326923,4.95618625
2461,8,8052,8240,Bayonville,bayonville,49.395204741379,5.0067552586207
2462,8,8053,8140,Bazeilles,bazeilles,49.713138654971,5.0260053508772
2463,8,8055,8210,Beaumont-en-Argonne,beaumont en argonne,49.522278369906,5.0440947648903
2464,8,8056,8250,Beffu-et-le-Morthomme,beffu et le morthomme,49.374428095238,4.8929633333333
2465,8,8057,8240,Belleville-et-Châtillon-sur-Bar,belleville et chatillon sur bar,49.467747809524,4.8121331904762
2466,8,8058,8090,Belval,belval,49.777651610169,4.6358333050847
2467,8,8059,8240,Belval-Bois-des-Dames,belval bois des dames,49.491480711462,5.0511085770751
2468,8,8060,8300,Bergnicourt,bergnicourt,49.417046179775,4.2441839325843
2469,8,8061,8240,La Berlière,la berliere,49.526550808824,4.94164375
2470,8,8062,8300,Bertoncourt,bertoncourt,49.535437176471,4.4031064705882
2471,8,8063,8450,La Besace,la besace,49.552394552846,4.9665933333333
2472,8,8064,8300,Biermes,biermes,49.478724421053,4.38443
2473,8,8065,8370,Bièvres,bievres,49.555710140845,5.2745990140845
2474,8,8066,8310,Bignicourt,bignicourt,49.390540862069,4.4246425862069
2475,8,8067,8110,Blagny,blagny,49.624783539823,5.1992478761062
2476,8,8069,8290,Blanchefosse-et-Bay,blanchefosse et bay,49.765176781609,4.2510812068965
