id,department_code,insee_code,zip_code,-BAS-RHIN,slug,gps_lat,gps_lng
26670,67,67001,67204,Achenheim,achenheim,48.577714956522,7.626984173913
26671,67,67002,67320,Adamswiller,adamswiller,48.90748048,7.19977352
26672,67,67003,67220,Albé,albe,48.361447333333,7.3452958666667
26673,67,67004,67310,Sommerau,sommerau,48.6521958,7.3590846
26674,67,67004,67440,Sommerau,sommerau,48.6521958,7.3590846
26675,67,67005,67270,Alteckendorf,alteckendorf,48.794639733333,7.5991086666667
26676,67,67006,67490,Altenheim,altenheim,48.719656071429,7.4607133928571
26677,67,67008,67120,Altorf,altorf,48.522012333333,7.5386418333333
26678,67,67009,67260,Altwiller,altwiller,48.925787791411,6.9771539263804
26679,67,67010,67140,Andlau,andlau,48.393529949749,7.3870663819096
26680,67,67011,67390,Artolsheim,artolsheim,48.206876455696,7.6002744303798
26681,67,67012,67250,Aschbach,aschbach,48.940634883721,7.9814041860465
26682,67,67013,67320,Asswiller,asswiller,48.880161650485,7.2243985436893
26683,67,67014,67480,Auenheim,auenheim,48.80922673913,8.0179410869565
26684,67,67016,67120,Avolsheim,avolsheim,48.560448918919,7.4925110810811
26685,67,67017,67320,Baerendorf,baerendorf,48.833428655462,7.0854534453781
26686,67,67018,67310,Balbronn,balbronn,48.582191322314,7.4050861983471
26687,67,67019,67600,Baldenheim,baldenheim,48.247880865385,7.5227873076923
26688,67,67020,67130,Barembach,barembach,48.468926803279,7.2394030327869
26689,67,67021,67140,Barr,barr,48.41397692607,7.4086008171206
26690,67,67022,67220,Bassemberg,bassemberg,48.335180277778,7.2784508333333
26691,67,67023,67500,Batzendorf,batzendorf,48.786680266667,7.7132233333333
26692,67,67025,67930,Beinheim,beinheim,48.858640246914,8.0859917283951
26693,67,67026,67130,Bellefosse,bellefosse,48.398439,7.2284497777778
26694,67,67027,67130,Belmont,belmont,48.412413714286,7.2536611428571
26695,67,67028,67230,Benfeld,benfeld,48.361806666667,7.6048286021505
26696,67,67029,67320,Berg,berg,48.895216632653,7.1466616326531
26697,67,67030,67310,Bergbieten,bergbieten,48.574538333333,7.4477958333333
26698,67,67031,67210,Bernardswiller,bernardswiller,48.446420704225,7.4540066197183
26699,67,67032,67140,Bernardvillé,bernardville,48.369106282051,7.4072619230769
26700,67,67033,67170,Bernolsheim,bernolsheim,48.751927209302,7.6860962790698
26701,67,67034,67370,Berstett,berstett,48.680906337209,7.6336683139535
26702,67,67035,67170,Berstheim,berstheim,48.793120869565,7.6827797826087
26703,67,67036,67320,Bettwiller,bettwiller,48.889107179487,7.17424
26704,67,67037,67360,Biblisheim,biblisheim,48.897887647059,7.7884048529412
26705,67,67038,67720,Bietlenheim,bietlenheim,48.719193157895,7.7821080701754
26706,67,67039,67170,Bilwisheim,bilwisheim,48.711359387755,7.6675008163265
26707,67,67040,67600,Bindernheim,bindernheim,48.283562597403,7.6137963636364
26708,67,67043,67800,Bischheim,bischheim,48.623489312977,7.7615552671756
26709,67,67044,67340,Bischholtz,bischholtz,48.892576222222,7.5367111111111
26710,67,67045,67870,Bischoffsheim,bischoffsheim,48.484429069767,7.5198719379845
26711,67,67046,67240,Bischwiller,bischwiller,48.755128546512,7.8644534302326
26712,67,67047,67260,Bissert,bissert,48.945706885246,7.0192034426229
26713,67,67048,67350,Bitschhoffen,bitschhoffen,48.86271,7.626302173913
26714,67,67049,67113,Blaesheim,blaesheim,48.503328918919,7.6107516216216
26715,67,67050,67130,Blancherupt,blancherupt,48.40673625,7.1955053125
26716,67,67051,67650,Blienschwiller,blienschwiller,48.344782210526,7.4163858947368
26717,67,67052,67530,Bœrsch,boersch,48.465759033816,7.378231352657
26718,67,67053,67390,Bœsenbiesen,boesenbiesen,48.228102790698,7.5635704651163
26719,67,67054,67150,Bolsenheim,bolsenheim,48.425099833333,7.6058498333333
26720,67,67055,67860,Boofzheim,boofzheim,48.335547391304,7.6848485507246
26721,67,67056,67390,Bootzheim,bootzheim,48.194360833333,7.5886831666667
26722,67,67057,67330,Bosselshausen,bosselshausen,48.806011111111,7.5097255555556
26723,67,67058,67270,Bossendorf,bossendorf,48.781119493671,7.56441
26724,67,67059,67420,Bourg-Bruche,bourg bruche,48.36264477707,7.1357205095541
26725,67,67060,67140,Bourgheim,bourgheim,48.420152321429,7.4861725
26726,67,67061,67330,Bouxwiller,bouxwiller,48.815436182796,7.4606170967742
26727,67,67062,67220,Breitenau,breitenau,48.319936231884,7.2834292753623
26728,67,67063,67220,Breitenbach,breitenbach,48.376143333333,7.28824625
26729,67,67065,67112,Breuschwickersheim,breuschwickersheim,48.578442985075,7.6003011940298
26730,67,67066,67130,La Broque,la broque,48.47374,7.211801
26731,67,67066,67570,La Broque,la broque,48.4459154,7.2082531
26732,67,67067,67170,Brumath,brumath,48.727573080357,7.713565
26733,67,67068,67350,Buswiller,buswiller,48.821486363636,7.5612031818182
26734,67,67069,67470,Buhl,buhl,48.914768875,8.018136625
26735,67,67070,67260,Burbach,burbach,48.897267666667,7.1080998333333
26736,67,67071,67320,Bust,bust,48.83506375,7.23363125
26737,67,67072,67430,Butten,butten,48.966767522124,7.2525753982301
26738,67,67073,67730,Châtenois,chatenois,48.283797021277,7.3782373404255
26739,67,67074,67160,Cleebourg,cleebourg,48.992749506173,7.8912248765432
26740,67,67075,67510,Climbach,climbach,49.014777166667,7.85101075
26741,67,67076,67420,Colroy-la-Roche,colroy la roche,48.391554793388,7.1712449586777
26742,67,67077,67310,Cosswiller,cosswiller,48.611556486487,7.3725027027027
26743,67,67078,67310,Crastatt,crastatt,48.659558484849,7.4239616666667
26744,67,67079,67470,Crœttwiller,croettwiller,48.930252105263,8.0391318421053
26745,67,67080,67120,Dachstein,dachstein,48.556631403509,7.5367961403509
26746,67,67081,67310,Dahlenheim,dahlenheim,48.585487979798,7.5120547474747
26747,67,67082,67770,Dalhunden,dalhunden,48.773403214286,7.9818016071429
26748,67,67083,67110,Dambach,dambach,49.00980530303,7.639753989899
26749,67,67084,67650,Dambach-la-Ville,dambach la ville,48.322053333333,7.4150649726776
26750,67,67085,67310,Dangolsheim,dangolsheim,48.566381639344,7.4589965573771
26751,67,67086,67150,Daubensand,daubensand,48.355285925926,7.7200659259259
26752,67,67087,67350,Dauendorf,dauendorf,48.836458403361,7.6716109243697
26753,67,67088,67430,Dehlingen,dehlingen,48.986176666667,7.1809588333333
26754,67,67089,67490,Dettwiller,dettwiller,48.758335677966,7.4526781355932
26755,67,67090,67230,Diebolsheim,diebolsheim,48.286343269231,7.6555489423077
26756,67,67091,67260,Diedendorf,diedendorf,48.883930451128,7.0403135338346
26757,67,67092,67220,Dieffenbach-au-Val,dieffenbach au val,48.315052666667,7.325535
26758,67,67093,67360,Dieffenbach-lès-Wœrth,dieffenbach les woerth,48.931039813084,7.7932471962617
26759,67,67094,67650,Dieffenthal,dieffenthal,48.308506382979,7.4108691489362
26760,67,67095,67430,Diemeringen,diemeringen,48.942238238994,7.2106504402516
26761,67,67096,67440,Dimbsthal,dimbsthal,48.673893548387,7.3568029032258
26762,67,67097,67370,Dingsheim,dingsheim,48.624073684211,7.6651684210526
26763,67,67098,67190,Dinsheim-sur-Bruche,dinsheim sur bruche,48.544693766234,7.4189453246753
26764,67,67099,67430,Domfessel,domfessel,48.948562297297,7.1462
26765,67,67100,67170,Donnenheim,donnenheim,48.7231904,7.6658478666667
26766,67,67101,67120,Dorlisheim,dorlisheim,48.520532975207,7.4721879338843
26767,67,67102,67117,Dossenheim-Kochersberg,dossenheim kochersberg,48.640476808511,7.5790259574468
26768,67,67103,67330,Dossenheim-sur-Zinsel,dossenheim sur zinsel,48.811162096774,7.3776875806452
26769,67,67104,67160,Drachenbronn-Birlenbach,drachenbronn birlenbach,48.980536574074,7.8780653703704
26770,67,67105,67320,Drulingen,drulingen,48.866790659341,7.1962753846154
26771,67,67106,67410,Drusenheim,drusenheim,48.760635258621,7.9420470689655
26772,67,67107,67270,Duntzenheim,duntzenheim,48.712692439024,7.5423097560976
26773,67,67108,67120,Duppigheim,duppigheim,48.537119506173,7.5974913580247
26774,67,67109,67270,Durningen,durningen,48.683374655172,7.5606351724138
26775,67,67110,67360,Durrenbach,durrenbach,48.89772752809,7.7683288764045
26776,67,67111,67320,Durstel,durstel,48.890804657534,7.2090649315069
26777,67,67112,67120,Duttlenheim,duttlenheim,48.524306101695,7.5729094915254
26778,67,67113,67470,Eberbach-Seltz,eberbach seltz,48.928145471698,8.0643171698113
26779,67,67115,67600,Ebersheim,ebersheim,48.299844545455,7.5027787272727
26780,67,67116,67600,Ebersmunster,ebersmunster,48.302354122137,7.5311741984733
26781,67,67117,67700,Eckartswiller,eckartswiller,48.786254420601,7.3244169098712
26782,67,67118,67201,Eckbolsheim,eckbolsheim,48.577917478992,7.6812494117647
26783,67,67119,67550,Eckwersheim,eckwersheim,48.683595,7.6930090476191
26784,67,67120,67140,Eichhoffen,eichhoffen,48.378657068966,7.4401293103448
26785,67,67121,67390,Elsenheim,elsenheim,48.16328537037,7.495567037037
26786,67,67122,67710,Wangenbourg-Engenthal,wangenbourg engenthal,48.624610268456,7.2973398657718
26787,67,67123,67350,Engwiller,engwiller,48.88273173913,7.61684
26788,67,67124,67960,Entzheim,entzheim,48.536955051546,7.6334725773196
26789,67,67125,67680,Epfig,epfig,48.354695786164,7.4592660377359
26790,67,67126,67290,Erckartswiller,erckartswiller,48.88578,7.361601953125
26791,67,67127,67120,Ergersheim,ergersheim,48.573622527473,7.5338942857143
26792,67,67128,67120,Ernolsheim-Bruche,ernolsheim bruche,48.564778831169,7.5699025974026
26793,67,67129,67330,Ernolsheim-lès-Saverne,ernolsheim les saverne,48.787960246914,7.3809690123457
26794,67,67130,67150,Erstein,erstein,48.421473829787,7.6787163829787
26795,67,67131,67114,Eschau,eschau,48.480301314286,7.7213135428571
26796,67,67132,67360,Eschbach,eschbach,48.877692016129,7.7400491935484
26797,67,67133,67320,Eschbourg,eschbourg,48.822737663043,7.2937261413043
26798,67,67134,67320,Eschwiller,eschwiller,48.854849361702,7.1142453191489
26799,67,67135,67350,Ettendorf,ettendorf,48.814169634146,7.5844476829268
26800,67,67136,67320,Eywiller,eywiller,48.870587083333,7.1252575
26801,67,67137,67640,Fegersheim,fegersheim,48.497585507246,7.6871664492754
26802,67,67138,67117,Fessenheim-le-Bas,fessenheim le bas,48.6336365,7.5497815
26803,67,67139,67310,Flexbourg,flexbourg,48.56799212766,7.4259414893617
26804,67,67140,67480,Forstfeld,forstfeld,48.86261765625,8.04774375
26805,67,67141,67580,Forstheim,forstheim,48.895421071429,7.7146386904762
26806,67,67142,67480,Fort-Louis,fort louis,48.805571382979,8.0552222340425
26807,67,67143,67220,Fouchy,fouchy,48.31787030303,7.2431112121212
26808,67,67144,67130,Fouday,fouday,48.422438135593,7.1903616949153
26809,67,67145,67490,Friedolsheim,friedolsheim,48.705191636364,7.4890972727273
26810,67,67146,67860,Friesenheim,friesenheim,48.307322601626,7.6593540650406
26811,67,67147,67360,Frœschwiller,froeschwiller,48.936321904762,7.7180038095238
26812,67,67148,67290,Frohmuhl,frohmuhl,48.909348076923,7.2770137179487
26813,67,67149,67700,Furchhausen,furchhausen,48.723047234043,7.4305434042553
26814,67,67150,67117,Furdenheim,furdenheim,48.609744363636,7.5599583636364
26815,67,67151,67760,Gambsheim,gambsheim,48.693256666667,7.8867456989247
26816,67,67152,67118,Geispolsheim,geispolsheim,48.512094669261,7.6619921789883
26817,67,67153,67270,Geiswiller-Zœbersdorf,geiswiller zoebersdorf,48.792454745763,7.5101794915254
26818,67,67154,67150,Gerstheim,gerstheim,48.377908716216,7.6905016216216
26819,67,67155,67140,Gertwiller,gertwiller,48.411860806452,7.4736316129032
26820,67,67156,67170,Geudertheim,geudertheim,48.713553797468,7.7609565822785
26821,67,67159,67320,Gœrlingen,goerlingen,48.799336666667,7.0833072727273
26822,67,67160,67360,Gœrsdorf,goersdorf,48.959302,7.7727489473684
26823,67,67161,67700,Gottenhouse,gottenhouse,48.718552264151,7.3595094339623
26824,67,67162,67490,Gottesheim,gottesheim,48.776566507937,7.4854068253968
26825,67,67163,67270,Gougenheim,gougenheim,48.704859264706,7.5729891176471
26826,67,67164,67210,Goxwiller,goxwiller,48.431062807018,7.4816707017544
26827,67,67165,67130,Grandfontaine,grandfontaine,48.495440985916,7.1228678028169
26828,67,67166,67350,Grassendorf,grassendorf,48.81441,7.6109193181818
26829,67,67167,67190,Grendelbruch,grendelbruch,48.477238790323,7.3039429032258
26830,67,67168,67190,Gresswiller,gresswiller,48.525543084112,7.4079488785047
26831,67,67169,67240,Gries,gries,48.747678661972,7.8279016197183
26832,67,67172,67870,Griesheim-près-Molsheim,griesheim pres molsheim,48.502997,7.533431
26833,67,67173,67370,Griesheim-sur-Souffel,griesheim sur souffel,48.631184065934,7.6761695604396
26834,67,67174,67110,Gumbrechtshoffen,gumbrechtshoffen,48.9052708,7.6252094
26835,67,67176,67110,Gundershoffen,gundershoffen,48.905970198413,7.6813216269841
26836,67,67177,67360,Gunstett,gunstett,48.915074852941,7.7733708823529
26837,67,67178,67320,Gungwiller,gungwiller,48.87885,7.1522566666667
26838,67,67179,67700,Haegen,haegen,48.698693534483,7.2960920258621
26839,67,67180,67500,Haguenau,haguenau,48.847210748156,7.8218312644889
26840,67,67181,67117,Handschuheim,handschuheim,48.599197258065,7.5776012903226
26841,67,67182,67980,Hangenbieten,hangenbieten,48.556555789474,7.6125542105263
26842,67,67183,67260,Harskirchen,harskirchen,48.930766729858,7.029868578199
26843,67,67184,67690,Hatten,hatten,48.903199191176,8.0055413235294
26844,67,67185,67330,Hattmatt,hattmatt,48.78879,7.4290751818182
26845,67,67186,67360,Hegeney,hegeney,48.885492061856,7.7372128865979
26846,67,67187,67390,Heidolsheim,heidolsheim,48.2062025,7.5099475
26847,67,67188,67190,Heiligenberg,heiligenberg,48.536536911765,7.3824252941176
26848,67,67189,67140,Heiligenstein,heiligenstein,48.420846304348,7.4396832608696
26849,67,67190,67440,Hengwiller,hengwiller,48.670453947368,7.3294663157895
