id,department_code,insee_code,zip_code,-BOUCHES-DU-RHONE,slug,gps_lat,gps_lng
4361,13,13001,13540,Aix-en-Provence,aix en provence,43.5963366,5.4044268
4362,13,13002,13190,Allauch,allauch,43.349652989691,5.5029537628866
4363,13,13003,13980,Alleins,alleins,43.702704117647,5.1492316176471
4364,13,13004,13104,Arles,arles,43.5583422,4.7484518
4365,13,13004,13123,Arles,arles,43.6067074,4.5005808
4366,13,13004,13129,Arles,arles,43.4063446,4.7070616
4367,13,13004,13200,Arles,arles,43.6017739,4.6243751
4368,13,13004,13280,Arles,arles,43.6641678,4.7381013
4369,13,13005,13400,Aubagne,aubagne,43.297776886228,5.5525307185629
4370,13,13006,13930,Aureille,aureille,43.71006,4.9432865957447
4371,13,13007,13390,Auriol,auriol,43.365799032258,5.6490585483871
4372,13,13008,13121,Aurons,aurons,43.671728974359,5.1497002564103
4373,13,13009,13330,La Barben,la barben,43.623333557692,5.2055742307692
4374,13,13010,13570,Barbentane,barbentane,43.89386875,4.7503051388889
4375,13,13011,13520,Les Baux-de-Provence,les baux de provence,43.743637674419,4.8062900775194
4376,13,13012,13100,Beaurecueil,beaurecueil,43.523232970297,5.5462601980198
4377,13,13013,13720,Belcodène,belcodene,43.416643088235,5.5813210294118
4378,13,13014,13130,Berre-l'Étang,berre l etang,43.487852096475,5.0939449721707
4379,13,13015,13320,Bouc-Bel-Air,bouc bel air,43.443520826446,5.4119988429752
4380,13,13016,13720,La Bouilladisse,la bouilladisse,43.394331242604,5.6191633136095
4381,13,13017,13150,Boulbon,boulbon,43.875197710843,4.697658313253
4382,13,13018,13440,Cabannes,cabannes,43.860105454545,4.944415
4383,13,13019,13480,Cabriès,cabries,43.450399142857,5.3494645714286
4384,13,13020,13950,Cadolive,cadolive,43.398061578947,5.5388550877193
4385,13,13021,13620,Carry-le-Rouet,carry le rouet,43.336842760417,5.1543796354167
4386,13,13022,13260,Cassis,cassis,43.214187172131,5.5385122540984
4387,13,13023,13600,Ceyreste,ceyreste,43.216822231405,5.6378215702479
4388,13,13024,13350,Charleval,charleval,43.712106849315,5.2512602739726
4389,13,13025,13790,Châteauneuf-le-Rouge,chateauneuf le rouge,43.485995950413,5.5739053719008
4390,13,13026,13220,Châteauneuf-les-Martigues,chateauneuf les martigues,43.384010466667,5.1364748666667
4391,13,13027,13160,Châteaurenard,chateaurenard,43.870510185185,4.8290436111111
4392,13,13028,13600,La Ciotat,la ciotat,43.180665295405,5.6161655798687
4393,13,13029,13250,Cornillon-Confoux,cornillon confoux,43.577903931034,5.0694760689655
4394,13,13030,13780,Cuges-les-Pins,cuges les pins,43.273220909091,5.704974214876
4395,13,13031,13112,La Destrousse,la destrousse,43.378492876712,5.5996375342466
4396,13,13032,13510,Éguilles,eguilles,43.567316153846,5.3411921367521
4397,13,13033,13820,Ensuès-la-Redonne,ensues la redonne,43.344999803922,5.207220620915
4398,13,13034,13810,Eygalières,eygalieres,43.763708034188,4.9442447008547
4399,13,13035,13430,Eyguières,eyguieres,43.718556722689,5.015072605042
4400,13,13036,13630,Eyragues,eyragues,43.841865806452,4.8398391397849
4401,13,13037,13580,La Fare-les-Oliviers,la fare les oliviers,43.548794057971,5.2105207246377
4402,13,13038,13990,Fontvieille,fontvieille,43.727786734694,4.7239404081633
4403,13,13039,13270,Fos-sur-Mer,fos sur mer,43.431008914894,4.8901563617021
4404,13,13040,13710,Fuveau,fuveau,43.463898675497,5.5594445695364
4405,13,13041,13120,Gardanne,gardanne,43.456464423077,5.4718870512821
4406,13,13042,13420,Gémenos,gemenos,43.297967216495,5.6504598969072
4407,13,13043,13180,Gignac-la-Nerthe,gignac la nerthe,43.3893159,5.2329541
4408,13,13044,13450,Grans,grans,43.604294516129,5.0593158064516
4409,13,13045,13690,Graveson,graveson,43.851160136986,4.771964520548
4410,13,13046,13850,Gréasque,greasque,43.426060227273,5.5452907954545
4411,13,13047,13118,Istres,istres,43.5787655,4.9454803
4412,13,13047,13800,Istres,istres,43.5212157,4.9454803
4413,13,13048,13490,Jouques,jouques,43.627427510204,5.6545524489796
4414,13,13049,13113,Lamanon,lamanon,43.704963661972,5.083978028169
4415,13,13050,13410,Lambesc,lambesc,43.668741343874,5.2463182608696
4416,13,13051,13680,Lançon-Provence,lancon provence,43.57705610687,5.1570583969466
4417,13,13052,13910,Maillane,maillane,43.827179789474,4.7843944210526
4418,13,13053,13370,Mallemort,mallemort,43.719381458333,5.19428375
4419,13,13054,13700,Marignane,marignane,43.421433732394,5.2223191549296
4420,13,13055,13001,Marseille,marseille,43.300771,5.3821768
4421,13,13055,13002,Marseille,marseille,43.3174701,5.3599355
4422,13,13055,13003,Marseille,marseille,43.3116714,5.3808683
4423,13,13055,13004,Marseille,marseille,43.305868,5.4018087
4424,13,13055,13005,Marseille,marseille,43.2916612,5.3965729
4425,13,13055,13006,Marseille,marseille,43.2875818,5.3808683
4426,13,13055,13007,Marseille,marseille,43.2827647,5.3616892
4427,13,13055,13008,Marseille,marseille,43.25424,5.3819969
4428,13,13055,13009,Marseille,marseille,43.2290357,5.4463322
4429,13,13055,13010,Marseille,marseille,43.2731832,5.4306141
4430,13,13055,13011,Marseille,marseille,43.2848916,5.4882679
4431,13,13055,13012,Marseille,marseille,43.3071618,5.4253757
4432,13,13055,13013,Marseille,marseille,43.3649321,5.4253757
4433,13,13055,13014,Marseille,marseille,43.3426011,5.38872
4434,13,13055,13015,Marseille,marseille,43.3628362,5.3677844
4435,13,13055,13016,Marseille,marseille,43.3753856,5.305023
4436,13,13056,13117,Martigues,martigues,43.3789222,5.0130453
4437,13,13056,13500,Martigues,martigues,43.3812134,5.0702794
