id,department_code,insee_code,zip_code,-CALVADOS,slug,gps_lat,gps_lng
4502,14,14001,14600,Ablon,ablon,49.391090099502,0.28514835820896
4503,14,14002,14220,Acqueville,acqueville,48.969516458333,-0.373869375
4504,14,14003,14400,Agy,agy,49.236530618557,-0.77546711340206
4505,14,14005,14190,Valambray,valambray,49.0208802,-0.2368191
4506,14,14005,14370,Valambray,valambray,49.1007785,-0.1510441
4507,14,14005,14540,Valambray,valambray,49.1116638,-0.2917514
4508,14,14006,14210,Amayé-sur-Orne,amaye sur orne,49.094081785714,-0.43063678571429
4509,14,14007,14310,Amayé-sur-Seulles,amaye sur seulles,49.086051632653,-0.72024744897959
4510,14,14009,14860,Amfreville,amfreville,49.249946170213,-0.2357770212766
4511,14,14011,14240,Aurseulles,aurseulles,49.175517,-0.6260599
4512,14,14011,14250,Aurseulles,aurseulles,49.175517,-0.6260599
4513,14,14012,14430,Angerville,angerville,49.244907666667,-0.02348833333333
4514,14,14013,14220,Angoville,angoville,48.942780588235,-0.37644725490196
4515,14,14014,14610,Colomby-Anguerny,colomby anguerny,49.264548813559,-0.4142979661017
4516,14,14015,14610,Anisy,anisy,49.252005,-0.39765375
4517,14,14016,14430,Annebault,annebault,49.24973537037,0.04847907407407
4518,14,14019,14400,Arganchy,arganchy,49.2326912,-0.73133373333333
4519,14,14020,14370,Argences,argences,49.135511346154,-0.15826403846154
4520,14,14021,14117,Arromanches-les-Bains,arromanches les bains,49.3364709375,-0.6192865625
4521,14,14022,14960,Asnelles,asnelles,49.3323352,-0.5845664
4522,14,14023,14710,Asnières-en-Bessin,asnieres en bessin,49.360109534884,-0.93775802325581
4523,14,14024,14640,Auberville,auberville,49.311049361702,-0.02869957446809
4524,14,14025,14700,Aubigny,aubigny,48.914201282051,-0.21672435897436
4525,14,14026,14250,Audrieu,audrieu,49.204281798561,-0.61624913669065
4526,14,14027,14260,Les Monts d'Aunay,les monts d aunay,49.020469,-0.630703
4527,14,14027,14770,Les Monts d'Aunay,les monts d aunay,49.020469,-0.630703
4528,14,14030,14280,Authie,authie,49.205330714286,-0.42862678571429
4529,14,14032,14130,Les Authieux-sur-Calonne,les authieux sur calonne,49.28926546875,0.279078359375
4530,14,14033,14340,Auvillars,auvillars,49.199130816327,0.07238503401361
4531,14,14034,14210,Avenay,avenay,49.100131973684,-0.46347960526316
4532,14,14035,14490,Balleroy-sur-Drôme,balleroy sur drome,49.194906937799,-0.83607516746411
4533,14,14036,14940,Banneville-la-Campagne,banneville la campagne,49.164870675676,-0.22570918918919
4534,14,14037,14260,Malherbe-sur-Ajon,malherbe sur ajon,49.048082,-0.57977869230769
4535,14,14038,14480,Banville,banville,49.3099575,-0.48212909090909
4536,14,14039,14220,Barbery,barbery,49.013264948454,-0.34343567010309
4537,14,14040,14400,Barbeville,barbeville,49.27647173913,-0.74712260869565
4538,14,14041,14600,Barneville-la-Bertran,barneville la bertran,49.390325925926,0.18149666666667
4539,14,14042,14210,Baron-sur-Odon,baron sur odon,49.13057862069,-0.48657396551724
4540,14,14043,14620,Barou-en-Auge,barou en auge,48.928689655172,-0.0344075862069
4541,14,14044,14610,Basly,basly,49.276393492063,-0.42857507936508
4542,14,14045,14670,Basseneville,basseneville,49.210182222222,-0.13614363636364
4543,14,14046,14860,Bavent,bavent,49.228898421053,-0.17620205263158
4544,14,14047,14400,Bayeux,bayeux,49.277193916667,-0.70194275
4545,14,14049,14480,Bazenville,bazenville,49.298981612903,-0.58362983870968
4546,14,14050,14490,La Bazoque,la bazoque,49.157084552239,-0.86888902985075
4547,14,14053,14620,Beaumais,beaumais,48.899706818182,-0.07039704545455
4548,14,14054,14380,Beaumesnil,beaumesnil,48.897670413223,-0.97068991735537
4549,14,14055,14950,Beaumont-en-Auge,beaumont en auge,49.267296333333,0.11015211111111
4550,14,14057,14370,Bellengreville,bellengreville,49.120277075472,-0.23285301886792
4551,14,14059,14910,Benerville-sur-Mer,benerville sur mer,49.337102318841,0.04831594202899
4552,14,14060,14970,Bénouville,benouville,49.245275192308,-0.28683211538462
4553,14,14061,14260,Souleuvre en Bocage,souleuvre en bocage,49.010248,-0.845381
4554,14,14061,14350,Souleuvre en Bocage,souleuvre en bocage,49.010248,-0.845381
4555,14,14062,14440,Bény-sur-Mer,beny sur mer,49.28907654321,-0.4386487654321
4556,14,14063,14710,Bernesq,bernesq,49.273699370079,-0.93872448818898
4557,14,14064,14170,Bernières-d'Ailly,bernieres d ailly,48.950371968504,-0.09636653543307
4558,14,14066,14990,Bernières-sur-Mer,bernieres sur mer,49.320371627907,-0.42071558139535
4559,14,14068,14112,Biéville-Beuville,bieville beuville,49.234644395604,-0.33635351648352
4560,14,14069,14100,Beuvillers,beuvillers,49.128619047619,0.25157682539683
4561,14,14070,14430,Beuvron-en-Auge,beuvron en auge,49.194921532258,-0.04335370967742
4562,14,14076,14550,Blainville-sur-Orne,blainville sur orne,49.22718625,-0.31110075
