id,department_code,insee_code,zip_code,-CANTAL,slug,gps_lat,gps_lng
5055,15,15001,15160,Allanche,allanche,45.233328179871,2.9532748394004
5056,15,15002,15100,Alleuze,alleuze,44.95975162069,3.0970737586207
5057,15,15003,15700,Ally,ally,45.163445049116,2.3215663654224
5058,15,15004,15100,Andelat,andelat,45.071582418478,3.06092
5059,15,15005,15100,Anglards-de-Saint-Flour,anglards de saint flour,44.992562386364,3.1644534469697
5060,15,15006,15380,Anglards-de-Salers,anglards de salers,45.201025053004,2.4628081978799
5061,15,15007,15110,Anterrieux,anterrieux,44.832756363636,3.0627512587413
5062,15,15008,15240,Antignac,antignac,45.348236143345,2.55482221843
5063,15,15009,15400,Apchon,apchon,45.241398248408,2.6994502229299
5064,15,15010,15200,Arches,arches,45.291143540856,2.3220223735409
5065,15,15011,15150,Arnac,arnac,45.064039163347,2.2264972908367
5066,15,15012,15130,Arpajon-sur-Cère,arpajon sur cere,44.87956864,2.46232792
5067,15,15013,15500,Auriac-l'Église,auriac l eglise,45.262366586021,3.118640188172
5068,15,15014,15000,Aurillac,aurillac,44.927709070796,2.4476320132743
5069,15,15015,15240,Auzers,auzers,45.275234421594,2.4683633933162
5070,15,15016,15250,Ayrens,ayrens,44.990270810811,2.3281190540541
5071,15,15017,15800,Badailhac,badailhac,44.913684313725,2.6299962184874
5072,15,15018,15700,Barriac-les-Bosquets,barriac les bosquets,45.147257436548,2.2674506852792
5073,15,15019,15240,Bassignac,bassignac,45.315018651316,2.400201875
5074,15,15020,15270,Beaulieu,beaulieu,45.46467047619,2.5211282142857
5075,15,15021,15600,Boisset,boisset,44.785454345898,2.2497556984479
5076,15,15022,15500,Bonnac,bonnac,45.207906092437,3.1437375420168
5077,15,15024,15700,Brageac,brageac,45.204468258706,2.2659034328358
5078,15,15025,15300,Albepierre-Bredons,albepierre bredons,45.091754853556,2.8511259414226
5079,15,15026,15230,Brezons,brezons,44.993410454545,2.7963342424242
5080,15,15027,15340,Calvinet,calvinet,44.717972953737,2.3585676868327
5081,15,15028,15130,Carlat,carlat,44.883068649194,2.5753860282258
5082,15,15029,15340,Cassaniouze,cassaniouze,44.676423201133,2.3787864589235
5083,15,15030,15290,Cayrols,cayrols,44.828126407407,2.227244037037
5084,15,15032,15500,Celoux,celoux,45.139647234043,3.2583902978723
5085,15,15033,15230,Cézens,cezens,44.984379876033,2.8668384710744
5086,15,15034,15320,Chaliers,chaliers,44.972306196078,3.2441210196078
5087,15,15036,15200,Chalvignac,chalvignac,45.245877339181,2.2749084502924
5088,15,15037,15350,Champagnac,champagnac,45.353361694215,2.4092711570248
5089,15,15038,15270,Champs-sur-Tarentaine-Marchal,champs sur tarentaine marchal,45.402642837529,2.6085032951945
5090,15,15040,15190,Chanterelle,chanterelle,45.376093596491,2.8344103070175
5091,15,15041,15300,La Chapelle-d'Alagnon,la chapelle d alagnon,45.105360025907,2.909700984456
5092,15,15042,15500,La Chapelle-Laurent,la chapelle laurent,45.184056307692,3.240483025641
5093,15,15043,15500,Charmensac,charmensac,45.221358061224,3.074305
5094,15,15045,15110,Chaudes-Aigues,chaudes aigues,44.845202088235,2.9959809117647
5095,15,15046,15700,Chaussenac,chaussenac,45.172320511364,2.277169375
5096,15,15048,15500,Chazelles,chazelles,45.105830825688,3.3300487155963
5097,15,15049,15400,Cheylade,cheylade,45.21094158215,2.7262003042596
5098,15,15050,15400,Le Claux,le claux,45.158664161074,2.6995098657718
5099,15,15051,15320,Clavières,clavieres,44.99327747449,3.2997078571429
5100,15,15052,15400,Collandres,collandres,45.22739309434,2.6374181886792
5101,15,15053,15170,Coltines,coltines,45.094434776786,3.0019764285714
5102,15,15054,15190,Condat,condat,45.344431751412,2.8023972881356
5103,15,15055,15100,Coren,coren,45.084246644295,3.1049677181208
5104,15,15056,15250,Crandelles,crandelles,44.95570387574,2.3592820710059
5105,15,15057,15150,Cros-de-Montvert,cros de montvert,45.056472439759,2.1589403313253
5106,15,15058,15130,Cros-de-Ronesque,cros de ronesque,44.862428131868,2.6049909157509
5107,15,15059,15430,Cussac,cussac,44.979746925676,2.9360455743243
5108,15,15060,15110,Deux-Verges,deux verges,44.809258571429,3.0195551428571
5109,15,15061,15300,Dienne,dienne,45.169773605948,2.8072955018587
5110,15,15063,15140,Drugeac,drugeac,45.162874448399,2.3877534519573
5111,15,15064,15700,Escorailles,escorailles,45.169223888889,2.3336309523809
5112,15,15065,15110,Espinasse,espinasse,44.86563125,2.934032368421
5113,15,15066,15380,Le Falgoux,le falgoux,45.150391208054,2.6338859060403
5114,15,15067,15140,Le Fau,le fau,45.106274189189,2.5881991891892
5115,15,15069,15170,Ferrières-Saint-Mary,ferrieres saint mary,45.174456181319,3.0753881043956
5116,15,15070,15140,Fontanges,fontanges,45.111392620087,2.5133141484716
5117,15,15072,15310,Freix-Anglards,freix anglards,45.016871178571,2.3795318928571
