,,,,-CHER,,,
6154,18,18001,18250,Achères,acheres,47.285437733333,2.4596641333333
6155,18,18002,18200,Ainay-le-Vieil,ainay le vieil,46.657752045455,2.5456418181818
6156,18,18003,18220,Les Aix-d'Angillon,les aix d angillon,47.196862191781,2.57202
6157,18,18004,18110,Allogny,allogny,47.232075180723,2.2932784337349
6158,18,18005,18500,Allouis,allouis,47.173239649123,2.2382719736842
6159,18,18006,18340,Annoix,annoix,46.967137142857,2.5372025
6160,18,18007,18150,Apremont-sur-Allier,apremont sur allier,46.915053630137,3.0189646575343
6161,18,18008,18340,Arçay,arcay,46.963972525253,2.3349939393939
6162,18,18009,18200,Arcomps,arcomps,46.681573111111,2.4345997777778
6163,18,18010,18170,Ardenais,ardenais,46.642580266667,2.3593176888889
6164,18,18011,18410,Argent-sur-Sauldre,argent sur sauldre,47.558623107345,2.429167740113
6165,18,18012,18140,Argenvières,argenvieres,47.14142015873,2.9924580952381
6166,18,18013,18200,Arpheuilles,arpheuilles,46.798556219512,2.5682840243902
6167,18,18014,18260,Assigny,assigny,47.426562,2.741659
6168,18,18015,18700,Aubigny-sur-Nère,aubigny sur nere,47.475487173913,2.4378657608696
6169,18,18016,18220,Aubinges,aubinges,47.220156530612,2.5872154081633
6170,18,18017,18600,Augy-sur-Aubois,augy sur aubois,46.787847894737,2.8634221052632
6171,18,18018,18520,Avord,avord,47.032560232558,2.659406124031
6172,18,18019,18220,Azy,azy,47.19411703125,2.71341796875
6173,18,18020,18300,Bannay,bannay,47.384656704545,2.8672101136364
6174,18,18021,18210,Bannegon,bannegon,46.80453255814,2.7269637209302
6175,18,18022,18260,Barlieu,barlieu,47.492914444444,2.6204793333333
6176,18,18023,18800,Baugy,baugy,47.07258990991,2.6953454054054
6177,18,18024,18370,Beddes,beddes,46.607490948276,2.2075787931034
6178,18,18025,18320,Beffes,beffes,47.093574166667,2.9992081666667
6179,18,18026,18240,Belleville-sur-Loire,belleville sur loire,47.497333055556,2.8307118055556
6180,18,18027,18520,Bengy-sur-Craon,bengy sur craon,46.997628095238,2.7388461904762
6181,18,18028,18500,Berry-Bouy,berry bouy,47.122438130841,2.291968271028
