,,,,-COTE-D'OR,,,
6729,21,21001,21700,Agencourt,agencourt,47.1235826,4.9903982
6730,21,21002,21410,Agey,agey,47.289252156863,4.759717745098
6731,21,21003,21121,Ahuy,ahuy,47.372985396825,5.0186503174603
6732,21,21004,21510,Aignay-le-Duc,aignay le duc,47.671720162162,4.745090972973
6733,21,21005,21110,Aiserey,aiserey,47.1698309375,5.166753125
6734,21,21006,21400,Aisey-sur-Seine,aisey sur seine,47.747895581395,4.5876034302326
6735,21,21007,21390,Aisy-sous-Thil,aisy sous thil,47.392375365854,4.2796706097561
6736,21,21008,21150,Alise-Sainte-Reine,alise sainte reine,47.534619895833,4.48890875
6737,21,21009,21230,Allerey,allerey,47.183841736842,4.4232807368421
6738,21,21010,21420,Aloxe-Corton,aloxe corton,47.069246666667,4.8610758333333
6739,21,21011,21450,Ampilly-les-Bordes,ampilly les bordes,47.640949185185,4.6265852592593
6740,21,21012,21400,Ampilly-le-Sec,ampilly le sec,47.812815726496,4.5093635897436
6741,21,21013,21410,Ancey,ancey,47.333642809917,4.8219851239669
6742,21,21014,21360,Antheuil,antheuil,47.174628839286,4.7469983928571
6743,21,21015,21230,Antigny-la-Ville,antigny la ville,47.102189913043,4.5606531304348
6744,21,21016,21310,Arceau,arceau,47.366602962963,5.1939407407407
6745,21,21017,21700,Arcenant,arcenant,47.138431272727,4.8422075454546
6746,21,21018,21410,Arcey,arcey,47.276903896104,4.8241446753247
6747,21,21020,21320,Arconcey,arconcey,47.218635194805,4.4624473376623
6748,21,21021,21560,Arc-sur-Tille,arc sur tille,47.340518546512,5.2008060465116
6749,21,21022,21700,Argilly,argilly,47.069806877828,5.0290492760181
6750,21,21023,21230,Arnay-le-Duc,arnay le duc,47.12623199095,4.4764338461539
6751,21,21024,21350,Arnay-sous-Vitteaux,arnay sous vitteaux,47.436239449541,4.499066146789
6752,21,21025,21500,Arrans,arrans,47.688650618557,4.3265141237113
6753,21,21026,21500,Asnières-en-Montagne,asnieres en montagne,47.712698353659,4.2891857926829
6754,21,21027,21380,Asnières-lès-Dijon,asnieres les dijon,47.383323846154,5.0456907692308
6755,21,21028,21130,Athée,athee,47.221740973451,5.3674923893805
6756,21,21029,21500,Athie,athie,47.558994409449,4.2608722047244
6757,21,21030,21360,Aubaine,aubaine,47.136192864583,4.7290807291667
6758,21,21031,21170,Aubigny-en-Plaine,aubigny en plaine,47.1284899,5.1659075
6759,21,21032,21340,Aubigny-la-Ronce,aubigny la ronce,46.98849016129,4.5968296774194
6760,21,21033,21540,Aubigny-lès-Sombernon,aubigny les sombernon,47.297847051282,4.6389512820513
6761,21,21034,21570,Autricourt,autricourt,47.986060802469,4.6174427160494
6762,21,21035,21250,Auvillars-sur-Saône,auvillars sur saone,47.061191568627,5.1065488235294
6763,21,21036,21360,Auxant,auxant,47.13150858209,4.6184163432836
6764,21,21037,21190,Auxey-Duresses,auxey duresses,46.986459035088,4.729175
6765,21,21038,21130,Auxonne,auxonne,47.184109437086,5.417495397351
6766,21,21039,21120,Avelanges,avelanges,47.586411774194,5.0325724193548
6767,21,21040,21350,Avosnes,avosnes,47.370365298507,4.6361623880597
6768,21,21041,21580,Avot,avot,47.619764382716,5.0061875308642
6769,21,21042,21700,Bagnot,bagnot,47.053992903226,5.0732872258064
6770,21,21043,21450,Baigneux-les-Juifs,baigneux les juifs,47.602492986111,4.6596021527778
6771,21,21044,21330,Balot,balot,47.821317238095,4.4386107619048
6772,21,21045,21410,Barbirey-sur-Ouche,barbirey sur ouche,47.251187107438,4.7372831404959
6773,21,21046,21430,Bard-le-Régulier,bard le regulier,47.14759025641,4.2971041880342
6774,21,21047,21460,Bard-lès-Époisses,bard les epoisses,47.526912236842,4.2238626315789
6775,21,21048,21910,Barges,barges,47.210433684211,5.0601368421053
6776,21,21049,21580,Barjon,barjon,47.615076280992,4.9634702479339
6777,21,21050,21340,Baubigny,baubigny,46.988107741935,4.6862875
6778,21,21051,21410,Baulme-la-Roche,baulme la roche,47.345461951219,4.7911415853658
6779,21,21052,21510,Beaulieu,beaulieu,47.725846031746,4.7310642857143
6780,21,21053,21310,Beaumont-sur-Vingeanne,beaumont sur vingeanne,47.463035136986,5.3574756164384
6781,21,21054,21200,Beaune,beaune,47.022523674699,4.8424415060241
6782,21,21055,21510,Beaunotte,beaunotte,47.678854695652,4.7135557391304
6783,21,21056,21310,Beire-le-Châtel,beire le chatel,47.433875363636,5.2133298181818
6784,21,21057,21110,Beire-le-Fort,beire le fort,47.236636730769,5.2620311538462
6785,21,21058,21570,Belan-sur-Ource,belan sur ource,47.949856382979,4.6439093617021
6786,21,21059,21490,Bellefond,bellefond,47.380543461538,5.0675076923077
