,,,,-CORREZE,,,
6445,19,19001,19260,Affieux,affieux,45.504590327869,1.7688384918033
6446,19,19002,19200,Aix,aix,45.616542237762,2.3926370629371
6447,19,19003,19190,Albignac,albignac,45.1461365,1.6775675
6448,19,19004,19380,Albussac,albussac,45.143132468354,1.8125141772152
6449,19,19005,19240,Allassac,allassac,45.25012802439,1.4613304390244
6450,19,19006,19200,Alleyrat,alleyrat,45.55837511236,2.2212823033708
6451,19,19007,19120,Altillac,altillac,44.979341958763,1.8770643298969
6452,19,19008,19250,Ambrugeat,ambrugeat,45.527960199203,2.0857814741036
6453,19,19009,19000,Les Angles-sur-Corrèze,les angles sur correze,45.311996521739,1.8034486956522
6454,19,19010,19320,Argentat-sur-Dordogne,argentat sur dordogne,45.093356,1.93755
6455,19,19010,19400,Argentat-sur-Dordogne,argentat sur dordogne,45.093356,1.93755
6456,19,19011,19230,Arnac-Pompadour,arnac pompadour,45.413621223022,1.3665513669065
6457,19,19012,19120,Astaillac,astaillac,44.953220916667,1.8267835
6458,19,19013,19190,Aubazines,aubazines,45.186481707317,1.6907720487805
6459,19,19014,19220,Auriac,auriac,45.199040826772,2.1384237795276
6460,19,19015,19310,Ayen,ayen,45.258560954774,1.3255134170854
6461,19,19016,19800,Bar,bar,45.346445957944,1.8142565420561
6462,19,19017,19430,Bassignac-le-Bas,bassignac le bas,45.028375882353,1.8730146470588
6463,19,19018,19220,Bassignac-le-Haut,bassignac le haut,45.195951923077,2.0714622527473
6464,19,19019,19120,Beaulieu-sur-Dordogne,beaulieu sur dordogne,44.980637923077,1.8268949230769
6465,19,19020,19390,Beaumont,beaumont,45.423341204819,1.7927602008032
6466,19,19021,19290,Bellechassagne,bellechassagne,45.647045785124,2.2182498347107
6467,19,19022,19510,Benayes,benayes,45.517218156997,1.468433003413
6468,19,19023,19190,Beynat,beynat,45.126957851563,1.7230466015625
6469,19,19024,19230,Beyssac,beyssac,45.364089707113,1.4275487866109
6470,19,19025,19230,Beyssenac,beyssenac,45.400637191011,1.2974492883895
6471,19,19026,19120,Bilhac,bilhac,44.944793814433,1.7808508247423
6472,19,19027,19170,Bonnefond,bonnefond,45.526112638522,1.9813197097625
6473,19,19028,19110,Bort-les-Orgues,bort les orgues,45.391473759124,2.4873463868613
6474,19,19029,19500,Branceilles,branceilles,45.008223615385,1.7123006923077
6475,19,19030,19310,Brignac-la-Plaine,brignac la plaine,45.177981591837,1.3316444897959
6476,19,19031,19100,Brive-la-Gaillarde,brive la gaillarde,45.13981899696,1.5179145592705
6477,19,19032,19120,Brivezac,brivezac,45.020078461538,1.8351093706294
6478,19,19033,19170,Bugeat,bugeat,45.593818844765,1.9419338628159
6479,19,19034,19430,Camps-Saint-Mathurin-Léobazel,camps saint mathurin leobazel,44.995450747331,1.9890319572954
6480,19,19035,19350,Chabrignac,chabrignac,45.3113256,1.3415952
6481,19,19036,19370,Chamberet,chamberet,45.60809356974,1.7240560283688
6482,19,19037,19450,Chamboulive,chamboulive,45.4277,1.71028075
6483,19,19038,19330,Chameyrat,chameyrat,45.248649174757,1.709835776699
6484,19,19039,19320,Champagnac-la-Noaille,champagnac la noaille,45.305491490515,1.9945950135501
6485,19,19040,19320,Champagnac-la-Prune,champagnac la prune,45.187921790123,1.9388699382716
6486,19,19041,19150,Chanac-les-Mines,chanac les mines,45.266186777251,1.8141932701422
6487,19,19042,19330,Chanteix,chanteix,45.310700350877,1.6275935964912
6488,19,19043,19360,La Chapelle-aux-Brocs,la chapelle aux brocs,45.145447721519,1.6242836708861
6489,19,19044,19120,La Chapelle-aux-Saints,la chapelle aux saints,44.984883814433,1.7219794845361
6490,19,19045,19430,La Chapelle-Saint-Géraud,la chapelle saint geraud,45.049866,1.9476124242424
