,,,,-CORSE-DU-SUD,,,
10789,2A,2A001,20167,Afa,afa,41.984764060606,8.7976021212121
10790,2A,2A004,20000,Ajaccio,ajaccio,41.9184889,8.6710603
10791,2A,2A004,20090,Ajaccio,ajaccio,41.9393447,8.7205877
10792,2A,2A004,20167,Ajaccio,ajaccio,41.9961268,8.8142264
10793,2A,2A006,20167,Alata,alata,41.969626607143,8.7323204761905
10794,2A,2A008,20128,Albitreccia,albitreccia,41.8587106,8.9355737
10795,2A,2A008,20166,Albitreccia,albitreccia,41.8295314,8.8032042
10796,2A,2A011,20112,Altagène,altagene,41.708497211538,9.0702525
10797,2A,2A014,20151,Ambiegna,ambiegna,42.087635298507,8.7731617164179
10798,2A,2A017,20167,Appietto,appietto,41.999386102236,8.73972514377
10799,2A,2A018,20110,Arbellara,arbellara,41.672327354839,8.9874358709677
10800,2A,2A019,20160,Arbori,arbori,42.121649953704,8.7930940740741
10801,2A,2A021,20140,Argiusta-Moriccio,argiusta moriccio,41.816449649123,9.0285892105263
10802,2A,2A022,20151,Arro,arro,42.097513661972,8.8008548591549
10803,2A,2A024,20116,Aullène,aullene,41.809982294372,9.096684025974
10804,2A,2A026,20190,Azilone-Ampaza,azilone ampaza,41.869982123894,9.0160907079646
10805,2A,2A027,20121,Azzana,azzana,42.11963248366,8.9301766666667
10806,2A,2A028,20160,Balogna,balogna,42.185294968153,8.7578279617834
10807,2A,2A031,20119,Bastelica,bastelica,41.981890542763,9.0441373026316
10808,2A,2A032,20129,Bastelicaccia,bastelicaccia,41.930641785714,8.831075
10809,2A,2A035,20110,Belvédère-Campomoro,belvedere campomoro,41.619489469809,8.81028179676
10810,2A,2A038,20100,Bilia,bilia,41.622974473684,8.9044594736842
10811,2A,2A040,20136,Bocognano,bocognano,42.081431342593,9.0675005092593
10812,2A,2A041,20169,Bonifacio,bonifacio,41.403212383527,9.2043748044925
10813,2A,2A048,20111,Calcatoggio,calcatoggio,42.027776797583,8.7206910876133
10814,2A,2A056,20142,Campo,campo,41.889676166667,9.0029135
10815,2A,2A060,20151,Cannelle,cannelle,42.049780932203,8.8116962711865
10816,2A,2A061,20170,Carbini,carbini,41.675973111111,9.148916
10817,2A,2A062,20133,Carbuccia,carbuccia,42.030773918919,8.9329845945946
10818,2A,2A064,20190,Cardo-Torgia,cardo torgia,41.852834576271,8.9722977118644
10819,2A,2A065,20130,Cargèse,cargese,42.153250150538,8.6081968602151
10820,2A,2A066,20164,Cargiaca,cargiaca,41.727851969697,9.0417120454546
10821,2A,2A070,20111,Casaglione,casaglione,42.068385260663,8.7594210900474
10822,2A,2A071,20140,Casalabriva,casalabriva,41.759313722222,8.9163140555556
10823,2A,2A085,20117,Cauro,cauro,41.90477381323,8.8850423346304
10824,2A,2A089,20134,Ciamannacce,ciamannacce,41.968656126126,9.1359238288288
10825,2A,2A090,20118,Coggia,coggia,42.1099758,8.7068269
10826,2A,2A090,20160,Coggia,coggia,42.1101189,8.7371039
10827,2A,2A091,20123,Cognocoli-Monticchi,cognocoli monticchi,41.828546,8.906139
10828,2A,2A091,20166,Cognocoli-Monticchi,cognocoli monticchi,41.8295314,8.8032042
10829,2A,2A092,20135,Conca,conca,41.746160650685,9.3607993150685
10830,2A,2A094,20168,Corrano,corrano,41.883039788732,9.065940915493
10831,2A,2A098,20138,Coti-Chiavari,coti chiavari,41.767216497623,8.7320983042789
10832,2A,2A099,20148,Cozzano,cozzano,41.932509457364,9.1819559689923
10833,2A,2A100,20126,Cristinacce,cristinacce,42.243952307692,8.8520926153846
10834,2A,2A103,20167,Cuttoli-Corticchiato,cuttoli corticchiato,41.977704278607,8.8844070149254
10835,2A,2A104,20117,Eccica-Suarella,eccica suarella,41.922593592233,8.898120631068
10836,2A,2A108,20126,Évisa,evisa,42.285619487179,8.8157691346154
10837,2A,2A114,20114,Figari,figari,41.490758263773,9.1002068447412
10838,2A,2A115,20100,Foce,foce,41.624408128655,9.0416730409357
10839,2A,2A117,20190,Forciolo,forciolo,41.848257377049,9.0110893442623
10840,2A,2A118,20143,Fozzano,fozzano,41.696397854251,8.9867910526316
10841,2A,2A119,20157,Frasseto,frasseto,41.918476010101,9.0377217171717
10842,2A,2A127,20100,Giuncheto,giuncheto,41.586281929825,8.9550145614035
10843,2A,2A128,20100,Granace,granace,41.641142289157,9.0121161445783
10844,2A,2A129,20100,Grossa,grossa,41.600826787879,8.8585274545455
10845,2A,2A130,20128,Grosseto-Prugna,grosseto prugna,41.8587106,8.9355737
10846,2A,2A130,20166,Grosseto-Prugna,grosseto prugna,41.8295314,8.8032042
10847,2A,2A131,20160,Guagno,guagno,42.174291833333,8.97461
10848,2A,2A132,20128,Guargualé,guarguale,41.827090245399,8.9290809202454
