,,,,-CREUSE,,,
7789,23,23001,23150,Ahun,ahun,46.089187170868,2.0229855742297
7790,23,23002,23380,Ajain,ajain,46.21310462766,1.9952005053192
7791,23,23003,23200,Alleyrat,alleyrat,45.986077341772,2.1548183544304
7792,23,23004,23000,Anzême,anzeme,46.253807576531,1.8447575510204
7793,23,23005,23700,Arfeuille-Châtain,arfeuille chatain,46.062101004184,2.43478041841
7794,23,23006,23210,Arrènes,arrenes,46.072555683453,1.5623123201439
7795,23,23007,23480,Ars,ars,46.002238906752,2.0873596784566
7796,23,23008,23200,Aubusson,aubusson,45.953081335505,2.1723428338762
7797,23,23009,23170,Auge,auge,46.238671968504,2.3360064566929
7798,23,23010,23210,Augères,augeres,46.080416815069,1.7249154109589
7799,23,23011,23210,Aulon,aulon,46.090303671875,1.6983481640625
7800,23,23012,23400,Auriat,auriat,45.876828018868,1.6327048742138
7801,23,23013,23700,Auzances,auzances,46.024327040816,2.5031531632653
7802,23,23014,23210,Azat-Châtenet,azat chatenet,46.084696333333,1.7713901428571
7803,23,23015,23160,Azerables,azerables,46.348689137931,1.4725750492611
7804,23,23016,23120,Banize,banize,45.933811464646,1.9895498989899
7805,23,23017,23260,Basville,basville,45.861266831276,2.4113107407407
7806,23,23018,23160,Bazelat,bazelat,46.3520493361,1.5280256846473
7807,23,23019,23260,Beissat,beissat,45.769883333333,2.2860760784314
7808,23,23020,23190,Bellegarde-en-Marche,bellegarde en marche,45.9815941,2.2935127
7809,23,23021,23210,Bénévent-l'Abbaye,benevent l abbaye,46.115545894737,1.6347269473684
7810,23,23022,23270,Bétête,betete,46.363802871287,2.0613854455446
7811,23,23023,23140,Blaudeix,blaudeix,46.227315714286,2.0841144827586
7812,23,23024,23200,Blessac,blessac,45.968466195286,2.1146196296296
7813,23,23025,23220,Bonnat,bonnat,46.321681703297,1.9187542582418
7814,23,23026,23230,Bord-Saint-Georges,bord saint georges,46.253856742424,2.2838225
7815,23,23027,23400,Bosmoreau-les-Mines,bosmoreau les mines,46.002389542857,1.7520101714286
7816,23,23028,23200,Bosroger,bosroger,46.004604294118,2.2504420588235
7817,23,23029,23220,Le Bourg-d'Hem,le bourg d hem,46.299132211982,1.839345483871
7818,23,23030,23400,Bourganeuf,bourganeuf,45.950801753247,1.7501579220779
7819,23,23031,23600,Boussac,boussac,46.347716282051,2.2211524358974
7820,23,23032,23600,Boussac-Bourg,boussac bourg,46.361552643678,2.2163394252874
7821,23,23033,23000,La Brionne,la brionne,46.165066363636,1.7927023076923
7822,23,23034,23700,Brousse,brousse,45.97308625,2.453576
7823,23,23035,23170,Budelière,budeliere,46.222043407407,2.4714254444445
7824,23,23036,23320,Bussière-Dunoise,bussiere dunoise,46.254482766393,1.7558423770492
7825,23,23037,23700,Bussière-Nouvelle,bussiere nouvelle,46.01439261745,2.4192374496644
7826,23,23038,23600,Bussière-Saint-Georges,bussiere saint georges,46.400181212121,2.1573866666667
7827,23,23039,23800,La Celle-Dunoise,la celle dunoise,46.306439358974,1.7863192735043
7828,23,23040,23230,La Celle-sous-Gouzon,la celle sous gouzon,46.224471640625,2.218232734375
7829,23,23041,23350,La Cellette,la cellette,46.395554529915,2.0157641880342
7830,23,23042,23210,Ceyroux,ceyroux,46.061158973384,1.6675318631179
7831,23,23043,23480,Chamberaud,chamberaud,46.050033916084,2.0461104895105
7832,23,23044,23220,Chambon-Sainte-Croix,chambon sainte croix,46.356101111111,1.774254691358
7833,23,23045,23170,Chambon-sur-Voueize,chambon sur voueize,46.191727298851,2.4157640517241
7834,23,23046,23110,Chambonchard,chambonchard,46.158501413613,2.5379584816754
7835,23,23047,23240,Chamborand,chamborand,46.156946232877,1.5734679794521
7836,23,23048,23190,Champagnat,champagnat,46.023035173913,2.2928635869565
7837,23,23049,23220,Champsanglard,champsanglard,46.282790950226,1.8919890950226
7838,23,23050,23160,La Chapelle-Baloue,la chapelle baloue,46.359262291667,1.57116625
7839,23,23051,23250,La Chapelle-Saint-Martial,la chapelle saint martial,46.027749831461,1.9186389325843
7840,23,23052,23000,La Chapelle-Taillefert,la chapelle taillefert,46.114440943396,1.8275370440252
7841,23,23053,23700,Chard,chard,45.950454836957,2.488184076087
7842,23,23054,23700,Charron,charron,46.045919967105,2.5601789802632
7843,23,23055,23700,Châtelard,chatelard,45.963862093023,2.4689051162791
7844,23,23056,23430,Châtelus-le-Marcheix,chatelus le marcheix,46.006474530387,1.6197851657459
7845,23,23057,23270,Châtelus-Malvaleix,chatelus malvaleix,46.300960419162,2.0283340119761
7846,23,23058,23130,Le Chauchet,le chauchet,46.107701694215,2.3294339669422
7847,23,23059,23200,La Chaussade,la chaussade,45.985678139535,2.2536400387597
7848,23,23060,23250,Chavanat,chavanat,45.94830627551,1.9629591326531
7849,23,23061,23130,Chénérailles,chenerailles,46.114033106061,2.1702956060606
7850,23,23062,23220,Chéniers,cheniers,46.35920754717,1.8277859245283
7851,23,23063,23500,Clairavaux,clairavaux,45.78118123348,2.1803330396476
7852,23,23064,23270,Clugnat,clugnat,46.290663320825,2.1226410881801
7853,23,23065,23800,Colondannes,colondannes,46.288453221757,1.6167852301255
7854,23,23066,23700,Le Compas,le compas,46.001143434783,2.454135
7855,23,23067,23100,La Courtine,la courtine,45.733633826531,2.2408043367347
7856,23,23068,23140,Cressat,cressat,46.135950963115,2.0859309631148
7857,23,23069,23260,Crocq,crocq,45.852486451613,2.3644781182796
7858,23,23070,23160,Crozant,crozant,46.379541071429,1.6128858333333
7859,23,23071,23500,Croze,croze,45.825625085714,2.1657762285714
7860,23,23072,23140,Domeyrot,domeyrot,46.25302377261,2.1416407751938
7861,23,23073,23700,Dontreix,dontreix,45.980935268817,2.5414984587814
7862,23,23074,23480,Le Donzeil,le donzeil,46.035735906736,1.9874360621762
7863,23,23075,23800,Dun-le-Palestel,dun le palestel,46.297416938776,1.662871292517
7864,23,23076,23110,Évaux-les-Bains,evaux les bains,46.169437871901,2.5076834504132
7865,23,23077,23340,Faux-la-Montagne,faux la montagne,45.737567712264,1.9350395754717
7866,23,23078,23400,Faux-Mazuras,faux mazuras,45.925219642857,1.7830477857143
