,,,,-DEUX-SEVRES,,,
31411,79,79001,79240,L'Absie,l absie,46.64744916318,-0.55657150627615
31412,79,79002,79200,Adilly,adilly,46.6987644,-0.31619754285714
31413,79,79003,79230,Aiffres,aiffres,46.283343442623,-0.41756868852459
31414,79,79004,79370,Aigonnay,aigonnay,46.321899709302,-0.24922104651163
31415,79,79005,79600,Airvault,airvault,46.832121019608,-0.14423847058824
31416,79,79007,79130,Allonne,allonne,46.58636201005,-0.37689211055276
31417,79,79008,79350,Amailloux,amailloux,46.740507928803,-0.30585411003236
31418,79,79009,79210,Amuré,amure,46.258533846154,-0.60954186813187
31419,79,79010,79210,Arçais,arcais,46.296241651376,-0.69718458715596
31420,79,79011,79110,Ardilleux,ardilleux,46.092373636364,-0.04583090909091
31421,79,79012,79160,Ardin,ardin,46.482497540453,-0.5475269579288
31422,79,79013,79150,Argentonnay,argentonnay,46.984839,-0.444587
31423,79,79013,79300,Argentonnay,argentonnay,46.984839,-0.444587
31424,79,79014,79290,Argenton-l'Église,argenton l eglise,47.061069336493,-0.24703928909953
31425,79,79015,79170,Asnières-en-Poitou,asnieres en poitou,46.095067692308,-0.21118699300699
31426,79,79016,79600,Assais-les-Jumeaux,assais les jumeaux,46.792493469388,-0.06994502040816
31427,79,79018,79110,Aubigné,aubigne,46.040435684932,-0.15118630136986
31428,79,79019,79390,Aubigny,aubigny,46.729216179775,-0.09809460674157
31429,79,79020,79400,Augé,auge,46.450815742187,-0.286120078125
31430,79,79022,79600,Availles-Thouarsais,availles thouarsais,46.854439259259,-0.14278555555556
31431,79,79023,79800,Avon,avon,46.374668932039,-0.00146262135922
31432,79,79024,79400,Azay-le-Brûlé,azay le brule,46.408085,-0.26596166666667
31433,79,79025,79130,Azay-sur-Thouet,azay sur thouet,46.615016280992,-0.35450917355372
31434,79,79027,79110,La Bataille,la bataille,46.087739120879,-0.11120043956044
31435,79,79029,79420,Beaulieu-sous-Parthenay,beaulieu sous parthenay,46.574476357143,-0.21376832142857
31436,79,79030,79370,Beaussais-Vitré,beaussais vitre,46.283897647059,-0.17860678733032
31437,79,79031,79360,Beauvoir-sur-Niort,beauvoir sur niort,46.184006446281,-0.47891599173554
31438,79,79032,79160,Béceleuf,beceleuf,46.487395,-0.51396089655172
31439,79,79034,79000,Bessines,bessines,46.292546826923,-0.51361730769231
31440,79,79035,79130,Le Beugnon,le beugnon,46.578618194444,-0.50017569444444
31441,79,79038,79300,Boismé,boisme,46.778122493075,-0.43278537396122
31442,79,79040,79310,La Boissière-en-Gâtine,la boissiere en gatine,46.541469304348,-0.37896695652174
31443,79,79042,79800,Bougon,bougon,46.372650967742,-0.05522107526882
31444,79,79043,79290,Bouillé-Loretz,bouille loretz,47.085200693878,-0.26441604081633
31445,79,79045,79110,Bouin,bouin,46.086745238095,-0.01856678571429
31446,79,79046,79210,Le Bourdet,le bourdet,46.238228,-0.636002375
31447,79,79047,79600,Boussais,boussais,46.822419606299,-0.26072535433071
31448,79,79048,79260,La Crèche,la creche,46.36738192623,-0.31281790983607
31449,79,79049,79300,Bressuire,bressuire,46.858833373313,-0.47843550224888
31450,79,79050,79140,Bretignolles,bretignolles,46.875647586207,-0.59388068965517
31451,79,79051,79320,Le Breuil-Bernard,le breuil bernard,46.711864834437,-0.55594397350993
31452,79,79054,79100,Brie,brie,46.918971296296,-0.03647203703704
31453,79,79055,79170,Brieuil-sur-Chizé,brieuil sur chize,46.125114375,-0.326214375
31454,79,79056,79290,Brion-près-Thouet,brion pres thouet,47.050978266667,-0.18596866666667
31455,79,79057,79170,Brioux-sur-Boutonne,brioux sur boutonne,46.137782808989,-0.22387056179775
31456,79,79058,79230,Brûlain,brulain,46.200900125,-0.3177091875
31457,79,79059,79240,Le Busseau,le busseau,46.583601546763,-0.59468320143885
31458,79,79060,79190,Caunay,caunay,46.19991027027,0.0878577027027
31459,79,79061,79370,Celles-sur-Belle,celles sur belle,46.243963832335,-0.21843017964072
31460,79,79062,79140,Cerizay,cerizay,46.820981229947,-0.67811187165775
