,,,,-DORDOGNE,,,
8047,24,24001,24300,Abjat-sur-Bandiat,abjat sur bandiat,45.584290817121,0.75241673151751
8048,24,24002,24460,Agonac,agonac,45.287914942529,0.7377775862069
8049,24,24004,24210,Ajat,ajat,45.162468742515,1.0290114371257
8050,24,24005,24480,Alles-sur-Dordogne,alles sur dordogne,44.860209322034,0.87367016949153
8051,24,24006,24220,Allas-les-Mines,allas les mines,44.825992168675,1.0718293975904
8052,24,24007,24600,Allemans,allemans,45.290086732283,0.29659594488189
8053,24,24008,24270,Angoisse,angoisse,45.433277713178,1.1486225581395
8054,24,24009,24160,Anlhiac,anlhiac,45.326700438597,1.1236342982456
8055,24,24010,24430,Annesse-et-Beaulieu,annesse et beaulieu,45.181989212598,0.5916905511811
8056,24,24011,24420,Antonne-et-Trigonant,antonne et trigonant,45.223710310559,0.82979807453416
8057,24,24012,24590,Archignac,archignac,45.019001647059,1.2914263529412
8058,24,24014,24290,Aubas,aubas,45.082237005988,1.1989562275449
8059,24,24015,24260,Audrix,audrix,44.884207612903,0.94330851612903
8060,24,24016,24300,Augignac,augignac,45.582568893617,0.70676314893617
8061,24,24018,24290,Auriac-du-Périgord,auriac du perigord,45.113016736402,1.1191349790795
8062,24,24019,24210,Azerat,azerat,45.160087164948,1.1072724742268
8063,24,24020,24210,La Bachellerie,la bachellerie,45.135288461538,1.1651157211539
8064,24,24021,24390,Badefols-d'Ans,badefols d ans,45.23132021978,1.2039997802198
8065,24,24022,24150,Badefols-sur-Dordogne,badefols sur dordogne,44.839407586207,0.80468051724138
8066,24,24023,24150,Baneuil,baneuil,44.856390618557,0.69318432989691
8067,24,24024,24560,Bardou,bardou,44.740876375,0.690135625
8068,24,24025,24210,Bars,bars,45.098417826087,1.0634705652174
8069,24,24026,24330,Bassillac et Auberoche,bassillac et auberoche,45.1924569,0.8156176
8070,24,24026,24640,Bassillac et Auberoche,bassillac et auberoche,45.191424,0.813431
8071,24,24027,24150,Bayac,bayac,44.807072564103,0.72384393162393
8072,24,24028,24440,Beaumontois en Périgord,beaumontois en perigord,44.741260967742,0.75687215880893
8073,24,24029,24400,Beaupouyet,beaupouyet,44.999416020761,0.2856524567474
8074,24,24030,24120,Beauregard-de-Terrasson,beauregard de terrasson,45.155816824324,1.2269002702703
8075,24,24031,24140,Beauregard-et-Bassac,beauregard et bassac,44.993729292035,0.63341380530973
8076,24,24032,24400,Beauronne,beauronne,45.100456533333,0.36445106666667
8077,24,24034,24140,Beleymas,beleymas,44.992927117647,0.50023123529412
8078,24,24035,24170,Pays de Belvès,pays de belves,44.753744770318,0.99810024734982
8079,24,24036,24220,Berbiguières,berbiguieres,44.83390202381,1.0454707142857
8080,24,24037,24100,Bergerac,bergerac,44.856488243243,0.48440570945946
8081,24,24038,24320,Bertric-Burée,bertric buree,45.309634846626,0.35483601226994
8082,24,24039,24550,Besse,besse,44.663380431034,1.1093737068965
8083,24,24040,24220,Beynac-et-Cazenac,beynac et cazenac,44.857553493151,1.1278997945206
8084,24,24042,24310,Biras,biras,45.288034242424,0.63832236363636
8085,24,24043,24540,Biron,biron,44.621476923077,0.87245365384615
8086,24,24045,24560,Boisse,boisse,44.713863309859,0.65517535211268
8087,24,24046,24390,Boisseuilh,boisseuilh,45.286690864198,1.1765167078189
8088,24,24048,24230,Bonneville-et-Saint-Avit-de-Fumadières,bonneville et saint avit de fumadieres,44.886904173913,0.07928486956522
8089,24,24050,24590,Borrèze,borreze,44.970237641509,1.3971980660377
8090,24,24051,24130,Bosset,bosset,44.951386900585,0.36311614035088
8091,24,24052,24480,Bouillac,bouillac,44.764230495868,0.91839851239669
8092,24,24053,24330,Boulazac Isle Manoire,boulazac isle manoire,45.180548,0.768949
8093,24,24053,24750,Boulazac Isle Manoire,boulazac isle manoire,45.180548,0.768949
8094,24,24054,24560,Bouniagues,bouniagues,44.756208247423,0.52910670103093
8095,24,24055,24310,Bourdeilles,bourdeilles,45.321259083969,0.5812093129771
8096,24,24056,24300,Le Bourdeix,le bourdeix,45.576801369863,0.63847547945206
8097,24,24057,24320,Bourg-des-Maisons,bourg des maisons,45.337014634146,0.43567804878049
8098,24,24058,24600,Bourg-du-Bost,bourg du bost,45.269049758065,0.26347846774194
8099,24,24059,24400,Bourgnac,bourgnac,45.017258650794,0.39564261904762
8100,24,24060,24150,Bourniquel,bourniquel,44.807581565217,0.7708267826087
8101,24,24061,24110,Bourrou,bourrou,45.048508541667,0.60871385416667
8102,24,24062,24320,Bouteilles-Saint-Sébastien,bouteilles saint sebastien,45.350165467626,0.28842431654676
8103,24,24063,24250,Bouzic,bouzic,44.721565409836,1.2191223497268
8104,24,24064,24310,Brantôme en Périgord,brantome en perigord,45.361992550143,0.62844974212034
8105,24,24066,24210,Brouchaud,brouchaud,45.205193809524,0.99499836734694
8106,24,24067,24260,Le Bugue,le bugue,44.927830368664,0.92096267281106
8107,24,24068,24480,Le Buisson-de-Cadouin,le buisson de cadouin,44.8165644,0.8891212
8108,24,24069,24350,Bussac,bussac,45.272266709677,0.6013724516129
8109,24,24070,24360,Busserolles,busserolles,45.679105320755,0.64398958490566
8110,24,24071,24360,Bussière-Badil,bussiere badil,45.640702621359,0.59937703883495
8111,24,24073,24150,Calès,cales,44.85442,0.81805726027397
8112,24,24074,24370,Calviac-en-Périgord,calviac en perigord,44.863601550388,1.323044496124
8113,24,24075,24550,Campagnac-lès-Quercy,campagnac les quercy,44.699948128655,1.1836859064328
8114,24,24076,24260,Campagne,campagne,44.897275735294,0.97736779411765
8115,24,24077,24140,Campsegret,campsegret,44.940571764706,0.56526990196078
8116,24,24079,24530,Cantillac,cantillac,45.401323301887,0.64398009433962
8117,24,24080,24540,Capdrot,capdrot,44.674337792208,0.94179227272727
8118,24,24081,24370,Carlux,carlux,44.886444943182,1.3594804545454
8119,24,24082,24200,Carsac-Aillac,carsac aillac,44.85693619883,1.2733576023392
8120,24,24083,24610,Carsac-de-Gurson,carsac de gurson,44.942936514286,0.09872942857143
8121,24,24084,24170,Carves,carves,44.786219692308,1.0647812307692
8122,24,24085,24120,La Cassagne,la cassagne,45.056721959459,1.304481554054
8123,24,24086,24250,Castelnaud-la-Chapelle,castelnaud la chapelle,44.799878655914,1.1281257526882
8124,24,24087,24220,Castels et Bézenac,castels et bezenac,44.868021515152,1.0851778787879
8125,24,24088,24150,Cause-de-Clérans,cause de clerans,44.874115337838,0.67041006756757
8126,24,24089,24370,Cazoulès,cazoules,44.883642096774,1.4250582258064
8127,24,24090,24600,Celles,celles,45.287381300448,0.41003394618834
8128,24,24091,24250,Cénac-et-Saint-Julien,cenac et saint julien,44.790251208791,1.1982378021978
8129,24,24094,24380,Chalagnac,chalagnac,45.09150161017,0.68311296610169
8130,24,24095,24800,Chalais,chalais,45.500687425373,0.93763014925373
8131,24,24096,24530,Champagnac-de-Belair,champagnac de belair,45.402053037383,0.69497939252336
8132,24,24097,24320,Champagne-et-Fontaine,champagne et fontaine,45.430480176471,0.332869
8133,24,24098,24750,Champcevinel,champcevinel,45.213105675676,0.72303932432432
8134,24,24100,24360,Champniers-et-Reilhac,champniers et reilhac,45.676930837004,0.71534303964758
8135,24,24101,24470,Champs-Romain,champs romain,45.535815,0.77400903409091
8136,24,24102,24650,Chancelade,chancelade,45.212645890411,0.65723369863014
8137,24,24104,24190,Chantérac,chanterac,45.165917952756,0.44433751968504
8138,24,24105,24320,Chapdeuil,chapdeuil,45.344337659574,0.46645382978723
8139,24,24106,24290,La Chapelle-Aubareil,la chapelle aubareil,45.003254111675,1.1905900507614
8140,24,24107,24530,La Chapelle-Faucher,la chapelle faucher,45.37216190184,0.76192509202454
8141,24,24108,24350,La Chapelle-Gonaguet,la chapelle gonaguet,45.230354868421,0.6207147368421
8142,24,24109,24320,La Chapelle-Grésignac,la chapelle gresignac,45.392201647059,0.33957094117647
8143,24,24110,24320,La Chapelle-Montabourlet,la chapelle montabourlet,45.391180769231,0.45363043956044
8144,24,24111,24300,La Chapelle-Montmoreau,la chapelle montmoreau,45.447422345679,0.64274419753086
8145,24,24113,24390,La Chapelle-Saint-Jean,la chapelle saint jean,45.195258125,1.1621035416667
