,,,,-DOUBS,,,
8573,25,25001,25320,Abbans-Dessous,abbans dessous,47.1328290625,5.87669640625
8574,25,25002,25440,Abbans-Dessus,abbans dessus,47.127860430108,5.8842943010753
8575,25,25003,25340,Abbenans,abbenans,47.496697232143,6.4479850892857
8576,25,25004,25310,Abbévillers,abbevillers,47.425606111111,6.9172992592593
8577,25,25005,25250,Accolans,accolans,47.491217051282,6.5358566666667
8578,25,25006,25360,Adam-lès-Passavant,adam les passavant,47.306939464286,6.3635294642857
8579,25,25007,25530,Adam-lès-Vercel,adam les vercel,47.164761060606,6.3905998484849
8580,25,25008,25750,Aibre,aibre,47.553359428571,6.6977997142857
8581,25,25009,25360,Aïssey,aissey,47.26721272,6.3264984
8582,25,25011,25490,Allenjoie,allenjoie,47.532549565217,6.8910554347826
8583,25,25012,25300,Les Alliés,les allies,46.951687368421,6.4472340789474
8584,25,25013,25550,Allondans,allondans,47.522391951219,6.7508348780488
8585,25,25014,25220,Amagney,amagney,47.303226849315,6.140904109589
8586,25,25015,25330,Amancey,amancey,47.032423554217,6.0709303012048
8587,25,25016,25330,Amathay-Vésigneux,amathay vesigneux,47.020598035714,6.1890297321429
8588,25,25017,25330,Amondans,amondans,47.071015764706,6.0349948235294
8589,25,25018,25340,Anteuil,anteuil,47.373607319588,6.5874572164948
8590,25,25019,25250,Appenans,appenans,47.454084673913,6.5716270652174
8591,25,25020,25400,Arbouans,arbouans,47.489183823529,6.8129991176471
8592,25,25021,25610,Arc-et-Senans,arc et senans,47.03689,5.7611193233083
8593,25,25022,25750,Arcey,arcey,47.519745478261,6.6484613043478
8594,25,25024,25300,Arçon,arcon,46.961958512397,6.3786500826446
8595,25,25025,25520,Arc-sous-Cicon,arc sous cicon,47.050054950495,6.4052963366337
8596,25,25026,25270,Arc-sous-Montenot,arc sous montenot,46.917047368421,6.0033025
8597,25,25027,25720,Arguel,arguel,47.189222777778,6.0077701388889
8598,25,25029,25520,Aubonne,aubonne,47.033217483444,6.3373925827815
8599,25,25030,25170,Audeux,audeux,47.257361555556,5.8688644444444
8600,25,25031,25400,Audincourt,audincourt,47.480940105263,6.849666
8601,25,25032,25110,Autechaux,autechaux,47.381822631579,6.3868514736842
8602,25,25033,25150,Autechaux-Roide,autechaux roide,47.387573372093,6.8079847674419
8603,25,25035,25870,Les Auxons,les auxons,47.2998726,5.9564668
8604,25,25036,25720,Avanne-Aveney,avanne aveney,47.197080229885,5.9588689655172
8605,25,25038,25680,Avilley,avilley,47.427495168539,6.2691102247191
8606,25,25039,25690,Avoudrey,avoudrey,47.139319210526,6.4359657017544
8607,25,25040,25490,Badevel,badevel,47.500799375,6.93737265625
8608,25,25041,25560,Bannans,bannans,46.895597016129,6.2392070967742
8609,25,25042,25210,Le Barboux,le barboux,47.121449809524,6.7168612380952
8610,25,25043,25420,Bart,bart,47.491233548387,6.7668775806452
8611,25,25044,25440,Bartherans,bartherans,47.032869661017,5.9245428813559
8612,25,25045,25640,Battenans-les-Mines,battenans les mines,47.405554383562,6.2709478082192
8613,25,25046,25380,Battenans-Varin,battenans varin,47.242442290076,6.7177105343511
8614,25,25047,25110,Baume-les-Dames,baume les dames,47.353695752212,6.3420444690265
8615,25,25048,25550,Bavans,bavans,47.48187625,6.7295634375
8616,25,25049,25470,Belfays,belfays,47.258662555556,6.9047112222222
8617,25,25050,25500,Le Bélieu,le belieu,47.12883810219,6.6238016058394
8618,25,25051,25380,Belleherbe,belleherbe,47.265065454545,6.6550390909091
8619,25,25052,25530,Belmont,belmont,47.218938690476,6.3648540476191
8620,25,25053,25430,Belvoir,belvoir,47.321777078652,6.6148337078652
8621,25,25054,25420,Berche,berche,47.464916136364,6.7496720454545
8622,25,25055,25410,Berthelange,berthelange,47.201579295775,5.7792550704225
8623,25,25056,25000,Besançon,besancon,47.259314198113,6.0271801886793
8624,25,25057,25200,Bethoncourt,bethoncourt,47.537357833333,6.7995181666667
8625,25,25058,25720,Beure,beure,47.203953030303,6.0045951515151
8626,25,25059,25250,Beutal,beutal,47.476561621622,6.634472972973
8627,25,25060,25520,Bians-les-Usiers,bians les usiers,46.965332926829,6.2774436585366
8628,25,25061,25190,Bief,bief,47.3218,6.772610860215
8629,25,25062,25210,Le Bizot,le bizot,47.130986796117,6.6737974757282
8630,25,25063,25310,Blamont,blamont,47.387249027778,6.8571248611111
8631,25,25065,25640,Blarians,blarians,47.41190862069,6.1790634482759
8632,25,25066,25250,Blussangeaux,blussangeaux,47.437071142857,6.61955
8633,25,25067,25250,Blussans,blussans,47.414845689655,6.6098898275862
8634,25,25070,25330,Bolandoz,bolandoz,47.007759115646,6.1153532653061
8635,25,25071,25230,Bondeval,bondeval,47.433633287671,6.8443868493151
8636,25,25072,25680,Bonnal,bonnal,47.50535734375,6.3621603125
8637,25,25073,25870,Bonnay,bonnay,47.329418030303,6.0461184090909
8638,25,25074,25210,Bonnétage,bonnetage,47.180446940299,6.7413705223881
8639,25,25075,25560,Bonnevaux,bonnevaux,46.814884183007,6.1975360784314
8640,25,25077,25210,La Bosse,la bosse,47.1451347,6.6463577
8641,25,25078,25360,Bouclans,bouclans,47.251653803681,6.2373528220859
8642,25,25079,25560,Boujailles,boujailles,46.882445730994,6.0816813450292
8643,25,25082,25150,Bourguignon,bourguignon,47.411980595238,6.7750190476191
8644,25,25083,25250,Bournois,bournois,47.491447093023,6.4980119767442
8645,25,25084,25320,Boussières,boussieres,47.149421940299,5.9011108955224
8646,25,25085,25560,Bouverans,bouverans,46.831648705036,6.2156607194245
8647,25,25086,25640,Braillans,braillans,47.311546666667,6.0906104166667
8648,25,25087,25340,Branne,branne,47.3800624,6.4745886
8649,25,25088,25640,Breconchaux,breconchaux,47.343851333333,6.2702545
8650,25,25089,25530,Bremondans,bremondans,47.230687578125,6.39851515625
8651,25,25090,25440,Brères,breres,47.059110810811,5.8654410810811
8652,25,25091,25120,Les Bréseux,les breseux,47.276536239316,6.7996133333333
8653,25,25092,25640,La Bretenière,la breteniere,47.380518653846,6.2756701923077
8654,25,25093,25250,Bretigney,bretigney,47.486394,6.63528
8655,25,25094,25110,Bretigney-Notre-Dame,bretigney notre dame,47.30816031746,6.3036823809524
8656,25,25095,25380,Bretonvillers,bretonvillers,47.21333625,6.61642921875
8657,25,25096,25240,Brey-et-Maison-du-Bois,brey et maison du bois,46.746588376068,6.2405872649573
8658,25,25097,25600,Brognard,brognard,47.529086530612,6.8685840816327
8659,25,25098,25440,Buffard,buffard,47.039004333333,5.8249492222222
8660,25,25099,25520,Bugny,bugny,47.001765087719,6.3645847368421
8661,25,25100,25560,Bulle,bulle,46.899190377358,6.2162181132075
8662,25,25101,25170,Burgille,burgille,47.262099517241,5.7793946896552
8663,25,25102,25470,Burnevillers,burnevillers,47.333865729167,7.0188483333333
8664,25,25103,25320,Busy,busy,47.168388571429,5.956473968254
8665,25,25104,25440,By,by,47.012809452055,5.8961867123288
8666,25,25105,25320,Byans-sur-Doubs,byans sur doubs,47.1123027,5.8485227
8667,25,25106,25290,Cademène,cademene,47.093775340909,6.0263984090909
8668,25,25107,25640,Cendrey,cendrey,47.402975813954,6.2449346511628
8669,25,25108,25120,Cernay-l'Église,cernay l eglise,47.24929776,6.83407272
8670,25,25109,25440,Cessey,cessey,47.11495752809,5.9243270786517
8671,25,25110,25300,Chaffois,chaffois,46.913768522727,6.2554398863636
8672,25,25111,25220,Chalèze,chaleze,47.262024776119,6.0911628358209
8673,25,25112,25220,Chalezeule,chalezeule,47.257881454545,6.0659176363636
8674,25,25113,25380,Chamesey,chamesey,47.237316373626,6.6334221978022
8675,25,25114,25190,Chamesol,chamesol,47.342665244755,6.8490332867133
8676,25,25115,25170,Champagney,champagney,47.254548909091,5.8943376363636
8677,25,25116,25360,Champlive,champlive,47.287587080292,6.2437072992701
8678,25,25117,25640,Champoux,champoux,47.34083875,6.1374601785714
8679,25,25119,25170,Champvans-les-Moulins,champvans les moulins,47.255916231884,5.9086163768116
8680,25,25120,25330,Chantrans,chantrans,47.049015724638,6.1702104347826
8681,25,25121,25240,Chapelle-des-Bois,chapelle des bois,46.618818466258,6.1046158895705
8682,25,25122,25270,Chapelle-d'Huin,chapelle d huin,46.936137480916,6.178912519084
8683,25,25124,25470,Charmauvillers,charmauvillers,47.232164716981,6.9156740566038
8684,25,25125,25380,Charmoille,charmoille,47.236419657534,6.6649973287671
8685,25,25126,25440,Charnay,charnay,47.128382771084,5.9490228915663
8686,25,25127,25140,Charquemont,charquemont,47.204604654378,6.8405266359447
8687,25,25129,25290,Chassagne-Saint-Denis,chassagne saint denis,47.085004112903,6.1101078225806
8688,25,25130,25840,Châteauvieux-les-Fossés,chateauvieux les fosses,47.055731666667,6.2012851388889
8689,25,25131,25240,Châtelblanc,chatelblanc,46.662511676647,6.1115540718563
8690,25,25132,25640,Châtillon-Guyotte,chatillon guyotte,47.329244915254,6.1682093220339
8691,25,25133,25870,Châtillon-le-Duc,chatillon le duc,47.306921911765,6.0038114705882
8692,25,25134,25440,Châtillon-sur-Lison,chatillon sur lison,47.0748725,5.9807829166667
8693,25,25136,25170,Chaucenne,chaucenne,47.287538026316,5.8959952631579
8694,25,25138,25190,Les Terres-de-Chaux,les terres de chaux,47.318647391304,6.7310851552795
8695,25,25139,25650,La Chaux,la chaux,47.018013902439,6.4158886178862
8696,25,25140,25340,Chaux-lès-Clerval,chaux les clerval,47.370954769231,6.5076953846154
8697,25,25141,25530,Chaux-lès-Passavant,chaux les passavant,47.237909923077,6.3484803846154
8698,25,25142,25240,Chaux-Neuve,chaux neuve,46.653888984772,6.1476586802031
8699,25,25143,25440,Chay,chay,47.034153285714,5.8637158571429
8700,25,25145,25430,Chazot,chazot,47.3295275,6.540750875
8701,25,25147,25320,Chemaudin et Vaux,chemaudin et vaux,47.22364,5.893205
8702,25,25147,25770,Chemaudin et Vaux,chemaudin et vaux,47.238131,5.889937
8703,25,25148,25500,La Chenalotte,la chenalotte,47.110786229508,6.6851190163934
8704,25,25149,25440,Chenecey-Buillon,chenecey buillon,47.13887826087,5.974390621118
8705,25,25150,25170,Chevigney-sur-l'Ognon,chevigney sur l ognon,47.29422122449,5.8483591836735
8706,25,25151,25530,Chevigney-lès-Vercel,chevigney les vercel,47.166584222222,6.3657136666667
8707,25,25152,25620,La Chevillotte,la chevillotte,47.219467424242,6.1564813636364
8708,25,25153,25870,Chevroz,chevroz,47.329336458333,5.9987466666667
8709,25,25154,25440,Chouzelot,chouzelot,47.121250540541,5.906392972973
