,,,,-DROME,,,
9153,26,26001,26150,Solaure en Diois,solaure en diois,44.710347195767,5.3848694179894
9154,26,26002,26140,Albon,albon,45.238390367647,4.8708656617647
9155,26,26003,26770,Aleyrac,aleyrac,44.497687254902,4.9446543137255
9156,26,26004,26300,Alixan,alixan,44.97961,5.0107287878788
9157,26,26005,26780,Allan,allan,44.487998275862,4.7947047413793
9158,26,26006,26400,Allex,allex,44.780049014084,4.9147852112676
9159,26,26007,26800,Ambonil,ambonil,44.7925375,4.9102797222222
9160,26,26008,26200,Ancône,ancone,44.578947586207,4.7227427586207
9161,26,26009,26140,Andancette,andancette,45.249683043478,4.8109626086957
9162,26,26010,26140,Anneyron,anneyron,45.256866081081,4.8996885810811
9163,26,26011,26400,Aouste-sur-Sye,aouste sur sye,44.706892151163,5.0597426162791
9164,26,26012,26470,Arnayon,arnayon,44.493440093458,5.3135072897196
9165,26,26013,26110,Arpavon,arpavon,44.368055288462,5.2728681730769
9166,26,26014,26260,Arthémonay,arthemonay,45.141813855422,5.063145060241
9167,26,26015,26340,Aubenasson,aubenasson,44.679711046512,5.1454753488372
9168,26,26016,26110,Aubres,aubres,44.392831484375,5.1553771875
9169,26,26017,26340,Aucelon,aucelon,44.619646766467,5.3380601796407
9170,26,26018,26570,Aulan,aulan,44.230270549451,5.4245387912088
9171,26,26019,26340,Aurel,aurel,44.691900169492,5.3033941242938
9172,26,26020,26400,La Répara-Auriples,la repara auriples,44.65481654088,4.9934113207547
9173,26,26021,26400,Autichamp,autichamp,44.678454390244,4.9697237804878
9174,26,26022,26560,Ballons,ballons,44.244340679012,5.6390958024691
9175,26,26023,26300,Barbières,barbieres,44.94214270073,5.1657753284672
9176,26,26024,26120,Barcelonne,barcelonne,44.867563238095,5.0526219047619
9177,26,26025,26310,Barnave,barnave,44.660189732143,5.3755884821429
9178,26,26026,26570,Barret-de-Lioure,barret de lioure,44.18201,5.5111882905983
9179,26,26027,26150,Barsac,barsac,44.725299457364,5.305166124031
9180,26,26028,26260,Bathernay,bathernay,45.185875217391,4.9996145652174
9181,26,26030,26310,La Bâtie-des-Fonds,la batie des fonds,44.514881538462,5.6299437179487
9182,26,26031,26160,La Bâtie-Rolland,la batie rolland,44.556613,4.8657463636364
9183,26,26032,26120,La Baume-Cornillane,la baume cornillane,44.831355827338,5.0434987769784
9184,26,26033,26790,La Baume-de-Transit,la baume de transit,44.328496212121,4.8647110606061
9185,26,26034,26730,La Baume-d'Hostun,la baume d hostun,45.061868529412,5.2202248529412
9186,26,26035,26400,Beaufort-sur-Gervanne,beaufort sur gervanne,44.778792952381,5.1532244761905
9187,26,26036,26310,Beaumont-en-Diois,beaumont en diois,44.564967698413,5.472498968254
9188,26,26037,26760,Beaumont-lès-Valence,beaumont les valence,44.870421862745,4.9478318627451
9189,26,26038,26600,Beaumont-Monteux,beaumont monteux,45.034554594595,4.9306186486487
9190,26,26039,26300,Beauregard-Baret,beauregard baret,45.01119,5.1665746850394
9191,26,26040,26310,Beaurières,beaurieres,44.555701098266,5.5565317341041
9192,26,26041,26240,Beausemblant,beausemblant,45.212247088608,4.8405946835443
