id,department_code,insee_code,zip_code,-ESSONNE,slug,gps_lat,gps_lng
35099,91,91001,91150,Abbéville-la-Rivière,abbeville la riviere,48.340963,2.185324
35100,91,91016,91670,Angerville,angerville,48.303457476636,2.0026428971963
35101,91,91017,91470,Angervilliers,angervilliers,48.591064069767,2.0628713953488
35102,91,91021,91290,Arpajon,arpajon,48.58958915493,2.2437363380282
35103,91,91022,91690,Arrancourt,arrancourt,48.330178588235,2.1546590588235
35104,91,91027,91200,Athis-Mons,athis mons,48.709789855072,2.3871884057971
35105,91,91035,91410,Authon-la-Plaine,authon la plaine,48.458225178571,1.9528558928571
35106,91,91037,91830,Auvernaux,auvernaux,48.528399753086,2.488972962963
35107,91,91038,91580,Auvers-Saint-Georges,auvers saint georges,48.482731347518,2.2265905673759
35108,91,91041,91630,Avrainville,avrainville,48.55372015873,2.2470279365079
35109,91,91044,91160,Ballainvilliers,ballainvilliers,48.674731818182,2.2923222727273
35110,91,91045,91610,Ballancourt-sur-Essonne,ballancourt sur essonne,48.5260025,2.3868110869565
35111,91,91047,91590,Baulne,baulne,48.492858769231,2.3754882307692
35112,91,91064,91570,Bièvres,bievres,48.761115777778,2.2101191111111
35113,91,91067,91150,Blandy,blandy,48.321099272727,2.2578334545454
35114,91,91069,91720,Boigneville,boigneville,48.327507181818,2.3752957272727
35115,91,91075,91150,Bois-Herpin,bois herpin,48.374922833333,2.245157
35116,91,91079,91690,Boissy-la-Rivière,boissy la riviere,48.384899037037,2.1655625925926
35117,91,91080,91590,Boissy-le-Cutté,boissy le cutte,48.4692592,2.2807534666667
35118,91,91081,91870,Boissy-le-Sec,boissy le sec,48.4862188,2.09180432
35119,91,91085,91790,Boissy-sous-Saint-Yon,boissy sous saint yon,48.550911875,2.21102296875
35120,91,91086,91070,Bondoufle,bondoufle,48.614475897436,2.3798287179487
35121,91,91093,91470,Boullay-les-Troux,boullay les troux,48.676804722222,2.0519209722222
35122,91,91095,91850,Bouray-sur-Juine,bouray sur juine,48.514004216867,2.296588313253
35123,91,91097,91800,Boussy-Saint-Antoine,boussy saint antoine,48.691375084746,2.536640338983
35124,91,91098,91150,Boutervilliers,boutervilliers,48.454044166667,2.0521073611111
35125,91,91099,91820,Boutigny-sur-Essonne,boutigny sur essonne,48.431107297297,2.3903517117117
35126,91,91100,91880,Bouville,bouville,48.435228834356,2.2770832515337
35127,91,91103,91220,Brétigny-sur-Orge,bretigny sur orge,48.604367185185,2.2997475555556
35128,91,91105,91650,Breuillet,breuillet,48.574448440367,2.1679639449541
35129,91,91106,91650,Breux-Jouy,breux jouy,48.551870952381,2.1625344047619
35130,91,91109,91150,Brières-les-Scellés,brieres les scelles,48.46328,2.1463316883117
35131,91,91111,91640,Briis-sous-Forges,briis sous forges,48.627177368421,2.1299855789474
35132,91,91112,91150,Brouy,brouy,48.326433421053,2.2939806578947
35133,91,91114,91800,Brunoy,brunoy,48.703826428571,2.5089904285714
35134,91,91115,91680,Bruyères-le-Châtel,bruyeres le chatel,48.593555238095,2.1854546938776
35135,91,91121,91720,Buno-Bonnevaux,buno bonnevaux,48.358220588235,2.3999683823529
35136,91,91122,91440,Bures-sur-Yvette,bures sur yvette,48.69129737931,2.1562737241379
35137,91,91129,91590,Cerny,cerny,48.489375223881,2.310482761194
35138,91,91130,91780,Chalo-Saint-Mars,chalo saint mars,48.42009373494,2.0570211445783
35139,91,91131,91740,Chalou-Moulineux,chalou moulineux,48.383543188406,2.0274695652174
35140,91,91132,91730,Chamarande,chamarande,48.513319402985,2.2247426865672
35141,91,91135,91750,Champcueil,champcueil,48.5058425,2.4485247916667
35142,91,91136,91160,Champlan,champlan,48.70458119403,2.2776579104478
35143,91,91137,91150,Champmotteux,champmotteux,48.344387466667,2.3125434666667
35144,91,91145,91410,Chatignonville,chatignonville,48.469468965517,1.9322093103448
35145,91,91148,91580,Chauffour-lès-Étréchy,chauffour les etrechy,48.505333333333,2.1732534782609
35146,91,91156,91630,Cheptainville,cheptainville,48.544282678571,2.27462
35147,91,91159,91750,Chevannes,chevannes,48.532950434783,2.442018115942
35148,91,91161,91380,Chilly-Mazarin,chilly mazarin,48.704193809524,2.3091949206349
35149,91,91174,91100,Corbeil-Essonnes,corbeil essonnes,48.599551854305,2.4684891390729
35150,91,91175,91410,Corbreuse,corbreuse,48.502140078125,1.962761328125
35151,91,91179,91830,Le Coudray-Montceaux,le coudray montceaux,48.562808235294,2.4902988235294
35152,91,91180,91490,Courances,courances,48.439717764706,2.4860324705882
35153,91,91182,91080,Courcouronnes,courcouronnes,48.623652982456,2.4096557894737
35154,91,91184,91720,Courdimanche-sur-Essonne,courdimanche sur essonne,48.417236904762,2.3631273809524
35155,91,91186,91680,Courson-Monteloup,courson monteloup,48.597983333333,2.1399931578947
35156,91,91191,91560,Crosne,crosne,48.72054125,2.4610301388889
35157,91,91195,91490,Dannemois,dannemois,48.459408571429,2.4683071428571
35158,91,91198,91590,D'Huison-Longueville,d huison longueville,48.457356612903,2.3312895967742
35159,91,91200,91410,Dourdan,dourdan,48.534591280992,1.987070785124
35160,91,91201,91210,Draveil,draveil,48.679748372093,2.4219720930233
35161,91,91204,91540,Écharcon,echarcon,48.573525540541,2.402637972973
35162,91,91207,91520,Égly,egly,48.579304177215,2.2193712658228
35163,91,91215,91860,Épinay-sous-Sénart,epinay sous senart,48.691724186047,2.5205786046512
