,,,,-EURE-ET-LOIRE,,,
10133,28,28001,28410,Abondant,abondant,48.801107754011,1.4142903743316
10134,28,28002,28310,Allaines-Mervilliers,allaines mervilliers,48.18843,1.8271388764045
10135,28,28003,28500,Allainville,allainville,48.721983018868,1.294850754717
10136,28,28004,28150,Allonnes,allonnes,48.331791388889,1.6491936111111
10137,28,28005,28800,Alluyes,alluyes,48.22753615942,1.362684057971
10138,28,28006,28300,Amilly,amilly,48.443413414634,1.4048169512195
10139,28,28007,28260,Anet,anet,48.852263663366,1.4431148514851
10140,28,28008,28170,Ardelles,ardelles,48.546143896104,1.1786932467533
10141,28,28009,28700,Ardelu,ardelu,48.356703529412,1.9178185294118
10142,28,28010,28480,Argenvilliers,argenvilliers,48.274324591837,0.96734326530612
10143,28,28012,28220,Commune nouvelle d'Arrou,commune nouvelle d arrou,48.0141712,1.2404436
10144,28,28012,28290,Commune nouvelle d'Arrou,commune nouvelle d arrou,48.097701,1.1228689
10145,28,28013,28700,Aunay-sous-Auneau,aunay sous auneau,48.440904742268,1.8178241237113
10146,28,28014,28500,Aunay-sous-Crécy,aunay sous crecy,48.65751525641,1.3033535897436
10147,28,28015,28700,Auneau-Bleury-Saint-Symphorien,auneau bleury saint symphorien,48.493759489796,1.759039744898
10148,28,28016,28330,Les Autels-Villevillon,les autels villevillon,48.176973228346,1.0025571653543
10149,28,28018,28330,Authon-du-Perche,authon du perche,48.202193977901,0.88969132596685
10150,28,28019,28140,Baigneaux,baigneaux,48.127642580645,1.8190474193548
10151,28,28021,28120,Bailleau-le-Pin,bailleau le pin,48.356963645833,1.3238985416667
10152,28,28022,28300,Bailleau-l'Évêque,bailleau l eveque,48.488274967742,1.388682
10153,28,28023,28320,Bailleau-Armenonville,bailleau armenonville,48.526825454545,1.6415802840909
10154,28,28024,28630,Barjouville,barjouville,48.4020794,1.4777356
10155,28,28025,28310,Barmainville,barmainville,48.255875384615,1.9574074358974
10156,28,28026,28310,Baudreville,baudreville,48.325575098039,1.8903460784314
10157,28,28027,28330,La Bazoche-Gouet,la bazoche gouet,48.136251415929,0.96280365781711
10158,28,28028,28140,Bazoches-en-Dunois,bazoches en dunois,48.0943571,1.5763088
10159,28,28029,28140,Bazoches-les-Hautes,bazoches les hautes,48.164514516129,1.8155415053763
10160,28,28030,28270,Beauche,beauche,48.678193333333,0.97501150537634
10161,28,28031,28480,Beaumont-les-Autels,beaumont les autels,48.240066208791,0.95543774725275
10162,28,28032,28150,Beauvilliers,beauvilliers,48.300033142857,1.6558995714286
10163,28,28033,28240,Belhomert-Guéhouville,belhomert guehouville,48.501857037037,1.0457844444444
10164,28,28034,28300,Berchères-Saint-Germain,bercheres saint germain,48.53497062069,1.4540707586207
10165,28,28035,28630,Berchères-les-Pierres,bercheres les pierres,48.370082580645,1.5498403225806
10166,28,28036,28260,Berchères-sur-Vesgre,bercheres sur vesgre,48.844415783133,1.5536379518072
10167,28,28037,28270,Bérou-la-Mulotière,berou la mulotiere,48.742766013986,1.0778867132867
10168,28,28038,28330,Béthonvilliers,bethonvilliers,48.231594,0.89921748148148
