,,,,-FINISTERE,,,
10510,29,29001,29560,Argol,argol,48.247350335366,-4.3061342378049
10511,29,29002,29300,Arzano,arzano,47.890537890295,-3.4428920675106
10512,29,29003,29770,Audierne,audierne,48.023048232759,-4.5648685775862
10513,29,29004,29380,Bannalec,bannalec,47.942207472284,-3.6905298891353
10514,29,29005,29300,Baye,baye,47.856973880597,-3.6135229104478
10515,29,29006,29950,Bénodet,benodet,47.879170744681,-4.0767380851064
10516,29,29007,29690,Berrien,berrien,48.401474458599,-3.7615791719745
10517,29,29008,29790,Beuzec-Cap-Sizun,beuzec cap sizun,48.076470150094,-4.5094008818011
10518,29,29010,29400,Bodilis,bodilis,48.517113227848,-4.1172381012658
10519,29,29011,29820,Bohars,bohars,48.429689105691,-4.5216506504065
10520,29,29012,29640,Bolazec,bolazec,48.43695640625,-3.5943684375
10521,29,29013,29690,Botmeur,botmeur,48.372882621951,-3.9119576829268
10522,29,29014,29650,Botsorhel,botsorhel,48.508441462687,-3.6313446567164
10523,29,29015,29860,Bourg-Blanc,bourg blanc,48.492672028985,-4.4975599130435
10524,29,29016,29190,Brasparts,brasparts,48.312170728643,-3.9478033417085
10525,29,29017,29810,Brélès,breles,48.472748232558,-4.6901579069767
10526,29,29018,29690,Brennilis,brennilis,48.358833052632,-3.8584004912281
10527,29,29019,29200,Brest,brest,48.402931706263,-4.5017455939525
10528,29,29020,29510,Briec,briec,48.090923410405,-4.0097625867052
10529,29,29021,29890,Plounéour-Brignogan-plages,plouneour brignogan plages,48.664989666667,-4.3328311212121
10530,29,29022,29570,Camaret-sur-Mer,camaret sur mer,48.267235860465,-4.6021292325581
10531,29,29023,29660,Carantec,carantec,48.674376769231,-3.9103968351648
10532,29,29024,29270,Carhaix-Plouguer,carhaix plouguer,48.26932125,-3.5611771296296
10533,29,29025,29150,Cast,cast,48.15010424581,-4.120960726257
10534,29,29026,29150,Châteaulin,chateaulin,48.203405486726,-4.0777682300885
10535,29,29027,29520,Châteauneuf-du-Faou,chateauneuf du faou,48.192693447099,-3.8297792150171
10536,29,29028,29770,Cléden-Cap-Sizun,cleden cap sizun,48.061624554656,-4.6711324291498
10537,29,29029,29270,Cléden-Poher,cleden poher,48.249923779528,-3.6605253937008
10538,29,29030,29233,Cléder,cleder,48.658668856209,-4.1340200653595
10539,29,29031,29360,Clohars-Carnoët,clohars carnoet,47.786621271676,-3.5690921676301
10540,29,29032,29950,Clohars-Fouesnant,clohars fouesnant,47.898265648855,-4.0799526335878
10541,29,29033,29190,Le Cloître-Pleyben,le cloitre pleyben,48.260361504702,-3.8989835736677
10542,29,29034,29410,Le Cloître-Saint-Thégonnec,le cloitre saint thegonnec,48.461760323625,-3.7953951779935
10543,29,29035,29870,Coat-Méal,coat meal,48.50899361991,-4.5388773755656
10544,29,29036,29530,Collorec,collorec,48.291854712644,-3.7742453256705
10545,29,29037,29120,Combrit,combrit,47.890396360856,-4.1623039143731
10546,29,29038,29450,Commana,commana,48.413311730769,-3.97332375
10547,29,29039,29900,Concarneau,concarneau,47.888109748954,-3.9107827824268
10548,29,29040,29217,Le Conquet,le conquet,48.372570496124,-4.8494434263566
10549,29,29041,29370,Coray,coray,48.070485345345,-3.8569363963964
10550,29,29042,29160,Crozon,crozon,48.239590900595,-4.4982141801189
10551,29,29043,29460,Daoulas,daoulas,48.357289874214,-4.2683883018868
10552,29,29044,29150,Dinéault,dineault,48.222865481728,-4.1611053156146
10553,29,29045,29460,Dirinon,dirinon,48.400817469287,-4.2707787223587
10554,29,29046,29100,Douarnenez,douarnenez,48.084542079832,-4.331664789916
10555,29,29047,29860,Le Drennec,le drennec,48.532547563025,-4.3790013445378
10556,29,29048,29510,Edern,edern,48.111727402235,-3.9648198044693
10557,29,29049,29370,Elliant,elliant,48.008375220588,-3.9119264215686
10558,29,29051,29500,Ergué-Gabéric,ergue gaberic,48.006710122324,-4.0095559633028
10559,29,29053,29590,Le Faou,le faou,48.303600992366,-4.1459756234097
