,,,,-GARD,,,
11164,30,30001,30700,Aigaliers,aigaliers,44.062926344086,4.3082447311828
11165,30,30002,30350,Aigremont,aigremont,43.9618775,4.116553875
11166,30,30003,30220,Aigues-Mortes,aigues mortes,43.554256033058,4.1757996694215
11167,30,30004,30670,Aigues-Vives,aigues vives,43.733701798561,4.1927981294964
11168,30,30005,30760,Aiguèze,aigueze,44.309059146919,4.5242949763033
11169,30,30006,30470,Aimargues,aimargues,43.670892136752,4.205258034188
11170,30,30007,30100,Alès,ales,44.124005765306,4.0894482653061
11171,30,30008,30500,Allègre-les-Fumades,allegre les fumades,44.19520384058,4.2474724637681
11172,30,30009,30770,Alzon,alzon,43.966228552632,3.4475774122807
11173,30,30010,30140,Anduze,anduze,44.05022847619,3.9720122857143
11174,30,30011,30133,Les Angles,les angles,43.944456842105,4.7489806578947
11175,30,30012,30390,Aramon,aramon,43.89745011236,4.6862365168539
11176,30,30013,30210,Argilliers,argilliers,43.979379558824,4.4906766176471
11177,30,30014,30700,Arpaillargues-et-Aureillac,arpaillargues et aureillac,43.997452051282,4.3718338461538
11178,30,30015,30120,Arphy,arphy,44.037502576687,3.5882620858896
11179,30,30016,30120,Arre,arre,43.967193928571,3.5201321428571
11180,30,30017,30770,Arrigas,arrigas,43.989113625,3.485787125
11181,30,30018,30250,Aspères,asperes,43.806238571429,4.0333895918367
11182,30,30019,30250,Aubais,aubais,43.747724303797,4.1468437974683
11183,30,30020,30620,Aubord,aubord,43.750175,4.3142581132075
11184,30,30021,30190,Aubussargues,aubussargues,44.008067936508,4.3222471428571
11185,30,30022,30450,Aujac,aujac,44.3547175,4.0177793229167
11186,30,30023,30250,Aujargues,aujargues,43.7931836,4.1256948
11187,30,30024,30120,Aulas,aulas,43.998576132075,3.587634245283
11188,30,30025,30770,Aumessas,aumessas,44.003394774194,3.5059836774194
11189,30,30026,30120,Avèze,aveze,43.977714811321,3.6007945283019
11190,30,30027,30140,Bagard,bagard,44.068126666667,4.0445643859649
11191,30,30028,30200,Bagnols-sur-Cèze,bagnols sur ceze,44.159423475936,4.6235529411765
11192,30,30029,30430,Barjac,barjac,44.308374634146,4.3411925
11193,30,30030,30700,Baron,baron,44.054111125,4.281416
11194,30,30031,30330,La Bastide-d'Engras,la bastide d engras,44.099611186441,4.4810774576271
11195,30,30032,30300,Beaucaire,beaucaire,43.795405460993,4.6057909929078
11196,30,30033,30640,Beauvoisin,beauvoisin,43.699284193548,4.3204524193548
11197,30,30034,30127,Bellegarde,bellegarde,43.7465965625,4.49171234375
11198,30,30035,30580,Belvézet,belvezet,44.091376756757,4.352204054054
11199,30,30036,30620,Bernis,bernis,43.770671,4.28435045
11200,30,30037,30160,Bessèges,besseges,44.291745792683,4.1088482317073
11201,30,30038,30120,Bez-et-Esparon,bez et esparon,43.97707969697,3.5299264646465
11202,30,30039,30320,Bezouce,bezouce,43.874650816327,4.5019534693878
11203,30,30040,30770,Blandas,blandas,43.914996010638,3.4886640425532
11204,30,30041,30700,Blauzac,blauzac,43.969238989899,4.3772201010101
11205,30,30042,30140,Boisset-et-Gaujac,boisset et gaujac,44.047564845361,4.0331950515464
11206,30,30043,30114,Boissières,boissieres,43.772267804878,4.2276136585366
11207,30,30044,30450,Bonnevaux,bonnevaux,44.369595657895,4.039157368421
11208,30,30045,30160,Bordezac,bordezac,44.3152375,4.0885499193548
11209,30,30046,30190,Boucoiran-et-Nozières,boucoiran et nozieres,43.993287142857,4.1750515584416
