,,,,-GERS,,,
12111,32,32001,32290,Aignan,aignan,43.692202905405,0.08461317567568
12112,32,32002,32270,Ansan,ansan,43.685355617978,0.78363921348315
12113,32,32003,32360,Antras,antras,43.729109793814,0.44409257731959
12114,32,32004,32720,Arblade-le-Bas,arblade le bas,43.705067075472,-0.1738908490566
12115,32,32005,32110,Arblade-le-Haut,arblade le haut,43.741590810811,-0.06455743243243
12116,32,32007,32430,Ardizas,ardizas,43.725399340659,0.99825846153846
12117,32,32008,32230,Armentieux,armentieux,43.523284102564,0.099445
12118,32,32009,32230,Armous-et-Cau,armous et cau,43.573229059829,0.18826290598291
12119,32,32010,32140,Arrouède,arrouede,43.361378762887,0.58258711340206
12120,32,32012,32270,Aubiet,aubiet,43.652556118143,0.78764075949367
12121,32,32013,32000,Auch,auch,43.662191444142,0.57394656675749
12122,32,32014,32120,Augnax,augnax,43.726523174603,0.77702984126984
12123,32,32015,32300,Aujan-Mournède,aujan mournede,43.377694444444,0.50035376068376
12124,32,32016,32600,Auradé,aurade,43.562603838863,1.0651883412322
12125,32,32017,32400,Aurensan,aurensan,43.6204676,-0.2065824
12126,32,32018,32450,Aurimont,aurimont,43.5676276,0.8266276
12127,32,32019,32550,Auterive,auterive,43.577136036036,0.63241405405405
12128,32,32020,32170,Aux-Aussat,aux aussat,43.442497676056,0.26546802816901
12129,32,32021,32120,Avensac,avensac,43.830064923077,0.90692092307692
12130,32,32022,32290,Avéron-Bergelle,averon bergelle,43.761571542857,0.06610154285714
12131,32,32023,32380,Avezan,avezan,43.881341914894,0.79621872340426
12132,32,32024,32410,Ayguetinte,ayguetinte,43.832514957265,0.41934555555556
12133,32,32025,32800,Ayzieu,ayzieu,43.862425824176,-0.02317697802198
12134,32,32026,32120,Bajonnette,bajonnette,43.812177831325,0.76584951807229
12135,32,32027,32720,Barcelonne-du-Gers,barcelonne du gers,43.689850855019,-0.21362379182156
12136,32,32028,32170,Barcugnan,barcugnan,43.375404642857,0.39732714285714
12137,32,32029,32350,Barran,barran,43.624881788991,0.43854834862385
12138,32,32030,32300,Bars,bars,43.512887403846,0.29751028846154
12139,32,32031,32190,Bascous,bascous,43.797328741259,0.13566993006993
12140,32,32032,32320,Bassoues,bassoues,43.571243694779,0.25394919678715
12141,32,32033,32320,Bazian,bazian,43.66928122449,0.31885285714286
12142,32,32034,32170,Bazugues,bazugues,43.452584711538,0.33921375
12143,32,32035,32410,Beaucaire,beaucaire,43.835237705882,0.38018629411765
12144,32,32036,32160,Beaumarchés,beaumarches,43.584629678571,0.10186589285714
12145,32,32037,32100,Beaumont,beaumont,43.936264842767,0.29421496855346
12146,32,32038,32600,Beaupuy,beaupuy,43.644238717949,1.0118370512821
12147,32,32039,32730,Beccas,beccas,43.430602903226,0.15378709677419
12148,32,32040,32450,Bédéchan,bedechan,43.573396761905,0.79175342857143
12149,32,32041,32140,Bellegarde,bellegarde,43.43044975,0.63312535
12150,32,32042,32300,Belloc-Saint-Clamens,belloc saint clamens,43.458594527027,0.43754425675676
12151,32,32043,32190,Belmont,belmont,43.69022382199,0.24311701570681
12152,32,32044,32100,Béraut,beraut,43.92469755102,0.40411081632653
12153,32,32045,32300,Berdoues,berdoues,43.469602461538,0.40094796153846
12154,32,32046,32400,Bernède,bernede,43.670500952381,-0.22155214285714
12155,32,32047,32480,Berrac,berrac,44.008921981982,0.55101720720721
12156,32,32048,32420,Betcave-Aguin,betcave aguin,43.445665964912,0.6788351754386
12157,32,32049,32110,Bétous,betous,43.719012413793,0.02210155172414
12158,32,32050,32730,Betplan,betplan,43.4200485,0.21116766666667
12159,32,32051,32130,Bézéril,bezeril,43.534284954955,0.88057333333333
12160,32,32052,32310,Bezolles,bezolles,43.819354409449,0.35591763779528
12161,32,32053,32140,Bézues-Bajon,bezues bajon,43.388432905983,0.60411376068376
12162,32,32054,32350,Biran,biran,43.693121087719,0.41221884210526
12163,32,32055,32380,Bivès,bives,43.831534140127,0.80973910828025
12164,32,32056,32270,Blanquefort,blanquefort,43.674603709677,0.80781274193548
12165,32,32057,32100,Blaziert,blaziert,43.923997934783,0.48519086956522
12166,32,32058,32230,Blousson-Sérian,blousson serian,43.459021764706,0.19378282352941
12167,32,32059,32410,Bonas,bonas,43.779782777778,0.4026187037037
12168,32,32060,32550,Boucagnères,boucagneres,43.562297699115,0.61937230088496
12169,32,32061,32450,Boulaur,boulaur,43.550275619835,0.7713167768595
12170,32,32062,32370,Bourrouillan,bourrouillan,43.828476477987,-0.00698081761006
12171,32,32063,32290,Bouzon-Gellenave,bouzon gellenave,43.688797623318,0.02279295964126
12172,32,32064,32800,Bretagne-d'Armagnac,bretagne d armagnac,43.893123193717,0.1403512565445
12173,32,32065,32350,Le Brouilh-Monbert,le brouilh monbert,43.659335384615,0.39790215384615
12174,32,32066,32500,Brugnens,brugnens,43.843672919708,0.72379562043796
12175,32,32067,32140,Cabas-Loumassès,cabas loumasses,43.355320886076,0.60862367088608
12176,32,32068,32380,Cadeilhan,cadeilhan,43.831170190476,0.7710080952381
12177,32,32069,32220,Cadeillan,cadeillan,43.422760471698,0.84240849056604
12178,32,32070,32400,Cahuzac-sur-Adour,cahuzac sur adour,43.638435166667,-0.02648616666667
12179,32,32071,32190,Caillavet,caillavet,43.704644076087,0.3378064673913
12180,32,32072,32190,Callian,callian,43.632629111111,0.26426122222222
12181,32,32073,32800,Campagne-d'Armagnac,campagne d armagnac,43.863842391304,0.00667333333333
12182,32,32074,32400,Cannet,cannet,43.61418398374,-0.05945008130081
12183,32,32075,32100,Cassaigne,cassaigne,43.903134867257,0.34394469026549
12184,32,32076,32450,Castelnau-Barbarens,castelnau barbarens,43.57910199115,0.72031305309734
12185,32,32077,32320,Castelnau-d'Anglès,castelnau d angles,43.617241965812,0.29743051282051
12186,32,32078,32500,Castelnau-d'Arbieu,castelnau d arbieu,43.884458671329,0.68140447552448
12187,32,32079,32250,Castelnau d'Auzan Labarrère,castelnau d auzan labarrere,43.959931,0.146447
12188,32,32079,32440,Castelnau d'Auzan Labarrère,castelnau d auzan labarrere,43.9531689,0.102718
12189,32,32080,32100,Castelnau-sur-l'Auvignon,castelnau sur l auvignon,43.966411136364,0.46941704545455
12190,32,32081,32290,Castelnavet,castelnavet,43.671645068493,0.13519143835616
12191,32,32082,32700,Castéra-Lectourois,castera lectourois,43.99306477551,0.60396779591837
12192,32,32083,32410,Castéra-Verduzan,castera verduzan,43.803136588235,0.43126729411765
12193,32,32084,32380,Castéron,casteron,43.90385122449,0.87224867346939
12194,32,32085,32340,Castet-Arrouy,castet arrouy,43.981936307692,0.72584143589744
12195,32,32086,32170,Castex,castex,43.382484505495,0.31108428571429
12196,32,32087,32240,Castex-d'Armagnac,castex d armagnac,43.87050479798,-0.1716745959596
12197,32,32088,32190,Castillon-Debats,castillon debats,43.732411569966,0.21862109215017
12198,32,32089,32360,Castillon-Massas,castillon massas,43.712918717949,0.54222794871795
12199,32,32090,32490,Castillon-Savès,castillon saves,43.563310310078,0.98751612403101
12200,32,32091,32810,Castin,castin,43.693932568807,0.53848779816514
12201,32,32092,32200,Catonvielle,catonvielle,43.657311698113,0.95905905660377
12202,32,32093,32400,Caumont,caumont,43.691090916031,-0.11032732824427
12203,32,32094,32110,Caupenne-d'Armagnac,caupenne d armagnac,43.786371126761,-0.06905037558685
12204,32,32095,32100,Caussens,caussens,43.946913272727,0.44116609090909
12205,32,32096,32150,Cazaubon,cazaubon,43.917762089202,-0.03973887323944
12206,32,32097,32190,Cazaux-d'Anglès,cazaux d angles,43.657671868132,0.25970428571429
12207,32,32098,32130,Cazaux-Savès,cazaux saves,43.545628953488,0.97917244186046
12208,32,32099,32230,Cazaux-Villecomtal,cazaux villecomtal,43.449347282609,0.1737475
12209,32,32100,32800,Cazeneuve,cazeneuve,43.890950374332,0.16093379679144
12210,32,32101,32500,Céran,ceran,43.813929924242,0.70004613636364
12211,32,32102,32410,Cézan,cezan,43.800761775701,0.5022308411215
12212,32,32103,32140,Chélan,chelan,43.352210322581,0.54640741935484
12213,32,32104,32300,Clermont-Pouyguillès,clermont pouyguilles,43.476453413174,0.5220748502994
12214,32,32105,32600,Clermont-Savès,clermont saves,43.620926746988,1.0149069879518
12215,32,32106,32430,Cologne,cologne,43.71984,0.97218925
12216,32,32107,32100,Condom,condom,43.968455278351,0.37177663917526
12217,32,32108,32400,Corneillan,corneillan,43.655629894737,-0.18570926315789
12218,32,32109,32160,Couloumé-Mondebat,couloume mondebat,43.634050909091,0.11562793939394
12219,32,32110,32330,Courrensan,courrensan,43.838482591241,0.2447
12220,32,32111,32230,Courties,courties,43.573936024096,0.15240469879518
12221,32,32112,32270,Crastes,crastes,43.716708918919,0.72628013513514
12222,32,32113,32110,Cravencères,cravenceres,43.776941328125,0.029341015625
12223,32,32114,32300,Cuélas,cuelas,43.353234367816,0.44813540229885
12224,32,32115,32190,Dému,demu,43.761126097561,0.16995272357724
12225,32,32116,32170,Duffort,duffort,43.340870267857,0.42571419642857
12226,32,32117,32810,Duran,duran,43.672680526316,0.56254328947368
12227,32,32118,32260,Durban,durban,43.537126556291,0.57024516556291
12228,32,32119,32800,Eauze,eauze,43.860995177453,0.10211388308977
12229,32,32120,32430,Encausse,encausse,43.692761267606,1.0328394366197
12230,32,32121,32600,Endoufielle,endoufielle,43.551949067358,1.0250295854922
12231,32,32122,32140,Esclassan-Labastide,esclassan labastide,43.41922728,0.54845032
12232,32,32123,32200,Escornebœuf,escorneboeuf,43.648821190476,0.9088523015873
12233,32,32124,32220,Espaon,espaon,43.430402119205,0.86904218543046
12234,32,32125,32370,Espas,espas,43.776956732026,0.08691294117647
12235,32,32126,32170,Estampes,estampes,43.403169939024,0.27964213414634
12236,32,32127,32240,Estang,estang,43.872352294372,-0.10523666666667
12237,32,32128,32300,Estipouy,estipouy,43.548775734266,0.39128237762238
12238,32,32129,32380,Estramiac,estramiac,43.834158923077,0.84441615384615
12239,32,32130,32450,Faget-Abbatial,faget abbatial,43.502138730159,0.6918626984127
12240,32,32131,32340,Flamarens,flamarens,44.019248909091,0.79457536363636
12241,32,32132,32500,Fleurance,fleurance,43.838018714286,0.64521878571429
12242,32,32133,32250,Fourcès,fources,43.996825802469,0.23113839506173
12243,32,32134,32490,Frégouville,fregouville,43.57814480315,0.95384267716535
