,,,,-GIRONDE,,,
12574,33,33001,33230,Abzac,abzac,45.009858888889,-0.12399492063492
12575,33,33002,33124,Aillas,aillas,44.48429739777,-0.06988486988848
12576,33,33003,33440,Ambarès-et-Lagrave,ambares et lagrave,44.938272923077,-0.49960007692308
12577,33,33004,33810,Ambès,ambes,45.010558421053,-0.54849552631579
12578,33,33005,33510,Andernos-les-Bains,andernos les bains,44.751153965517,-1.0977759482759
12579,33,33006,33390,Anglade,anglade,45.205737065217,-0.63342565217391
12580,33,33007,33640,Arbanats,arbanats,44.672301333333,-0.39558933333333
12581,33,33008,33760,Arbis,arbis,44.667003884298,-0.25866082644628
12582,33,33009,33120,Arcachon,arcachon,44.655397346939,-1.1725906122449
12583,33,33010,33460,Arcins,arcins,45.075654326923,-0.71037298076923
12584,33,33011,33740,Arès,ares,44.770956347826,-1.1167720869565
12585,33,33012,33460,Arsac,arsac,45.002367956989,-0.69208774193548
12586,33,33013,33370,Artigues-près-Bordeaux,artigues pres bordeaux,44.859530675676,-0.48918054054054
12587,33,33014,33570,Les Artigues-de-Lussac,les artigues de lussac,44.970661084337,-0.13227265060241
12588,33,33015,33500,Arveyres,arveyres,44.882097297297,-0.28495171171171
12589,33,33016,33240,Asques,asques,44.95043375,-0.41910125
12590,33,33017,33430,Aubiac,aubiac,44.47100326087,-0.24750956521739
12591,33,33018,33240,Val de Virvée,val de virvee,45.020669587629,-0.38375716494845
12592,33,33019,33980,Audenge,audenge,44.697869754601,-1.003109202454
12593,33,33020,33790,Auriolles,auriolles,44.737470319149,0.04328074468085
12594,33,33021,33124,Auros,auros,44.507216335404,-0.1598
12595,33,33022,33480,Avensan,avensan,45.013339591837,-0.76866044217687
12596,33,33023,33640,Ayguemorte-les-Graves,ayguemorte les graves,44.703547014925,-0.48383343283582
12597,33,33024,33190,Bagas,bagas,44.62109225,-0.051293
12598,33,33025,33760,Baigneaux,baigneaux,44.724725454545,-0.18512929292929
12599,33,33026,33730,Balizac,balizac,44.489240428571,-0.45195038095238
12600,33,33027,33190,Barie,barie,44.568457472527,-0.11525527472527
12601,33,33028,33750,Baron,baron,44.827547083333,-0.31852510416667
12602,33,33029,33114,Le Barp,le barp,44.636917238095,-0.79430095238095
12603,33,33030,33720,Barsac,barsac,44.5987131,-0.3236554
12604,33,33031,33190,Bassanne,bassanne,44.561255692308,-0.09245184615385
12605,33,33032,33530,Bassens,bassens,44.909088888889,-0.5207080952381
12606,33,33033,33880,Baurech,baurech,44.731596962025,-0.43228164556962
12607,33,33034,33230,Bayas,bayas,45.061805821918,-0.20881260273973
12608,33,33035,33710,Bayon-sur-Gironde,bayon sur gironde,45.042843922652,-0.61367276243094
12609,33,33036,33430,Bazas,bazas,44.445364541833,-0.20895657370518
12610,33,33037,33640,Beautiran,beautiran,44.700596263736,-0.46116065934066
12611,33,33038,33340,Bégadan,begadan,45.36744023622,-0.88628937007874
12612,33,33039,33130,Bègles,begles,44.797848333333,-0.54923416666667
12613,33,33040,33410,Béguey,beguey,44.648186315789,-0.32268087719298
12614,33,33042,33830,Belin-Béliet,belin beliet,44.484176141079,-0.76995302904564
12615,33,33043,33760,Bellebat,bellebat,44.739359152542,-0.22285288135593
12616,33,33044,33760,Bellefond,bellefond,44.7682372,-0.17357133333333
12617,33,33045,33350,Belvès-de-Castillon,belves de castillon,44.878086131387,-0.02663350364964
12618,33,33046,33430,Bernos-Beaulac,bernos beaulac,44.363666769231,-0.26195969230769
12619,33,33047,33390,Berson,berson,45.115082553191,-0.57879957446809
12620,33,33048,33124,Berthez,berthez,44.484030173913,-0.13143226086957
12621,33,33049,33750,Beychac-et-Caillau,beychac et caillau,44.869031888112,-0.37406636363636
12622,33,33050,33210,Bieujac,bieujac,44.53788576087,-0.15643543478261
12623,33,33051,33380,Biganos,biganos,44.649066567164,-0.96619337313433
12624,33,33052,33500,Les Billaux,les billaux,44.96085115942,-0.24266869565217
12625,33,33053,33430,Birac,birac,44.413823801653,-0.1488594214876
12626,33,33054,33190,Blaignac,blaignac,44.549828333333,-0.05452423076923
12627,33,33055,33340,Blaignan,blaignan,45.32198,-0.86585515463917
12628,33,33056,33290,Blanquefort,blanquefort,44.91674406015,-0.60576691729323
12629,33,33057,33540,Blasimon,blasimon,44.753105492228,-0.08802937823834
12630,33,33058,33390,Blaye,blaye,45.133618247012,-0.67150442231076
12631,33,33059,33670,Blésignac,blesignac,44.782143797468,-0.25513797468354
12632,33,33060,33210,Bommes,bommes,44.552649390244,-0.34583256097561
12633,33,33061,33370,Bonnetan,bonnetan,44.820089625,-0.4125085
12634,33,33062,33910,Bonzac,bonzac,45.008087205882,-0.22196647058824
12635,33,33063,33000,Bordeaux,bordeaux,44.8350088,-0.587269
12636,33,33063,33100,Bordeaux,bordeaux,44.8445542,-0.5494198
12637,33,33063,33200,Bordeaux,bordeaux,44.8535732,-0.6156794
12638,33,33063,33300,Bordeaux,bordeaux,44.8772685,-0.554149
12639,33,33063,33800,Bordeaux,bordeaux,44.8257911,-0.5588787
12640,33,33064,33350,Bossugan,bossugan,44.791902816901,-0.05065281690141
12641,33,33065,33270,Bouliac,bouliac,44.818857160494,-0.49818234567901
12642,33,33066,33190,Bourdelles,bourdelles,44.559718648649,0.00923918918919
12643,33,33067,33710,Bourg,bourg,45.045969655172,-0.55042609195402
12644,33,33068,33113,Bourideys,bourideys,44.377135180723,-0.44844807228916
12645,33,33069,33110,Le Bouscat,le bouscat,44.868927755102,-0.60389714285714
12646,33,33070,33480,Brach,brach,45.0468521875,-0.95405625
12647,33,33071,33420,Branne,branne,44.828198,-0.182122
12648,33,33072,33124,Brannens,brannens,44.521818333333,-0.15409607843137
12649,33,33073,33820,Braud-et-Saint-Louis,braud et saint louis,45.255385402844,-0.66618857819905
12650,33,33074,33124,Brouqueyran,brouqueyran,44.487175934066,-0.17482901098901
12651,33,33075,33520,Bruges,bruges,44.886305652174,-0.60846173913043
12652,33,33076,33720,Budos,budos,44.541595327103,-0.40510654205607
12653,33,33077,33650,Cabanac-et-Villagrains,cabanac et villagrains,44.599046082474,-0.543765
12654,33,33078,33420,Cabara,cabara,44.829596458333,-0.16091208333333
12655,33,33079,33750,Cadarsac,cadarsac,44.86164275,-0.28642875
12656,33,33080,33140,Cadaujac,cadaujac,44.747856585366,-0.53059195121951
12657,33,33081,33410,Cadillac,cadillac,44.642954050633,-0.30688101265823
12658,33,33082,33240,Cadillac-en-Fronsadais,cadillac en fronsadais,44.96432983871,-0.3713264516129
12659,33,33083,33750,Camarsac,camarsac,44.827286969697,-0.36493272727273
12660,33,33084,33880,Cambes,cambes,44.739949322034,-0.45803694915254
12661,33,33085,33360,Camblanes-et-Meynac,camblanes et meynac,44.76576440678,-0.47736813559322
12662,33,33086,33420,Camiac-et-Saint-Denis,camiac et saint denis,44.798509101124,-0.29102
12663,33,33087,33190,Camiran,camiran,44.633378965517,-0.06528597701149
12664,33,33088,33660,Camps-sur-l'Isle,camps sur l isle,45.01758877551,-0.03422204081633
12665,33,33089,33390,Campugnan,campugnan,45.180439059829,-0.56182735042735
12666,33,33090,33610,Canéjan,canejan,44.758971785714,-0.65306023809524
12667,33,33092,33760,Cantois,cantois,44.6932484375,-0.21628645833333
12668,33,33093,33550,Capian,capian,44.714776280488,-0.33480323170732
12669,33,33094,33220,Caplong,caplong,44.768363660714,0.14493526785714
12670,33,33095,33840,Captieux,captieux,44.293622835821,-0.27469104477612
12671,33,33096,33560,Carbon-Blanc,carbon blanc,44.901772916667,-0.50027416666667
12672,33,33097,33121,Carcans,carcans,45.090327125,-1.053675
12673,33,33098,33410,Cardan,cardan,44.682407659574,-0.32361106382979
12674,33,33099,33360,Carignan-de-Bordeaux,carignan de bordeaux,44.807963414634,-0.47175959349593
12675,33,33100,33390,Cars,cars,45.128683482143,-0.61806080357143
12676,33,33101,33390,Cartelègue,cartelegue,45.18697446281,-0.57871504132231
12677,33,33102,33190,Casseuil,casseuil,44.590100729167,-0.11835729166667
12678,33,33103,33540,Castelmoron-d'Albret,castelmoron d albret,44.679311,-0.011582
12679,33,33104,33480,Castelnau-de-Médoc,castelnau de medoc,45.009078309353,-0.80607215827338
12680,33,33105,33540,Castelviel,castelviel,44.666971485149,-0.15253158415842
12681,33,33106,33210,Castets et Castillon,castets et castillon,44.556191242604,-0.13630568047337
12682,33,33108,33350,Castillon-la-Bataille,castillon la bataille,44.864461503759,-0.02284631578947
12683,33,33109,33640,Castres-Gironde,castres gironde,44.6918952,-0.4568544
12684,33,33111,33490,Caudrot,caudrot,44.586550571429,-0.14655038095238
12685,33,33112,33540,Caumont,caumont,44.696415542169,-0.01275108433735
12686,33,33113,33690,Cauvignac,cauvignac,44.41525875,-0.06974276785714
12687,33,33114,33620,Cavignac,cavignac,45.096598521739,-0.37704747826087
12688,33,33115,33113,Cazalis,cazalis,44.319943823529,-0.40707990196078
12689,33,33116,33430,Cazats,cazats,44.473210762712,-0.19944322033898
12690,33,33117,33790,Cazaugitat,cazaugitat,44.715357808219,0.01269020547945
12691,33,33118,33360,Cénac,cenac,44.787098380952,-0.4581040952381
12692,33,33119,33150,Cenon,cenon,44.85490877551,-0.52312857142857
12693,33,33120,33720,Cérons,cerons,44.627614761905,-0.34046761904762
12694,33,33121,33760,Cessac,cessac,44.740811012658,-0.1826482278481
12695,33,33122,33610,Cestas,cestas,44.736160895522,-0.68935552238806
12696,33,33123,33620,Cézac,cezac,45.086319676259,-0.42978255395683
12697,33,33124,33230,Chamadelle,chamadelle,45.098240245399,-0.08747662576687
12698,33,33125,33250,Cissac-Médoc,cissac medoc,45.222807169811,-0.84493198113208
12699,33,33126,33920,Civrac-de-Blaye,civrac de blaye,45.108529431818,-0.46023477272727
12700,33,33127,33350,Civrac-sur-Dordogne,civrac sur dordogne,44.829840714286,-0.07638
12701,33,33128,33340,Civrac-en-Médoc,civrac en medoc,45.341184615385,-0.899837
12702,33,33129,33540,Cleyrac,cleyrac,44.717792839506,-0.03848814814815
12703,33,33130,33210,Coimères,coimeres,44.504843505155,-0.21070175257732
12704,33,33131,33540,Coirac,coirac,44.686088072289,-0.17162301204819
12705,33,33132,33710,Comps,comps,45.0664,-0.59604
12706,33,33133,33890,Coubeyrac,coubeyrac,44.783883486239,0.0567528440367
12707,33,33134,33340,Couquèques,couqueques,45.343926493506,-0.84342545454545
12708,33,33135,33760,Courpiac,courpiac,44.75674,-0.1849029787234
12709,33,33136,33580,Cours-de-Monségur,cours de monsegur,44.655325172414,0.13122494252874
12710,33,33137,33690,Cours-les-Bains,cours les bains,44.378267375887,-0.00672695035461
12711,33,33138,33230,Coutras,coutras,45.037162723881,-0.1006372761194
12712,33,33139,33580,Coutures,coutures,44.6520428,0.03149488
12713,33,33140,33670,Créon,creon,44.772024901961,-0.34433107843137
12714,33,33141,33750,Croignon,croignon,44.823183673469,-0.34875224489796
12715,33,33142,33620,Cubnezais,cubnezais,45.073531557377,-0.42020860655738
12716,33,33143,33240,Cubzac-les-Ponts,cubzac les ponts,44.974095714286,-0.44098125
12717,33,33144,33430,Cudos,cudos,44.373632990654,-0.18222591900312
12718,33,33145,33670,Cursan,cursan,44.794768888889,-0.3335687654321
12719,33,33146,33460,Cussac-Fort-Médoc,cussac fort medoc,45.116876875,-0.726465625
12720,33,33147,33420,Daignac,daignac,44.800219224138,-0.24230293103448
12721,33,33148,33420,Dardenac,dardenac,44.784350714286,-0.24175714285714
12722,33,33149,33540,Daubèze,daubeze,44.708439183673,-0.13559418367347
12723,33,33150,33580,Dieulivol,dieulivol,44.675826948052,0.10924149350649
12724,33,33151,33860,Donnezac,donnezac,45.238559902913,-0.44981893203884
12725,33,33152,33410,Donzac,donzac,44.651421264368,-0.25767448275862
12726,33,33153,33350,Doulezon,doulezon,44.790729195402,-0.00207471264368
12727,33,33154,33230,Les Églisottes-et-Chalaures,les eglisottes et chalaures,45.099062096774,-0.03514301075269
12728,33,33155,33840,Escaudes,escaudes,44.318190534759,-0.19787096256684
12729,33,33156,33760,Escoussans,escoussans,44.67395,-0.27546714285714
12730,33,33157,33420,Espiet,espiet,44.79711477707,-0.26301904458599
12731,33,33158,33190,Les Esseintes,les esseintes,44.61037287234,-0.0651285106383
12732,33,33159,33820,Étauliers,etauliers,45.221953283582,-0.5806828358209
12733,33,33160,33220,Eynesse,eynesse,44.817087804878,0.15577105691057
12734,33,33161,33390,Eyrans,eyrans,45.193842427184,-0.60971601941748
12735,33,33162,33320,Eysines,eysines,44.880915747126,-0.64581091954023
12736,33,33163,33760,Faleyras,faleyras,44.762427857143,-0.22719928571429
12737,33,33164,33210,Fargues,fargues,44.535043982301,-0.29103088495575
12738,33,33165,33370,Fargues-Saint-Hilaire,fargues saint hilaire,44.8191457,-0.4385284
12739,33,33166,33230,Le Fieu,le fieu,45.051848258065,-0.02288180645161
12740,33,33167,33270,Floirac,floirac,44.833719636364,-0.51491054545455
12741,33,33168,33350,Flaujagues,flaujagues,44.828648947368,0.02705184210526
12742,33,33169,33190,Floudès,floudes,44.569704202899,-0.06390043478261
12743,33,33170,33190,Fontet,fontet,44.554554516129,-0.02953
12744,33,33171,33190,Fossès-et-Baleyssac,fosses et baleyssac,44.59843172043,0.04984010752688
12745,33,33172,33390,Fours,fours,45.174598823529,-0.63454932773109
12746,33,33173,33570,Francs,francs,44.943442125984,0.00012188976378
12747,33,33174,33126,Fronsac,fronsac,44.924690442478,-0.27955460176991
12748,33,33175,33760,Frontenac,frontenac,44.727685483871,-0.15319935483871
12749,33,33176,33410,Gabarnac,gabarnac,44.6166221,-0.2648045
12750,33,33177,33340,Gaillan-en-Médoc,gaillan en medoc,45.316643839286,-0.98721678571429
12751,33,33178,33430,Gajac,gajac,44.438540923077,-0.13371546153846
12752,33,33179,33133,Galgon,galgon,44.99337944186,-0.27451827906977
12753,33,33180,33430,Gans,gans,44.453236721311,-0.13103073770492
12754,33,33181,33350,Gardegan-et-Tourtirac,gardegan et tourtirac,44.890558228571,-0.00741565714286
12755,33,33182,33710,Gauriac,gauriac,45.060254266212,-0.63715740614334
