,,,,-HERAULT,,,
13116,34,34001,34290,Abeilhan,abeilhan,43.459738021978,3.300940989011
13117,34,34002,34230,Adissan,adissan,43.533851805556,3.4250195833333
13118,34,34003,34300,Agde,agde,43.294808095238,3.4871859863946
13119,34,34004,34210,Agel,agel,43.350381842105,2.8530322807018
13120,34,34005,34190,Agonès,agones,43.901052714286,3.7251524285714
13121,34,34006,34210,Aigne,aigne,43.32517,2.7960460576923
13122,34,34007,34210,Aigues-Vives,aigues vives,43.346649191176,2.8263238235294
13123,34,34008,34600,Les Aires,les aires,43.56754035461,3.056229858156
13124,34,34009,34290,Alignan-du-Vent,alignan du vent,43.463873928571,3.3340219642857
13125,34,34010,34150,Aniane,aniane,43.681090885417,3.5888804166667
13126,34,34011,34150,Arboras,arboras,43.719195765766,3.4786733333333
13127,34,34012,34380,Argelliers,argelliers,43.726428006329,3.6830792721519
13128,34,34013,34800,Aspiran,aspiran,43.568814904459,3.4469129299363
13129,34,34014,34820,Assas,assas,43.711084368932,3.8931881553398
13130,34,34015,34360,Assignan,assignan,43.396490533333,2.8774342666667
13131,34,34016,34230,Aumelas,aumelas,43.570649814815,3.6006255092593
13132,34,34017,34530,Aumes,aumes,43.462441566265,3.4684393975904
13133,34,34018,34480,Autignac,autignac,43.500803673469,3.1630617687075
13134,34,34019,34260,Avène,avene,43.751686277603,3.1019858044164
13135,34,34020,34210,Azillanet,azillanet,43.326751685393,2.7369095505618
13136,34,34021,34360,Babeau-Bouldoux,babeau bouldoux,43.443200925926,2.9038019753086
13137,34,34022,34670,Baillargues,baillargues,43.656769012346,4.007935308642
13138,34,34023,34540,Balaruc-les-Bains,balaruc les bains,43.451979180328,3.6981849180328
13139,34,34024,34540,Balaruc-le-Vieux,balaruc le vieux,43.465322291667,3.6943179166667
13140,34,34025,34290,Bassan,bassan,43.410632613636,3.2522913636364
13141,34,34026,34210,Beaufort,beaufort,43.302852278481,2.7698486075949
13142,34,34027,34160,Beaulieu,beaulieu,43.728254105263,4.0189953684211
13143,34,34028,34600,Bédarieux,bedarieux,43.60681147541,3.1508662295082
13144,34,34029,34230,Bélarga,belarga,43.553599382716,3.4979004938272
13145,34,34030,34360,Berlou,berlou,43.49861751634,2.9456428104575
13146,34,34031,34550,Bessan,bessan,43.35909971831,3.4170898591549
13147,34,34032,34500,Béziers,beziers,43.356315015106,3.2316181873112
13148,34,34033,34160,Boisseron,boisseron,43.753702988506,4.0789782758621
13149,34,34034,34220,Boisset,boisset,43.399121064815,2.6868383796296
13150,34,34035,34150,La Boissière,la boissiere,43.657691171171,3.644937027027
13151,34,34036,34700,Le Bosc,le bosc,43.694455017794,3.3906525266904
13152,34,34037,34760,Boujan-sur-Libron,boujan sur libron,43.378692876712,3.2638997260274
13153,34,34038,34260,Le Bousquet-d'Orb,le bousquet d orb,43.702003435114,3.1478480152672
13154,34,34039,34140,Bouzigues,bouzigues,43.451819047619,3.6595938095238
13155,34,34040,34650,Brenas,brenas,43.641616746032,3.2548988095238
13156,34,34041,34800,Brignac,brignac,43.623420461538,3.4736821538462
13157,34,34042,34190,Brissac,brissac,43.864641784232,3.7100937344398
13158,34,34043,34160,Buzignargues,buzignargues,43.771434754098,3.9953103278689
13159,34,34044,34480,Cabrerolles,cabrerolles,43.527051144578,3.129291626506
13160,34,34045,34800,Cabrières,cabrieres,43.577780769231,3.352213964497
13161,34,34046,34330,Cambon-et-Salvergues,cambon et salvergues,43.623762323232,2.8823597474747
13162,34,34047,34230,Campagnan,campagnan,43.54037,3.4934685074627
13163,34,34048,34160,Campagne,campagne,43.786611395349,4.0350041860465
13164,34,34049,34260,Camplong,camplong,43.684689047619,3.114713537415
13165,34,34050,34130,Candillargues,candillargues,43.613458586957,4.0651561956522
13166,34,34051,34800,Canet,canet,43.597694096386,3.4823804819277
13167,34,34052,34310,Capestang,capestang,43.328606289308,3.0505327672956
13168,34,34053,34600,Carlencas-et-Levas,carlencas et levas,43.624289913043,3.2232609565217
