,,,,-HAUTE-CORSE,,,
10922,2B,2B002,20270,Aghione,aghione,42.107527884615,9.4045619230769
10923,2B,2B003,20244,Aiti,aiti,42.403255607477,9.2304625233645
10924,2B,2B005,20212,Alando,alando,42.309409047619,9.286448
10925,2B,2B007,20224,Albertacce,albertacce,42.317509295302,8.9231531543624
10926,2B,2B009,20270,Aléria,aleria,42.103479205607,9.4893758878505
10927,2B,2B010,20220,Algajola,algajola,42.606024367816,8.8580766666667
10928,2B,2B012,20251,Altiani,altiani,42.21891388535,9.2793536305733
10929,2B,2B013,20212,Alzi,alzi,42.310726229508,9.3111447540984
10930,2B,2B015,20272,Ampriani,ampriani,42.253506031746,9.3567961904762
10931,2B,2B016,20270,Antisanti,antisanti,42.157213951049,9.3865288111888
10932,2B,2B020,20220,Aregno,aregno,42.590490117647,8.8755675882353
10933,2B,2B023,20276,Asco,asco,42.440323465909,9.0059596875
10934,2B,2B025,20225,Avapessa,avapessa,42.560263780488,8.8942813414634
10935,2B,2B029,20253,Barbaggio,barbaggio,42.688141,9.3648358181818
10936,2B,2B030,20228,Barrettali,barrettali,42.87450080402,9.3523433668342
10937,2B,2B033,20200,Bastia,bastia,42.7380984,9.4228263
10938,2B,2B033,20600,Bastia,bastia,42.6605477,9.4228263
10939,2B,2B034,20226,Belgodère,belgodere,42.604885065789,9.0172456578947
10940,2B,2B036,20252,Bigorno,bigorno,42.528456382979,9.3003409574468
10941,2B,2B037,20620,Biguglia,biguglia,42.615700189873,9.4239490506329
10942,2B,2B039,20235,Bisinchi,bisinchi,42.489634831461,9.3187573033708
10943,2B,2B042,20290,Borgo,borgo,42.573570948905,9.44184
10944,2B,2B043,20222,Brando,brando,42.774623046358,9.4615994701987
10945,2B,2B045,20212,Bustanico,bustanico,42.324822347826,9.3069388695652
10946,2B,2B046,20228,Cagnano,cagnano,42.871830322581,9.454857016129
10947,2B,2B047,20224,Calacuccia,calacuccia,42.329968866667,9.021679
10948,2B,2B049,20214,Calenzana,calenzana,42.50754,8.8555569
10949,2B,2B049,20260,Calenzana,calenzana,42.5368416,8.7811645
10950,2B,2B050,20260,Calvi,calvi,42.559207679671,8.7398293429158
10951,2B,2B051,20244,Cambia,cambia,42.369210756303,9.3008057983193
10952,2B,2B052,20229,Campana,campana,42.388143333333,9.3431302777778
10953,2B,2B053,20270,Campi,campi,42.267145882353,9.4212169117647
10954,2B,2B054,20290,Campile,campile,42.494189266055,9.3561868807339
10955,2B,2B055,20252,Campitello,campitello,42.526837878788,9.3245839393939
10956,2B,2B057,20230,Canale-di-Verde,canale di verde,42.266553360656,9.4992641803279
10957,2B,2B058,20217,Canari,canari,42.845486918239,9.340941509434
10958,2B,2B059,20235,Canavaggia,canavaggia,42.502448315789,9.2309674210526
10959,2B,2B063,20229,Carcheto-Brustico,carcheto brustico,42.356772021277,9.362795212766
10960,2B,2B067,20229,Carpineto,carpineto,42.357160422535,9.380338028169
10961,2B,2B068,20244,Carticasi,carticasi,42.3502275,9.30433375
10962,2B,2B069,20237,Casabianca,casabianca,42.445614558824,9.3710283823529
10963,2B,2B072,20215,Casalta,casalta,42.435640444444,9.4227787777778
10964,2B,2B073,20224,Casamaccioli,casamaccioli,42.278277909091,8.9864348636364
10965,2B,2B074,20250,Casanova,casanova,42.26116893617,9.1604862411348
10966,2B,2B075,20270,Casevecchie,casevecchie,42.13424,9.3677128037383
10967,2B,2B077,20213,Castellare-di-Casinca,castellare di casinca,42.467239361702,9.4910495744681
10968,2B,2B078,20212,Castellare-di-Mercurio,castellare di mercurio,42.308266,9.24497525
10969,2B,2B079,20235,Castello-di-Rostino,castello di rostino,42.475796979167,9.2958832291667
10970,2B,2B080,20218,Castifao,castifao,42.525221241611,9.1353908389262
10971,2B,2B081,20218,Castiglione,castiglione,42.408301594203,9.1206073188406
10972,2B,2B082,20218,Castineta,castineta,42.429494589041,9.2640010958904
10973,2B,2B083,20236,Castirla,castirla,42.371621550802,9.1364319786096
10974,2B,2B084,20225,Cateri,cateri,42.569230990991,8.8952861261261
10975,2B,2B086,20238,Centuri,centuri,42.971551755725,9.353567302799
10976,2B,2B087,20221,Cervione,cervione,42.323063680982,9.5068514110429
10977,2B,2B088,20230,Chiatra,chiatra,42.288959262295,9.4903326229508
10978,2B,2B093,20220,Corbara,corbara,42.615508,8.907482
10979,2B,2B093,20256,Corbara,corbara,42.6194115,8.9079782
10980,2B,2B095,20224,Corscia,corscia,42.370952472325,9.0501764206642
10981,2B,2B096,20250,Corte,corte,42.273383367983,9.0857598544699
10982,2B,2B097,20226,Costa,costa,42.57452125,8.9973915
10983,2B,2B101,20237,Croce,croce,42.405878,9.3640255238095
