,,,,-HAUTE-GARONNE,,,
11518,31,31001,31230,Agassac,agassac,43.371914117647,0.88327462184874
11519,31,31002,31550,Aignes,aignes,43.331649009009,1.5875741441441
11520,31,31003,31280,Aigrefeuille,aigrefeuille,43.569090625,1.5831309375
11521,31,31004,31450,Ayguesvives,ayguesvives,43.428680806452,1.5963262903226
11522,31,31005,31420,Alan,alan,43.225228622754,0.93005760479042
11523,31,31006,31460,Albiac,albiac,43.5555915,1.7849215
11524,31,31007,31230,Ambax,ambax,43.3683288,0.936324
11525,31,31008,31230,Anan,anan,43.353773518519,0.81037268518519
11526,31,31009,31510,Antichan-de-Frontignes,antichan de frontignes,42.974130526316,0.67213736842105
11527,31,31010,31110,Antignac,antignac,42.830124883721,0.58888139534884
11528,31,31011,31160,Arbas,arbas,42.995393037975,0.90369493670886
11529,31,31012,31160,Arbon,arbon,42.998675087719,0.73631140350877
11530,31,31013,31210,Ardiège,ardiege,43.063778909091,0.64600418181818
11531,31,31014,31160,Arguenos,arguenos,42.962615890411,0.73524739726027
11532,31,31015,31440,Argut-Dessous,argut dessous,42.89311147541,0.71408262295082
11533,31,31017,31440,Arlos,arlos,42.874743484848,0.69522212121212
11534,31,31018,31360,Arnaud-Guilhem,arnaud guilhem,43.143889669421,0.89999305785124
11535,31,31019,31110,Artigue,artigue,42.827142857143,0.64184714285714
11536,31,31020,31160,Aspet,aspet,43.010831157895,0.805072
11537,31,31021,31800,Aspret-Sarrat,aspret sarrat,43.06760725,0.71932525
11538,31,31022,31140,Aucamville,aucamville,43.672012173913,1.4274250724638
11539,31,31023,31420,Aulon,aulon,43.192108404908,0.81200122699386
11540,31,31024,31190,Auragne,auragne,43.393369042553,1.5033684042553
11541,31,31025,31320,Aureville,aureville,43.480174329897,1.4589804123711
11542,31,31026,31460,Auriac-sur-Vendinelle,auriac sur vendinelle,43.517121982379,1.8280114096916
11543,31,31027,31190,Auribail,auribail,43.347972820513,1.3759121367521
11544,31,31028,31420,Aurignac,aurignac,43.213969326425,0.8690610880829
11545,31,31029,31570,Aurin,aurin,43.533748888889,1.6777702777778
11546,31,31030,31260,Ausseing,ausseing,43.154910641026,1.0328269230769
11547,31,31031,31210,Ausson,ausson,43.091376603774,0.58902471698113
11548,31,31032,31840,Aussonne,aussonne,43.678400208333,1.3327244791667
11549,31,31033,31190,Auterive,auterive,43.361520397727,1.4813
11550,31,31034,31360,Auzas,auzas,43.176094931507,0.89562452054794
11551,31,31035,31320,Auzeville-Tolosane,auzeville tolosane,43.530009666667,1.4918706666667
11552,31,31036,31650,Auzielle,auzielle,43.541323421053,1.5693497368421
11553,31,31037,31290,Avignonet-Lauragais,avignonet lauragais,43.374401394422,1.7724185258964
11554,31,31038,31380,Azas,azas,43.7229565,1.6733363
11555,31,31039,31420,Bachas,bachas,43.246896111111,0.94297555555556
11556,31,31040,31440,Bachos,bachos,42.898850465116,0.60636627906977
11557,31,31041,31510,Bagiry,bagiry,42.981589655172,0.62482689655172
11558,31,31042,31110,Bagnères-de-Luchon,bagneres de luchon,42.750387702128,0.62123523404255
11559,31,31043,31580,Balesta,balesta,43.198030086957,0.56613991304348
11560,31,31044,31130,Balma,balma,43.608581222222,1.5131594444444
11561,31,31045,31510,Barbazan,barbazan,43.029868974359,0.62124743589744
11562,31,31046,31440,Baren,baren,42.867191851852,0.6340062962963
11563,31,31047,31310,Bax,bax,43.226008421053,1.2875605263158
11564,31,31048,31450,Baziège,baziege,43.457969548872,1.6243341353384
11565,31,31049,31380,Bazus,bazus,43.735859047619,1.5221563809524
11566,31,31050,31360,Beauchalot,beauchalot,43.115505128205,0.87005858974359
11567,31,31051,31370,Beaufort,beaufort,43.458379351852,1.1125242592593
11568,31,31052,31870,Beaumont-sur-Lèze,beaumont sur leze,43.378379392265,1.3610126519337
11569,31,31053,31850,Beaupuy,beaupuy,43.651039322034,1.5576337288136
11570,31,31054,31290,Beauteville,beauteville,43.350510125,1.736215
11571,31,31055,31460,Beauville,beauville,43.46711195122,1.7695195121951
11572,31,31056,31700,Beauzelle,beauzelle,43.670451833333,1.3727568333333
11573,31,31057,31450,Belberaud,belberaud,43.507753454545,1.5718381818182
11574,31,31058,31450,Belbèze-de-Lauragais,belbeze de lauragais,43.439675932203,1.5549240677966
11575,31,31059,31260,Belbèze-en-Comminges,belbeze en comminges,43.132167238095,1.0321058095238
11576,31,31060,31540,Bélesta-en-Lauragais,belesta en lauragais,43.438792209302,1.8326245348837
11577,31,31061,31530,Bellegarde-Sainte-Marie,bellegarde sainte marie,43.677303112583,1.0974538410596
11578,31,31062,31480,Bellesserre,bellesserre,43.787230895522,1.1017164179104
11579,31,31063,31420,Benque,benque,43.258900601504,0.9192754887218
11580,31,31064,31110,Benque-Dessous-et-Dessus,benque dessous et dessus,42.81953025641,0.54724205128205
11581,31,31065,31370,Bérat,berat,43.378783100775,1.1718281395349
11582,31,31066,31660,Bessières,bessieres,43.797086083333,1.5881483333333
11583,31,31067,31440,Bezins-Garraux,bezins garraux,42.937212619048,0.70245238095238
11584,31,31068,31110,Billière,billiere,42.815868,0.5285985
11585,31,31069,31700,Blagnac,blagnac,43.639280487805,1.3797474390244
11586,31,31070,31350,Blajan,blajan,43.253717692308,0.64494326923077
11587,31,31071,31390,Bois-de-la-Pierre,bois de la pierre,43.34050287234,1.1660376595745
11588,31,31072,31230,Boissède,boissede,43.407030545455,0.82500818181818
11589,31,31073,31340,Bondigoux,bondigoux,43.8463235,1.5453431
11590,31,31074,31590,Bonrepos-Riquet,bonrepos riquet,43.676966266667,1.6231322666667
11591,31,31075,31470,Bonrepos-sur-Aussonnelle,bonrepos sur aussonnelle,43.546496463415,1.1392064634146
11592,31,31076,31210,Bordes-de-Rivière,bordes de riviere,43.123419101124,0.63772606741573
11593,31,31077,31340,Le Born,le born,43.894825,1.5417401694915
11594,31,31078,31580,Boudrac,boudrac,43.185151961722,0.51503153110048
11595,31,31079,31620,Bouloc,bouloc,43.794940694444,1.4140689583333
11596,31,31080,31350,Boulogne-sur-Gesse,boulogne sur gesse,43.2910925625,0.64545875
11597,31,31081,31110,Bourg-d'Oueil,bourg d oueil,42.860334545455,0.48538714285714
11598,31,31082,31570,Bourg-Saint-Bernard,bourg saint bernard,43.608282643678,1.6997585632184
11599,31,31083,31420,Boussan,boussan,43.240299923664,0.87156511450382
11600,31,31084,31360,Boussens,boussens,43.176064883721,0.95843918604651
11601,31,31085,31160,Boutx,boutx,42.917724,0.716273
11602,31,31085,31440,Boutx,boutx,42.917724,0.716273
11603,31,31086,31420,Bouzin,bouzin,43.188231262136,0.88710970873786
11604,31,31087,31470,Bragayrac,bragayrac,43.489237377049,1.0670556557377
11605,31,31088,31490,Brax,brax,43.612839857143,1.2391078571429
11606,31,31089,31530,Bretx,bretx,43.703683764706,1.1958637647059
11607,31,31090,31480,Brignemont,brignemont,43.770547837838,1.0043991441441
11608,31,31091,31150,Bruguières,bruguieres,43.728888167939,1.4110832824427
11609,31,31092,31440,Burgalays,burgalays,42.887256470588,0.63718039215686
11610,31,31093,31330,Le Burgaud,le burgaud,43.789103043478,1.1468683850932
11611,31,31094,31660,Buzet-sur-Tarn,buzet sur tarn,43.76986994382,1.6167971910112
11612,31,31095,31160,Cabanac-Cazaux,cabanac cazaux,43.037482368421,0.73796289473684
11613,31,31096,31480,Cabanac-Séguenville,cabanac seguenville,43.790765083333,1.02019625
11614,31,31097,31460,Le Cabanial,le cabanial,43.522952708333,1.8686864583333
11615,31,31098,31480,Cadours,cadours,43.726481653543,1.0472962204724
11616,31,31099,31560,Caignac,caignac,43.321343404255,1.706434787234
11617,31,31100,31560,Calmont,calmont,43.287081472393,1.6376280981595
11618,31,31101,31470,Cambernard,cambernard,43.47036925,1.17693875
11619,31,31102,31460,Cambiac,cambiac,43.491531428571,1.7917585714286
11620,31,31103,31310,Canens,canens,43.216582289157,1.3341538554217
11621,31,31104,31410,Capens,capens,43.33399924812,1.2692369172932
11622,31,31105,31460,Caragoudes,caragoudes,43.501116607143,1.7125333928571
11623,31,31106,31460,Caraman,caraman,43.532873196721,1.7489563934426
11624,31,31107,31390,Carbonne,carbonne,43.293911148325,1.2321147368421
11625,31,31108,31350,Cardeilhac,cardeilhac,43.19478,0.6753976875
11626,31,31109,31420,Cassagnabère-Tournas,cassagnabere tournas,43.229905286344,0.79426977973568
11627,31,31110,31260,Cassagne,cassagne,43.120258956522,0.99717869565217
11628,31,31111,31310,Castagnac,castagnac,43.235461714286,1.3430917142857
11629,31,31112,31260,Castagnède,castagnede,43.051348333333,0.97693314814815
11630,31,31113,31320,Castanet-Tolosan,castanet tolosan,43.51216990566,1.5034705660377
11631,31,31114,31160,Castelbiague,castelbiague,43.035074942529,0.92553793103448
11632,31,31115,31230,Castelgaillard,castelgaillard,43.35286965812,0.90387581196581
11633,31,31116,31780,Castelginest,castelginest,43.700134716981,1.4373551886792
11634,31,31117,31180,Castelmaurou,castelmaurou,43.682253846154,1.529846331361
11635,31,31118,31620,Castelnau-d'Estrétefonds,castelnau d estretefonds,43.799688089888,1.3557043820225
11636,31,31119,31430,Castelnau-Picampeau,castelnau picampeau,43.310082056075,1.0160102803738
11637,31,31120,31530,Le Castéra,le castera,43.665957486631,1.1490879679144
11638,31,31121,31350,Castéra-Vignoles,castera vignoles,43.279184333333,0.779391
11639,31,31122,31430,Casties-Labrande,casties labrande,43.3268248,0.9969624
11640,31,31123,31110,Castillon-de-Larboust,castillon de larboust,42.743747674419,0.55594007751938
11641,31,31124,31360,Castillon-de-Saint-Martory,castillon de saint martory,43.136386394231,0.86157269230769
11642,31,31125,31110,Cathervielle,cathervielle,42.818543055556,0.50496722222222
11643,31,31126,31480,Caubiac,caubiac,43.713938571429,1.0760123376623
11644,31,31127,31110,Caubous,caubous,42.848762333333,0.52313666666667
11645,31,31128,31190,Caujac,caujac,43.294465897436,1.4582591025641
11646,31,31129,31110,Cazarilh-Laspènes,cazarilh laspenes,42.802092325581,0.58292465116279
11647,31,31130,31580,Cazaril-Tambourès,cazaril tamboures,43.182427478992,0.54566235294118
11648,31,31131,31160,Cazaunous,cazaunous,42.9880175,0.73432071428571
11649,31,31132,31440,Cazaux-Layrisse,cazaux layrisse,42.871630212766,0.59493893617021
11650,31,31133,31110,Cazeaux-de-Larboust,cazeaux de larboust,42.755136637168,0.53037353982301
11651,31,31134,31420,Cazeneuve-Montaut,cazeneuve montaut,43.182675441176,0.86031808823529
11652,31,31135,31220,Cazères,cazeres,43.216140645161,1.0891387096774
11653,31,31136,31620,Cépet,cepet,43.746281789474,1.4392647368421
11654,31,31137,31290,Cessales,cessales,43.455568709677,1.7449898387097
11655,31,31138,31350,Charlas,charlas,43.234686929825,0.69319552631579
11656,31,31139,31440,Chaum,chaum,42.935938611111,0.66339555555556
11657,31,31140,31160,Chein-Dessus,chein dessus,43.0055514,0.8828105
