,,,,-HAUTE-LOIRE,,,
16303,43,43001,43100,Agnat,agnat,45.341068785425,3.4513295546559
16304,43,43002,43000,Aiguilhe,aiguilhe,45.051465774648,3.8846933802817
16305,43,43003,43270,Allègre,allegre,45.189357440945,3.6888181496063
16306,43,43004,43150,Alleyrac,alleyrac,44.892604535519,3.986618579235
16307,43,43005,43580,Alleyras,alleyras,44.903062,3.6845287142857
16308,43,43006,43380,Ally,ally,45.151977310705,3.3226493994778
16309,43,43007,43200,Araules,araules,45.066389016393,4.1749801092896
16310,43,43008,43490,Arlempdes,arlempdes,44.867555902439,3.9007683902439
16311,43,43009,43380,Arlet,arlet,45.109837467532,3.406442012987
16312,43,43010,43700,Arsac-en-Velay,arsac en velay,44.993438380567,3.9542797975708
16313,43,43011,43380,Aubazat,aubazat,45.123013125,3.4437626442308
16314,43,43012,43110,Aurec-sur-Loire,aurec sur loire,45.36849103321,4.2037692250923
16315,43,43013,43300,Vissac-Auteyrac,vissac auteyrac,45.115745863309,3.6194819064748
16316,43,43014,43450,Autrac,autrac,45.337337201646,3.13121
16317,43,43015,43300,Auvers,auvers,45.000978585366,3.393239902439
16318,43,43016,43390,Auzon,auzon,45.388449086294,3.384343857868
16319,43,43017,43390,Azérat,azerat,45.355096042781,3.403050855615
16320,43,43018,43370,Bains,bains,44.991866773256,3.7684902906977
16321,43,43019,43340,Barges,barges,44.83647442029,3.899015942029
16322,43,43020,43210,Bas-en-Basset,bas en basset,45.3209924,4.0955374
16323,43,43021,43800,Beaulieu,beaulieu,45.139369542857,3.9524301714286
16324,43,43022,43100,Beaumont,beaumont,45.31027974359,3.3298432307692
16325,43,43023,43500,Beaune-sur-Arzon,beaune sur arzon,45.291096178862,3.8151058536585
16326,43,43024,43200,Beaux,beaux,45.192902526316,4.0844374210526
16327,43,43025,43590,Beauzac,beauzac,45.255465789474,4.0886370676692
16328,43,43026,43350,Bellevue-la-Montagne,bellevue la montagne,45.216428652482,3.8145657446808
16329,43,43027,43160,Berbezit,berbezit,45.283738111888,3.5880865034965
16330,43,43028,43200,Bessamorel,bessamorel,45.12804809816,4.0815450306749
16331,43,43029,43170,La Besseyre-Saint-Mary,la besseyre saint mary,44.979046987952,3.4179901807229
16332,43,43030,43350,Blanzac,blanzac,45.110476138614,3.8519462376238
16333,43,43031,43380,Blassac,blassac,45.162261697248,3.383314266055
16334,43,43032,43700,Blavozy,blavozy,45.062216705882,3.970194
16335,43,43033,43450,Blesle,blesle,45.317625012346,3.1698649876543
16336,43,43034,43500,Boisset,boisset,45.314509384615,3.9774389230769
16337,43,43035,43160,Bonneval,bonneval,45.308336683168,3.730256980198
