,,,,-HAUTE-MARNE,,,
19237,52,52001,52340,Ageville,ageville,48.1124236,5.3421013
19238,52,52002,52400,Aigremont,aigremont,48.011833571429,5.7210295238095
19239,52,52003,52700,Aillianville,aillianville,48.336080512821,5.4802016239316
19240,52,52004,52230,Aingoulaincourt,aingoulaincourt,48.457092835821,5.2792246268657
19241,52,52005,52120,Aizanville,aizanville,48.113321956522,4.8921465217391
19242,52,52006,52130,Allichamps,allichamps,48.566026233766,4.8866524675325
19243,52,52007,52110,Ambonville,ambonville,48.315801325301,5.0094014457831
19244,52,52008,52700,Andelot-Blancheville,andelot blancheville,48.235276353791,5.2908359205776
19245,52,52009,52360,Andilly-en-Bassigny,andilly en bassigny,47.926058461538,5.5183116346154
19246,52,52011,52310,Annéville-la-Prairie,anneville la prairie,48.197790133333,5.0887809333333
19247,52,52012,52230,Annonville,annonville,48.387471774194,5.2655962903226
19248,52,52013,52500,Anrosey,anrosey,47.843348768473,5.6584534482759
19249,52,52014,52250,Aprey,aprey,47.774682336957,5.1898466847826
19250,52,52015,52500,Arbigny-sous-Varennes,arbigny sous varennes,47.85967322314,5.6146963636364
19251,52,52016,52160,Arbot,arbot,47.84677012987,5.0201501298701
19252,52,52017,52210,Arc-en-Barrois,arc en barrois,47.954091368421,5.024654
19253,52,52019,52110,Arnancourt,arnancourt,48.351178740741,4.9163479259259
19254,52,52021,52130,Attancourt,attancourt,48.534491946903,4.9385696460177
19255,52,52022,52210,Aubepierre-sur-Aube,aubepierre sur aube,47.910014017857,4.944336875
19256,52,52023,52160,Auberive,auberive,47.779267304786,5.1164505541562
19257,52,52025,52240,Audeloncourt,audeloncourt,48.116585584416,5.5269257142857
19258,52,52027,52190,Aujeurres,aujeurres,47.742083152174,5.1742454347826
19259,52,52028,52160,Aulnoy-sur-Aube,aulnoy sur aube,47.830364576271,5.032561440678
19260,52,52029,52300,Autigny-le-Grand,autigny le grand,48.472832307692,5.1443635897436
19261,52,52030,52300,Autigny-le-Petit,autigny le petit,48.480481702128,5.1467657446808
19262,52,52031,52120,Autreville-sur-la-Renne,autreville sur la renne,48.116435,4.977649
19263,52,52031,52330,Autreville-sur-la-Renne,autreville sur la renne,48.116435,4.977649
19264,52,52033,52140,Avrecourt,avrecourt,47.967754705882,5.5344514705882
19265,52,52034,52130,Bailly-aux-Forges,bailly aux forges,48.456964210526,4.9126294736842
19266,52,52035,52250,Baissey,baissey,47.747270344828,5.2489662758621
19267,52,52037,52360,Bannes,bannes,47.905009140625,5.394613203125
19268,52,52038,52240,Bassoncourt,bassoncourt,48.074161085271,5.5616365116279
19269,52,52039,52110,Baudrecourt,baudrecourt,48.394426376812,4.968074057971
19270,52,52040,52160,Bay-sur-Aube,bay sur aube,47.823677142857,5.0584424107143
19271,52,52042,52260,Beauchemin,beauchemin,47.918813406593,5.2495065934066
19272,52,52043,52500,Belmont,belmont,47.721046190476,5.5507988571429
19273,52,52044,52270,Roches-Bettaincourt,roches bettaincourt,48.300862077295,5.2701107246377
19274,52,52045,52100,Bettancourt-la-Ferrée,bettancourt la ferree,48.65472279661,4.9712005084746
19275,52,52047,52110,Beurville,beurville,48.314351052632,4.8613653947368
19276,52,52050,52340,Biesles,biesles,48.100155895954,5.2957558959538
19277,52,52051,52500,Bize,bize,47.840438275862,5.6362813793103
19278,52,52053,52330,Blaisy,blaisy,48.174009795918,5.0078285714286
19279,52,52055,52300,Blécourt,blecourt,48.380615119048,5.0770407142857
19280,52,52056,52120,Blessonville,blessonville,48.055099927007,5.01054
19281,52,52057,52110,Blumeray,blumeray,48.355678939394,4.8614346969697
19282,52,52058,52310,Bologne,bologne,48.203929836066,5.1459989344262
19283,52,52059,52360,Bonnecourt,bonnecourt,47.95617497006,5.4792934730539
19284,52,52060,52400,Bourbonne-les-Bains,bourbonne les bains,47.952866195652,5.7349167934783
19285,52,52061,52700,Bourdons-sur-Rognon,bourdons sur rognon,48.171519009009,5.3288508108108
19286,52,52062,52200,Bourg,bourg,47.793835795455,5.3144701136364
19287,52,52063,52150,Bourg-Sainte-Marie,bourg sainte marie,48.183645533981,5.5565898058252
19288,52,52064,52150,Bourmont-entre-Meuse-et-Mouzon,bourmont entre meuse et mouzon,48.201613153153,5.6204891891892
19289,52,52065,52110,Bouzancourt,bouzancourt,48.319291415929,4.9505114159292
19290,52,52066,52110,Brachay,brachay,48.380215503876,5.0374551162791
19291,52,52067,52150,Brainville-sur-Meuse,brainville sur meuse,48.174173783784,5.5923232432432
19292,52,52069,52120,Braux-le-Châtel,braux le chatel,48.10433125,4.9403852272727
19293,52,52070,52200,Brennes,brennes,47.796980240964,5.2848148192771
19294,52,52072,52000,Brethenay,brethenay,48.156123918919,5.1385675675676
19295,52,52074,52240,Breuvannes-en-Bassigny,breuvannes en bassigny,48.078339367311,5.6225384885764
19296,52,52075,52700,Briaucourt,briaucourt,48.209250291262,5.1964378640777
19297,52,52076,52120,Bricon,bricon,48.085876777778,4.9852488888889
19298,52,52079,52130,Brousseval,brousseval,48.493486190476,4.9835223809524
19299,52,52082,52210,Bugnières,bugnieres,47.960299666667,5.0948254166667
19300,52,52083,52500,Champsevraine,champsevraine,47.765585348837,5.5232486821705
19301,52,52084,52700,Busson,busson,48.331610113636,5.3435728409091
19302,52,52085,52240,Buxières-lès-Clefmont,buxieres les clefmont,48.091739401709,5.4601756410256
19303,52,52087,52000,Buxières-lès-Villiers,buxieres les villiers,48.101494444444,5.025345
19304,52,52088,52220,Ceffonds,ceffonds,48.442170308642,4.7394022222222
19305,52,52089,52360,Celles-en-Bassigny,celles en bassigny,47.910799430894,5.5507154471545
19306,52,52090,52600,Celsoy,celsoy,47.862152564103,5.4870864102564
19307,52,52091,52320,Cerisières,cerisieres,48.310317411765,5.0814631764706
19308,52,52092,52160,Chalancey,chalancey,47.670665977444,5.1344091353384
19309,52,52093,52600,Chalindrey,chalindrey,47.796426009174,5.4408809633028
19310,52,52094,52160,Vals-des-Tilles,vals des tilles,47.68409801676,5.0879033240224
19311,52,52095,52700,Chalvraines,chalvraines,48.234227142857,5.5050885714286
19312,52,52097,52700,Chambroncourt,chambroncourt,48.350272857143,5.4026996190476
19313,52,52099,52410,Chamouilley,chamouilley,48.609186547619,5.0504783333333
19314,52,52101,52150,Champigneulles-en-Bassigny,champigneulles en bassigny,48.12655992,5.63248256
19315,52,52102,52200,Champigny-lès-Langres,champigny les langres,47.895894819277,5.3426319277108
19316,52,52103,52400,Champigny-sous-Varennes,champigny sous varennes,47.87118394958,5.6259617647059
19317,52,52104,52100,Chancenay,chancenay,48.674039215686,4.9767158823529
19318,52,52105,52360,Changey,changey,47.923583666667,5.3838105833333
19319,52,52106,52260,Chanoy,chanoy,47.922160266667,5.2882970666667
19320,52,52107,52700,Chantraines,chantraines,48.213827846154,5.2454812307692
19321,52,52108,52360,Charmes,charmes,47.920854285714,5.3555244761905
19322,52,52109,52110,Charmes-en-l'Angle,charmes en l angle,48.359015647059,4.9979501176471
19323,52,52110,52110,Charmes-la-Grande,charmes la grande,48.382969622642,4.9976863207547
19324,52,52113,52190,Chassigny,chassigny,47.718877368421,5.3830717763158
19325,52,52114,52120,Châteauvillain,chateauvillain,48.030596129032,4.9490217204301
19326,52,52115,52200,Chatenay-Mâcheron,chatenay macheron,47.857168173913,5.3916346956522
19327,52,52116,52360,Chatenay-Vaudin,chatenay vaudin,47.852525068493,5.4485630136986
19328,52,52118,52300,Chatonrupt-Sommermont,chatonrupt sommermont,48.473138993289,5.1042634899329
19329,52,52119,52600,Chaudenay,chaudenay,47.822558409091,5.5034140909091
19330,52,52120,52140,Chauffourt,chauffourt,47.972570275229,5.4392063302752
19331,52,52121,52000,Chaumont,chaumont,48.098928977273,5.1414551893939
19332,52,52122,52150,Chaumont-la-Ville,chaumont la ville,48.143842916667,5.6475514583333
19333,52,52123,52170,Chevillon,chevillon,48.52675,5.140235050505
19334,52,52124,52400,Chézeaux,chezeaux,47.881791764706,5.6738841830065
19335,52,52125,52000,Chamarandes-Choignes,chamarandes choignes,48.100027364341,5.1847647286822
19336,52,52126,52190,Choilley-Dardenay,choilley dardenay,47.662520571429,5.3618797142857
19337,52,52127,52240,Choiseul,choiseul,48.055508467153,5.5719575182482
19338,52,52128,52700,Cirey-lès-Mareilles,cirey les mareilles,48.199384651163,5.303930744186
19339,52,52129,52110,Cirey-sur-Blaise,cirey sur blaise,48.333625064103,4.9343582692308
19340,52,52130,52370,Cirfontaines-en-Azois,cirfontaines en azois,48.105444477612,4.8698070149254
19341,52,52131,52230,Cirfontaines-en-Ornois,cirfontaines en ornois,48.448425562914,5.3983909933775
19342,52,52132,52240,Clefmont,clefmont,48.106919386973,5.5058831417625
19343,52,52133,52700,Clinchamp,clinchamp,48.193583391304,5.4402191304348
19344,52,52134,52600,Cohons,cohons,47.782066258993,5.3395820863309
19345,52,52135,52400,Coiffy-le-Bas,coiffy le bas,47.909887638889,5.6597753472222
19346,52,52136,52400,Coiffy-le-Haut,coiffy le haut,47.899896929825,5.6910409649123
19347,52,52137,52160,Colmier-le-Bas,colmier le bas,47.770229913043,4.9426425217391
19348,52,52138,52160,Colmier-le-Haut,colmier le haut,47.787497016575,4.9859171270718
19349,52,52140,52330,Colombey les Deux Églises,colombey les deux eglises,48.247886476965,4.9264018157182
19350,52,52141,52000,Condes,condes,48.141880147059,5.1431530882353
19351,52,52142,52700,Consigny,consigny,48.171529895833,5.4136678125
19352,52,52145,52500,Coublanc,coublanc,47.697059777778,5.4527566222222
