,,,,-HAUTE-SAONE,,,
27850,70,70001,70300,Abelcourt,abelcourt,47.789211958763,6.279222371134
27851,70,70002,70500,Aboncourt-Gesincourt,aboncourt gesincourt,47.766216810345,5.974590862069
27852,70,70003,70180,Achey,achey,47.576575333333,5.6082915833333
27853,70,70004,70200,Adelans-et-le-Val-de-Bithaine,adelans et le val de bithaine,47.706659768518,6.3960349537037
27854,70,70005,70110,Aillevans,aillevans,47.591004653465,6.4212083168317
27855,70,70006,70320,Aillevillers-et-Lyaumont,aillevillers et lyaumont,47.9368,6.3331291872792
27856,70,70007,70300,Ailloncourt,ailloncourt,47.758338518519,6.3885325462963
27857,70,70008,70800,Ainvelle,ainvelle,47.845851734694,6.2410993877551
27858,70,70009,70500,Aisey-et-Richecourt,aisey et richecourt,47.886365777778,5.9537654074074
27859,70,70010,70210,Alaincourt,alaincourt,47.945559324324,6.0997805405405
27860,70,70011,70280,Amage,amage,47.845162061856,6.5001625773196
27861,70,70012,70160,Amance,amance,47.792622544643,6.0457662946429
27862,70,70013,70210,Ambiévillers,ambievillers,47.990082388889,6.1433717222222
27863,70,70014,70200,Amblans-et-Velotte,amblans et velotte,47.67983875,6.4146107352941
27864,70,70015,70170,Amoncourt,amoncourt,47.734282894737,6.0618083333333
27865,70,70016,70310,Amont-et-Effreney,amont et effreney,47.868605245902,6.5632858360656
27866,70,70017,70210,Anchenoncourt-et-Chazel,anchenoncourt et chazel,47.857653125,6.11211625
27867,70,70018,70100,Ancier,ancier,47.445009710145,5.6362489855073
27868,70,70019,70000,Andelarre,andelarre,47.589065932203,6.0910222033898
27869,70,70020,70000,Andelarrot,andelarrot,47.578960882353,6.0980876470588
27870,70,70021,70200,Andornay,andornay,47.659011230769,6.5984169230769
27871,70,70022,70700,Angirey,angirey,47.455444507042,5.7686545774648
27872,70,70023,70800,Anjeux,anjeux,47.883011028037,6.2138204672897
27873,70,70024,70100,Apremont,apremont,47.388836788321,5.5368316788321
27874,70,70025,70120,Arbecey,arbecey,47.743624326241,5.9290146808511
27875,70,70026,70100,Arc-lès-Gray,arc les gray,47.462963801653,5.5793833057851
27876,70,70027,70600,Argillières,argillieres,47.664324666667,5.6287293333333
27877,70,70028,70360,Aroz,aroz,47.611863289474,6.003259868421
27878,70,70029,70200,Arpenans,arpenans,47.62056540146,6.4163159124088
27879,70,70030,70100,Arsans,arsans,47.369382068966,5.6315706896552
27880,70,70031,70110,Athesans-Étroitefontaine,athesans etroitefontaine,47.589975970874,6.514224223301
27881,70,70032,70100,Attricourt,attricourt,47.489187865169,5.4098833707865
27882,70,70035,70500,Augicourt,augicourt,47.76863027027,5.8970936036036
27883,70,70036,70190,Aulx-lès-Cromary,aulx les cromary,47.375326302521,6.095688487395
27884,70,70037,70180,Autet,autet,47.543493828125,5.6963625
27885,70,70038,70190,Authoison,authoison,47.493542692308,6.1476578205128
27886,70,70039,70700,Autoreille,autoreille,47.372222482759,5.8185302758621
27887,70,70040,70110,Autrey-lès-Cerre,autrey les cerre,47.612145948276,6.3454859482759
27888,70,70041,70100,Autrey-lès-Gray,autrey les gray,47.452405232975,5.467166702509
27889,70,70042,70110,Autrey-le-Vay,autrey le vay,47.535691444444,6.3949347777778
27890,70,70043,70100,Auvet-et-la-Chapelotte,auvet et la chapelotte,47.504569145299,5.5309582905983
27891,70,70044,70000,Auxon,auxon,47.696875602837,6.1572260283688
27892,70,70045,70150,Avrigney-Virey,avrigney virey,47.34279682243,5.7785155140187
27893,70,70046,70200,Les Aynans,les aynans,47.617347692308,6.4468466433566
27894,70,70047,70000,Baignes,baignes,47.581733787879,6.0506186363636
27895,70,70048,70140,Bard-lès-Pesmes,bard les pesmes,47.278085,5.6264590625
27896,70,70049,70500,Barges,barges,47.866406904762,5.8403730952381
27897,70,70050,70190,La Barre,la barre,47.406513508772,6.1733254385965
27898,70,70051,70210,La Basse-Vaivre,la basse vaivre,47.946531923077,6.061125
27899,70,70052,70800,Bassigney,bassigney,47.826803813559,6.1839972881356
27900,70,70053,70130,Les Bâties,les baties,47.501964639175,5.9012140206186
27901,70,70054,70100,Battrans,battrans,47.425509102564,5.6374023076923
27902,70,70055,70300,Baudoncourt,baudoncourt,47.773296857143,6.3419012380952
27903,70,70056,70160,Baulay,baulay,47.786401180556,6.0210559722222
27904,70,70057,70150,Bay,bay,47.294722886598,5.7146357731959
27905,70,70058,70100,Beaujeu-Saint-Vallier-Pierrejux-et-Quitteur,beaujeu saint vallier pierrejux et quitteur,47.501546048387,5.6891111290323
27906,70,70059,70190,Beaumotte-Aubertans,beaumotte aubertans,47.427943191489,6.1648278723404
27907,70,70060,70150,Beaumotte-lès-Pin,beaumotte les pin,47.3168702,5.833695
27908,70,70061,70290,Belfahy,belfahy,47.788287857143,6.7275251785714
27909,70,70062,70270,Belmont,belmont,47.78159,6.4963901428571
27910,70,70063,70270,Belonchamp,belonchamp,47.774245287958,6.6098989005236
27911,70,70064,70400,Belverne,belverne,47.627201111111,6.6542561616162
27912,70,70065,70230,Besnans,besnans,47.449795573771,6.2521826229508
