,,,,-HAUTE-SAVOIE,,,
29611,74,74001,74360,Abondance,abondance,46.25781815873,6.7342954603175
29612,74,74002,74540,Alby-sur-Chéran,alby sur cheran,45.817048521127,6.0203023239437
29613,74,74003,74290,Alex,alex,45.872325762712,6.2433386440678
29614,74,74004,74540,Allèves,alleves,45.755036585366,6.0844714634146
29615,74,74005,74200,Allinges,allinges,46.33250619883,6.4602649122807
29616,74,74006,74350,Allonzier-la-Caille,allonzier la caille,45.99968358209,6.1025029850746
29617,74,74007,74800,Amancy,amancy,46.073448482759,6.3305620689655
29618,74,74008,74100,Ambilly,ambilly,46.195556842105,6.2222740350877
29619,74,74009,74350,Andilly,andilly,46.071441937984,6.0703794573643
29620,74,74010,74000,Annecy,annecy,45.8971718,6.1251614
29621,74,74010,74370,Annecy,annecy,45.957035,6.16579
29622,74,74010,74600,Annecy,annecy,45.8473684,6.07579
29623,74,74010,74940,Annecy,annecy,45.9192813,6.157634
29624,74,74010,74960,Annecy,annecy,45.9083618,6.0943313
29625,74,74012,74100,Annemasse,annemasse,46.192956153846,6.2468714285714
29626,74,74013,74200,Anthy-sur-Léman,anthy sur leman,46.354181704545,6.4344526136364
29627,74,74014,74300,Arâches-la-Frasse,araches la frasse,46.031272150538,6.6632170430108
29628,74,74015,74930,Arbusigny,arbusigny,46.086927181818,6.2031986818182
29629,74,74016,74160,Archamps,archamps,46.125553364486,6.1382864485981
29630,74,74018,74800,Arenthon,arenthon,46.095706956522,6.3327513043478
29631,74,74019,74370,Argonay,argonay,45.94825725,6.1480305
29632,74,74020,74200,Armoy,armoy,46.349534597701,6.5100387356322
29633,74,74021,74380,Arthaz-Pont-Notre-Dame,arthaz pont notre dame,46.161351176471,6.2677024705882
29634,74,74024,74130,Ayse,ayse,46.091123452381,6.4436178571429
29635,74,74025,74140,Ballaison,ballaison,46.2941787,6.3519581
29636,74,74026,74330,La Balme-de-Sillingy,la balme de sillingy,45.972093233533,6.0499037125749
29637,74,74027,74230,La Balme-de-Thuy,la balme de thuy,45.902584172662,6.282198057554
29638,74,74029,74910,Bassy,bassy,45.990911515152,5.8321237878788
29639,74,74030,74430,La Baume,la baume,46.287490388349,6.6103142718447
29640,74,74031,74160,Beaumont,beaumont,46.099545,6.1159112
29641,74,74032,74470,Bellevaux,bellevaux,46.230105695067,6.5503411659193
29642,74,74033,74500,Bernex,bernex,46.35405849162,6.6912801117318
29643,74,74034,74430,Le Biot,le biot,46.271455294118,6.6412817647059
29644,74,74035,74150,Bloye,bloye,45.8192116,5.946069
29645,74,74036,74290,Bluffy,bluffy,45.864932083333,6.2218189583333
29646,74,74037,74420,Boëge,boege,46.214602424242,6.3921523030303
29647,74,74038,74250,Bogève,bogeve,46.192083030303,6.4369177777778
29648,74,74040,74380,Bonne,bonne,46.170848968254,6.3180606349206
29649,74,74041,74360,Bonnevaux,bonnevaux,46.294524777778,6.6699462222222
29650,74,74042,74130,Bonneville,bonneville,46.081034034091,6.4072844886364
29651,74,74043,74890,Bons-en-Chablais,bons en chablais,46.274314795918,6.3670847619048
29652,74,74044,74160,Bossey,bossey,46.149538695652,6.1684254347826
29653,74,74045,74230,Le Bouchet-Mont-Charvin,le bouchet mont charvin,45.800992071429,6.3817140714286
29654,74,74046,74150,Boussy,boussy,45.85188848,5.98556576
29655,74,74048,74890,Brenthonne,brenthonne,46.273220392157,6.3912579738562
29656,74,74049,74130,Brizon,brizon,46.0379388,6.4291996
29657,74,74050,74420,Burdignin,burdignin,46.229260808081,6.4268119191919
29658,74,74051,74350,Cercier,cercier,46.019865632184,6.049895
29659,74,74052,74350,Cernex,cernex,46.056841111111,6.0360933333333
29660,74,74053,74550,Cervens,cervens,46.281669893617,6.4431363829787
29661,74,74054,74540,Chainaz-les-Frasses,chainaz les frasses,45.781004678899,5.9887379816514
29662,74,74055,74910,Challonges,challonges,46.024589347826,5.8282952173913
29663,74,74056,74400,Chamonix-Mont-Blanc,chamonix mont blanc,45.938678744395,6.9194908071749
29664,74,74057,74500,Champanges,champanges,46.371097659574,6.5532559574468
29665,74,74058,74360,La Chapelle-d'Abondance,la chapelle d abondance,46.301089315789,6.7967900526316
29666,74,74059,74800,La Chapelle-Rambaud,la chapelle rambaud,46.074339736842,6.2335409210526
29667,74,74060,74410,La Chapelle-Saint-Maurice,la chapelle saint maurice,45.774352153846,6.1474627692308
29668,74,74061,74540,Chapeiry,chapeiry,45.835934189189,6.0388564864865
29669,74,74062,74370,Charvonnex,charvonnex,45.982661829268,6.1585496341463
29670,74,74063,74390,Châtel,chatel,46.247968480392,6.810686372549
29671,74,74064,74300,Châtillon-sur-Cluses,chatillon sur cluses,46.089474215686,6.5863850980392
29672,74,74065,74270,Chaumont,chaumont,46.04001088,5.94998896
29673,74,74066,74270,Chavannaz,chavannaz,46.049576219512,6.0203147560976
29674,74,74067,74650,Chavanod,chavanod,45.885342303665,6.0545441361257
29675,74,74068,74270,Chêne-en-Semine,chene en semine,46.049063761468,5.8589394495413
29676,74,74069,74520,Chênex,chenex,46.106604722222,5.9921305555555
29677,74,74070,74140,Chens-sur-Léman,chens sur leman,46.306998203593,6.2640935329341
29678,74,74071,74270,Chessenaz,chessenaz,46.038529655172,5.9014004597701
29679,74,74072,74210,Chevaline,chevaline,45.73586,6.2130858333333
29680,74,74073,74500,Chevenoz,chevenoz,46.334420517241,6.6384686206897
29681,74,74074,74520,Chevrier,chevrier,46.107675853659,5.9085726829268
29682,74,74075,74270,Chilly,chilly,45.989758724832,5.9633989932886
29683,74,74076,74330,Choisy,choisy,45.996701153846,6.0492684965035
29684,74,74077,74270,Clarafond-Arcine,clarafond arcine,46.078890852713,5.8936231782946
