,,,,-HAUTE-VIENNE,,,
33855,87,87001,87700,Aixe-sur-Vienne,aixe sur vienne,45.798662558824,1.1305756470588
33856,87,87002,87240,Ambazac,ambazac,45.957176868687,1.3977952020202
33857,87,87003,87160,Arnac-la-Poste,arnac la poste,46.262478307155,1.3835827050611
33858,87,87004,87120,Augne,augne,45.772467029703,1.6951569306931
33859,87,87005,87220,Aureil,aureil,45.808757,1.396477875
33860,87,87006,87360,Azat-le-Ris,azat le ris,46.304256501548,1.0497359442725
33861,87,87007,87290,Balledent,balledent,46.106236218487,1.2203676190476
33862,87,87008,87210,La Bazeuge,la bazeuge,46.248513053435,1.0830980152672
33863,87,87009,87120,Beaumont-du-Lac,beaumont du lac,45.770894064171,1.8510979679144
33864,87,87011,87300,Bellac,bellac,46.101522081448,1.0450338687783
33865,87,87012,87300,Berneuil,berneuil,46.062809138889,1.1086365
33866,87,87013,87370,Bersac-sur-Rivalier,bersac sur rivalier,46.078459848156,1.4154678308026
33867,87,87014,87250,Bessines-sur-Gartempe,bessines sur gartempe,46.112145225619,1.3542338136827
33868,87,87015,87700,Beynac,beynac,45.769352762431,1.1638314917127
33869,87,87016,87340,Les Billanges,les billanges,45.977653111111,1.5288704
33870,87,87017,87300,Blanzac,blanzac,46.121038615385,1.102621
33871,87,87018,87300,Blond,blond,46.059316293245,1.0131109884679
33872,87,87019,87220,Boisseuil,boisseuil,45.765658488372,1.330722751938
33873,87,87020,87270,Bonnac-la-Côte,bonnac la cote,45.946437216216,1.2920740540541
33874,87,87021,87110,Bosmie-l'Aiguille,bosmie l aiguille,45.76349755102,1.201667414966
33875,87,87022,87300,Breuilaufa,breuilaufa,46.042092085308,1.1078727488152
33876,87,87023,87140,Le Buis,le buis,46.035778900524,1.2039181675393
33877,87,87024,87460,Bujaleuf,bujaleuf,45.799909063291,1.6264803037975
33878,87,87025,87800,Burgnac,burgnac,45.739803262712,1.1702985169491
33879,87,87027,87230,Bussière-Galant,bussiere galant,45.61882102459,1.0617230327869
33880,87,87028,87320,Bussière-Poitevine,bussiere poitevine,46.238405725806,0.90222080645161
33881,87,87029,87230,Les Cars,les cars,45.677388686869,1.0708263131313
33882,87,87030,87200,Chaillac-sur-Vienne,chaillac sur vienne,45.863105209302,0.872202
33883,87,87031,87500,Le Chalard,le chalard,45.553006651584,1.1226963800905
33884,87,87032,87230,Châlus,chalus,45.65601552,0.96124012
33885,87,87033,87140,Chamboret,chamboret,46.007442247619,1.1262049904762
33886,87,87034,87150,Champagnac-la-Rivière,champagnac la riviere,45.703190631068,0.91819652912621
33887,87,87035,87400,Champnétery,champnetery,45.825182848485,1.5908245757576
33888,87,87036,87230,Champsac,champsac,45.704706050633,0.9580726835443
33889,87,87037,87440,La Chapelle-Montbrandeix,la chapelle montbrandeix,45.642347532468,0.84609662337662
33890,87,87038,87270,Chaptelat,chaptelat,45.914650795848,1.2439414186851
33891,87,87039,87380,Château-Chervix,chateau chervix,45.598926589595,1.3571380732177
33892,87,87040,87130,Châteauneuf-la-Forêt,chateauneuf la foret,45.691145232558,1.6136566569768
33893,87,87041,87290,Châteauponsac,chateauponsac,46.127503018617,1.2750528058511
33894,87,87042,87400,Le Châtenet-en-Dognon,le chatenet en dognon,45.903032844828,1.4988651436782
33895,87,87043,87460,Cheissoux,cheissoux,45.830298322148,1.6375016778524
33896,87,87044,87600,Chéronnac,cheronnac,45.755770281124,0.75011582329317
33897,87,87045,87520,Cieux,cieux,45.981088706468,1.0253006135987
33898,87,87046,87310,Cognac-la-Forêt,cognac la foret,45.838143981763,1.0096513069909
33899,87,87047,87140,Compreignac,compreignac,45.998388709016,1.2832563114754
33900,87,87048,87920,Condat-sur-Vienne,condat sur vienne,45.782802573529,1.2406841911765
33901,87,87049,87500,Coussac-Bonneval,coussac bonneval,45.522022007299,1.3262687956204
33902,87,87050,87270,Couzeix,couzeix,45.88946295082,1.216854726776
33903,87,87051,87130,La Croisille-sur-Briance,la croisille sur briance,45.615691785714,1.6021700446429
33904,87,87052,87210,La Croix-sur-Gartempe,la croix sur gartempe,46.164870277778,0.99863569444444
33905,87,87053,87160,Cromac,cromac,46.364377070707,1.3125776767677
33906,87,87054,87150,Cussac,cussac,45.69913288,0.85662948
33907,87,87055,87320,Darnac,darnac,46.234692682927,0.96322682926829
33908,87,87056,87210,Dinsac,dinsac,46.235411007752,1.1033810852713
33909,87,87057,87190,Dompierre-les-Églises,dompierre les eglises,46.213419939394,1.2539514545454
33910,87,87058,87120,Domps,domps,45.658288034483,1.7066027931034
33911,87,87059,87210,Le Dorat,le dorat,46.210439408867,1.0698525615764
33912,87,87060,87230,Dournazac,dournazac,45.626201943574,0.93097178683386
33913,87,87061,87190,Droux,droux,46.164469003984,1.1484899203187
33914,87,87062,87400,Eybouleuf,eybouleuf,45.801391351351,1.4825110810811
33915,87,87063,87220,Eyjeaux,eyjeaux,45.780029365079,1.375774021164
33916,87,87064,87120,Eymoutiers,eymoutiers,45.71574656746,1.7311030357143
33917,87,87065,87220,Feytiat,feytiat,45.809558618785,1.3308294198895
33918,87,87066,87230,Flavignac,flavignac,45.710065146199,1.0699052923977
33919,87,87067,87250,Folles,folles,46.123284597156,1.4595318957346
33920,87,87068,87250,Fromental,fromental,46.158267317073,1.4175898170732
33921,87,87069,87330,Gajoubert,gajoubert,46.106075591398,0.84990559139785
33922,87,87070,87400,La Geneytouse,la geneytouse,45.787171469388,1.4530202040816
33923,87,87071,87500,Glandon,glandon,45.47264955836,1.2185354258675
33924,87,87072,87380,Glanges,glanges,45.664772639594,1.4616755329949
33925,87,87073,87310,Gorre,gorre,45.734269514563,0.99177236245955
33926,87,87074,87160,Les Grands-Chézeaux,les grands chezeaux,46.354986929134,1.3847588188976
33927,87,87075,87170,Isle,isle,45.802556981132,1.1919652830189
33928,87,87076,87370,Jabreilles-les-Bordes,jabreilles les bordes,46.026053938356,1.5164496575342
33929,87,87077,87800,Janailhac,janailhac,45.654839821429,1.2442582142857
33930,87,87078,87520,Javerdat,javerdat,45.956900665025,0.96100773399015
33931,87,87079,87340,La Jonchère-Saint-Maurice,la jonchere saint maurice,46.0056284375,1.4800587946429
33932,87,87080,87890,Jouac,jouac,46.34823792,1.256932
33933,87,87081,87800,Jourgnac,jourgnac,45.739723114754,1.2185510655738
33934,87,87082,87500,Ladignac-le-Long,ladignac le long,45.583997068558,1.1062127186761
33935,87,87083,87370,Laurière,lauriere,46.077052631579,1.5048291578947
33936,87,87084,87230,Lavignac,lavignac,45.720528050847,1.1235377966102
33937,87,87085,87000,Limoges,limoges,45.8162774,1.2623048
33938,87,87085,87100,Limoges,limoges,45.8452801,1.2140596
33939,87,87085,87280,Limoges,limoges,45.8873131,1.2803314
33940,87,87086,87130,Linards,linards,45.702111164835,1.5351978021978
33941,87,87087,87360,Lussac-les-Églises,lussac les eglises,46.339654226804,1.1721853608247
33942,87,87088,87380,Magnac-Bourg,magnac bourg,45.603455621891,1.4339849253731
33943,87,87089,87190,Magnac-Laval,magnac laval,46.231201793103,1.1708427356322
