,,,,-HAUTES-PYRENEES,,,
25971,65,65001,65260,Adast,adast,42.975719459459,-0.07672513513514
25972,65,65002,65100,Adé,ade,43.142284767442,-0.018635
25973,65,65003,65240,Adervielle-Pouchergues,adervielle pouchergues,42.803555505618,0.39258516853933
25974,65,65004,65400,Agos-Vidalos,agos vidalos,43.039071111111,-0.07559074074074
25975,65,65005,65360,Allier,allier,43.180961896552,0.12758982758621
25976,65,65006,65440,Ancizan,ancizan,42.906596616162,0.28353833333333
25977,65,65007,65390,Andrest,andrest,43.315060520833,0.06502427083333
25978,65,65009,65150,Anères,aneres,43.072798571429,0.46305107142857
25979,65,65010,65690,Angos,angos,43.199896106195,0.17090150442478
25980,65,65011,65100,Les Angles,les angles,43.084113555556,0.00388244444444
25981,65,65012,65370,Anla,anla,43.004226964286,0.58938089285714
25982,65,65013,65140,Ansost,ansost,43.432665967742,0.11109274193548
25983,65,65014,65370,Antichan,antichan,42.991729117647,0.58470411764706
25984,65,65015,65220,Antin,antin,43.334962066116,0.29304603305785
25985,65,65016,65200,Antist,antist,43.120281162791,0.13688372093023
25986,65,65017,65170,Aragnouet,aragnouet,42.782984599156,0.175634092827
25987,65,65018,65560,Arbéost,arbeost,42.9824189375,-0.2752264375
25988,65,65019,65360,Arcizac-Adour,arcizac adour,43.151378493151,0.09134821917808
25989,65,65020,65100,Arcizac-ez-Angles,arcizac ez angles,43.097002857143,0.01456214285714
25990,65,65021,65400,Arcizans-Avant,arcizans avant,42.971730508475,-0.11684389830508
25991,65,65022,65400,Arcizans-Dessus,arcizans dessus,42.998767096774,-0.16124274193548
25992,65,65023,65240,Ardengost,ardengost,42.926509166667,0.41053595238095
25993,65,65024,65200,Argelès-Bagnères,argeles bagneres,43.091339868421,0.19808763157895
25994,65,65025,65400,Argelès-Gazost,argeles gazost,43.005224677419,-0.09965403225806
25995,65,65026,65230,Aries-Espénan,aries espenan,43.276534473684,0.53230631578947
25996,65,65028,65670,Arné,arne,43.180788692308,0.49950061538462
25997,65,65029,65400,Arras-en-Lavedan,arras en lavedan,42.983567767857,-0.14172491071429
25998,65,65031,65240,Arreau,arreau,42.918198231293,0.33558979591837
25999,65,65032,65400,Arrens-Marsous,arrens marsous,42.910367105263,-0.26489639097744
26000,65,65033,65100,Arrodets-ez-Angles,arrodets ez angles,43.0707855,0.040897
26001,65,65034,65130,Arrodets,arrodets,43.030246428571,0.28041257142857
26002,65,65035,65500,Artagnan,artagnan,43.409056111111,0.08280805555556
26003,65,65036,65400,Artalens-Souin,artalens souin,42.977656582278,-0.03884329113924
26004,65,65037,65130,Artiguemy,artiguemy,43.126523030303,0.24817939393939
26005,65,65038,65100,Artigues,artigues,43.07343,6.448275862E-5
26006,65,65039,65240,Aspin-Aure,aspin aure,42.933334761905,0.33466126984127
26007,65,65040,65100,Aspin-en-Lavedan,aspin en lavedan,43.0741925,-0.04570194444444
26008,65,65041,65130,Asque,asque,43.031082419355,0.25691677419355
26009,65,65042,65200,Asté,aste,43.023016242775,0.20565976878613
26010,65,65043,65200,Astugue,astugue,43.099352242991,0.0715546728972
26011,65,65044,65350,Aubarède,aubarede,43.270135,0.24839418918919
26012,65,65045,65400,Aucun,aucun,42.98607443038,-0.19436050632911
26013,65,65046,65240,Aulon,aulon,42.8574875,0.25781833333333
26014,65,65047,65800,Aureilhan,aureilhan,43.252376184211,0.11762960526316
26015,65,65048,65390,Aurensan,aurensan,43.306913283582,0.10059582089552
26016,65,65049,65700,Auriébat,auriebat,43.499457830688,0.08315915343915
26017,65,65050,65240,Avajan,avajan,42.847734666667,0.40181833333333
26018,65,65051,65660,Aventignan,aventignan,43.06281113924,0.5205246835443
26019,65,65052,65380,Averan,averan,43.13827011236,-0.00741764044944
26020,65,65053,65370,Aveux,aveux,43.009084473684,0.561855
26021,65,65054,65130,Avezac-Prat-Lahitte,avezac prat lahitte,43.070817443609,0.32052834586466
26022,65,65055,65400,Ayros-Arbouix,ayros arbouix,42.998122054795,-0.06241780821918
26023,65,65056,65400,Ayzac-Ost,ayzac ost,43.023014897959,-0.09426755102041
26024,65,65057,65380,Azereix,azereix,43.2036515,-0.021187
26025,65,65058,65170,Azet,azet,42.78417789916,0.35224319327731
26026,65,65059,65200,Bagnères-de-Bigorre,bagneres de bigorre,43.065093,0.1491049
26027,65,65059,65710,Bagnères-de-Bigorre,bagneres de bigorre,42.9999297,0.1682271
26028,65,65060,65200,Banios,banios,43.041430277778,0.22910805555556
26029,65,65061,65140,Barbachen,barbachen,43.429362933333,0.12648413333333
26030,65,65062,65690,Barbazan-Debat,barbazan debat,43.200961149425,0.12880724137931
26031,65,65063,65360,Barbazan-Dessus,barbazan dessus,43.160763300971,0.14399854368932
26032,65,65064,65240,Bareilles,bareilles,42.892142755102,0.43419163265306
26033,65,65065,65100,Barlest,barlest,43.148828360656,-0.09764393442623
26034,65,65066,65240,Barrancoueu,barrancoueu,42.907910434783,0.32178826086957
26035,65,65067,65380,Barry,barry,43.137218979592,0.01974367346939
26036,65,65068,65230,Barthe,barthe,43.285792954545,0.47610931818182
26037,65,65069,65250,La Barthe-de-Neste,la barthe de neste,43.076436666667,0.39014555555556
26038,65,65070,65100,Bartrès,bartres,43.13482,-0.052513125
26039,65,65071,65130,Batsère,batsere,43.060011219512,0.28576292682927
26040,65,65072,65460,Bazet,bazet,43.290084050633,0.07813367088608
26041,65,65073,65140,Bazillac,bazillac,43.360483007519,0.10911789473684
26042,65,65074,65670,Bazordan,bazordan,43.220973152174,0.54936673913044
26043,65,65075,65170,Bazus-Aure,bazus aure,42.856157931034,0.34329413793103
26044,65,65076,65250,Bazus-Neste,bazus neste,43.032530285714,0.38522314285714
26045,65,65077,65400,Beaucens,beaucens,42.956777931034,0.01756465517241
26046,65,65078,65710,Beaudéan,beaudean,42.994877447917,0.1377040625
