,,,,-ILE-ET-VILAINE,,,
13465,35,35001,35690,Acigné,acigne,48.140328780488,-1.5160477642276
13466,35,35002,35150,Amanlis,amanlis,47.993797948718,-1.4957999487179
13467,35,35003,35250,Andouillé-Neuville,andouille neuville,48.298632477876,-1.5916746017699
13468,35,35004,35560,Antrain,antrain,48.461888387097,-1.4783464516129
13469,35,35005,35130,Arbrissel,arbrissel,47.925516585366,-1.2917989430894
13470,35,35006,35370,Argentré-du-Plessis,argentre du plessis,48.047881103679,-1.1367904682274
13471,35,35007,35250,Aubigné,aubigne,48.299616578947,-1.6316643421053
13472,35,35008,35130,Availles-sur-Seiche,availles sur seiche,47.958346833333,-1.1890265555556
13473,35,35009,35120,Baguer-Morvan,baguer morvan,48.49889725,-1.7732902
13474,35,35010,35120,Baguer-Pican,baguer pican,48.543869136364,-1.6898099545455
13475,35,35011,35460,Baillé,baille,48.361923023256,-1.3785330813954
13476,35,35012,35470,Bain-de-Bretagne,bain de bretagne,47.842604913793,-1.6690549568966
13477,35,35013,35600,Bains-sur-Oust,bains sur oust,47.716416084656,-2.0773255026455
13478,35,35014,35680,Bais,bais,48.010993601286,-1.3036826045016
13479,35,35015,35500,Balazé,balaze,48.178251577381,-1.1797440773809
13480,35,35016,35580,Baulon,baulon,47.993534189723,-1.9225679841897
13481,35,35017,35190,La Baussaine,la baussaine,48.312048909091,-1.8978345454545
13482,35,35018,35420,La Bazouge-du-Désert,la bazouge du desert,48.444450431655,-1.1019197122302
13483,35,35019,35560,Bazouges-la-Pérouse,bazouges la perouse,48.437055630499,-1.5604271260997
13484,35,35021,35133,Beaucé,beauce,48.343206217949,-1.154822051282
13485,35,35022,35190,Bécherel,becherel,48.295856,-1.9429776
13486,35,35023,35137,Bédée,bedee,48.182140865385,-1.9559643990385
13487,35,35024,35830,Betton,betton,48.181272242152,-1.6450952914798
13488,35,35025,35133,Billé,bille,48.300863011583,-1.2548991119691
13489,35,35026,35750,Bléruais,bleruais,48.115840447761,-2.1146704477612
13490,35,35027,35360,Boisgervilly,boisgervilly,48.169087121212,-2.0813555555556
13491,35,35028,35150,Boistrudan,boistrudan,47.977087956989,-1.3979410215054
13492,35,35029,35270,Bonnemain,bonnemain,48.472612026144,-1.7651759803922
13493,35,35030,35320,La Bosse-de-Bretagne,la bosse de bretagne,47.865483387097,-1.5912662096774
13494,35,35031,35340,La Bouëxière,la bouexiere,48.184704869565,-1.4331588913044
13495,35,35032,35230,Bourgbarré,bourgbarre,47.983745110132,-1.6254906167401
13496,35,35033,35890,Bourg-des-Comptes,bourg des comptes,47.924833436123,-1.7148627753304
13497,35,35034,35120,La Boussac,la boussac,48.515353583333,-1.6521589166667
13498,35,35035,35330,Bovel,bovel,47.954553581081,-1.9523238513513
13499,35,35037,35310,Bréal-sous-Montfort,breal sous montfort,48.050270784314,-1.8790861764706
13500,35,35038,35370,Bréal-sous-Vitré,breal sous vitre,48.089173664122,-1.0618106870229
13501,35,35039,35530,Brécé,brece,48.111194263566,-1.4852315503876
13502,35,35040,35160,Breteil,breteil,48.138302072072,-1.9089598198198
13503,35,35041,35150,Brie,brie,47.951492809917,-1.5498969421488
13504,35,35042,35370,Brielles,brielles,48.007301042471,-1.0948768339768
13505,35,35044,35120,Broualan,broualan,48.475575482234,-1.6595506598985
13506,35,35045,35550,Bruc-sur-Aff,bruc sur aff,47.82452797619,-2.0141003571429
13507,35,35046,35330,Les Brulais,les brulais,47.894614308943,-2.0669362601626
13508,35,35047,35170,Bruz,bruz,48.026470607287,-1.7452970040486
13509,35,35049,35260,Cancale,cancale,48.69285970684,-1.8534776872964
13510,35,35050,35190,Cardroc,cardroc,48.283974821429,-1.8947975892857
13511,35,35051,35510,Cesson-Sévigné,cesson sevigne,48.120751294118,-1.5913900392157
13512,35,35052,35500,Champeaux,champeaux,48.135757459459,-1.3009495135135
13513,35,35053,35680,Chancé,chance,48.032900387597,-1.3671670542636
13514,35,35054,35150,Chanteloup,chanteloup,47.957060630252,-1.6185
13515,35,35055,35135,Chantepie,chantepie,48.082521846154,-1.6099723589744
13516,35,35056,35190,La Chapelle-aux-Filtzméens,la chapelle aux filtzmeens,48.383305797872,-1.8218326595745
13517,35,35057,35330,La Chapelle-Bouëxic,la chapelle bouexic,47.939841167513,-1.92522035533
13518,35,35058,35630,La Chapelle-Chaussée,la chapelle chaussee,48.266533876404,-1.8642838764045
13519,35,35059,35520,La Chapelle-des-Fougeretz,la chapelle des fougeretz,48.173331386139,-1.742708019802
13520,35,35060,35360,La Chapelle du Lou du Lac,la chapelle du lou du lac,48.213687065868,-1.9951645508982
13521,35,35061,35500,La Chapelle-Erbrée,la chapelle erbree,48.140670625,-1.0941286538462
13522,35,35062,35133,La Chapelle-Janson,la chapelle janson,48.341776482412,-1.0925608542714
13523,35,35063,35140,La Chapelle-Saint-Aubert,la chapelle saint aubert,48.306426875,-1.3127690384615
13524,35,35064,35660,La Chapelle-de-Brain,la chapelle de brain,47.700701089109,-1.9303084158416
13525,35,35065,35590,La Chapelle-Thouarault,la chapelle thouarault,48.126101523179,-1.8541698675497
13526,35,35066,35131,Chartres-de-Bretagne,chartres de bretagne,48.043854748201,-1.7069196402878
13527,35,35067,35250,Chasné-sur-Illet,chasne sur illet,48.239696682464,-1.5731090995261
13528,35,35068,35220,Châteaubourg,chateaubourg,48.118147729469,-1.4047953140097
13529,35,35069,35410,Châteaugiron,chateaugiron,48.049364302326,-1.4799040116279
13530,35,35070,35430,Châteauneuf-d'Ille-et-Vilaine,chateauneuf d ille et vilaine,48.559626470588,-1.9273476470588
13531,35,35071,35133,Le Châtellier,le chatellier,48.42583027933,-1.2463312849162
13532,35,35072,35210,Châtillon-en-Vendelais,chatillon en vendelais,48.228222385321,-1.168922293578
13533,35,35075,35490,Chauvigné,chauvigne,48.374010186916,-1.4495747663551
13534,35,35076,35310,Chavagne,chavagne,48.056331478873,-1.7867795070423
13535,35,35077,35640,Chelun,chelun,47.854745801105,-1.247187679558
13536,35,35078,35120,Cherrueix,cherrueix,48.59474266129,-1.7233441935484
13537,35,35079,35250,Chevaigné,chevaigne,48.227792439024,-1.6371880487805
13538,35,35080,35310,Cintré,cintre,48.109610211268,-1.884278028169
13539,35,35081,35590,Clayes,clayes,48.176938045977,-1.8557405747126
13540,35,35082,35134,Coësmes,coesmes,47.870442230216,-1.4263716906475
13541,35,35084,35330,Comblessac,comblessac,47.876723853659,-2.0943752682927
13542,35,35085,35270,Combourg,combourg,48.405553855932,-1.7361758050848
13543,35,35086,35210,Combourtillé,combourtille,48.266026330275,-1.2703327522936
13544,35,35087,35500,Cornillé,cornille,48.088135258621,-1.3102081034483
13545,35,35088,35150,Corps-Nuds,corps nuds,47.98144748954,-1.5754062761506
13546,35,35089,35320,La Couyère,la couyere,47.891026289063,-1.49744921875
13547,35,35090,35320,Crevin,crevin,47.929219173554,-1.6625501652893
13548,35,35091,35290,Le Crouais,le crouais,48.210065675676,-2.150868018018
13549,35,35092,35270,Cuguen,cuguen,48.438870034014,-1.6578714285714
13550,35,35093,35800,Dinard,dinard,48.630611170213,-2.0553731914894
13551,35,35094,35440,Dingé,dinge,48.347734211957,-1.703428125
13552,35,35095,35120,Dol-de-Bretagne,dol de bretagne,48.534811355932,-1.7416827118644
13553,35,35096,35113,Domagné,domagne,48.064720081301,-1.409923902439
13554,35,35097,35680,Domalain,domalain,47.992418542373,-1.2479909491525
13555,35,35098,35390,La Dominelais,la dominelais,47.759997609562,-1.6824752589641
13556,35,35099,35410,Domloup,domloup,48.069926300578,-1.5435930635838
13557,35,35100,35210,Dompierre-du-Chemin,dompierre du chemin,48.267585454545,-1.1502766666667
13558,35,35101,35450,Dourdain,dourdain,48.195030173611,-1.3801544444444
13559,35,35102,35130,Drouges,drouges,47.899979502762,-1.2612772375691
13560,35,35103,35640,Eancé,eance,47.826198577406,-1.255629748954
13561,35,35104,35120,Epiniac,epiniac,48.501752798635,-1.7017064163822
13562,35,35105,35500,Erbrée,erbree,48.107820447761,-1.1197287462687
