,,,,-INDRE-ET-LOIRE,,,
xs,37,37001,37160,Abilly,abilly,46.940850745342,0.74218080745342
14056,37,37002,37340,Ambillou,ambillou,47.453923653846,0.46669903846154
14057,37,37003,37400,Amboise,amboise,47.394329622642,1.0075216352201
14058,37,37004,37500,Anché,anche,47.129856052632,0.30632631578947
14059,37,37005,37800,Antogny-le-Tillac,antogny le tillac,46.965748958333,0.5568803125
14060,37,37006,37260,Artannes-sur-Indre,artannes sur indre,47.268864820513,0.60160882051282
14061,37,37007,37120,Assay,assay,47.066167108434,0.26976951807229
14062,37,37008,37270,Athée-sur-Cher,athee sur cher,47.314448931298,0.89919816793893
14063,37,37009,37110,Autrèche,autreche,47.51981637931,1.0010632758621
14064,37,37010,37110,Auzouer-en-Touraine,auzouer en touraine,47.557004623116,0.92771311557789
14065,37,37011,37420,Avoine,avoine,47.22406255102,0.19761479591837
14066,37,37012,37220,Avon-les-Roches,avon les roches,47.182797676768,0.46138575757576
14067,37,37013,37340,Avrillé-les-Ponceaux,avrille les ponceaux,47.387480892857,0.308255
14068,37,37014,37190,Azay-le-Rideau,azay le rideau,47.271939157895,0.45467052631579
14069,37,37015,37270,Azay-sur-Cher,azay sur cher,47.336381472868,0.84499798449612
14070,37,37016,37310,Azay-sur-Indre,azay sur indre,47.204872987013,0.94489181818182
14071,37,37018,37510,Ballan-Miré,ballan mire,47.342055855263,0.60365006578947
14072,37,37019,37350,Barrou,barrou,46.876223165468,0.78517762589928
14073,37,37020,37600,Beaulieu-lès-Loches,beaulieu les loches,47.126853168317,1.019731980198
14074,37,37021,37360,Beaumont-Louestault,beaumont louestault,47.617132,0.649524
14075,37,37021,37370,Beaumont-Louestault,beaumont louestault,47.617132,0.649524
14076,37,37022,37420,Beaumont-en-Véron,beaumont en veron,47.196315426357,0.17920217054264
14077,37,37023,37460,Beaumont-Village,beaumont village,47.176796231884,1.2028071014493
14078,37,37024,37140,Benais,benais,47.320261208791,0.2104332967033
