,,,,-INDRE,,,
13812,36,36001,36140,Aigurande,aigurande,46.453772669323,1.8491656972112
13813,36,36002,36150,Aize,aize,47.109401511628,1.7026386627907
13814,36,36003,36120,Ambrault,ambrault,46.785724509804,1.9559223529412
13815,36,36004,36210,Anjouin,anjouin,47.203903802817,1.7987732394366
13816,36,36005,36120,Ardentes,ardentes,46.742322268041,1.8348126804124
13817,36,36006,36200,Argenton-sur-Creuse,argenton sur creuse,46.581943194444,1.4929116666667
13818,36,36007,36500,Argy,argy,46.943493267327,1.4496804455446
13819,36,36008,36700,Arpheuilles,arpheuilles,46.896682747253,1.2773127472528
13820,36,36009,36330,Arthon,arthon,46.682839183673,1.7169895918367
13821,36,36010,36290,Azay-le-Ferron,azay le ferron,46.833887462687,1.0877048507463
13822,36,36011,36210,Bagneux,bagneux,47.173384536082,1.7521779381443
13823,36,36012,36270,Baraize,baraize,46.482994375,1.571635390625
13824,36,36013,36110,Baudres,baudres,47.048497479675,1.559707804878
13825,36,36014,36270,Bazaiges,bazaiges,46.472696742424,1.5271178787879
13826,36,36015,36310,Beaulieu,beaulieu,46.387904835165,1.303967032967
13827,36,36016,36370,Bélâbre,belabre,46.556569759615,1.1725585096154
13828,36,36017,36400,La Berthenoux,la berthenoux,46.705738061674,2.0649469162996
13829,36,36018,36300,Le Blanc,le blanc,46.631106745283,1.0958756603774
13830,36,36019,36120,Bommiers,bommiers,46.780288176796,1.9965558563536
13831,36,36020,36310,Bonneuil,bonneuil,46.379238690476,1.2351397619048
13832,36,36021,36100,Les Bordes,les bordes,46.984400483871,1.9586970967742
13833,36,36022,36200,Bouesse,bouesse,46.6269952,1.6870197333333
13834,36,36023,36110,Bouges-le-Château,bouges le chateau,47.034642181818,1.6664030909091
13835,36,36024,36110,Bretagne,bretagne,47.001356842105,1.7041415789474
13836,36,36025,36400,Briantes,briantes,46.549960222222,2.0275760740741
13837,36,36026,36110,Brion,brion,46.952915,1.72297875
13838,36,36027,36100,Brives,brives,46.855523313253,1.9304222891566
13839,36,36028,36140,La Buxerette,la buxerette,46.501093539823,1.7915907964602
13840,36,36029,36150,Buxeuil,buxeuil,47.121588742138,1.6919878616352
13841,36,36030,36230,Buxières-d'Aillac,buxieres d aillac,46.638387838983,1.7657174576271
13842,36,36031,36500,Buzançais,buzancais,46.892893204225,1.4079158098591
13843,36,36032,36200,Ceaulmont,ceaulmont,46.53157,1.5531687401575
13844,36,36033,36200,Celon,celon,46.539877009346,1.5209143925234
13845,36,36034,36210,Chabris,chabris,47.246965034247,1.6601123287671
13846,36,36035,36310,Chaillac,chaillac,46.432357630769,1.2908995384615
13847,36,36036,36370,Chalais,chalais,46.534834566038,1.2145086792453
13848,36,36037,36100,La Champenoise,la champenoise,46.93506375,1.7890325
13849,36,36038,36160,Champillet,champillet,46.549407037037,2.1103630864198
13850,36,36040,36500,La Chapelle-Orthemale,la chapelle orthemale,46.835436459627,1.4524667701863
13851,36,36041,36150,La Chapelle-Saint-Laurian,la chapelle saint laurian,47.055242028986,1.7859730434783
13852,36,36042,36800,Chasseneuil,chasseneuil,46.652954074074,1.4911315740741
13853,36,36043,36400,Chassignolles,chassignolles,46.525850833333,1.9429164705882
13854,36,36044,36000,Châteauroux,chateauroux,46.806239274611,1.6913201036269
13855,36,36045,36700,Châtillon-sur-Indre,chatillon sur indre,46.991024533898,1.1687589830509
13856,36,36046,36400,La Châtre,la chatre,46.572822702703,1.9916713513513
13857,36,36047,36170,La Châtre-Langlin,la chatre langlin,46.410844268293,1.3965469918699
13858,36,36048,36200,Chavin,chavin,46.5549484375,1.608278125
13859,36,36049,36170,Chazelet,chazelet,46.51239,1.4310043548387
13860,36,36050,36500,Chezelles,chezelles,46.894954285714,1.5546935164835
13861,36,36051,36800,Chitray,chitray,46.649778181818,1.3547984090909
13862,36,36052,36100,Chouday,chouday,46.925700666667,2.055633
13863,36,36053,36300,Ciron,ciron,46.63955568,1.26543052
13864,36,36054,36700,Cléré-du-Bois,clere du bois,46.941746231884,1.0980978985507
13865,36,36055,36700,Clion,clion,46.946790318182,1.2308968181818
13866,36,36056,36340,Cluis,cluis,46.532726102941,1.7465266176471
13867,36,36057,36130,Coings,coings,46.877991511628,1.7273702325581
13868,36,36058,36300,Concremiers,concremiers,46.592320197368,1.0138551315789
13869,36,36059,36100,Condé,conde,46.890388630137,1.9810347945205
13870,36,36060,36140,Crevant,crevant,46.4659955625,1.944489875
13871,36,36061,36140,Crozon-sur-Vauvre,crozon sur vauvre,46.481121566265,1.8755403012048
13872,36,36062,36190,Cuzion,cuzion,46.471198542714,1.6198631155779
13873,36,36063,36130,Déols,deols,46.836495375,1.6981316875
13874,36,36064,36130,Diors,diors,46.827722857143,1.8171385714286
13875,36,36065,36260,Diou,diou,47.043701343284,2.0162676119403
13876,36,36066,36300,Douadic,douadic,46.702077115385,1.1174867307692
13877,36,36067,36310,Dunet,dunet,46.4712298,1.2907098
13878,36,36068,36210,Dun-le-Poëlier,dun le poelier,47.218395393258,1.739731011236
13879,36,36069,36240,Écueillé,ecueille,47.070561773399,1.3398347783251
13880,36,36070,36270,Éguzon-Chantôme,eguzon chantome,46.433561254902,1.561553254902
13881,36,36071,36120,Étrechet,etrechet,46.784802719298,1.771592631579
13882,36,36072,36360,Faverolles-en-Berry,faverolles en berry,47.169209759036,1.3916019277108
13883,36,36073,36160,Feusines,feusines,46.499663372093,2.1070576744186
13884,36,36074,36700,Fléré-la-Rivière,flere la riviere,47.000750764331,1.0969633121019
13885,36,36075,36150,Fontenay,fontenay,47.062196896552,1.7386474137931
13886,36,36076,36220,Fontgombault,fontgombault,46.674073423423,0.97113072072072
