,,,,-ISERE,,,
14326,38,38001,38490,Les Abrets en Dauphiné,les abrets en dauphine,45.524816894737,5.5994907368421
14327,38,38002,38190,Les Adrets,les adrets,45.261727983871,5.9842060483871
14328,38,38003,38150,Agnin,agnin,45.33285625,4.8595266666667
14329,38,38004,38470,L'Albenc,l albenc,45.22311171875,5.45454296875
14330,38,38005,38114,Allemond,allemond,45.171908905109,6.0200724817518
14331,38,38006,38580,Allevard,allevard,45.375365424242,6.1147745757576
14332,38,38008,38970,Ambel,ambel,44.801828983051,5.9294781355932
14333,38,38009,38150,Anjou,anjou,45.350060985915,4.8802304225352
14334,38,38010,38460,Annoisin-Chatelans,annoisin chatelans,45.766304954955,5.2971403603604
14335,38,38011,38280,Anthon,anthon,45.781688933333,5.1492410666667
14336,38,38012,38490,Aoste,aoste,45.600224757282,5.6052954368932
14337,38,38013,38140,Apprieu,apprieu,45.395018918919,5.4984889189189
14338,38,38015,38440,Artas,artas,45.537061869919,5.1678902439024
14339,38,38016,38260,Arzay,arzay,45.430931147541,5.1673475409836
14340,38,38017,38150,Assieu,assieu,45.41442984375,4.8952284375
14341,38,38018,38680,Auberives-en-Royans,auberives en royans,45.063994473684,5.309857631579
14342,38,38019,38550,Auberives-sur-Varèze,auberives sur vareze,45.428281162791,4.8211151162791
14343,38,38020,38142,Auris,auris,45.053262302158,6.0826313669065
14344,38,38022,38630,Les Avenières Veyrins-Thuellin,les avenieres veyrins thuellin,45.636802202381,5.5594798214286
14345,38,38023,38650,Avignonet,avignonet,44.957865555556,5.6723570707071
14346,38,38025,38260,Balbins,balbins,45.39289880597,5.2196743283582
14347,38,38026,38390,La Balme-les-Grottes,la balme les grottes,45.840639649123,5.3282212280702
14348,38,38027,38530,Barraux,barraux,45.429869085366,5.9752831097561
14349,38,38029,38110,La Bâtie-Montgascon,la batie montgascon,45.571399807692,5.5451440384615
14350,38,38030,38140,Beaucroissant,beaucroissant,45.339733131313,5.4733893939394
14351,38,38031,38970,Beaufin,beaufin,44.79142,5.9603748888889
14352,38,38032,38270,Beaufort,beaufort,45.329969846154,5.1124006153846
14353,38,38033,38470,Beaulieu,beaulieu,45.191404513274,5.3933951327434
14354,38,38034,38270,Beaurepaire,beaurepaire,45.337856190476,5.0386704761905
14355,38,38035,38440,Beauvoir-de-Marc,beauvoir de marc,45.519934179105,5.0802579104478
14356,38,38036,38160,Beauvoir-en-Royans,beauvoir en royans,45.117619142857,5.348577
14357,38,38037,38270,Bellegarde-Poussieu,bellegarde poussieu,45.37948875,4.951298828125
14358,38,38038,38690,Belmont,belmont,45.473705901639,5.356
14359,38,38039,38190,Bernin,bernin,45.267645964912,5.8643721052632
14360,38,38040,38142,Besse,besse,45.111500342679,6.2062660747664
14361,38,38041,38160,Bessins,bessins,45.203345102041,5.2652144897959
14362,38,38042,38690,Bévenais,bevenais,45.400406857143,5.3926826666667
14363,38,38043,38850,Bilieu,bilieu,45.442373809524,5.554546547619
14364,38,38044,38690,Biol,biol,45.498757631579,5.3600643421053
14365,38,38045,38330,Biviers,biviers,45.24572375,5.7989605555556
14366,38,38046,38690,Bizonnes,bizonnes,45.453642820513,5.3838274358974
14367,38,38047,38730,Blandin,blandin,45.481598125,5.4444710416667
14368,38,38048,38090,Bonnefamille,bonnefamille,45.602241898734,5.1101744303798
14369,38,38049,38260,Bossieu,bossieu,45.422416496815,5.1460778343949
14370,38,38050,38510,Le Bouchage,le bouchage,45.672202814815,5.5311231111111
14371,38,38051,38150,Bougé-Chambalud,bouge chambalud,45.325303571429,4.8962714285714
14372,38,38052,38520,Le Bourg-d'Oisans,le bourg d oisans,45.045642272727,6.0320657792208
14373,38,38053,38300,Bourgoin-Jallieu,bourgoin jallieu,45.592286551724,5.2861447413793
14374,38,38054,38390,Bouvesse-Quirieu,bouvesse quirieu,45.77872591954,5.4100063218391
14375,38,38055,38510,Brangues,brangues,45.692250229008,5.532883129771
14376,38,38056,38870,Bressieux,bressieux,45.321053793103,5.2765868965517
14377,38,38057,38320,Bresson,bresson,45.131579361702,5.7498276595745
14378,38,38058,38590,Brézins,brezins,45.342935714286,5.3092146938775
14379,38,38059,38320,Brié-et-Angonnes,brie et angonnes,45.125441875,5.777299
14380,38,38060,38590,Brion,brion,45.29420375,5.3376376785714
14381,38,38061,38500,La Buisse,la buisse,45.332297833333,5.6251063333333
14382,38,38062,38530,La Buissière,la buissiere,45.408924836066,5.9781660655738
14383,38,38063,38690,Burcin,burcin,45.430508101266,5.4460405063291
14384,38,38064,38110,Cessieu,cessieu,45.56767530303,5.3742652272727
14385,38,38065,38690,Châbons,chabons,45.451111984127,5.4254153174603
14386,38,38066,38122,Chalon,chalon,45.450830952381,4.9420523809524
14387,38,38067,38460,Chamagnieu,chamagnieu,45.685688636364,5.16166875
14388,38,38068,38800,Champagnier,champagnier,45.113197058824,5.7213114705882
14389,38,38069,38260,Champier,champier,45.459083950617,5.286085617284
14390,38,38070,38190,Le Champ-près-Froges,le champ pres froges,45.280333495146,5.9421331067961
14391,38,38071,38560,Champ-sur-Drac,champ sur drac,45.069551346154,5.7345390384615
14392,38,38072,38150,Chanas,chanas,45.319808333333,4.8380026388889
14393,38,38073,38740,Chantelouve,chantelouve,44.985664195402,5.9763425287356
14394,38,38074,38470,Chantesse,chantesse,45.241307692308,5.4483384615385
14395,38,38075,38530,Chapareillan,chapareillan,45.458931764706,5.9590275
14396,38,38076,38110,La Chapelle-de-la-Tour,la chapelle de la tour,45.590428611111,5.4676579166667
14397,38,38077,38150,La Chapelle-de-Surieu,la chapelle de surieu,45.397140864198,4.9193055555556
14398,38,38078,38580,La Chapelle-du-Bard,la chapelle du bard,45.404908209607,6.1385951091703
14399,38,38080,38490,Charancieu,charancieu,45.5188065,5.57506025
14400,38,38081,38790,Charantonnay,charantonnay,45.535396090909,5.1160941818182
14401,38,38082,38850,Charavines,charavines,45.422791384615,5.5212317692308
14402,38,38083,38390,Charette,charette,45.801254817518,5.3657524087591
14403,38,38084,38140,Charnècles,charnecles,45.33912,5.5260023943662
14404,38,38085,38230,Charvieu-Chavagneux,charvieu chavagneux,45.74034474359,5.150932051282
14405,38,38086,38470,Chasselay,chasselay,45.260262424242,5.3473743434343
14406,38,38087,38670,Chasse-sur-Rhône,chasse sur rhone,45.578479583333,4.8218344444444
14407,38,38089,38730,Chassignieu,chassignieu,45.505054117647,5.5193652941176
14408,38,38090,38650,Château-Bernard,chateau bernard,44.979657596899,5.5569193023256
14409,38,38091,38300,Châteauvilain,chateauvilain,45.517275324675,5.3285951948052
14410,38,38092,38680,Châtelus,chatelus,45.054444909091,5.3944418636364
14411,38,38093,38980,Châtenay,chatenay,45.324124086022,5.2302668817204
14412,38,38094,38440,Châtonnay,chatonnay,45.471864979253,5.2207365975104
14413,38,38095,38160,Chatte,chatte,45.143260903955,5.2720345762712
14414,38,38097,38230,Chavanoz,chavanoz,45.766688245614,5.1717861403509
14415,38,38098,38730,Chélieu,chelieu,45.51072952381,5.4788678571429
14416,38,38099,38160,Chevrières,chevrieres,45.187767014925,5.2910263432836
14417,38,38100,38570,Le Cheylas,le cheylas,45.38005496,6.0018168
14418,38,38101,38550,Cheyssieu,cheyssieu,45.430127285714,4.8372214285714
14419,38,38102,38300,Chèzeneuve,chezeneuve,45.560995471698,5.2171671698113
14420,38,38103,38930,Chichilianne,chichilianne,44.80551585209,5.5554179099678
14421,38,38104,38490,Chimilin,chimilin,45.574711721311,5.5885287704918
14422,38,38105,38850,Chirens,chirens,45.417950643275,5.5556443859649
14423,38,38106,38220,Cholonge,cholonge,45.002936567164,5.8015428358209
