,,,,-LANDES,,,
15372,40,40001,40800,Aire-sur-l'Adour,aire sur l adour,43.701743645621,-0.26500883910387
15373,40,40002,40330,Amou,amou,43.599221244813,-0.74497684647303
15374,40,40003,40990,Angoumé,angoume,43.689402571429,-1.1327217142857
15375,40,40004,40150,Angresse,angresse,43.654428472222,-1.3641202777778
15376,40,40005,40320,Arboucave,arboucave,43.608626521739,-0.43347793478261
15377,40,40006,40110,Arengosse,arengosse,44.003926597938,-0.79119917525773
15378,40,40007,40700,Argelos,argelos,43.584220298507,-0.62234447761194
15379,40,40008,40430,Argelouse,argelouse,44.36968295082,-0.64421131147541
15380,40,40009,40110,Arjuzanx,arjuzanx,44.009310224719,-0.85233719101124
15381,40,40011,40330,Arsague,arsague,43.583814814815,-0.78926765432099
15382,40,40012,40090,Artassenx,artassenx,43.846576385542,-0.39378385542169
15383,40,40013,40190,Arthez-d'Armagnac,arthez d armagnac,43.89639921147,-0.25258992831541
15384,40,40014,40120,Arue,arue,44.04559917847,-0.35085555240793
15385,40,40015,40310,Arx,arx,44.102677448276,0.10486531034483
15386,40,40016,40700,Aubagnan,aubagnan,43.666628956522,-0.5003947826087
15387,40,40017,40500,Audignon,audignon,43.724813006536,-0.59438895424837
15388,40,40018,40400,Audon,audon,43.801072033898,-0.82675381355932
15389,40,40019,40200,Aureilhan,aureilhan,44.206030754717,-1.186500754717
15390,40,40020,40500,Aurice,aurice,43.799820718954,-0.60168660130719
15391,40,40021,40140,Azur,azur,43.790045632184,-1.2925644827586
15392,40,40022,40320,Bahus-Soubiran,bahus soubiran,43.67347296,-0.34180224
15393,40,40023,40380,Baigts,baigts,43.68802039548,-0.79352338983051
15394,40,40024,40500,Banos,banos,43.731826272727,-0.61951509090909
15395,40,40025,40090,Bascons,bascons,43.826088203125,-0.422811640625
15396,40,40026,40500,Bas-Mauco,bas mauco,43.796189929577,-0.55726443661972
15397,40,40027,40700,Bassercles,bassercles,43.558160857143,-0.60892247619048
15398,40,40028,40360,Bastennes,bastennes,43.647841164384,-0.77978650684932
15399,40,40029,40320,Bats,bats,43.649666377953,-0.46494559055118
