,,,,-LOIR-ET-CHER,,,
15702,41,41001,41310,Ambloy,ambloy,47.706981182796,0.96623032258064
15703,41,41002,41400,Angé,ange,47.319002763158,1.2381282894737
15704,41,41003,41100,Areines,areines,47.795863974359,1.105288974359
15705,41,41004,41800,Artins,artins,47.752648468468,0.75122252252252
15706,41,41006,41240,Autainville,autainville,47.888385490196,1.4242348039216
15707,41,41007,41310,Authon,authon,47.628613471338,0.89174299363057
15708,41,41008,41500,Avaray,avaray,47.723506458333,1.5528097916667
15709,41,41009,41330,Averdon,averdon,47.690670357143,1.3014928061224
15710,41,41010,41100,Azé,aze,47.855701885714,0.99595468571429
15711,41,41012,41170,Baillou,baillou,47.980316172839,0.84935209876543
15712,41,41013,41250,Bauzy,bauzy,47.531092110092,1.6203142201835
15713,41,41014,41170,Beauchêne,beauchene,47.941457375,0.97077675
15714,41,41016,41130,Billy,billy,47.310683267974,1.5639675816993
15715,41,41017,41240,Binas,binas,47.907556372549,1.4591173529412
15716,41,41018,41000,Blois,blois,47.583407047619,1.3182003809524
15717,41,41019,41290,Boisseau,boisseau,47.772643134328,1.3073794029851
15718,41,41020,41800,Bonneveau,bonneveau,47.815394259259,0.75317101851852
15719,41,41022,41270,Bouffry,bouffry,48.010613397129,1.0930356937799
15720,41,41024,41270,Boursay,boursay,48.017371014493,0.98992661835749
15721,41,41025,41250,Bracieux,bracieux,47.551540909091,1.5447144155844
15722,41,41026,41160,Brévainville,brevainville,47.949726589147,1.257666124031
15723,41,41027,41370,Briou,briou,47.813012727273,1.4629470909091
15724,41,41028,41160,Busloup,busloup,47.892296338028,1.1325149295775
15725,41,41029,41120,Candé-sur-Beuvron,cande sur beuvron,47.504208764045,1.2682926966292
15726,41,41030,41360,Cellé,celle,47.835594639175,0.79602515463918
15727,41,41031,41120,Cellettes,cellettes,47.515844634146,1.3903107317073
15728,41,41032,41120,Chailles,chailles,47.534452253521,1.3124478873239
15729,41,41034,41250,Chambord,chambord,47.618589473684,1.5417068421053
15730,41,41035,41330,Champigny-en-Beauce,champigny en beauce,47.714583739837,1.2684644715447
15731,41,41036,41600,Chaon,chaon,47.614117790055,2.1698105524862
15732,41,41037,41290,La Chapelle-Enchérie,la chapelle encherie,47.825624529915,1.2097816239316
15733,41,41038,41320,La Chapelle-Montmartin,la chapelle montmartin,47.252826351351,1.7590931081081
