,,,,-LOIRE-ATLANTIQUE,,,
16563,44,44001,44170,Abbaretz,abbaretz,47.552542639594,-1.4944954822335
16564,44,44002,44140,Aigrefeuille-sur-Maine,aigrefeuille sur maine,47.074384356436,-1.4132288118812
16565,44,44003,44150,Ancenis,ancenis,47.382617727273,-1.1781773484849
16566,44,44005,44320,Chaumes-en-Retz,chaumes en retz,47.1160819,-1.9423073
16567,44,44005,44680,Chaumes-en-Retz,chaumes en retz,47.116028,-1.941726
16568,44,44006,44410,Assérac,asserac,47.433217364621,-2.4157529602888
16569,44,44007,44460,Avessac,avessac,47.641066228814,-1.9609956355932
16570,44,44009,44115,Basse-Goulaine,basse goulaine,47.207485041322,-1.4605380165289
16571,44,44010,44740,Batz-sur-Mer,batz sur mer,47.28072626556,-2.4694478423237
16572,44,44012,44760,La Bernerie-en-Retz,la bernerie en retz,47.086047333333,-2.0396058666667
16573,44,44013,44160,Besné,besne,47.384565362319,-2.0770979710145
16574,44,44014,44140,Le Bignon,le bignon,47.102224902913,-1.5087970873786
16575,44,44015,44130,Blain,blain,47.451924771574,-1.7655666243655
16576,44,44016,44430,La Boissière-du-Doré,la boissiere du dore,47.228719889503,-1.2028778453039
16577,44,44018,44830,Bouaye,bouaye,47.143711694915,-1.6722333898305
16578,44,44019,44260,Bouée,bouee,47.311209903846,-1.9110480769231
16579,44,44020,44340,Bouguenais,bouguenais,47.174319851852,-1.6041283703704
16580,44,44021,44580,Villeneuve-en-Retz,villeneuve en retz,47.033923722397,-1.9103944794953
16581,44,44022,44190,Boussay,boussay,47.053498162162,-1.1607608648649
16582,44,44023,44130,Bouvron,bouvron,47.415351840278,-1.8721588194444
16583,44,44024,44830,Brains,brains,47.168639090909,-1.7330955844156
16584,44,44025,44750,Campbon,campbon,47.420637576792,-1.9611371331058
16585,44,44026,44470,Carquefou,carquefou,47.311003737374,-1.4649245959596
16586,44,44027,44390,Casson,casson,47.392813013699,-1.5541308219178
16587,44,44028,44850,Le Cellier,le cellier,47.336963100775,-1.3631482170543
16588,44,44029,44450,Divatte-sur-Loire,divatte sur loire,47.286088333333,-1.3165709302326
16589,44,44030,44410,La Chapelle-des-Marais,la chapelle des marais,47.434792307692,-2.2460973626374
16590,44,44031,44670,La Chapelle-Glain,la chapelle glain,47.622909010601,-1.1819830388693
16591,44,44032,44330,La Chapelle-Heulin,la chapelle heulin,47.17192387931,-1.3484693965517
16592,44,44033,44260,La Chapelle-Launay,la chapelle launay,47.357468472906,-1.9788309359606
16593,44,44035,44240,La Chapelle-sur-Erdre,la chapelle sur erdre,47.301793282051,-1.5624580512821
16594,44,44036,44110,Châteaubriant,chateaubriant,47.72632509009,-1.3914806306306
16595,44,44037,44690,Château-Thébaud,chateau thebaud,47.122218714286,-1.4398469285714
16596,44,44038,44320,Chauvé,chauve,47.153290275229,-2.0108283486238
16597,44,44039,44640,Cheix-en-Retz,cheix en retz,47.181883365385,-1.8039618269231
16598,44,44041,44118,La Chevrolière,la chevroliere,47.086774714286,-1.5985352142857
16599,44,44043,44190,Clisson,clisson,47.098683603604,-1.2718495945946
16600,44,44044,44290,Conquereuil,conquereuil,47.644058994413,-1.7605153631285
16601,44,44045,44360,Cordemais,cordemais,47.299376340426,-1.8279432765957
16602,44,44046,44560,Corsept,corsept,47.260466463415,-2.0966185365854
16603,44,44047,44220,Couëron,coueron,47.2342885,-1.7276598076923
16604,44,44048,44521,Couffé,couffe,47.392294324324,-1.3064057297297
16605,44,44049,44490,Le Croisic,le croisic,47.291872718447,-2.5199421359223
16606,44,44050,44160,Crossac,crossac,47.405248395062,-2.1445084567901
16607,44,44051,44590,Derval,derval,47.670985512821,-1.6833278525641
16608,44,44052,44480,Donges,donges,47.346483358779,-2.0863759541985
16609,44,44053,44530,Drefféac,dreffeac,47.466294444444,-2.0618727160494
16610,44,44054,44110,Erbray,erbray,47.662642112676,-1.3209858215962
16611,44,44055,44500,La Baule-Escoublac,la baule escoublac,47.291572285714,-2.3598658857143
16612,44,44056,44130,Fay-de-Bretagne,fay de bretagne,47.398239506849,-1.8039803835616
16613,44,44057,44460,Fégréac,fegreac,47.581947073171,-2.0386070243902
16614,44,44058,44660,Fercé,ferce,47.799856173285,-1.3875029602888
16615,44,44061,44320,Frossay,frossay,47.236923225806,-1.9386386451613
16616,44,44062,44130,Le Gâvre,le gavre,47.53132279661,-1.782301440678
16617,44,44063,44190,Gétigné,getigne,47.081679665072,-1.2228484210526
16618,44,44064,44190,Gorges,gorges,47.103392352941,-1.3080187254902
16619,44,44065,44520,Grand-Auverné,grand auverne,47.579283888889,-1.3108622839506
16620,44,44066,44119,Grandchamps-des-Fontaines,grandchamps des fontaines,47.373824329897,-1.5990382474227
16621,44,44067,44290,Guémené-Penfao,guemene penfao,47.637936114286,-1.8382070857143
16622,44,44068,44530,Guenrouet,guenrouet,47.502140857143,-1.9403209795918
16623,44,44069,44350,Guérande,guerande,47.323209385561,-2.4358264208909
16624,44,44070,44690,La Haie-Fouassière,la haie fouassiere,47.159181081081,-1.4057706081081
16625,44,44071,44115,Haute-Goulaine,haute goulaine,47.196478224299,-1.4185178504673
16626,44,44072,44410,Herbignac,herbignac,47.451005514874,-2.3156339588101
16627,44,44073,44810,Héric,heric,47.423565379747,-1.6464807911392
16628,44,44074,44610,Indre,indre,47.199978333333,-1.6694016666667
16629,44,44075,44520,Issé,isse,47.625007795699,-1.446687311828
16630,44,44076,44170,Jans,jans,47.62205423913,-1.5976370652174
16631,44,44077,44440,Joué-sur-Erdre,joue sur erdre,47.506283550725,-1.4270301449275
16632,44,44078,44670,Juigné-des-Moutiers,juigne des moutiers,47.683931651376,-1.2029076605505
16633,44,44079,44430,Le Landreau,le landreau,47.204749492386,-1.303135177665
16634,44,44080,44260,Lavau-sur-Loire,lavau sur loire,47.32664697479,-1.954301512605
16635,44,44081,44650,Legé,lege,46.902062101167,-1.5708445525292
16636,44,44082,44850,Ligné,ligne,47.399705984252,-1.380977007874
16637,44,44083,44310,La Limouzinière,la limouziniere,46.988607025641,-1.621902
16638,44,44084,44430,Le Loroux-Bottereau,le loroux bottereau,47.23738056,-1.32442624
16639,44,44085,44110,Louisfert,louisfert,47.668063196721,-1.4251668032787
16640,44,44086,44590,Lusanger,lusanger,47.675632222222,-1.5869156296296
16641,44,44087,44270,Machecoul-Saint-Même,machecoul saint meme,46.999330037665,-1.8218588512241
16642,44,44088,44690,Maisdon-sur-Sèvre,maisdon sur sevre,47.117953333333,-1.388108627451
16643,44,44089,44260,Malville,malville,47.344237743363,-1.8508378318584
16644,44,44090,44270,La Marne,la marne,46.991361469194,-1.7308103791469
16645,44,44091,44170,Marsac-sur-Don,marsac sur don,47.600334272727,-1.6869350909091
16646,44,44092,44290,Massérac,masserac,47.673292612613,-1.9009779279279
16647,44,44094,44470,Mauves-sur-Loire,mauves sur loire,47.318166319018,-1.4084295705521
16648,44,44095,44520,La Meilleraye-de-Bretagne,la meilleraye de bretagne,47.568773151515,-1.3922946666667
16649,44,44096,44522,Mésanger,mesanger,47.430505927273,-1.2212930909091
16650,44,44097,44420,Mesquer,mesquer,47.404433882979,-2.4638915425532
16651,44,44098,44780,Missillac,missillac,47.486488389513,-2.1854357303371
16652,44,44099,44520,Moisdon-la-Rivière,moisdon la riviere,47.625931065574,-1.3705277459016
16653,44,44100,44690,Monnières,monnieres,47.121619384615,-1.3504251538462
16654,44,44101,44620,La Montagne,la montagne,47.190048095238,-1.689876031746
16655,44,44102,44140,Montbert,montbert,47.069831888112,-1.476589020979
16656,44,44103,44550,Montoir-de-Bretagne,montoir de bretagne,47.328456025641,-2.1577239102564
16657,44,44104,44370,Montrelais,montrelais,47.405471,-0.974484
16658,44,44105,44590,Mouais,mouais,47.703329011858,-1.6650919367589
16659,44,44106,44760,Les Moutiers-en-Retz,les moutiers en retz,47.055288169935,-1.9841039869281
16660,44,44107,44850,Mouzeil,mouzeil,47.435597488584,-1.320647716895
16661,44,44108,44330,Mouzillon,mouzillon,47.129939115385,-1.2711425
16662,44,44109,44000,Nantes,nantes,47.2239586,-1.5408058
16663,44,44109,44100,Nantes,nantes,47.2080348,-1.5963603
16664,44,44109,44200,Nantes,nantes,47.2014677,-1.5411258
16665,44,44109,44300,Nantes,nantes,47.2482829,-1.5439361
16666,44,44110,44390,Nort-sur-Erdre,nort sur erdre,47.44458243346,-1.5166878326996
16667,44,44111,44130,Notre-Dame-des-Landes,notre dame des landes,47.385070561798,-1.7242178651685
16668,44,44112,44110,Noyal-sur-Brutz,noyal sur brutz,47.771965481481,-1.3446055555556
16669,44,44113,44170,Nozay,nozay,47.574704154589,-1.6042203864734
16670,44,44114,44700,Orvault,orvault,47.277412837838,-1.6254313513514
16671,44,44115,44521,Oudon,oudon,47.358268571429,-1.2631246666667
16672,44,44116,44560,Paimbœuf,paimboeuf,47.285609393939,-2.0274506060606
16673,44,44117,44330,Le Pallet,le pallet,47.143337852349,-1.3432326845638
16674,44,44118,44440,Pannecé,pannece,47.484423288591,-1.217420738255
16675,44,44119,44270,Paulx,paulx,46.958561843972,-1.7658803900709
16676,44,44120,44640,Le Pellerin,le pellerin,47.217535771429,-1.8237568571429
16677,44,44121,44670,Petit-Auverné,petit auverne,47.612301104972,-1.2816290607735
16678,44,44122,44390,Petit-Mars,petit mars,47.405619565217,-1.4515917391304
16679,44,44123,44290,Pierric,pierric,47.691902608696,-1.7772117391304
16680,44,44124,44540,Le Pin,le pin,47.597983529412,-1.1489103529412
16681,44,44125,44420,Piriac-sur-Mer,piriac sur mer,47.380700986395,-2.5395657142857
16682,44,44126,44770,La Plaine-sur-Mer,la plaine sur mer,47.145449101796,-2.1867116167665
16683,44,44127,44140,La Planche,la planche,47.020959772727,-1.4433529545454
16684,44,44128,44630,Plessé,plesse,47.555799634703,-1.9024786757991
16685,44,44129,44160,Pontchâteau,pontchateau,47.432010697674,-2.0920193355482
16686,44,44130,44860,Pont-Saint-Martin,pont saint martin,47.1289365,-1.5646607142857
16687,44,44131,44210,Pornic,pornic,47.117503085106,-2.0835782446808
16688,44,44132,44380,Pornichet,pornichet,47.255634630542,-2.3220649753695
16689,44,44133,44710,Port-Saint-Père,port saint pere,47.139874195122,-1.7746206341463
16690,44,44134,44522,Pouillé-les-Côteaux,pouille les coteaux,47.463663941176,-1.1647363529412
16691,44,44135,44510,Le Pouliguen,le pouliguen,47.264870574713,-2.4314435249042
16692,44,44136,44770,Préfailles,prefailles,47.130239453552,-2.2135746994536
16693,44,44137,44260,Prinquiau,prinquiau,47.382176824324,-2.0191776351351
16694,44,44138,44390,Puceul,puceul,47.520197633588,-1.6233464885496
16695,44,44139,44750,Quilly,quilly,47.454920457516,-1.9403334640523
16696,44,44140,44330,La Regrippière,la regrippiere,47.175504494949,-1.183412979798
16697,44,44141,44430,La Remaudière,la remaudiere,47.227900686695,-1.2214806437768
16698,44,44142,44140,Remouillé,remouille,47.040521282051,-1.3749752564103
16699,44,44143,44400,Rezé,reze,47.174669220779,-1.5500003246753
16700,44,44144,44440,Riaillé,riaille,47.517527867647,-1.3146658455882
16701,44,44145,44640,Rouans,rouans,47.181595682819,-1.8406288105727
16702,44,44146,44660,Rougé,rouge,47.762407356322,-1.4237654942529
16703,44,44148,44660,Ruffigné,ruffigne,47.764954805654,-1.5304706360424
16704,44,44149,44390,Saffré,saffre,47.486459502262,-1.588394841629
16705,44,44150,44860,Saint-Aignan-Grandlieu,saint aignan grandlieu,47.132780310078,-1.6248058139535
16706,44,44151,44117,Saint-André-des-Eaux,saint andre des eaux,47.32556154321,-2.3053199382716
16707,44,44152,44160,Sainte-Anne-sur-Brivet,sainte anne sur brivet,47.444146608696,-2.0291080869565
16708,44,44153,44110,Saint-Aubin-des-Châteaux,saint aubin des chateaux,47.715462142857,-1.48441625
16709,44,44154,44250,Saint-Brevin-les-Pins,saint brevin les pins,47.235368832487,-2.1532888832487
16710,44,44155,44310,Saint-Colomban,saint colomban,47.01993116,-1.5620506
16711,44,44156,44650,Corcoué-sur-Logne,corcoue sur logne,46.953291144578,-1.5903096084337
16712,44,44157,44270,Saint-Étienne-de-Mer-Morte,saint etienne de mer morte,46.948543976834,-1.7284182239382
16713,44,44158,44360,Saint-Étienne-de-Montluc,saint etienne de montluc,47.263965089286,-1.7921787053571
16714,44,44159,44690,Saint-Fiacre-sur-Maine,saint fiacre sur maine,47.143923442623,-1.4182178688525
16715,44,44160,44150,Saint-Géréon,saint gereon,47.369944909091,-1.2087371818182
16716,44,44161,44530,Saint-Gildas-des-Bois,saint gildas des bois,47.504316761905,-2.0669127619048
