,,,,-LOIRE,,,
15975,42,42001,42380,Aboën,aboen,45.411861022727,4.1246524431818
15976,42,42002,42130,Ailleux,ailleux,45.798556315789,3.9331178947368
15977,42,42003,42820,Ambierle,ambierle,46.1058825,3.8955689189189
15978,42,42004,42260,Amions,amions,45.879916083916,4.0350702797203
15979,42,42005,42160,Andrézieux-Bouthéon,andrezieux boutheon,45.532318318584,4.2774978761062
15980,42,42006,42550,Apinac,apinac,45.394172105263,3.993052518797
15981,42,42007,42460,Arcinges,arcinges,46.1341156,4.2862822666667
15982,42,42008,42370,Arcon,arcon,46.011402781065,3.8691471005917
15983,42,42009,42130,Arthun,arthun,45.764920632911,4.0339594936709
15984,42,42010,42330,Aveizieux,aveizieux,45.571712684564,4.3828093959732
15985,42,42011,42510,Balbigny,balbigny,45.83399,4.1862490995261
15986,42,42012,42600,Bard,bard,45.590870043668,3.9955765938865
15987,42,42013,42210,Bellegarde-en-Forez,bellegarde en forez,45.643762671233,4.3129565753425
15988,42,42014,42670,Belleroche,belleroche,46.162187755102,4.4028979591837
15989,42,42015,42670,Belmont-de-la-Loire,belmont de la loire,46.168005811518,4.3539929319372
15990,42,42016,42720,La Bénisson-Dieu,la benisson dieu,46.159171879699,4.0500728571429
15991,42,42017,42660,Le Bessat,le bessat,45.371842405063,4.5194663291139
15992,42,42018,42520,Bessey,bessey,45.390932395833,4.7010459375
15993,42,42019,42130,Boën-sur-Lignon,boen sur lignon,45.750180769231,4.0048279120879
15994,42,42020,42210,Boisset-lès-Montrond,boisset les montrond,45.624961590909,4.20938
15995,42,42021,42560,Boisset-Saint-Priest,boisset saint priest,45.510247313433,4.1153060447761
15996,42,42022,42160,Bonson,bonson,45.522018333333,4.223305
15997,42,42023,42220,Bourg-Argental,bourg argental,45.305826810631,4.562888372093
15998,42,42025,42460,Boyer,boyer,46.097220681818,4.2154663636364
15999,42,42026,42720,Briennon,briennon,46.157603663366,4.0732749504951
16000,42,42027,42260,Bully,bully,45.929099623656,3.9878307526882
16001,42,42028,42220,Burdignes,burdignes,45.263204813278,4.5544960165975
16002,42,42029,42510,Bussières,bussieres,45.841910945274,4.259945920398
16003,42,42030,42260,Bussy-Albieux,bussy albieux,45.79817,4.0358379768786
16004,42,42031,42240,Caloire,caloire,45.414515393258,4.2328359550562
16005,42,42032,42320,Cellieu,cellieu,45.521149172414,4.5327184137931
16006,42,42033,42460,Le Cergne,le cergne,46.122609692308,4.299874
16007,42,42034,42440,Cervières,cervieres,45.850981929825,3.7562504385965
16008,42,42035,42130,Cezay,cezay,45.803625365854,3.9664469512195
16009,42,42036,42800,Chagnon,chagnon,45.534324788732,4.5540966197183
16010,42,42037,42600,Chalain-d'Uzore,chalain d uzore,45.672087090909,4.0615385454545
16011,42,42038,42600,Chalain-le-Comtal,chalain le comtal,45.641231568627,4.1702799019608
16012,42,42039,42920,Chalmazel-Jeansagnière,chalmazel jeansagniere,45.711326298077,3.8356514423077
16013,42,42040,42440,La Chamba,la chamba,45.753465168539,3.7586857303371
16014,42,42041,42110,Chambéon,chambeon,45.696585391304,4.1631435652174
16015,42,42042,42170,Chambles,chambles,45.449020268817,4.2276912903226
16016,42,42043,42330,Chambœuf,chamboeuf,45.571636903226,4.3229376774194
16017,42,42044,42500,Le Chambon-Feugerolles,le chambon feugerolles,45.384798816568,4.3399049704142
16018,42,42045,42440,La Chambonie,la chambonie,45.745861782946,3.7542884496124
16019,42,42046,42600,Champdieu,champdieu,45.636643965517,4.0515875
16020,42,42047,42430,Champoly,champoly,45.851206210526,3.8442325263158
16021,42,42048,42190,Chandon,chandon,46.145987962963,4.1996735185185
16022,42,42049,42310,Changy,changy,46.149219302326,3.9007658914729
16023,42,42050,42380,La Chapelle-en-Lafaye,la chapelle en lafaye,45.456205177665,3.9856903045685
16024,42,42051,42410,La Chapelle-Villars,la chapelle villars,45.478741263158,4.71206
16025,42,42052,42190,Charlieu,charlieu,46.168622021277,4.1769106382979
16026,42,42053,42800,Châteauneuf,chateauneuf,45.521219139073,4.6321558940397
16027,42,42054,42940,Châtelneuf,chatelneuf,45.639877692308,3.980650979021
16028,42,42055,42140,Châtelus,chatelus,45.58882576087,4.4615831521739
16029,42,42056,42410,Chavanay,chavanay,45.4185264,4.72467
16030,42,42058,42560,Chazelles-sur-Lavieu,chazelles sur lavieu,45.543269328358,4.0021575373134
16031,42,42059,42140,Chazelles-sur-Lyon,chazelles sur lyon,45.627409261084,4.3769444334975
16032,42,42060,42560,Chenereilles,chenereilles,45.486753255814,4.0852884651163
16033,42,42061,42430,Cherier,cherier,45.96715071066,3.8776319796954
16034,42,42062,42140,Chevrières,chevrieres,45.592565324074,4.4065010185185
16035,42,42063,42114,Chirassimont,chirassimont,45.913562794118,4.2857559558824
16036,42,42064,42410,Chuyer,chuyer,45.456684634146,4.7077265853659
16037,42,42065,42110,Civens,civens,45.76731373913,4.2347487391304
16038,42,42066,42110,Cleppé,cleppe,45.751824936709,4.1805152531646
16039,42,42067,42220,Colombier,colombier,45.346958369565,4.5913664673913
16040,42,42068,42840,Combre,combre,46.018254511278,4.2610360902256
16041,42,42069,42120,Commelle-Vernay,commelle vernay,45.990337795276,4.0599117322835
16042,42,42070,42123,Cordelle,cordelle,45.943677954545,4.061960625
16043,42,42071,42120,Le Coteau,le coteau,46.021202222222,4.0910933333333
16044,42,42072,42111,La Côte-en-Couzan,la cote en couzan,45.767469487179,3.8285714102564
16045,42,42073,42360,Cottance,cottance,45.796589666667,4.2973402777778
16046,42,42074,42460,Coutouvre,coutouvre,46.073950235294,4.2078352941177
16047,42,42075,42210,Craintilleux,craintilleux,45.575514821429,4.2243016071429
16048,42,42076,42260,Cremeaux,cremeaux,45.915781208791,3.9239880952381
16049,42,42077,42540,Croizet-sur-Gand,croizet sur gand,45.913230458015,4.219996870229
16050,42,42078,42310,Le Crozet,le crozet,46.170995041322,3.841126446281
16051,42,42079,42460,Cuinzier,cuinzier,46.124323333333,4.2688932291667
16052,42,42081,42330,Cuzieu,cuzieu,45.603148421053,4.2681032631579
16053,42,42082,42260,Dancé,dance,45.906847881356,4.0368441525424
16054,42,42083,42800,Dargoire,dargoire,45.562619333333,4.6734195
16055,42,42084,42130,Débats-Rivière-d'Orpra,debats riviere d orpra,45.756899452055,3.9391767123288
16056,42,42085,42740,Doizieux,doizieux,45.423547764706,4.5860255294118
16057,42,42086,42670,Écoche,ecoche,46.152659074074,4.3064667592593
16058,42,42087,42600,Écotay-l'Olme,ecotay l olme,45.586788125,4.0465677083333
16059,42,42088,42110,Épercieux-Saint-Paul,epercieux saint paul,45.788766516854,4.2016450561798
