,,,,-LOIRET,,,
16775,45,45001,45230,Adon,adon,47.766244153846,2.7925158461538
16776,45,45002,45230,Aillant-sur-Milleron,aillant sur milleron,47.791454736842,2.9234469078947
16777,45,45004,45200,Amilly,amilly,47.981582758621,2.7609335632184
16778,45,45005,45480,Andonville,andonville,48.274069891304,2.0243105434783
16779,45,45006,45160,Ardon,ardon,47.77935625,1.8852691666667
16780,45,45008,45410,Artenay,artenay,48.075730149254,1.877473880597
16781,45,45009,45170,Aschères-le-Marché,ascheres le marche,48.114734428571,1.997002
16782,45,45010,45300,Ascoux,ascoux,48.128581521739,2.2517547826087
16783,45,45011,45170,Attray,attray,48.117305252525,2.1315018181818
16784,45,45012,45300,Audeville,audeville,48.279606315789,2.2452950877193
16785,45,45013,45330,Augerville-la-Rivière,augerville la riviere,48.254677090909,2.422274
16786,45,45014,45390,Aulnay-la-Rivière,aulnay la riviere,48.206744144144,2.3850802702703
16787,45,45015,45480,Autruy-sur-Juine,autruy sur juine,48.275992681159,2.0919567391304
16788,45,45016,45500,Autry-le-Châtel,autry le chatel,47.587831073171,2.6039464390244
16789,45,45017,45270,Auvilliers-en-Gâtinais,auvilliers en gatinais,47.965231010638,2.4769342553191
16790,45,45018,45340,Auxy,auxy,48.109803220339,2.4862780508475
16791,45,45019,45130,Baccon,baccon,47.886475315315,1.6362486486487
16792,45,45020,45130,Le Bardon,le bardon,47.841208431373,1.6483933333333
16793,45,45021,45340,Barville-en-Gâtinais,barville en gatinais,48.112025774648,2.4047643661972
16794,45,45022,45340,Batilly-en-Gâtinais,batilly en gatinais,48.083357333333,2.3757086666667
16795,45,45023,45420,Batilly-en-Puisaye,batilly en puisaye,47.611963478261,2.8870124637681
16796,45,45024,45130,Baule,baule,47.8112228,1.6666
16797,45,45025,45480,Bazoches-les-Gallerandes,bazoches les gallerandes,48.160448901099,2.0584998901099
16798,45,45026,45210,Bazoches-sur-le-Betz,bazoches sur le betz,48.132675520833,2.9859032291667
16799,45,45027,45270,Beauchamps-sur-Huillard,beauchamps sur huillard,47.946843779528,2.4675260629921
16800,45,45028,45190,Beaugency,beaugency,47.773125495495,1.6434807207207
