,,,,-LOT-ET-GARONNE,,,
17424,47,47001,47000,Agen,agen,44.207674144144,0.63022756756757
17425,47,47002,47350,Agmé,agme,44.488896623377,0.33883298701299
17426,47,47003,47800,Agnac,agnac,44.643100409357,0.37859087719298
17427,47,47004,47190,Aiguillon,aiguillon,44.299955426357,0.36395124031008
17428,47,47005,47800,Allemans-du-Dropt,allemans du dropt,44.623643363636,0.28793009090909
17429,47,47006,47110,Allez-et-Cazeneuve,allez et cazeneuve,44.3786115625,0.628206015625
17430,47,47007,47420,Allons,allons,44.217654507042,-0.05880253521127
17431,47,47008,47160,Ambrus,ambrus,44.231168653846,0.25471384615385
17432,47,47009,47170,Andiran,andiran,44.102449699248,0.29016781954887
17433,47,47010,47700,Antagnac,antagnac,44.35608270073,0.0007797810219
17434,47,47011,47370,Anthé,anthe,44.371205269461,0.95166497005988
17435,47,47012,47700,Anzex,anzex,44.289469236111,0.17061305555556
17436,47,47013,47250,Argenton,argenton,44.381314577465,0.07173535211268
17437,47,47014,47800,Armillac,armillac,44.556728691589,0.39305364485981
17438,47,47015,47220,Astaffort,astaffort,44.068722819549,0.65982214285714
17439,47,47016,47310,Aubiac,aubiac,44.138795846154,0.56825992307692
17440,47,47017,47140,Auradou,auradou,44.34172751773,0.8106895035461
17441,47,47018,47120,Auriac-sur-Dropt,auriac sur dropt,44.652575877863,0.2457493129771
17442,47,47019,47480,Bajamont,bajamont,44.258098627451,0.70311294117647
17443,47,47020,47120,Baleyssagues,baleyssagues,44.6799884375,0.143811375
17444,47,47021,47230,Barbaste,barbaste,44.167794935065,0.2483712987013
17445,47,47022,47130,Bazens,bazens,44.265017123288,0.42824890410959
17446,47,47023,47290,Beaugas,beaugas,44.513767720207,0.6176021761658
17447,47,47024,47200,Beaupuy,beaupuy,44.535684444444,0.14651234567901
17448,47,47025,47470,Beauville,beauville,44.275121453744,0.89681233480176
17449,47,47026,47700,Beauziac,beauziac,44.320594534884,0.04045697674419
17450,47,47027,47300,Bias,bias,44.408830235294,0.67043176470588
17451,47,47028,47200,Birac-sur-Trec,birac sur trec,44.485909320388,0.25217859223301
17452,47,47029,47500,Blanquefort-sur-Briolance,blanquefort sur briolance,44.60707497006,0.96018293413174
17453,47,47030,47470,Blaymont,blaymont,44.293319032258,0.85674167741935
17454,47,47031,47550,Boé,boe,44.172485285714,0.65076128571429
17455,47,47032,47240,Bon-Encontre,bon encontre,44.210320440252,0.69706006289308
17456,47,47033,47290,Boudy-de-Beauregard,boudy de beauregard,44.543210363636,0.67517118181818
17457,47,47034,47250,Bouglon,bouglon,44.40589875,0.10203595588235
17458,47,47035,47410,Bourgougnague,bourgougnague,44.618710390625,0.420403046875
17459,47,47036,47370,Bourlens,bourlens,44.423201554054,0.97243905405405
17460,47,47037,47210,Bournel,bournel,44.635448345324,0.68033223021583
17461,47,47038,47320,Bourran,bourran,44.328389760479,0.41736185628743
17462,47,47039,47420,Boussès,bousses,44.157084666667,0.076744
17463,47,47040,47310,Brax,brax,44.2000327,0.5593125
17464,47,47041,47130,Bruch,bruch,44.205385419847,0.40488389312977
17465,47,47042,47260,Brugnac,brugnac,44.452517973856,0.44833052287582
17466,47,47043,47160,Buzet-sur-Baïse,buzet sur baise,44.252098275862,0.29920020689655
17467,47,47044,47330,Cahuzac,cahuzac,44.664514619883,0.56158883040936
17468,47,47045,47600,Calignac,calignac,44.133216791045,0.42346417910448
17469,47,47046,47430,Calonges,calonges,44.37261929078,0.22527921985816
17470,47,47047,47350,Cambes,cambes,44.596507463768,0.27588057971014
17471,47,47048,47290,Cancon,cancon,44.546616570048,0.62296603864734
17472,47,47049,47440,Casseneuil,casseneuil,44.452400876289,0.61833520618557
17473,47,47050,47340,Cassignas,cassignas,44.301376526316,0.78094157894737
17474,47,47051,47240,Castelculier,castelculier,44.186264591195,0.70814452830189
17475,47,47052,47700,Casteljaloux,casteljaloux,44.313600677966,0.08575937853107
17476,47,47053,47340,Castella,castella,44.31081144,0.67710976
17477,47,47054,47260,Castelmoron-sur-Lot,castelmoron sur lot,44.408058465909,0.48350465909091
17478,47,47055,47290,Castelnaud-de-Gratecambe,castelnaud de gratecambe,44.500959192547,0.68687888198758
17479,47,47056,47180,Castelnau-sur-Gupie,castelnau sur gupie,44.576455690608,0.14134972375691
17480,47,47057,47330,Castillonnès,castillonnes,44.646233155738,0.60516192622951
17481,47,47058,47160,Caubeyres,caubeyres,44.261045833333,0.21331305555556
17482,47,47059,47120,Caubon-Saint-Sauveur,caubon saint sauveur,44.592349205298,0.18449298013245
17483,47,47060,47220,Caudecoste,caudecoste,44.11533465,0.74178245
17484,47,47061,47430,Caumont-sur-Garonne,caumont sur garonne,44.42449979798,0.17530555555556
17485,47,47062,47470,Cauzac,cauzac,44.273083837209,0.82458337209302
17486,47,47063,47330,Cavarc,cavarc,44.676912564103,0.64112076923077
17487,47,47064,47370,Cazideroque,cazideroque,44.402697622951,0.92810131147541
17488,47,47065,47320,Clairac,clairac,44.37050201005,0.37369361809045
17489,47,47066,47130,Clermont-Dessous,clermont dessous,44.252758677249,0.45224523809524
17490,47,47067,47270,Clermont-Soubiran,clermont soubiran,44.142473023256,0.84201237209302
17491,47,47068,47250,Cocumont,cocumont,44.450775596708,0.03773518518519
17492,47,47069,47450,Colayrac-Saint-Cirq,colayrac saint cirq,44.238416551724,0.568258
17493,47,47070,47500,Condezaygues,condezaygues,44.489813709677,0.90731556451613
17494,47,47071,47260,Coulx,coulx,44.472730941176,0.46328876470588
17495,47,47072,47370,Courbiac,courbiac,44.377672934783,1.041239673913
17496,47,47073,47360,Cours,cours,44.327490314465,0.58972440251572
17497,47,47074,47180,Couthures-sur-Garonne,couthures sur garonne,44.516704545455,0.06877606060606
17498,47,47075,47340,La Croix-Blanche,la croix blanche,44.290854437086,0.69330947019868
17499,47,47076,47220,Cuq,cuq,44.083949554455,0.71639178217822
17500,47,47077,47500,Cuzorn,cuzorn,44.547168482143,0.95147044642857
17501,47,47078,47160,Damazan,damazan,44.289358387097,0.27610032258065
17502,47,47079,47140,Dausse,dausse,44.386091315789,0.88530947368421
17503,47,47080,47210,Dévillac,devillac,44.607158222222,0.81052933333333
17504,47,47081,47110,Dolmayrac,dolmayrac,44.359678846154,0.58070897435897
17505,47,47082,47470,Dondas,dondas,44.243219,0.85440666666667
17506,47,47083,47210,Doudrac,doudrac,44.665847763975,0.6748747826087
17507,47,47084,47330,Douzains,douzains,44.636834415584,0.54470538961039
17508,47,47085,47420,Durance,durance,44.153886086957,0.17328282608696
17509,47,47086,47120,Duras,duras,44.679921875,0.19544721153846
