,,,,-LOT,,,
17103,46,46001,46140,Albas,albas,44.463614673913,1.2387177173913
17104,46,46002,46500,Albiac,albiac,44.7666934375,1.81273828125
17105,46,46003,46500,Alvignac,alvignac,44.837093096774,1.6910850322581
17106,46,46004,46120,Anglars,anglars,44.750633333333,1.8957463333333
17107,46,46005,46140,Anglars-Juillac,anglars juillac,44.483906875,1.21201421875
17108,46,46006,46300,Anglars-Nozac,anglars nozac,44.784904144737,1.4052932894737
17109,46,46007,46090,Arcambal,arcambal,44.452817978723,1.5430076595745
17110,46,46008,46250,Les Arques,les arques,44.598699529412,1.243555
17111,46,46009,46320,Assier,assier,44.675841586207,1.8773366206897
17112,46,46010,46090,Aujols,aujols,44.425311068702,1.5480929007634
17113,46,46011,46400,Autoire,autoire,44.858917329193,1.8243986335404
17114,46,46012,46120,Aynac,aynac,44.787428995633,1.8591447598253
17115,46,46013,46230,Bach,bach,44.338102168675,1.6815979919679
17116,46,46014,46800,Bagat-en-Quercy,bagat en quercy,44.382640136054,1.2271461904762
17117,46,46015,46270,Bagnac-sur-Célé,bagnac sur cele,44.66103996124,2.1463094186047
17118,46,46016,46600,Baladou,baladou,44.922558028169,1.5617880985915
17119,46,46017,46400,Bannes,bannes,44.812282621951,1.9196381097561
17120,46,46018,46500,Le Bastit,le bastit,44.713889915254,1.6706172881356
17121,46,46020,46260,Beauregard,beauregard,44.347273910256,1.7848282051282
17122,46,46021,46100,Béduer,beduer,44.575321809045,1.9317253768844
17123,46,46022,46140,Bélaye,belaye,44.452025568862,1.1894822155689
17124,46,46023,46230,Belfort-du-Quercy,belfort du quercy,44.272029824561,1.5500790350877
17125,46,46024,46130,Belmont-Bretenoux,belmont bretenoux,44.88847326087,1.8846964492754
17126,46,46026,46230,Belmont-Sainte-Foi,belmont sainte foi,44.291585416667,1.6310730208333
17127,46,46027,46090,Berganty,berganty,44.442043376623,1.6294272727273
17128,46,46028,46110,Bétaille,betaille,44.945773055556,1.7328465972222
17129,46,46029,46130,Biars-sur-Cère,biars sur cere,44.927815125,1.85840325
17130,46,46030,46500,Bio,bio,44.777177207207,1.7928497297297
17131,46,46031,46330,Blars,blars,44.572524150943,1.7337379874214
17132,46,46032,46150,Boissières,boissieres,44.547202371795,1.4083326282051
17133,46,46033,46800,Le Boulvé,le boulve,44.421778671875,1.145290546875
17134,46,46034,46120,Le Bourg,le bourg,44.707038389262,1.9103554362416
17135,46,46035,46100,Boussac,boussac,44.597304434783,1.9206366086956
17136,46,46036,46120,Le Bouyssou,le bouyssou,44.69358875,1.9491758653846
17137,46,46037,46330,Bouziès,bouzies,44.480233505155,1.6399207216495
17138,46,46038,46130,Bretenoux,bretenoux,44.914843333333,1.8445925
17139,46,46039,46320,Brengues,brengues,44.579321923077,1.8317183516483
17140,46,46040,46330,Cabrerets,cabrerets,44.518060825082,1.6224362046205
17141,46,46041,46160,Cadrieu,cadrieu,44.501203272727,1.8744958181818
17142,46,46042,46000,Cahors,cahors,44.447490825959,1.4370111504425
17143,46,46043,46130,Cahus,cahus,44.962821180124,1.9147165838509
17144,46,46044,46140,Caillac,caillac,44.493369873418,1.3487141772152
17145,46,46045,46160,Cajarc,cajarc,44.493308248588,1.8376981920904
17146,46,46046,46150,Calamane,calamane,44.522408645833,1.4076320833333
17147,46,46047,46350,Calès,cales,44.802330183486,1.54819
17148,46,46049,46160,Calvignac,calvignac,44.449363030303,1.7842155151515
17149,46,46050,46140,Cambayrac,cambayrac,44.430442446043,1.2880909352518
17150,46,46051,46100,Cambes,cambes,44.62030984127,1.9255965079365
17151,46,46052,46100,Camboulit,camboulit,44.601924473684,1.9532861403509
17152,46,46053,46100,Camburat,camburat,44.645329159664,1.9983855462185
17153,46,46054,46240,Caniac-du-Causse,caniac du causse,44.628318734177,1.6508033544304
17154,46,46055,46100,Capdenac,capdenac,44.580957,2.0676332
17155,46,46056,46160,Carayac,carayac,44.53931254717,1.9224583962264
17156,46,46057,46100,Cardaillac,cardaillac,44.683276244898,2.0147277142857
17157,46,46058,46110,Carennac,carennac,44.9100656,1.7259524
17158,46,46059,46500,Carlucet,carlucet,44.738769556962,1.6042810126582
17159,46,46060,46140,Carnac-Rouffiac,carnac rouffiac,44.41618795082,1.2225330327869
17160,46,46061,46700,Cassagnes,cassagnes,44.564096037736,1.1315364150943
17161,46,46062,46140,Castelfranc,castelfranc,44.505657213115,1.2220032786885
17162,46,46063,46170,Castelnau Montratier-Sainte Alauzie,castelnau montratier sainte alauzie,44.265636707617,1.3439223832924
17163,46,46064,46150,Catus,catus,44.556576538462,1.3373500641026
17164,46,46065,46110,Cavagnac,cavagnac,45.013746513158,1.6400004605263
17165,46,46066,46250,Cazals,cazals,44.644816413793,1.2174462758621
17166,46,46067,46600,Cazillac,cazillac,44.987725837104,1.6007177375566
17167,46,46068,46330,Cénevières,cenevieres,44.444558629032,1.739627016129
17168,46,46069,46170,Cézac,cezac,44.346225885714,1.3385906285714
17169,46,46070,46230,Cieurac,cieurac,44.373519419355,1.4991452903226
17170,46,46072,46310,Concorès,concores,44.672387570093,1.3852044859813
17171,46,46073,46260,Concots,concots,44.395045693069,1.6419764851485
17172,46,46074,46110,Condat,condat,44.990517358491,1.6658525471698
17173,46,46075,46100,Corn,corn,44.605823959732,1.8893704026846
17174,46,46076,46130,Cornac,cornac,44.902044923077,1.9200942692308
17175,46,46078,46500,Couzou,couzou,44.774616568047,1.6344978106509
17176,46,46079,46360,Cras,cras,44.554767114094,1.5439891275168
17177,46,46080,46150,Crayssac,crayssac,44.51560734375,1.32689609375
17178,46,46081,46330,Crégols,cregols,44.429030742574,1.6936687623762
17179,46,46082,46230,Cremps,cremps,44.395940304878,1.5860726219512
17180,46,46083,46600,Cressensac,cressensac,45.020059872611,1.5245991082803
17181,46,46084,46600,Creysse,creysse,44.904678611111,1.5936481481482
17182,46,46085,46270,Cuzac,cuzac,44.581193853211,2.1381906422018
17183,46,46086,46600,Cuzance,cuzance,44.964715391304,1.5297045652174
17184,46,46087,46340,Dégagnac,degagnac,44.671976860841,1.3206627508091
17185,46,46088,46140,Douelle,douelle,44.469600714286,1.3594468367347
17186,46,46089,46700,Duravel,duravel,44.521464055944,1.0795775524475
17187,46,46090,46320,Durbans,durbans,44.6762829,1.7623858
17188,46,46091,46230,Escamps,escamps,44.367401639344,1.6235334426229
17189,46,46092,46090,Esclauzels,esclauzels,44.430978216216,1.5963635135135
