,,,,-LOZERE,,,
17743,48,48001,48310,Albaret-le-Comtal,albaret le comtal,44.865700166113,3.144382923588
17744,48,48002,48200,Albaret-Sainte-Marie,albaret sainte marie,44.879271776062,3.2546372200772
17745,48,48003,48190,Allenc,allenc,44.546374407895,3.6768369078947
17746,48,48004,48800,Altier,altier,44.472198783784,3.8582028828829
17747,48,48005,48100,Antrenas,antrenas,44.588741859296,3.2520597487437
17748,48,48007,48310,Arzenc-d'Apcher,arzenc d apcher,44.846322132353,3.11302625
17749,48,48008,48170,Arzenc-de-Randon,arzenc de randon,44.651091850649,3.6242571753247
17750,48,48009,48130,Peyre en Aubrac,peyre en aubrac,44.696546885007,3.2665606113537
17751,48,48010,48600,Auroux,auroux,44.755882624113,3.7266027304965
17752,48,48012,48200,Les Monts-Verts,les monts verts,44.848544041812,3.2156648432056
17753,48,48013,48000,Badaroux,badaroux,44.54233372093,3.5554565581395
17754,48,48015,48800,Pied-de-Borne,pied de borne,44.481943553719,3.9690023140496
17755,48,48016,48000,Balsièges,balsieges,44.475944881517,3.4451925592417
17756,48,48017,48500,Banassac-Canilhac,banassac canilhac,44.432615463918,3.1717996219931
17757,48,48018,48000,Barjac,barjac,44.520017644788,3.4080451737452
17758,48,48019,48400,Barre-des-Cévennes,barre des cevennes,44.259517018634,3.679445931677
17759,48,48020,48400,Bassurels,bassurels,44.15896275,3.6070308333333
17760,48,48021,48250,La Bastide-Puylaurent,la bastide puylaurent,44.566835343137,3.8906421078431
17761,48,48025,48200,Les Bessons,les bessons,44.774808473684,3.2443456842105
17762,48,48026,48200,Blavignac,blavignac,44.867853155738,3.281019795082
17763,48,48027,48170,Mont Lozère et Goulet,mont lozere et goulet,44.425963,3.739343
17764,48,48027,48190,Mont Lozère et Goulet,mont lozere et goulet,44.4850169,3.7315531
17765,48,48027,48250,Mont Lozère et Goulet,mont lozere et goulet,44.425963,3.739343
17766,48,48028,48400,Les Bondons,les bondons,44.394322765957,3.6404265106383
17767,48,48029,48000,Le Born,le born,44.588181666667,3.5600934803922
17768,48,48030,48000,Brenoux,brenoux,44.48730696,3.53328192
17769,48,48031,48310,Brion,brion,44.7494508125,3.0698685
17770,48,48032,48100,Le Buisson,le buisson,44.630040858896,3.2271233435583
17771,48,48034,48500,La Canourgue,la canourgue,44.429489155405,3.2461107094595
17772,48,48036,48400,Cassagnas,cassagnas,44.27387174216,3.7237344250871
17773,48,48037,48190,Chadenet,chadenet,44.50849766129,3.6390501612903
17774,48,48038,48600,Chambon-le-Château,chambon le chateau,44.858618598726,3.6534626751592
17775,48,48039,48230,Chanac,chanac,44.453918881579,3.3359405921053
17776,48,48041,48300,Chastanier,chastanier,44.722630565217,3.7530441304348
17777,48,48042,48000,Chastel-Nouvel,chastel nouvel,44.565962719665,3.4904282426778
17778,48,48043,48170,Châteauneuf-de-Randon,chateauneuf de randon,44.643581071429,3.6850625892857
17779,48,48044,48310,Chauchailles,chauchailles,44.795502976191,3.0748370833333
17780,48,48045,48170,Chaudeyrac,chaudeyrac,44.64721695122,3.756410203252
17781,48,48046,48140,Chaulhac,chaulhac,44.920310298507,3.2650823134328
17782,48,48048,48300,Cheylard-l'Évêque,cheylard l eveque,44.6456886,3.80802368
17783,48,48050,48400,Bédouès-Cocurès,bedoues cocures,44.348340325581,3.6331309302326
17784,48,48051,48160,Le Collet-de-Dèze,le collet de deze,44.252387941177,3.9269778431372
17785,48,48053,48190,Cubières,cubieres,44.475533805668,3.7890404453441
17786,48,48054,48190,Cubiérettes,cubierettes,44.454122321429,3.7863930357143
17787,48,48055,48230,Cultures,cultures,44.489314567901,3.3848913580247
17788,48,48056,48230,Esclanèdes,esclanedes,44.483808547009,3.3666698290598
17789,48,48057,48700,Estables,estables,44.679332682927,3.4969025609756
17790,48,48058,48310,La Fage-Montivernoux,la fage montivernoux,44.741691352941,3.148622
17791,48,48059,48200,La Fage-Saint-Julien,la fage saint julien,44.802749513274,3.2188613716814
17792,48,48061,48400,Florac Trois Rivières,florac trois rivieres,44.317005629139,3.618590397351
17793,48,48063,48700,Fontans,fontans,44.740117133758,3.3744047452229
17794,48,48064,48310,Fournels,fournels,44.808436756757,3.1262633976834
17795,48,48065,48400,Fraissinet-de-Fourques,fraissinet de fourques,44.214228881119,3.5353706293706
17796,48,48067,48110,Gabriac,gabriac,44.1817625,3.7127305
17797,48,48068,48100,Gabrias,gabrias,44.548844105263,3.3796578421053
17798,48,48069,48150,Gatuzières,gatuzieres,44.191712422908,3.4994391629956
17799,48,48070,48600,Grandrieu,grandrieu,44.779633787129,3.640013019802
17800,48,48071,48260,Grandvals,grandvals,44.732114751773,3.0558986524823
17801,48,48072,48100,Grèzes,grezes,44.513793153153,3.3417258558559
17802,48,48073,48340,Les Hermaux,les hermaux,44.52135354717,3.1337755849057
17803,48,48074,48150,Hures-la-Parade,hures la parade,44.246044371728,3.3807887172775
17804,48,48075,48320,Ispagnac,ispagnac,44.396972300885,3.529425840708
17805,48,48077,48140,Julianges,julianges,44.933814628099,3.3182683471074
17806,48,48078,48100,Lachamp,lachamp,44.606065625,3.3610850446429
17807,48,48079,48120,Lajo,lajo,44.827187021277,3.4280753723404
17808,48,48080,48300,Langogne,langogne,44.723774222222,3.8331705
17809,48,48081,48000,Lanuéjols,lanuejols,44.494033053892,3.5821779640719
17810,48,48082,48170,Laubert,laubert,44.59678091954,3.6519789655172
17811,48,48083,48700,Les Laubies,les laubies,44.702588973214,3.4371208482143
17812,48,48085,48500,Laval-du-Tarn,laval du tarn,44.378298989547,3.3492740418118
17813,48,48086,48250,Luc,luc,44.645115564854,3.8653553556485
17814,48,48087,48100,Prinsuéjols-Malbouzon,prinsuejols malbouzon,44.700656,3.135493
17815,48,48087,48270,Prinsuéjols-Malbouzon,prinsuejols malbouzon,44.7096399,3.1227702
17816,48,48088,48210,La Malène,la malene,44.312396416667,3.310597
17817,48,48089,48140,Le Malzieu-Forain,le malzieu forain,44.859011294964,3.3751035971223
17818,48,48090,48140,Le Malzieu-Ville,le malzieu ville,44.86317124031,3.3397366666667
17819,48,48091,48260,Marchastel,marchastel,44.63246792,3.1029121866667
17820,48,48092,48100,Marvejols,marvejols,44.556836311111,3.2881893777778
17821,48,48094,48210,Massegros Causses Gorges,massegros causses gorges,44.309882,3.173637
17822,48,48094,48500,Massegros Causses Gorges,massegros causses gorges,44.309882,3.173637
17823,48,48095,48000,Mende,mende,44.532083877005,3.4846506951872
17824,48,48096,48150,Meyrueis,meyrueis,44.172805288462,3.4571197435897
17825,48,48097,48110,Moissac-Vallée-Française,moissac vallee francaise,44.15655368932,3.7885550485437
17826,48,48098,48110,Molezon,molezon,44.2144052,3.6925079428571
17827,48,48099,48100,Bourgs sur Colagne,bourgs sur colagne,44.535195586735,3.2284285204082
17828,48,48100,48170,Montbel,montbel,44.598008828125,3.703037421875
17829,48,48103,48100,Montrodat,montrodat,44.557230133929,3.3265828571429
17830,48,48104,48260,Nasbinals,nasbinals,44.647640023256,3.0624804651163
17831,48,48105,48300,Naussac-Fontanes,naussac fontanes,44.762268643411,3.7979776744186
17832,48,48106,48310,Noalhac,noalhac,44.798701791531,3.1136140716612
17833,48,48107,48100,Palhers,palhers,44.519361037736,3.3077338679245
17834,48,48108,48600,La Panouse,la panouse,44.744725301724,3.5975246551724
17835,48,48110,48140,Paulhac-en-Margeride,paulhac en margeride,44.943851862745,3.3842060784314
17836,48,48111,48000,Pelouse,pelouse,44.570075168539,3.603138988764
