,,,,-MAINE-ET-LOIRE,,,
17907,49,49002,49650,Allonnes,allonnes,47.295189044586,0.01334280254777
17908,49,49003,49700,Tuffalun,tuffalun,47.272018208333,-0.33249595833333
17909,49,49007,49000,Angers,angers,47.501835,-0.517146
17910,49,49007,49100,Angers,angers,47.491878,-0.5478767
17911,49,49008,49440,Angrie,angrie,47.570775598592,-0.97257126760563
17912,49,49009,49260,Antoigné,antoigne,47.074881752577,-0.13397505154639
17913,49,49010,49420,Armaillé,armaille,47.710150402299,-1.1403542528736
17914,49,49011,49260,Artannes-sur-Thouet,artannes sur thouet,47.199557192982,-0.09674877192982
17915,49,49012,49540,Aubigné-sur-Layon,aubigne sur layon,47.215106893204,-0.47726436893204
17916,49,49015,49240,Avrillé,avrille,47.505619632353,-0.60364845588235
17917,49,49017,49430,Baracé,barace,47.647614615385,-0.35380490384615
17918,49,49018,49150,Baugé-en-Anjou,bauge en anjou,47.566267789165,-0.11110112737921
17919,49,49020,49070,Beaucouzé,beaucouze,47.480018483412,-0.6418628436019
17920,49,49021,49250,Beaufort-en-Anjou,beaufort en anjou,47.446433621399,-0.20819312757202
17921,49,49022,49750,Beaulieu-sur-Layon,beaulieu sur layon,47.315608,-0.60198846153846
17922,49,49023,49110,Beaupréau-en-Mauges,beaupreau en mauges,47.206472,-0.9916559
17923,49,49023,49450,Beaupréau-en-Mauges,beaupreau en mauges,47.1120454,-1.0368513
17924,49,49023,49510,Beaupréau-en-Mauges,beaupreau en mauges,47.1913927,-0.8749347
17925,49,49023,49600,Beaupréau-en-Mauges,beaupreau en mauges,47.206472,-0.9916559
17926,49,49026,49370,Bécon-les-Granits,becon les granits,47.492717106017,-0.80297358166189
17927,49,49027,49122,Bégrolles-en-Mauges,begrolles en mauges,47.133997837838,-0.92753747747748
17928,49,49028,49170,Béhuard,behuard,47.378334166667,-0.65256138888889
17929,49,49029,49320,Blaison-Saint-Sulpice,blaison saint sulpice,47.380867019868,-0.38203748344371
17930,49,49030,49160,Blou,blou,47.362465449102,-0.0549905988024
17931,49,49035,49080,Bouchemaine,bouchemaine,47.434161857143,-0.62857878571429
17932,49,49036,49520,Bouillé-Ménard,bouille menard,47.735036707317,-0.96883140243902
17933,49,49038,49520,Bourg-l'Évêque,bourg l eveque,47.733988541667,-1.0146510416667
17934,49,49041,49650,Brain-sur-Allonnes,brain sur allonnes,47.296189575758,0.064872
17935,49,49045,49390,La Breille-les-Pins,la breille les pins,47.35148254717,0.0827320754717
17936,49,49046,49260,Brézé,breze,47.1632867,-0.0478892
17937,49,49048,49125,Briollay,briollay,47.577130147059,-0.49803441176471
17938,49,49050,49250,Brissac Loire Aubance,brissac loire aubance,47.356497,-0.448862
17939,49,49050,49320,Brissac Loire Aubance,brissac loire aubance,47.356497,-0.448862
17940,49,49053,49700,Brossay,brossay,47.171181571429,-0.21448071428571
17941,49,49054,49440,Candé,cande,47.558665086207,-1.0344485344828
17942,49,49055,49460,Cantenay-Épinard,cantenay epinard,47.536651134752,-0.56881638297872
17943,49,49056,49420,Carbay,carbay,47.730112264151,-1.2221508490566
17944,49,49057,49310,Cernusson,cernusson,47.167055656566,-0.48395262626263
17945,49,49058,49360,Les Cerqueux,les cerqueux,47.003561837838,-0.63960886486486
17946,49,49060,49400,Chacé,chace,47.206791553398,-0.07332689320388
17947,49,49061,49440,Challain-la-Potherie,challain la potherie,47.62346875,-1.0904139930556
17948,49,49063,49290,Chalonnes-sur-Loire,chalonnes sur loire,47.341180074906,-0.77300397003745
17949,49,49064,49220,Chambellay,chambellay,47.690305625,-0.69146525
17950,49,49065,49330,Les Hauts d'Anjou,les hauts d anjou,47.703569329502,-0.54289344827586
17951,49,49067,49220,Chenillé-Champteussé,chenille champteusse,47.679308167939,-0.65919198473282
17952,49,49068,49123,Champtocé-sur-Loire,champtoce sur loire,47.437741419355,-0.88241741935484
17953,49,49069,49270,Orée d'Anjou,oree d anjou,47.3376918,-1.2638726
17954,49,49069,49530,Orée d'Anjou,oree d anjou,47.342087,-1.164507
17955,49,49070,49340,Chanteloup-les-Bois,chanteloup les bois,47.088822490272,-0.69352941634241
17956,49,49076,49140,La Chapelle-Saint-Laud,la chapelle saint laud,47.61392380597,-0.29986962686567
17957,49,49080,49330,Châteauneuf-sur-Sarthe,chateauneuf sur sarthe,47.68688,-0.49599030864198
17958,49,49082,49290,Chaudefonds-sur-Layon,chaudefonds sur layon,47.324908247423,-0.72818268041237
17959,49,49086,49380,Terranjou,terranjou,47.2717193,-0.5078841
17960,49,49086,49540,Terranjou,terranjou,47.2231779,-0.4356667
17961,49,49089,49500,Chazé-sur-Argos,chaze sur argos,47.616009095607,-0.90524105943152
17962,49,49090,49125,Cheffes,cheffes,47.623512543353,-0.52012
17963,49,49092,49120,Chemillé-en-Anjou,chemille en anjou,47.2100819,-0.7274078
17964,49,49092,49310,Chemillé-en-Anjou,chemille en anjou,47.2100819,-0.7274078
