,,,,-MANCHE,,,
18127,50,50002,50180,Agneaux,agneaux,49.115893113208,-1.127338490566
18128,50,50003,50230,Agon-Coutainville,agon coutainville,49.032469933333,-1.5728435333333
18129,50,50004,50680,Airel,airel,49.216828993289,-1.0802747651007
18130,50,50006,50620,Amigny,amigny,49.156408809524,-1.1841120238095
18131,50,50007,50200,Ancteville,ancteville,49.104636363636,-1.4598704545454
18132,50,50008,50400,Anctoville-sur-Boscq,anctoville sur boscq,48.847644,-1.5267816
18133,50,50013,50760,Anneville-en-Saire,anneville en saire,49.634164285714,-1.2881692857143
18134,50,50014,50560,Anneville-sur-Mer,anneville sur mer,49.120023333333,-1.5822645454545
18135,50,50015,50660,Annoville,annoville,48.96270173913,-1.5269414130435
18136,50,50016,50500,Appeville,appeville,49.323900903614,-1.3323154819277
18137,50,50019,50170,Aucey-la-Plaine,aucey la plaine,48.525930273224,-1.4757086885246
18138,50,50021,50480,Audouville-la-Hubert,audouville la hubert,49.413584395604,-1.2279840659341
18139,50,50022,50630,Aumeville-Lestre,aumeville lestre,49.538124651163,-1.3246034883721
18140,50,50023,50500,Auvers,auvers,49.301134383562,-1.3292843378995
18141,50,50024,50500,Auxais,auxais,49.213449401709,-1.3056216239316
18142,50,50025,50300,Avranches,avranches,48.690274409449,-1.3551733070866
18143,50,50026,50310,Azeville,azeville,49.456605737705,-1.3138936065574
18144,50,50027,50530,Bacilly,bacilly,48.705772410256,-1.4329271282051
18145,50,50028,50450,La Baleine,la baleine,48.926434545455,-1.3052878181818
18146,50,50029,50720,Barenton,barenton,48.606366498674,-0.8368974270557
18147,50,50030,50760,Barfleur,barfleur,49.669018032787,-1.2636070491803
18148,50,50031,50270,Barneville-Carteret,barneville carteret,49.377723069307,-1.7733547029703
18149,50,50032,50810,La Barre-de-Semilly,la barre de semilly,49.106506,-1.0174006315789
18150,50,50033,50270,Baubigny,baubigny,49.428418070175,-1.7959377192982
18151,50,50034,50000,Baudre,baudre,49.088147727273,-1.0692688636364
18152,50,50036,50500,Baupte,baupte,49.310330508475,-1.3671176271186
18153,50,50038,50320,Beauchamps,beauchamps,48.836141682243,-1.3668659813084
18154,50,50039,50420,Beaucoudray,beaucoudray,48.959228829787,-1.1424476595745
18155,50,50040,50150,Beauficel,beauficel,48.739900764331,-0.96350356687898
18156,50,50041,50440,La Hague,la hague,49.7269689,-1.939925
18157,50,50041,50460,La Hague,la hague,49.6673515,-1.6953797
18158,50,50041,50690,La Hague,la hague,49.583203,-1.728931
18159,50,50042,50170,Beauvoir,beauvoir,48.598935471698,-1.5154481132076
18160,50,50044,50210,Belval,belval,49.052966705882,-1.3574484705882
18161,50,50045,50340,Benoîtville,benoitville,49.531311711712,-1.7761204504504
18162,50,50046,50810,Bérigny,berigny,49.141097087379,-0.94253766990291
18163,50,50048,50800,Beslon,beslon,48.850623157895,-1.1505742982456
18164,50,50049,50390,Besneville,besneville,49.376356292135,-1.6277571348315
18165,50,50050,50420,Beuvrigny,beuvrigny,48.965779857143,-1.007196
18166,50,50052,50360,Beuzeville-la-Bastille,beuzeville la bastille,49.355682181818,-1.3643092727273
18167,50,50054,50160,Biéville,bieville,49.076430508475,-0.8853170338983
18168,50,50055,50390,Biniville,biniville,49.428984285714,-1.4846192857143
18169,50,50058,50560,Blainville-sur-Mer,blainville sur mer,49.07186080292,-1.5781325547445
18170,50,50059,50480,Blosville,blosville,49.37165825,-1.289843875
18171,50,50060,50800,La Bloutière,la bloutiere,48.869355960591,-1.2485588669951
18172,50,50062,50800,Boisyvon,boisyvon,48.809203571429,-1.1276646428571
18173,50,50064,50360,La Bonneville,la bonneville,49.39595527027,-1.4632180405405
18174,50,50066,50610,Jullouville,jullouville,48.763531703704,-1.5236979259259
18175,50,50069,50800,Bourguenolles,bourguenolles,48.796279180328,-1.2878195901639
18176,50,50070,50480,Boutteville,boutteville,49.39047862069,-1.2567786206897
18177,50,50072,50200,Brainville,brainville,49.0818675,-1.5007105263158
18178,50,50074,50370,Brécey,brecey,48.726312482014,-1.1737757553957
18179,50,50076,50290,Bréhal,brehal,48.900372662722,-1.525589112426
18180,50,50077,50110,Bretteville,bretteville,49.65176797619,-1.5113044047619
18181,50,50078,50430,Bretteville-sur-Ay,bretteville sur ay,49.260733974359,-1.616872948718
18182,50,50079,50260,Breuville,breuville,49.540216797753,-1.6602390449438
18183,50,50081,50290,Bréville-sur-Mer,breville sur mer,48.868075333333,-1.552054
18184,50,50082,50260,Bricquebec-en-Cotentin,bricquebec en cotentin,49.459976482505,-1.6573445488029
18185,50,50083,50340,Bricquebosq,bricquebosq,49.538821894737,-1.718485368421
18186,50,50084,50200,Bricqueville-la-Blouette,bricqueville la blouette,49.037582803738,-1.4767304672897
18187,50,50085,50290,Bricqueville-sur-Mer,bricqueville sur mer,48.917797251908,-1.5280660305344
18188,50,50086,50330,Brillevast,brillevast,49.623586639344,-1.4091004918033
18189,50,50087,50700,Brix,brix,49.552731930502,-1.5904466023166
18190,50,50088,50150,Brouains,brouains,48.722014778761,-0.96329327433628
18191,50,50089,50480,Brucheville,brucheville,49.363284189189,-1.212162972973
18192,50,50090,50640,Buais-Les-Monts,buais les monts,48.527869889503,-0.97761287292818
18193,50,50092,50200,Cambernon,cambernon,49.090827183908,-1.3879478735632
18194,50,50093,50570,Cametours,cametours,49.0684753,-1.2817348
18195,50,50094,50210,Camprond,camprond,49.093873134328,-1.3386119402985
18196,50,50095,50750,Canisy,canisy,49.078151497976,-1.1618784210526
18197,50,50096,50330,Canteloup,canteloup,49.640644516129,-1.3548524193548
18198,50,50097,50580,Canville-la-Rocque,canville la rocque,49.348370583333,-1.6387265
18199,50,50098,50570,Carantilly,carantilly,49.064219791667,-1.2480356944444
18200,50,50099,50480,Carentan les Marais,carentan les marais,49.305666,-1.242834
18201,50,50099,50500,Carentan les Marais,carentan les marais,49.305666,-1.242834
18202,50,50101,50330,Carneville,carneville,49.660752526316,-1.4442353684211
18203,50,50102,50740,Carolles,carolles,48.750500625,-1.5587811458333
18204,50,50103,50480,Carquebut,carquebut,49.37350057971,-1.3162879710145
18205,50,50105,50390,Catteville,catteville,49.355095315315,-1.5664175675676
18206,50,50106,50620,Cavigny,cavigny,49.190871956522,-1.1214383695652
18207,50,50107,50500,Catz,catz,49.312492794118,-1.1868767647059
18208,50,50108,50220,Céaux,ceaux,48.629012540984,-1.3857709016393
18209,50,50109,50510,Cérences,cerences,48.910042866894,-1.4375680887372
18210,50,50110,50680,Cerisy-la-Forêt,cerisy la foret,49.194713832117,-0.93772576642336
18211,50,50111,50210,Cerisy-la-Salle,cerisy la salle,49.031689429825,-1.2694047807018
18212,50,50112,50370,La Chaise-Baudouin,la chaise baudouin,48.761723653846,-1.2408315865385
