,,,,-MARNE,,,
18622,51,51001,51240,Ablancourt,ablancourt,48.808301139241,4.5191105063291
18623,51,51002,51530,Saint-Martin-d'Ablois,saint martin d ablois,49.0148931,3.8607588
18624,51,51003,51150,Aigny,aigny,49.0317584375,4.2070378125
18625,51,51004,51260,Allemanche-Launay-et-Soyer,allemanche launay et soyer,48.603446666667,3.7899442156863
18626,51,51005,51120,Allemant,allemant,48.763881123596,3.8104903370787
18627,51,51006,51250,Alliancelles,alliancelles,48.797781258278,4.8707334437086
18628,51,51007,51150,Ambonnay,ambonnay,49.093173789474,4.169276
18629,51,51008,51290,Ambrières,ambrieres,48.628040769231,4.8281316239316
18630,51,51009,51260,Anglure,anglure,48.587212926829,3.8137040243902
18631,51,51010,51230,Angluzelles-et-Courcelles,angluzelles et courcelles,48.664791411765,3.8992952941176
18632,51,51012,51700,Anthenay,anthenay,49.136242022472,3.7347507865168
18633,51,51013,51170,Aougny,aougny,49.189109487179,3.7257643589744
18634,51,51014,51170,Arcis-le-Ponsart,arcis le ponsart,49.223765966387,3.6873199159664
18635,51,51015,51800,Argers,argers,49.069610864198,4.8588274074074
18636,51,51016,51290,Arrigny,arrigny,48.608424358974,4.6940102051282
18637,51,51017,51290,Arzillières-Neuville,arzillieres neuville,48.64434214876,4.6045047933884
18638,51,51018,51150,Athis,athis,49.010868971963,4.1322174766355
18639,51,51019,51600,Aubérive,auberive,49.200946909091,4.421438
18640,51,51020,51170,Aubilly,aubilly,49.214523636364,3.8580613636364
18641,51,51022,51240,Aulnay-l'Aître,aulnay l aitre,48.827010612245,4.5775083673469
18642,51,51023,51150,Aulnay-sur-Marne,aulnay sur marne,49.003093839286,4.2017805357143
18643,51,51025,51110,Auménancourt,aumenancourt,49.3829090625,4.06383
18644,51,51027,51800,Auve,auve,49.027578767123,4.6916754794521
18645,51,51028,51160,Avenay-Val-d'Or,avenay val d or,49.073267152318,4.0477222516556
18646,51,51029,51190,Avize,avize,48.974768863636,4.0053277272727
18647,51,51030,51150,Aÿ-Champagne,ay champagne,49.053345,4.004499
18648,51,51030,51160,Aÿ-Champagne,ay champagne,49.053345,4.004499
18649,51,51031,51400,Baconnes,baconnes,49.165978431373,4.3393894117647
18650,51,51032,51260,Bagneux,bagneux,48.567733626374,3.8340259340659
18651,51,51033,51270,Le Baizil,le baizil,48.97115453125,3.79304328125
18652,51,51034,51270,Bannay,bannay,48.855653563218,3.7196181609195
18653,51,51035,51230,Bannes,bannes,48.795459411765,3.9273814705882
18654,51,51036,51120,Barbonne-Fayel,barbonne fayel,48.651948390805,3.6986872413793
18655,51,51037,51170,Baslieux-lès-Fismes,baslieux les fismes,49.322472727273,3.7096190909091
18656,51,51038,51700,Baslieux-sous-Châtillon,baslieux sous chatillon,49.120544,3.7916157333333
18657,51,51039,51300,Bassu,bassu,48.832187912088,4.6953932967033
18658,51,51040,51300,Bassuet,bassuet,48.802034769231,4.6692166153846
18659,51,51041,51260,Baudement,baudement,48.576554647887,3.7710936619718
18660,51,51042,51270,Baye,baye,48.861209358974,3.7547357692308
18661,51,51043,51110,Bazancourt,bazancourt,49.3624164,4.1676566666667
18662,51,51044,51360,Beaumont-sur-Vesle,beaumont sur vesle,49.175509009901,4.1875028712871
