,,,,-MAYENNE,,,
19669,53,53001,53940,Ahuillé,ahuille,48.020459971015,-0.87096968115942
19670,53,53002,53240,Alexain,alexain,48.233325880829,-0.74191821243523
19671,53,53003,53300,Ambrières-les-Vallées,ambrieres les vallees,48.416219854545,-0.63076090909091
19672,53,53005,53240,Andouillé,andouille,48.178397588235,-0.80037602941176
19673,53,53006,53290,Argenton-Notre-Dame,argenton notre dame,47.786183942857,-0.5991976
19674,53,53007,53210,Argentré,argentre,48.09033664,-0.62340392
19675,53,53008,53440,Aron,aron,48.301548989899,-0.54824641414141
19676,53,53009,53170,Arquenay,arquenay,47.981386108108,-0.59049064864865
19677,53,53010,53600,Assé-le-Bérenger,asse le berenger,48.155371623377,-0.31384818181818
19678,53,53011,53230,Astillé,astille,47.960733056478,-0.85053315614618
19679,53,53012,53400,Athée,athee,47.882329407407,-0.9376172962963
19680,53,53013,53700,Averton,averton,48.348917938596,-0.22116092105263
19681,53,53014,53200,Azé,aze,47.834248376384,-0.65987719557196
19682,53,53015,53240,La Baconnière,la baconniere,48.171890314465,-0.89821468553459
19683,53,53016,53160,Bais,bais,48.250736038647,-0.35445830917874
19684,53,53017,53340,Val-du-Maine,val du maine,47.935172302405,-0.39544432989691
19685,53,53018,53350,Ballots,ballots,47.907761578947,-1.0613376754386
19686,53,53019,53340,Bannes,bannes,47.987687627119,-0.34773661016949
19687,53,53021,53440,La Bazoge-Montpinçon,la bazoge montpincon,48.271056166667,-0.5867245
19688,53,53022,53170,La Bazouge-de-Chemeré,la bazouge de chemere,48.002686653226,-0.49533487903226
19689,53,53023,53470,La Bazouge-des-Alleux,la bazouge des alleux,48.182789662921,-0.59788303370786
19690,53,53025,53170,Bazougers,bazougers,48.032790583333,-0.59410804166667
19691,53,53026,53320,Beaulieu-sur-Oudon,beaulieu sur oudon,47.993816382979,-0.9890430212766
19692,53,53027,53290,Beaumont-Pied-de-Bœuf,beaumont pied de boeuf,47.910318340426,-0.43988212765957
19693,53,53028,53440,Belgeard,belgeard,48.255050074074,-0.56339162962963
19694,53,53029,53290,Bierné,bierne,47.804501693122,-0.53397158730159
19695,53,53030,53170,Le Bignon-du-Maine,le bignon du maine,47.951544768212,-0.6269240397351
19696,53,53031,53240,La Bigottière,la bigottiere,48.220813686869,-0.79297181818182
19697,53,53033,53800,La Boissière,la boissiere,47.775043269231,-0.97801057692308
19698,53,53034,53960,Bonchamp-lès-Laval,bonchamp les laval,48.070598046875,-0.702288046875
19699,53,53035,53800,Bouchamps-lès-Craon,bouchamps les craon,47.806182898551,-0.98225275362319
19700,53,53036,53290,Bouère,bouere,47.86034096875,-0.48525365625
19701,53,53037,53290,Bouessay,bouessay,47.871221322314,-0.38958925619835
19702,53,53038,53370,Boulay-les-Ifs,boulay les ifs,48.425680804598,-0.13620057471264
19703,53,53039,53410,Le Bourgneuf-la-Forêt,le bourgneuf la foret,48.161124038462,-0.97350246794872
19704,53,53040,53410,Bourgon,bourgon,48.164801727575,-1.0470224252492
19705,53,53041,53350,Brains-sur-les-Marches,brains sur les marches,47.884903760684,-1.1729365811966
19706,53,53042,53120,Brecé,brece,48.389471257485,-0.76982523952096
19707,53,53043,53150,Brée,bree,48.15191937799,-0.51864172248804
19708,53,53045,53410,La Brûlatte,la brulatte,48.093258636364,-0.97495401515151
19709,53,53046,53170,Le Buret,le buret,47.921483909091,-0.49275627272727
19710,53,53047,53120,Carelles,carelles,48.387728116592,-0.90371183856502
19711,53,53048,53420,Chailland,chailland,48.234046824513,-0.86967493036212
19712,53,53049,53470,Châlons-du-Maine,chalons du maine,48.157360784314,-0.64042346405229
19713,53,53051,53640,Champéon,champeon,48.36034738255,-0.5084555033557
19714,53,53052,53370,Champfrémont,champfremont,48.434161764706,-0.1053781512605
19715,53,53053,53160,Champgenéteux,champgeneteux,48.298417039474,-0.38811253289474
19716,53,53054,53810,Changé,change,48.111055777027,-0.79853212837838
19717,53,53055,53300,Chantrigné,chantrigne,48.411884440154,-0.55326216216216
19718,53,53056,53950,La Chapelle-Anthenaise,la chapelle anthenaise,48.125963617021,-0.65702815602837
19719,53,53057,53440,La Chapelle-au-Riboul,la chapelle au riboul,48.315308947368,-0.43235068111455
19720,53,53058,53230,La Chapelle-Craonnaise,la chapelle craonnaise,47.900852699386,-0.91359858895706
19721,53,53059,53150,La Chapelle-Rainsouin,la chapelle rainsouin,48.09317187251,-0.53952609561753
19722,53,53061,53250,Charchigné,charchigne,48.41726836478,-0.41050849056604
19723,53,53062,53200,Château-Gontier,chateau gontier,47.829302362637,-0.74046049450549
19724,53,53063,53200,Châtelain,chatelain,47.803824312268,-0.5995568401487
19725,53,53064,53100,Châtillon-sur-Colmont,chatillon sur colmont,48.338117902622,-0.76329573033708
19726,53,53065,53600,Châtres-la-Forêt,chatres la foret,48.129906482759,-0.41975048275862
19727,53,53066,53200,Chemazé,chemaze,47.769089075908,-0.75743181518152
19728,53,53067,53340,Chémeré-le-Roi,chemere le roi,47.977681333333,-0.45176847058824
19729,53,53068,53400,Chérancé,cherance,47.799248440367,-0.92195183486239
19730,53,53069,53250,Chevaigné-du-Maine,chevaigne du maine,48.44360806867,-0.39828686695279
19731,53,53071,53120,Colombiers-du-Plessis,colombiers du plessis,48.382652716049,-0.84984427983539
19732,53,53072,53470,Commer,commer,48.235207621951,-0.62342
19733,53,53073,53800,Congrier,congrier,47.80824187251,-1.1193624302789
19734,53,53074,53100,Contest,contest,48.260643682008,-0.6986839748954
19735,53,53075,53230,Cosmes,cosmes,47.920549388646,-0.88448074235808
19736,53,53076,53340,Cossé-en-Champagne,cosse en champagne,47.972512756757,-0.31292551351351
19737,53,53077,53230,Cossé-le-Vivien,cosse le vivien,47.943571342105,-0.9302645
19738,53,53078,53200,Coudray,coudray,47.792158704663,-0.63236590673575
19739,53,53079,53300,Couesmes-Vaucé,couesmes vauce,48.44729640411,-0.71233188356164
19740,53,53080,53250,Couptrain,couptrain,48.482731212121,-0.29197575757576
19741,53,53082,53230,Courbeveille,courbeveille,47.984043826531,-0.88655362244898
19742,53,53083,53700,Courcité,courcite,48.306918013937,-0.25302543554007
19743,53,53084,53400,Craon,craon,47.846214251701,-0.93727387755102
