,,,,-MEURTHE-ET-MOSELLE,,,
19923,54,54001,54610,Abaucourt,abaucourt,48.894339418605,6.2660770930233
19924,54,54002,54800,Abbéville-lès-Conflans,abbeville les conflans,49.200621894737,5.8433407368421
19925,54,54003,54115,Aboncourt,aboncourt,48.361838769231,5.9867736153846
19926,54,54004,54800,Affléville,affleville,49.264298712121,5.7551468939394
19927,54,54005,54740,Affracourt,affracourt,48.461038608696,6.1664534782609
19928,54,54006,54770,Agincourt,agincourt,48.731970641026,6.235262948718
19929,54,54007,54460,Aingeray,aingeray,48.735184095238,6.022747047619
19930,54,54008,54170,Allain,allain,48.551943846154,5.9202324175824
19931,54,54009,54800,Allamont,allamont,49.123396758242,5.7777291758242
19932,54,54010,54112,Allamps,allamps,48.547421549296,5.8153629577465
19933,54,54011,54260,Allondrelle-la-Malmaison,allondrelle la malmaison,49.51016255814,5.5662384883721
19934,54,54012,54770,Amance,amance,48.754455819672,6.3058931967213
19935,54,54013,54450,Amenoncourt,amenoncourt,48.628152962963,6.7844860493827
19936,54,54014,54450,Ancerviller,ancerviller,48.529251529412,6.8379152352941
19937,54,54015,54560,Anderny,anderny,49.335012809917,5.8768168595041
19938,54,54016,54200,Andilly,andilly,48.768720892857,5.8895573214286
19939,54,54017,54540,Angomont,angomont,48.506945163043,6.9732026086957
19940,54,54018,54150,Anoux,anoux,49.273139489796,5.8611818367347
19941,54,54019,54470,Ansauville,ansauville,48.814216210526,5.825528631579
19942,54,54020,54110,Anthelupt,anthelupt,48.604837894737,6.4164088596491
19943,54,54021,54760,Armaucourt,armaucourt,48.811876785714,6.2990623214286
19944,54,54022,54530,Arnaville,arnaville,49.01566972973,6.0229555405405
19945,54,54023,54370,Arracourt,arracourt,48.725642281879,6.5296104697987
19946,54,54024,54760,Arraye-et-Han,arraye et han,48.835376602564,6.298568974359
19947,54,54025,54510,Art-sur-Meurthe,art sur meurthe,48.660423740458,6.2626538167939
19948,54,54026,54370,Athienville,athienville,48.716244899329,6.488512885906
19949,54,54027,54700,Atton,atton,48.890535945946,6.1051890540541
19950,54,54028,54580,Auboué,auboue,49.211025185185,5.9752737962963
19951,54,54029,54560,Audun-le-Roman,audun le roman,49.364309178082,5.8923350684931
19952,54,54030,54450,Autrepierre,autrepierre,48.607508796296,6.7958005555555
19953,54,54031,54380,Autreville-sur-Moselle,autreville sur moselle,48.82763173913,6.1120286956522
19954,54,54032,54160,Autrey,autrey,48.532847319588,6.1271459793814
19955,54,54033,54490,Avillers,avillers,49.322770394737,5.7373936842105
19956,54,54034,54385,Avrainville,avrainville,48.766730294118,5.9421848529412
19957,54,54035,54450,Avricourt,avricourt,48.64217516129,6.8148216129032
19958,54,54036,54150,Avril,avril,49.294847295918,5.9681801530612
19959,54,54037,54210,Azelot,azelot,48.584675901639,6.2311768852459
19960,54,54038,54122,Azerailles,azerailles,48.493574385027,6.6984887700535
19961,54,54039,54120,Baccarat,baccarat,48.447259471366,6.733722246696
19962,54,54040,54540,Badonviller,badonviller,48.493935966851,6.910170718232
19963,54,54041,54170,Bagneux,bagneux,48.558261047619,5.8759339047619
19964,54,54042,54290,Bainville-aux-Miroirs,bainville aux miroirs,48.43630832,6.28389032
19965,54,54043,54550,Bainville-sur-Madon,bainville sur madon,48.591927835052,6.0835858762887
19966,54,54044,54450,Barbas,barbas,48.571107936508,6.8510984920635
19967,54,54045,54360,Barbonville,barbonville,48.551324044118,6.3552033823529
19968,54,54046,54170,Barisey-au-Plain,barisey au plain,48.524248850575,5.84843
19969,54,54047,54170,Barisey-la-Côte,barisey la cote,48.544217538462,5.8442616923077
19970,54,54048,54150,Les Baroches,les baroches,49.229627421384,5.8872879874214
19971,54,54049,54620,Baslieux,baslieux,49.438374392523,5.7533781308411
19972,54,54050,54370,Bathelémont,bathelemont,48.693945757576,6.5255157575758
19973,54,54051,54980,Batilly,batilly,49.17620345679,5.9702783950617
19974,54,54052,54115,Battigny,battigny,48.446154716981,5.9859350943396
19975,54,54053,54370,Bauzemont,bauzemont,48.670292531646,6.5326330379747
19976,54,54054,54290,Bayon,bayon,48.480008222222,6.3230079259259
19977,54,54055,54890,Bayonville-sur-Mad,bayonville sur mad,49.016901262136,5.995853592233
19978,54,54056,54620,Bazailles,bazailles,49.411165867769,5.7658866115702
19979,54,54057,54470,Beaumont,beaumont,48.849213950617,5.7870579012346
19980,54,54058,54800,Béchamps,bechamps,49.213955677966,5.7415781355932
19981,54,54059,54610,Belleau,belleau,48.847600157895,6.185934
19982,54,54060,54940,Belleville,belleville,48.813484054054,6.0860551351351
19983,54,54061,54450,Bénaménil,benamenil,48.570475031447,6.6624373584906
19984,54,54062,54740,Benney,benney,48.523584576271,6.2244963276836
19985,54,54063,54470,Bernécourt,bernecourt,48.853551,5.838361375
19986,54,54064,54480,Bertrambois,bertrambois,48.583261925926,7.0086157777778
19987,54,54065,54120,Bertrichamps,bertrichamps,48.432203647059,6.8044098235294
19988,54,54066,54640,Bettainvillers,bettainvillers,49.298123703704,5.9090416666667
19989,54,54067,54620,Beuveille,beuveille,49.433843769231,5.6728106153846
19990,54,54068,54115,Beuvezin,beuvezin,48.376419259259,5.9694454320988
19991,54,54069,54560,Beuvillers,beuvillers,49.388353472222,5.9195013888889
19992,54,54070,54760,Bey-sur-Seille,bey sur seille,48.79779952381,6.3367027380952
19993,54,54071,54370,Bezange-la-Grande,bezange la grande,48.747006830986,6.4708826056338
19994,54,54072,54380,Bezaumont,bezaumont,48.849383287671,6.1068857534247
19995,54,54073,54200,Bicqueley,bicqueley,48.627745645161,5.9334562096774
19996,54,54074,54300,Bienville-la-Petite,bienville la petite,48.632019074074,6.51519
19997,54,54075,54540,Bionville,bionville,48.49101369403,7.0170565298507
19998,54,54076,54360,Blainville-sur-l'Eau,blainville sur l eau,48.549371896552,6.4159665517241
19999,54,54077,54450,Blâmont,blamont,48.589088992806,6.8394247482014
20000,54,54078,54450,Blémerey,blemerey,48.580247979798,6.7340148484848
20001,54,54079,54700,Blénod-lès-Pont-à-Mousson,blenod les pont a mousson,48.877262166667,6.0599699166667
20002,54,54080,54113,Blénod-lès-Toul,blenod les toul,48.598445208333,5.8312283333333
20003,54,54081,54620,Boismont,boismont,49.409852180451,5.7395215789474
20004,54,54082,54800,Boncourt,boncourt,49.170450792079,5.8246635643564
20005,54,54083,54300,Bonviller,bonviller,48.628891694915,6.4914986440678
20006,54,54084,54111,Mont-Bonvillers,mont bonvillers,49.325536764706,5.8448776470588
20007,54,54085,54290,Borville,borville,48.44703010989,6.3958489010989
20008,54,54086,54200,Boucq,boucq,48.751589583333,5.7686226041667
20009,54,54087,54470,Bouillonville,bouillonville,48.939497647059,5.8461341176471
20010,54,54088,54200,Bouvron,bouvron,48.739276627907,5.8867132558139
20011,54,54089,54770,Bouxières-aux-Chênes,bouxieres aux chenes,48.771100070423,6.276919084507
20012,54,54090,54136,Bouxières-aux-Dames,bouxieres aux dames,48.758527222222,6.1628333333333
20013,54,54091,54700,Bouxières-sous-Froidmont,bouxieres sous froidmont,48.956107261905,6.1020280952381
20014,54,54092,54930,Bouzanville,bouzanville,48.370919464286,6.1059866964286
20015,54,54093,54800,Brainville,brainville,49.122582760736,5.7972390184049
20016,54,54094,54740,Bralleville,bralleville,48.410111195652,6.1897535869565
20017,54,54095,54610,Bratte,bratte,48.817018653846,6.2189230769231
20018,54,54096,54190,Bréhain-la-Ville,brehain la ville,49.43948962963,5.8807313580247
20019,54,54097,54540,Bréménil,bremenil,48.522170825688,6.9206037614679
20020,54,54098,54290,Brémoncourt,bremoncourt,48.490754678899,6.3602991743119
20021,54,54099,54150,Val de Briey,val de briey,49.248466,5.936677
20022,54,54099,54790,Val de Briey,val de briey,49.248466,5.936677
20023,54,54100,54280,Brin-sur-Seille,brin sur seille,48.776128404255,6.3667881914894
20024,54,54101,54120,Brouville,brouville,48.492066126761,6.7500242957746
20025,54,54102,54200,Bruley,bruley,48.712849873418,5.855044556962
20026,54,54103,54800,Bruville,bruville,49.123001851852,5.9204854320988
20027,54,54104,54110,Buissoncourt,buissoncourt,48.677981944444,6.3356515740741
20028,54,54105,54113,Bulligny,bulligny,48.572590795455,5.8452032954546
20029,54,54106,54370,Bures,bures,48.696935972222,6.5729254166667
20030,54,54107,54450,Buriville,buriville,48.538155966387,6.687872605042
20031,54,54108,54210,Burthecourt-aux-Chênes,burthecourt aux chenes,48.576474591837,6.247926122449
20032,54,54109,54134,Ceintrey,ceintrey,48.530816711409,6.175227114094
20033,54,54110,54420,Cerville,cerville,48.695618494624,6.3112458064516
20034,54,54111,54230,Chaligny,chaligny,48.632503082707,6.0920715037594
20035,54,54112,54890,Chambley-Bussières,chambley bussieres,49.053000825688,5.9090693577982
20036,54,54113,54280,Champenoux,champenoux,48.733365307692,6.3480901538462
20037,54,54114,54700,Champey-sur-Moselle,champey sur moselle,48.957700151515,6.0629142424242
20038,54,54115,54250,Champigneulles,champigneulles,48.726196880734,6.1378887155963
20039,54,54116,54300,Chanteheux,chanteheux,48.594813203883,6.5366193203884
20040,54,54117,54330,Chaouilley,chaouilley,48.443194871795,6.0642947435898
20041,54,54118,54260,Charency-Vezin,charency vezin,49.485281317829,5.5165068217054
20042,54,54119,54470,Charey,charey,48.995534545455,5.8582160606061
20043,54,54120,54113,Charmes-la-Côte,charmes la cote,48.625477446809,5.8294669148936
20044,54,54121,54360,Charmois,charmois,48.535031025641,6.3882142307692
20045,54,54122,54200,Chaudeney-sur-Moselle,chaudeney sur moselle,48.657009369369,5.9208855855856
20046,54,54123,54230,Chavigny,chavigny,48.629988352941,6.1304682352941
20047,54,54124,54450,Chazelles-sur-Albe,chazelles sur albe,48.590405737705,6.7727204918033
20048,54,54125,54122,Chenevières,chenevieres,48.5212018,6.6341238
20049,54,54126,54610,Chenicourt,chenicourt,48.859131351351,6.2878866216216
20050,54,54127,54720,Chenières,chenieres,49.474787980769,5.7668375961539
20051,54,54128,54200,Choloy-Ménillot,choloy menillot,48.653499825581,5.8088580813953
20052,54,54129,54480,Cirey-sur-Vezouze,cirey sur vezouze,48.587281606218,6.9421129015544
20053,54,54130,54290,Clayeures,clayeures,48.468248761062,6.4126223893805
20054,54,54131,54610,Clémery,clemery,48.881686371681,6.1774173451327
20055,54,54132,54330,Clérey-sur-Brenon,clerey sur brenon,48.50626,6.134401627907
