,,,,-MEUSE,,,
20517,55,55001,55130,Abainville,abainville,48.534437349398,5.5078246987952
20518,55,55002,55400,Abaucourt-Hautecourt,abaucourt hautecourt,49.196837295597,5.5427978616352
20519,55,55004,55110,Aincreville,aincreville,49.368430080645,5.1134109677419
20520,55,55005,55130,Amanty,amanty,48.518463888889,5.6042864814815
20521,55,55007,55300,Ambly-sur-Meuse,ambly sur meuse,49.020761439394,5.4491293181818
20522,55,55008,55230,Amel-sur-l'Étang,amel sur l etang,49.254740367647,5.6495205882353
20523,55,55009,55320,Ancemont,ancemont,49.067839726027,5.3806444520548
20524,55,55010,55170,Ancerville,ancerville,48.638882063492,5.0212965079365
20525,55,55011,55800,Andernay,andernay,48.784010462963,4.9491532407407
20526,55,55012,55300,Apremont-la-Forêt,apremont la foret,48.840200372671,5.6255955279503
20527,55,55013,55230,Arrancy-sur-Crusne,arrancy sur crusne,49.416701560694,5.6461893063584
20528,55,55014,55120,Aubréville,aubreville,49.157071402715,5.0997952941176
20529,55,55015,55170,Aulnois-en-Perthois,aulnois en perthois,48.635316277372,5.1298954744526
20530,55,55017,55120,Autrécourt-sur-Aire,autrecourt sur aire,49.029663308271,5.1395220300752
20531,55,55018,55700,Autréville-Saint-Lambert,autreville saint lambert,49.562815714286,5.1330977142857
20532,55,55021,55210,Avillers-Sainte-Croix,avillers sainte croix,49.032653625,5.7031495
20533,55,55022,55600,Avioth,avioth,49.567153473684,5.3898830526316
20534,55,55023,55270,Avocourt,avocourt,49.203459847328,5.138481908397
20535,55,55024,55150,Azannes-et-Soumazannes,azannes et soumazannes,49.291588188406,5.4608329710145
20536,55,55025,55700,Baâlon,baalon,49.48276952381,5.2597583809524
20537,55,55026,55130,Badonvilliers-Gérauvilliers,badonvilliers gerauvilliers,48.545501323529,5.5776764705882
20538,55,55027,55300,Bannoncourt,bannoncourt,48.953748991597,5.489338907563
20539,55,55028,55110,Bantheville,bantheville,49.353270921986,5.0742187234043
20540,55,55029,55000,Bar-le-Duc,bar le duc,48.765655733945,5.1663846330275
20541,55,55030,55130,Baudignécourt,baudignecourt,48.565723106796,5.4593754368932
20542,55,55031,55170,Baudonvilliers,baudonvilliers,48.688274385965,5.0004784210526
20543,55,55032,55260,Baudrémont,baudremont,48.8375315625,5.39150328125
20544,55,55033,55270,Baulny,baulny,49.265186067416,5.0246188764045
20545,55,55034,55600,Bazeilles-sur-Othain,bazeilles sur othain,49.501344642857,5.4304198214286
20546,55,55035,55170,Bazincourt-sur-Saulx,bazincourt sur saulx,48.686156075949,5.1375496835443
20547,55,55036,55700,Beauclair,beauclair,49.455652481203,5.1226268421053
20548,55,55037,55700,Beaufort-en-Argonne,beaufort en argonne,49.47728776,5.11380992
20549,55,55038,55250,Beaulieu-en-Argonne,beaulieu en argonne,49.049481335404,5.0436641614907
20550,55,55039,55100,Beaumont-en-Verdunois,beaumont en verdunois,49.264025,5.413572631579
20551,55,55040,55250,Beausite,beausite,48.966844357143,5.2229772142857
20552,55,55041,55000,Behonne,behonne,48.796908469388,5.1766170408163
20553,55,55042,55100,Belleray,belleray,49.129639150943,5.375396509434
20554,55,55043,55430,Belleville-sur-Meuse,belleville sur meuse,49.18115379562,5.3957927737226
20555,55,55044,55260,Belrain,belrain,48.862401858407,5.3112985840708
20556,55,55045,55100,Belrupt-en-Verdunois,belrupt en verdunois,49.148806052632,5.452702631579
20557,55,55046,55210,Beney-en-Woëvre,beney en woevre,48.959388508772,5.8124268421053
20558,55,55047,55100,Béthelainville,bethelainville,49.166362992126,5.2344838582677
20559,55,55048,55270,Béthincourt,bethincourt,49.247217348485,5.2219162121212
20560,55,55049,55000,Beurey-sur-Saulx,beurey sur saulx,48.756992362637,5.0321781318681
20561,55,55050,55100,Bezonvaux,bezonvaux,49.232859090909,5.4702687878788
20562,55,55051,55290,Biencourt-sur-Orge,biencourt sur orge,48.569128606557,5.3425950819672
20563,55,55053,55230,Billy-sous-Mangiennes,billy sous mangiennes,49.327797258065,5.562738655914
20564,55,55054,55300,Bislée,bislee,48.871581734694,5.5118805102041
20565,55,55055,55400,Blanzée,blanzee,49.15986515625,5.5311525
20566,55,55057,55400,Boinville-en-Woëvre,boinville en woevre,49.187813235294,5.6748158823529
20567,55,55058,55200,Boncourt-sur-Meuse,boncourt sur meuse,48.809637016129,5.5850306451613
20568,55,55059,55130,Bonnet,bonnet,48.521532781065,5.4275004142012
20569,55,55060,55160,Bonzée,bonzee,49.086754308511,5.5661062234043
20570,55,55061,55500,Le Bouchon-sur-Saulx,le bouchon sur saulx,48.609387821782,5.2278952475248
20571,55,55062,55300,Bouconville-sur-Madt,bouconville sur madt,48.842363157895,5.7112857894737
20572,55,55063,55240,Bouligny,bouligny,49.290399029851,5.7452121641791
20573,55,55064,55300,Bouquemont,bouquemont,48.984407857143,5.4356101020408
20574,55,55065,55270,Boureuilles,boureuilles,49.19523,5.011833089701
20575,55,55066,55190,Bovée-sur-Barboure,bovee sur barboure,48.635951196581,5.5095439316239
20576,55,55067,55500,Boviolles,boviolles,48.647736875,5.415438203125
20577,55,55068,55120,Brabant-en-Argonne,brabant en argonne,49.121467,5.1437329230769
20578,55,55069,55800,Brabant-le-Roi,brabant le roi,48.855274642857,4.9773221428571
20579,55,55070,55100,Brabant-sur-Meuse,brabant sur meuse,49.27750835443,5.3248372151899
20580,55,55071,55150,Brandeville,brandeville,49.395028346457,5.3132762204724
20581,55,55072,55400,Braquis,braquis,49.155749431818,5.6302927272727
20582,55,55073,55100,Bras-sur-Meuse,bras sur meuse,49.2081775,5.38844625
20583,55,55075,55170,Brauvilliers,brauvilliers,48.57732038835,5.1553153398058
20584,55,55076,55150,Bréhéville,breheville,49.384056162162,5.3311697837838
20585,55,55077,55600,Breux,breux,49.591655327869,5.3881204918033
20586,55,55078,55110,Brieulles-sur-Meuse,brieulles sur meuse,49.326316025641,5.1612453205128
20587,55,55079,55000,Brillon-en-Barrois,brillon en barrois,48.714296299213,5.1070485826772
20588,55,55080,55140,Brixey-aux-Chanoines,brixey aux chanoines,48.474187407407,5.7149844444445
20589,55,55081,55250,Brizeaux,brizeaux,49.007172644628,5.0565885123967
20590,55,55082,55120,Brocourt-en-Argonne,brocourt en argonne,49.110105714286,5.1660567619048
20591,55,55083,55700,Brouennes,brouennes,49.526503529412,5.2566224509804
20592,55,55084,55190,Broussey-en-Blois,broussey en blois,48.633890247934,5.556343553719
20593,55,55085,55200,Broussey-Raulecourt,broussey raulecourt,48.819178382353,5.7078920588235
20594,55,55087,55290,Bure,bure,48.503347843137,5.3487516339869
20595,55,55088,55140,Burey-en-Vaux,burey en vaux,48.557628345865,5.6517012030075
20596,55,55089,55140,Burey-la-Côte,burey la cote,48.4998225,5.6854341666667
20597,55,55093,55300,Buxières-sous-les-Côtes,buxieres sous les cotes,48.904947209302,5.6816375
20598,55,55094,55400,Buzy-Darmont,buzy darmont,49.175215632184,5.708231091954
20599,55,55095,55700,Cesse,cesse,49.509749655172,5.1417883908046
20600,55,55096,55210,Chaillon,chaillon,48.95158375,5.6429825
20601,55,55097,55140,Chalaines,chalaines,48.594525930233,5.6922729069767
20602,55,55099,55100,Champneuville,champneuville,49.238454962963,5.3299477777778
20603,55,55100,55140,Champougny,champougny,48.544326105263,5.7003644210526
20604,55,55101,55000,Chardogne,chardogne,48.828881608392,5.1247754545454
20605,55,55102,55100,Charny-sur-Meuse,charny sur meuse,49.204344920635,5.3466932539683
20606,55,55103,55270,Charpentry,charpentry,49.259311325301,5.0413685542169
20607,55,55104,55130,Chassey-Beaupré,chassey beaupre,48.44703575,5.4350935
20608,55,55105,55400,Châtillon-sous-les-Côtes,chatillon sous les cotes,49.144455670103,5.5156550515464
20609,55,55106,55100,Chattancourt,chattancourt,49.218759764706,5.2708103529412
20610,55,55107,55150,Chaumont-devant-Damvillers,chaumont devant damvillers,49.308243837209,5.4373493023256
20611,55,55108,55260,Chaumont-sur-Aire,chaumont sur aire,48.92666968,5.28013528
20612,55,55109,55600,Chauvency-le-Château,chauvency le chateau,49.522063032787,5.3103440163934
20613,55,55110,55600,Chauvency-Saint-Hubert,chauvency saint hubert,49.536647972973,5.2947514864865
20614,55,55111,55300,Chauvoncourt,chauvoncourt,48.892727956989,5.5101035483871
20615,55,55113,55270,Cheppy,cheppy,49.21986202381,5.0740330952381
20616,55,55114,55200,Chonville-Malaumont,chonville malaumont,48.752163453237,5.4905629496403
20617,55,55115,55270,Cierges-sous-Montfaucon,cierges sous montfaucon,49.297523137255,5.090486372549
20618,55,55116,55120,Le Claon,le claon,49.145829491525,4.9851633898305
20619,55,55117,55120,Clermont-en-Argonne,clermont en argonne,49.113365194085,5.084134805915
20620,55,55118,55110,Cléry-le-Grand,clery le grand,49.35948744186,5.138071744186
20621,55,55119,55110,Cléry-le-Petit,clery le petit,49.364286714286,5.1731305714286
20622,55,55120,55000,Combles-en-Barrois,combles en barrois,48.744479915966,5.1121470588235
20623,55,55121,55160,Combres-sous-les-Côtes,combres sous les cotes,49.062666237624,5.6196167326733
20624,55,55122,55200,Commercy,commercy,48.750733095238,5.5680543809524
20625,55,55123,55000,Les Hauts-de-Chée,les hauts de chee,48.8745688125,5.16375203125
20626,55,55124,55110,Consenvoye,consenvoye,49.297730697674,5.316046744186
20627,55,55125,55800,Contrisson,contrisson,48.801323333333,4.9568962643678
20628,55,55127,55260,Courcelles-en-Barrois,courcelles en barrois,48.826158933333,5.4249289333333
20629,55,55128,55260,Courcelles-sur-Aire,courcelles sur aire,48.940157628866,5.2341345360825
20630,55,55129,55260,Courouvre,courouvre,48.941071066667,5.3550724
20631,55,55132,55170,Cousances-les-Forges,cousances les forges,48.613846290323,5.0896512096774
20632,55,55133,55290,Couvertpuis,couvertpuis,48.579592718447,5.3069126213592
20633,55,55134,55800,Couvonges,couvonges,48.775208979592,5.0331156122449
20634,55,55137,55270,Cuisy,cuisy,49.267567971014,5.1902527536232
20635,55,55138,55000,Culey,culey,48.763911521739,5.2663539130435
20636,55,55139,55100,Cumières-le-Mort-Homme,cumieres le mort homme,49.234448461538,5.2718715384615
20637,55,55140,55110,Cunel,cunel,49.332888282828,5.1173007070707
20638,55,55141,55500,Dagonville,dagonville,48.788678170732,5.3827887804878
20639,55,55142,55130,Dainville-Bertheléville,dainville bertheleville,48.450770923913,5.5062784782609
20640,55,55143,55400,Damloup,damloup,49.200942952381,5.4983247619048
20641,55,55144,55500,Dammarie-sur-Saulx,dammarie sur saulx,48.598661503759,5.242544962406
20642,55,55145,55150,Damvillers,damvillers,49.345291398601,5.4187902097902
20643,55,55146,55110,Dannevoux,dannevoux,49.305563884892,5.2339790647482
20644,55,55148,55130,Delouze-Rosières,delouze rosieres,48.567626635514,5.5321828971963
20645,55,55149,55150,Delut,delut,49.406419866667,5.4236409333333
20646,55,55150,55130,Demange-aux-Eaux,demange aux eaux,48.590672272727,5.4639157954545
20647,55,55153,55400,Dieppe-sous-Douaumont,dieppe sous douaumont,49.219577051282,5.5245384615385
20648,55,55154,55320,Dieue-sur-Meuse,dieue sur meuse,49.078690147059,5.4252997058823
20649,55,55155,55120,Dombasle-en-Argonne,dombasle en argonne,49.146077557252,5.1969560305344
20650,55,55156,55150,Dombras,dombras,49.382566818182,5.4499956818182
20651,55,55157,55160,Dommartin-la-Montagne,dommartin la montagne,49.02671030303,5.6027728787879
20652,55,55158,55240,Dommary-Baroncourt,dommary baroncourt,49.284722979798,5.7160512626263
20653,55,55159,55300,Dompcevrin,dompcevrin,48.9323578125,5.4778155208333
20654,55,55160,55300,Dompierre-aux-Bois,dompierre aux bois,48.999267761194,5.5947095522388
20655,55,55162,55240,Domremy-la-Canne,domremy la canne,49.296813050847,5.693789661017
20656,55,55163,55160,Doncourt-aux-Templiers,doncourt aux templiers,49.060097761194,5.7247411940298
20657,55,55164,55100,Douaumont,douaumont,49.220899125,5.430304
20658,55,55165,55110,Doulcon,doulcon,49.38754880597,5.1586643283582
20659,55,55166,55100,Dugny-sur-Meuse,dugny sur meuse,49.101587867299,5.3694345023697
20660,55,55167,55110,Dun-sur-Meuse,dun sur meuse,49.38315625,5.1968280555556
20661,55,55168,55230,Duzey,duzey,49.360601111111,5.6264217460317
20662,55,55169,55600,Écouviez,ecouviez,49.530383382353,5.4515376470588
20663,55,55170,55150,Écurey-en-Verdunois,ecurey en verdunois,49.358032298851,5.3383987356322
20664,55,55171,55400,Eix,eix,49.180360652174,5.4844091304348
20665,55,55172,55160,Les Éparges,les eparges,49.068652615385,5.5879006923077
20666,55,55173,55140,Épiez-sur-Meuse,epiez sur meuse,48.546211869159,5.6283885046729
20667,55,55174,55270,Épinonville,epinonville,49.273003333333,5.0824925833333
20668,55,55175,55260,Érize-la-Brûlée,erize la brulee,48.845727698413,5.2700307936508
20669,55,55177,55260,Érize-la-Petite,erize la petite,48.910768297872,5.2443512765957
20670,55,55178,55000,Érize-Saint-Dizier,erize saint dizier,48.81131942623,5.2823860655738
20671,55,55179,55500,Erneville-aux-Bois,erneville aux bois,48.740013469388,5.4151879081633
20672,55,55180,55100,Esnes-en-Argonne,esnes en argonne,49.211626311475,5.2050326229508
20673,55,55181,55400,Étain,etain,49.219726158192,5.6363953107345
20674,55,55182,55240,Éton,eton,49.267073,5.6873707857143
20675,55,55183,55150,Étraye,etraye,49.326916575342,5.3579108219178
20676,55,55184,55200,Euville,euville,48.742289736842,5.6450688421053
20677,55,55185,55250,Èvres,evres,48.980792075472,5.1262477358491
20678,55,55186,55000,Fains-Véel,fains veel,48.782943932039,5.1138619417476
20679,55,55188,55600,Flassigny,flassigny,49.478351363636,5.4432993939394
