,,,,-MORBIHAN,,,
21018,56,56001,56350,Allaire,allaire,47.634646923077,-2.1824235897436
21019,56,56002,56190,Ambon,ambon,47.557557707006,-2.5480939968153
21020,56,56003,56610,Arradon,arradon,47.627909819495,-2.8273914079422
21021,56,56004,56190,Arzal,arzal,47.530554638554,-2.4054818072289
21022,56,56005,56640,Arzon,arzon,47.54978781155,-2.8971611246201
21023,56,56006,56800,Augan,augan,47.909694324324,-2.2742869256757
21024,56,56007,56400,Auray,auray,47.66394847619,-2.9891281904762
21025,56,56008,56870,Baden,baden,47.604123175853,-2.9097765616798
21026,56,56009,56360,Bangor,bangor,47.309470039526,-3.207291660079
21027,56,56010,56150,Baud,baud,47.872865828343,-3.0191385429142
21028,56,56011,56350,Béganne,beganne,47.607750231481,-2.2491174537037
21029,56,56012,56380,Beignon,beignon,47.973326380597,-2.1694641791045
21030,56,56013,56550,Belz,belz,47.670289866667,-3.1528293333333
21031,56,56014,56240,Berné,berne,47.987206608392,-3.3807346503497
21032,56,56015,56230,Berric,berric,47.6391,-2.5232296389892
21033,56,56016,56310,Bieuzy,bieuzy,47.994928346457,-3.0460953937008
21034,56,56017,56500,Bignan,bignan,47.875590150538,-2.7567696344086
21035,56,56018,56190,Billiers,billiers,47.523364352332,-2.4860684455958
21036,56,56019,56420,Billio,billio,47.867121405405,-2.6441922162162
21037,56,56020,56140,Bohal,bohal,47.784978811189,-2.4472456643357
21038,56,56021,56700,Brandérion,branderion,47.789447534247,-3.1912697945205
21039,56,56022,56390,Brandivy,brandivy,47.778027403101,-2.925102248062
21040,56,56023,56400,Brech,brech,47.715280785908,-3.0240366124661
21041,56,56024,56580,Bréhan,brehan,48.068720303867,-2.6846216298343
21042,56,56025,56430,Brignac,brignac,48.111451324503,-2.3890832450331
21043,56,56026,56310,Bubry,bubry,47.967299428008,-3.1772765483235
21044,56,56027,56420,Buléon,buleon,47.925375646258,-2.6745713605442
21045,56,56028,56220,Caden,caden,47.6319295189,-2.309544742268
21046,56,56029,56240,Calan,calan,47.884394180791,-3.3072521468927
21047,56,56030,56130,Camoël,camoel,47.47981266055,-2.405058440367
21048,56,56031,56330,Camors,camors,47.824076153846,-3.0073741420118
21049,56,56032,56800,Campénéac,campeneac,47.959501259542,-2.2730071374046
21050,56,56033,56910,Carentoir,carentoir,47.818323764172,-2.1228369160998
21051,56,56034,56340,Carnac,carnac,47.601179676617,-3.0669477860697
21052,56,56035,56140,Caro,caro,47.865483544776,-2.3379448134328
21053,56,56036,56850,Caudan,caudan,47.819236366279,-3.3313725290698
21054,56,56039,56500,La Chapelle-Neuve,la chapelle neuve,47.863346276596,-2.9399014361702
21055,56,56040,56620,Cléguer,cleguer,47.866906772152,-3.3609717088608
21056,56,56041,56480,Cléguérec,cleguerec,48.125176346749,-3.0541687616099
21057,56,56042,56390,Colpo,colpo,47.816156210526,-2.8036674736842
21058,56,56043,56430,Concoret,concoret,48.063982447552,-2.2107254545455
21059,56,56044,56200,Cournon,cournon,47.747381102362,-2.0978122047244
21060,56,56045,56230,Le Cours,le cours,47.743902196532,-2.5102866473988
21061,56,56046,56950,Crach,crach,47.63016321875,-2.9971564375
21062,56,56047,56580,Crédin,credin,48.036857889908,-2.7625687614679
21063,56,56048,56540,Le Croisty,le croisty,48.063335801282,-3.3725284615385
21064,56,56049,56920,Croixanvec,croixanvec,48.134554132231,-2.8668340495868
21065,56,56050,56120,La Croix-Helléan,la croix hellean,47.964051976744,-2.5068986046512
21066,56,56051,56420,Cruguel,cruguel,47.884451447811,-2.5942084511785
21067,56,56052,56750,Damgan,damgan,47.521077854251,-2.5880054655871
21068,56,56053,56250,Elven,elven,47.730887343358,-2.5918389974937
21069,56,56054,56410,Erdeven,erdeven,47.639336550388,-3.1508578682171
21070,56,56055,56410,Étel,etel,47.656354782609,-3.1950534782609
21071,56,56056,56490,Évriguet,evriguet,48.083153015873,-2.4070065079365
21072,56,56057,56320,Le Faouët,le faouet,48.052434674221,-3.5078253541076
21073,56,56058,56130,Férel,ferel,47.487379178082,-2.3343715068493
21074,56,56059,56120,Les Forges,les forges,48.033650040161,-2.5768116465863
