,,,,-NIEVRE,,,
22002,58,58001,58110,Achun,achun,47.128431913044,3.6645379565217
22003,58,58002,58200,Alligny-Cosne,alligny cosne,47.446993117647,3.0755172941176
22004,58,58003,58230,Alligny-en-Morvan,alligny en morvan,47.202186407186,4.1674631137725
22005,58,58004,58110,Alluy,alluy,47.033146358974,3.6443294871795
22006,58,58005,58190,Amazy,amazy,47.38337208,3.55857784
22007,58,58006,58270,Anlezy,anlezy,46.968234972973,3.4973838918919
22008,58,58007,58450,Annay,annay,47.525825862069,2.9418668275862
22009,58,58008,58800,Anthien,anthien,47.298483430233,3.7157030232558
22010,58,58009,58350,Arbourse,arbourse,47.24913631068,3.2223197087379
22011,58,58010,58430,Arleuf,arleuf,47.044361875,4.0129304166667
22012,58,58011,58500,Armes,armes,47.458736162791,3.5581320930233
22013,58,58012,58310,Arquian,arquian,47.532472679739,2.997649869281
22014,58,58013,58700,Arthel,arthel,47.241285696203,3.4141827848101
22015,58,58014,58700,Arzembouy,arzembouy,47.240555,3.3499206756757
22016,58,58015,58420,Asnan,asnan,47.311360888889,3.5534722222222
22017,58,58016,58190,Asnois,asnois,47.400455789474,3.595705368421
22018,58,58017,58110,Aunay-en-Bazois,aunay en bazois,47.123379372937,3.7196155115512
22019,58,58018,58700,Authiou,authiou,47.26915443038,3.4243089873418
22020,58,58019,58170,Avrée,avree,46.825216568627,3.8786085294118
22021,58,58020,58300,Avril-sur-Loire,avril sur loire,46.80530875,3.36348655
22022,58,58021,58240,Azy-le-Vif,azy le vif,46.790219878543,3.2285927530364
22023,58,58023,58190,Bazoches,bazoches,47.367741656805,3.7995879881657
22024,58,58024,58110,Bazolles,bazolles,47.141115823529,3.6049087647059
22025,58,58025,58160,Béard,beard,46.8727485,3.3275404
22026,58,58026,58420,Beaulieu,beaulieu,47.259098920863,3.5333310071942
22027,58,58027,58700,Beaumont-la-Ferrière,beaumont la ferriere,47.184296951872,3.2402458823529
22028,58,58028,58270,Beaumont-Sardolles,beaumont sardolles,46.929795530726,3.3890834636871
22029,58,58029,58210,Beuvron,beuvron,47.348689701493,3.4961839552239
22030,58,58030,58110,Biches,biches,46.994849347826,3.6669284782609
22031,58,58031,58270,Billy-Chevannes,billy chevannes,47.017557173913,3.4658788586957
22032,58,58032,58500,Billy-sur-Oisy,billy sur oisy,47.4840115,3.4052376428571
22033,58,58033,58310,Bitry,bitry,47.493855098039,3.0802597385621
22034,58,58034,58120,Blismes,blismes,47.127547964286,3.8235163928571
22035,58,58035,58330,Bona,bona,47.058316363636,3.4334714438503
22036,58,58036,58310,Bouhy,bouhy,47.487020123457,3.1857431481482
22037,58,58037,58140,Brassy,brassy,47.2607017,3.939189
22038,58,58038,58460,Breugnon,breugnon,47.426034754098,3.4522296721311
22039,58,58039,58530,Brèves,breves,47.426752222222,3.6183201111111
22040,58,58040,58110,Brinay,brinay,47.008871626794,3.7069486124402
22041,58,58041,58420,Brinon-sur-Beuvron,brinon sur beuvron,47.28563312,3.48651576
22042,58,58042,58400,Bulcy,bulcy,47.244374583333,3.0314166666667
22043,58,58043,58420,Bussy-la-Pesle,bussy la pesle,47.255714210526,3.4738052631579
22044,58,58044,58440,La Celle-sur-Loire,la celle sur loire,47.491318955224,2.9422055223881
22045,58,58045,58700,La Celle-sur-Nièvre,la celle sur nievre,47.216292857143,3.2019872789116
22046,58,58046,58340,Cercy-la-Tour,cercy la tour,46.846088411215,3.6501455140187
22047,58,58047,58800,Cervon,cervon,47.240579322034,3.7407800677966
22048,58,58048,58220,Cessy-les-Bois,cessy les bois,47.331507260274,3.2175539041096
22049,58,58049,58140,Chalaux,chalaux,47.333903767123,3.9062886986301
22050,58,58050,58420,Challement,challement,47.315151866667,3.6075787333333
22051,58,58051,58000,Challuy,challuy,46.937427821782,3.1350786138614
22052,58,58052,58420,Champallement,champallement,47.228156190476,3.4804445238095
22053,58,58053,58210,Champlemy,champlemy,47.284536785714,3.3263101190476
22054,58,58054,58700,Champlin,champlin,47.244969008264,3.4491585950413
22055,58,58055,58300,Champvert,champvert,46.85223646875,3.53394028125
22056,58,58056,58400,Champvoux,champvoux,47.148043243243,3.0788508108108
22057,58,58057,58240,Chantenay-Saint-Imbert,chantenay saint imbert,46.742378863636,3.1732144545454
22058,58,58058,58210,La Chapelle-Saint-André,la chapelle saint andre,47.392778926174,3.3267359060403
22059,58,58059,58400,La Charité-sur-Loire,la charite sur loire,47.186125952381,3.0341185714286
22060,58,58060,58300,Charrin,charrin,46.799566949153,3.5976016384181
22061,58,58061,58350,Chasnay,chasnay,47.238241871345,3.1712977777778
22062,58,58062,58120,Château-Chinon (Ville),chateau chinon ville,47.064292734375,3.92696328125
22063,58,58063,58120,Château-Chinon (Campagne),chateau chinon campagne,47.057474212963,3.9361416898148
22064,58,58064,58350,Châteauneuf-Val-de-Bargis,chateauneuf val de bargis,47.283147584906,3.2210125283019
22065,58,58065,58110,Châtillon-en-Bazois,chatillon en bazois,47.057410125786,3.656349245283
22066,58,58066,58120,Châtin,chatin,47.107623285024,3.8791553623188
22067,58,58067,58400,Chaulgnes,chaulgnes,47.120955986842,3.1075007236842
22068,58,58068,58120,Chaumard,chaumard,47.144854025157,3.9138573584906
22069,58,58069,58800,Chaumot,chaumot,47.250802112676,3.646971971831
22070,58,58070,58700,Chazeuil,chazeuil,47.280240947368,3.4058589473684
22071,58,58071,58420,Chevannes-Changy,chevannes changy,47.290668866995,3.4542574876847
22072,58,58072,58160,Chevenon,chevenon,46.906603217822,3.2256841584158
22073,58,58073,58500,Chevroches,chevroches,47.44450031746,3.5458382539682
22074,58,58074,58170,Chiddes,chiddes,46.861299652997,3.9287585804416
22075,58,58075,58800,Chitry-les-Mines,chitry les mines,47.272785193798,3.6643603875969
22076,58,58076,58110,Chougny,chougny,47.087196864407,3.7588856355932
22077,58,58077,58220,Ciez,ciez,47.440558461538,3.1552894230769
22078,58,58078,58270,Cizely,cizely,46.982027176471,3.4674130588235
22079,58,58079,58500,Clamecy,clamecy,47.464964054054,3.5116757837838
22080,58,58080,58800,La Collancelle,la collancelle,47.177755517241,3.6456597241379
22081,58,58081,58350,Colméry,colmery,47.346863414634,3.2431532520325
22082,58,58082,58120,Corancy,corancy,47.105916904762,3.9610898979592
22083,58,58083,58800,Corbigny,corbigny,47.259560202429,3.6923174898785
22084,58,58084,58210,Corvol-d'Embernard,corvol d embernard,47.293207943925,3.4048619626168
22085,58,58085,58460,Corvol-l'Orgueilleux,corvol l orgueilleux,47.431754761905,3.3804812169312
22086,58,58086,58200,Cosne-Cours-sur-Loire,cosne cours sur loire,47.414099107143,2.9534016517857
22087,58,58087,58300,Cossaye,cossaye,46.752391983122,3.5103031223629
22088,58,58088,58660,Coulanges-lès-Nevers,coulanges les nevers,47.013675714286,3.198573051948
22089,58,58089,58220,Couloutre,couloutre,47.392427058824,3.2210899159664
22090,58,58090,58210,Courcelles,courcelles,47.402765538462,3.3992799230769
22091,58,58092,58330,Crux-la-Ville,crux la ville,47.150381666667,3.5420124019608
22092,58,58093,58210,Cuncy-lès-Varzy,cuncy les varzy,47.359440552147,3.4537619018405
22093,58,58094,58310,Dampierre-sous-Bouhy,dampierre sous bouhy,47.510176564885,3.1302570992366
22094,58,58095,58300,Decize,decize,46.809560606061,3.4693036363636
22095,58,58096,58300,Devay,devay,46.80644984127,3.5443307936508
22096,58,58097,58340,Diennes-Aubigny,diennes aubigny,46.915158961039,3.5790225541126
22097,58,58098,58190,Dirol,dirol,47.324837880435,3.6402008695652
22098,58,58099,58120,Dommartin,dommartin,47.070242331606,3.8476328497409
22099,58,58101,58350,Dompierre-sur-Nièvre,dompierre sur nievre,47.229866118421,3.2532284210526
22100,58,58102,58220,Donzy,donzy,47.38298539823,3.1061619911504
22101,58,58103,58530,Dornecy,dornecy,47.442434081633,3.5839662585034
22102,58,58104,58390,Dornes,dornes,46.723793214286,3.3383698571429
22103,58,58105,58160,Druy-Parigny,druy parigny,46.880756724138,3.3737433103448
22104,58,58106,58230,Dun-les-Places,dun les places,47.289189969697,4.0205807878788
22105,58,58107,58110,Dun-sur-Grandry,dun sur grandry,47.088167362637,3.7952699450549
22106,58,58108,58140,Empury,empury,47.34778,3.8210363043478
22107,58,58109,58410,Entrains-sur-Nohain,entrains sur nohain,47.459033588235,3.2608481176471
22108,58,58110,58800,Epiry,epiry,47.170416222222,3.7319151851852
22109,58,58111,58430,Fâchin,fachin,47.002773780488,3.9691123170732
22110,58,58112,58160,La Fermeté,la fermete,46.961961472081,3.3282930456853
22111,58,58113,58270,Fertrève,fertreve,46.959476834532,3.5832807913669
22112,58,58114,58170,Fléty,flety,46.802448228571,3.9134275428571
22113,58,58115,58240,Fleury-sur-Loire,fleury sur loire,46.827870083333,3.3125869166667
22114,58,58116,58190,Flez-Cuzy,flez cuzy,47.359708461538,3.6288921978022
22115,58,58117,58600,Fourchambault,fourchambault,47.0171134375,3.09454171875
22116,58,58118,58250,Fours,fours,46.81444872,3.71767936
22117,58,58119,58270,Frasnay-Reugny,frasnay reugny,46.992374964539,3.529325177305
22118,58,58120,58140,Gâcogne,gacogne,47.232153867925,3.8764067924528
22119,58,58121,58600,Garchizy,garchizy,47.042453157895,3.097208245614
22120,58,58122,58150,Garchy,garchy,47.271814,3.0540555238095
22121,58,58123,58800,Germenay,germenay,47.28952280303,3.6030783333333
22122,58,58124,58320,Germigny-sur-Loire,germigny sur loire,47.08046,3.0556485576923
22123,58,58125,58230,Gien-sur-Cure,gien sur cure,47.144119197861,4.0899114438503
22124,58,58126,58470,Gimouille,gimouille,46.939069888889,3.100378
22125,58,58127,58700,Giry,giry,47.214660694444,3.3424829861111
22126,58,58128,58370,Glux-en-Glenne,glux en glenne,46.956735493562,4.0109618025751
22127,58,58129,58230,Gouloux,gouloux,47.229295854545,4.0880386181818
22128,58,58130,58420,Grenois,grenois,47.32167495935,3.5148469105691
22129,58,58131,58130,Guérigny,guerigny,47.095183770492,3.2112491803279
22130,58,58132,58420,Guipy,guipy,47.231242281879,3.5807957718121
22131,58,58133,58800,Héry,hery,47.261673626374,3.5965652747253
22132,58,58134,58160,Imphy,imphy,46.938431594203,3.2884039855072
22133,58,58135,58290,Isenay,isenay,46.910515541126,3.711305974026
22134,58,58136,58330,Jailly,jailly,47.082711415929,3.4662847787611
22135,58,58137,58300,Lamenay-sur-Loire,lamenay sur loire,46.747736869565,3.5778895652174
22136,58,58138,58240,Langeron,langeron,46.817855826772,3.0790225984252
22137,58,58139,58250,Lanty,lanty,46.80335015873,3.8322913227513
22138,58,58140,58370,Larochemillay,larochemillay,46.889684271186,3.9872163728814
22139,58,58141,58230,Lavault-de-Frétoy,lavault de fretoy,47.107365730337,4.0175207865169
22140,58,58142,58290,Limanton,limanton,46.984174962687,3.7369380223881
22141,58,58143,58270,Limon,limon,46.967114155844,3.3930142857143
22142,58,58144,58240,Livry,livry,46.77491293578,3.0790883486238
22143,58,58145,58140,Lormes,lormes,47.293756955128,3.8292503846154
22144,58,58146,58380,Lucenay-lès-Aix,lucenay les aix,46.702691150794,3.4871710714286
22145,58,58147,58700,Lurcy-le-Bourg,lurcy le bourg,47.163445498155,3.3971638376384
22146,58,58148,58240,Luthenay-Uxeloup,luthenay uxeloup,46.853363675889,3.2612381818182
22147,58,58149,58170,Luzy,luzy,46.799428870968,4.000155
22148,58,58150,58190,Lys,lys,47.334148706897,3.6066140517241
22149,58,58151,58260,La Machine,la machine,46.894042435897,3.4579470512821
22150,58,58152,58470,Magny-Cours,magny cours,46.895053579545,3.1629377272727
22151,58,58153,58800,Magny-Lormes,magny lormes,47.287496742424,3.7414702272727
22152,58,58154,58190,La Maison-Dieu,la maison dieu,47.422144827586,3.6683568103448
22153,58,58155,58400,La Marche,la marche,47.15196125,3.0376660416667
22154,58,58156,58210,Marcy,marcy,47.318102608696,3.4041534057971
22155,58,58157,58140,Marigny-l'Église,marigny l eglise,47.346442933333,3.9418684666667
22156,58,58158,58240,Mars-sur-Allier,mars sur allier,46.855094583333,3.0886694444444
22157,58,58159,58800,Marigny-sur-Yonne,marigny sur yonne,47.288013398058,3.6441916504854
22158,58,58160,58180,Marzy,marzy,46.987458703704,3.1006231481481
22159,58,58161,58290,Maux,maux,47.039231106195,3.7790291150443
22160,58,58162,58410,Menestreau,menestreau,47.409883023256,3.2615071317829
22161,58,58163,58210,Menou,menou,47.367943783784,3.2823245045045
22162,58,58164,58400,Mesves-sur-Loire,mesves sur loire,47.226371973684,3.0116509210526
22163,58,58165,58190,Metz-le-Comte,metz le comte,47.393716438356,3.6361275342466
22164,58,58166,58140,Mhère,mhere,47.197014139785,3.8550682795699
22165,58,58168,58170,Millay,millay,46.832923852941,3.9818461764706
