,,,,-NORD,,,
22311,59,59001,59268,Abancourt,abancourt,50.237611076923,3.2073190769231
22312,59,59002,59215,Abscon,abscon,50.328375142857,3.3011989523809
22313,59,59003,59149,Aibes,aibes,50.232126055046,4.089797706422
22314,59,59004,59310,Aix,aix,50.498759758065,3.3059853225806
22315,59,59005,59251,Allennes-les-Marais,allennes les marais,50.53998137931,2.9505524137931
22316,59,59006,59144,Amfroipret,amfroipret,50.278288965517,3.7347725862069
22317,59,59007,59194,Anhiers,anhiers,50.403862040816,3.1552855102041
22318,59,59008,59580,Aniche,aniche,50.330882816901,3.2594043661972
22319,59,59009,59491,Villeneuve-d'Ascq,villeneuve d ascq,50.6551537,3.1468771
22320,59,59009,59493,Villeneuve-d'Ascq,villeneuve d ascq,50.623287,3.1736238
22321,59,59009,59650,Villeneuve-d'Ascq,villeneuve d ascq,50.6316211,3.1533357
22322,59,59010,59400,Anneux,anneux,50.156084352941,3.1240754117647
22323,59,59011,59112,Annœullin,annoeullin,50.523403913043,2.9307010144928
22324,59,59012,59186,Anor,anor,49.992436433121,4.1191497452229
22325,59,59013,59152,Anstaing,anstaing,50.603596585366,3.1905509756098
22326,59,59014,59410,Anzin,anzin,50.376708472222,3.5089791666667
22327,59,59015,59151,Arleux,arleux,50.281607570093,3.1078691588785
22328,59,59016,59380,Armbouts-Cappel,armbouts cappel,50.985519264706,2.3501604411765
22329,59,59017,59280,Armentières,armentieres,50.690966585366,2.8835582926829
22330,59,59018,59285,Arnèke,arneke,50.836854886364,2.4233893181818
22331,59,59019,59269,Artres,artres,50.298630574713,3.540731954023
22332,59,59021,59600,Assevent,assevent,50.289592592593,4.0226151851852
22333,59,59022,59551,Attiches,attiches,50.510405859375,3.06374703125
22334,59,59023,59265,Aubencheul-au-Bac,aubencheul au bac,50.252569873418,3.1631797468354
22335,59,59024,59165,Auberchicourt,auberchicourt,50.335512934783,3.2291013043478
22336,59,59025,59249,Aubers,aubers,50.595658636364,2.8261384848485
22337,59,59026,59265,Aubigny-au-Bac,aubigny au bac,50.264617142857,3.1691688571429
22338,59,59027,59494,Aubry-du-Hainaut,aubry du hainaut,50.373984375,3.454040625
22339,59,59028,59950,Auby,auby,50.414543203883,3.063213592233
22340,59,59029,59310,Auchy-lez-Orchies,auchy lez orchies,50.47936875,3.1935234090909
22341,59,59031,59570,Audignies,audignies,50.280524772727,3.8262059090909
22342,59,59032,59300,Aulnoy-lez-Valenciennes,aulnoy lez valenciennes,50.323097457627,3.5378827118644
22343,59,59033,59620,Aulnoye-Aymeries,aulnoye aymeries,50.205596595745,3.8269992907801
22344,59,59034,59710,Avelin,avelin,50.536117183099,3.0869416901409
22345,59,59035,59440,Avesnelles,avesnelles,50.113166666667,3.9531128333333
22346,59,59036,59440,Avesnes-sur-Helpe,avesnes sur helpe,50.121861617647,3.9289319117647
22347,59,59037,59129,Avesnes-les-Aubert,avesnes les aubert,50.193436190476,3.3732646666667
22348,59,59038,59296,Avesnes-le-Sec,avesnes le sec,50.250396623377,3.371447012987
22349,59,59039,59400,Awoingt,awoingt,50.154536847826,3.2876409782609
22350,59,59041,59138,Bachant,bachant,50.211698314607,3.8736685393258
22351,59,59042,59830,Bachy,bachy,50.541683370786,3.268566741573
22352,59,59043,59270,Bailleul,bailleul,50.727272967033,2.7471299267399
22353,59,59044,59780,Baisieux,baisieux,50.613984774775,3.2412757657658
22354,59,59045,59132,Baives,baives,50.066677614679,4.1934652293578
22355,59,59046,59470,Bambecque,bambecque,50.907627735849,2.5574738207547
22356,59,59047,59266,Banteux,banteux,50.062974246575,3.188041369863
22357,59,59048,59554,Bantigny,bantigny,50.232197407407,3.2354757407407
22358,59,59049,59266,Bantouzelle,bantouzelle,50.061891232877,3.2188765753425
22359,59,59050,59440,Bas-Lieu,bas lieu,50.140762424242,3.9503860606061
22360,59,59051,59480,La Bassée,la bassee,50.537688545455,2.8105341818182
22361,59,59052,59221,Bauvin,bauvin,50.516686,2.8938311111111
22362,59,59053,59570,Bavay,bavay,50.291368114754,3.8035883606557
22363,59,59054,59670,Bavinchove,bavinchove,50.777662649573,2.442214957265
22364,59,59055,59360,Bazuel,bazuel,50.087963882353,3.5922614117647
22365,59,59056,59134,Beaucamps-Ligny,beaucamps ligny,50.604741111111,2.9174550793651
22366,59,59057,59530,Beaudignies,beaudignies,50.227019509804,3.5827244117647
22367,59,59058,59330,Beaufort,beaufort,50.221978053097,3.9672333628319
22368,59,59059,59540,Beaumont-en-Cambrésis,beaumont en cambresis,50.126898108108,3.4518635135135
22369,59,59060,59730,Beaurain,beaurain,50.177626129032,3.5521016129032
22370,59,59061,59550,Beaurepaire-sur-Sambre,beaurepaire sur sambre,50.059452101911,3.7955544585987
22371,59,59062,59740,Beaurieux,beaurieux,50.178877894737,4.1364957894737
22372,59,59063,59157,Beauvois-en-Cambrésis,beauvois en cambresis,50.141695789474,3.3828996491228
22373,59,59064,59135,Bellaing,bellaing,50.364415789474,3.4252378947368
22374,59,59065,59570,Bellignies,bellignies,50.326756095238,3.7587941904762
22375,59,59066,59740,Bérelles,berelles,50.207412098765,4.1059930864198
22376,59,59067,59380,Bergues,bergues,50.968742833333,2.4337931666667
