,,,,-OISE,,,
22971,60,60001,60220,Abancourt,abancourt,49.691728676471,1.7695710294118
22972,60,60002,60430,Abbecourt,abbecourt,49.365091237113,2.1606931958763
22973,60,60003,60480,Abbeville-Saint-Lucien,abbeville saint lucien,49.519016883117,2.1659568831169
22974,60,60004,60690,Achy,achy,49.555061313131,1.9689126262626
22975,60,60005,60620,Acy-en-Multien,acy en multien,49.104764285714,2.9514838392857
22976,60,60006,60700,Les Ageux,les ageux,49.315930727273,2.5800990909091
22977,60,60007,60600,Agnetz,agnetz,49.390941691542,2.3772868656716
22978,60,60008,60600,Airion,airion,49.420187916667,2.4149691666667
22979,60,60009,60000,Allonne,allonne,49.39870477707,2.120076433121
22980,60,60010,60110,Amblainville,amblainville,49.204391221374,2.1164675572519
22981,60,60011,60310,Amy,amy,49.638442704918,2.831506147541
22982,60,60012,60570,Andeville,andeville,49.256877352941,2.1681422058823
22983,60,60013,60940,Angicourt,angicourt,49.316162716049,2.5055764197531
22984,60,60014,60130,Angivillers,angivillers,49.490018372093,2.5018581395349
22985,60,60015,60250,Angy,angy,49.335161772152,2.3255908860759
22986,60,60016,60250,Ansacq,ansacq,49.34983675,2.363097625
22987,60,60017,60120,Ansauvillers,ansauvillers,49.570617666667,2.383301
22988,60,60019,60162,Antheuil-Portes,antheuil portes,49.499335,2.7355322222222
22989,60,60020,60620,Antilly,antilly,49.155611948052,2.9843424675325
22990,60,60021,60400,Appilly,appilly,49.581137,3.122422
22991,60,60022,60300,Apremont,apremont,49.232239130435,2.5158591304348
22992,60,60023,60880,Armancourt,armancourt,49.371716052632,2.76062
22993,60,60024,60190,Arsy,arsy,49.406887126437,2.6934679310345
22994,60,60025,60350,Attichy,attichy,49.421870681818,3.0472919318182
22995,60,60026,60360,Auchy-la-Montagne,auchy la montagne,49.5726425,2.1150876388889
22996,60,60027,60800,Auger-Saint-Vincent,auger saint vincent,49.21345720339,2.8130627118644
22997,60,60028,60300,Aumont-en-Halatte,aumont en halatte,49.231521875,2.5548521875
22998,60,60029,60390,Auneuil,auneuil,49.373675668203,1.9926405069124
22999,60,60030,60390,Auteuil,auteuil,49.346200748299,2.0949947619048
23000,60,60031,60890,Autheuil-en-Valois,autheuil en valois,49.181995377358,3.0699769811321
23001,60,60032,60350,Autrêches,autreches,49.444912413793,3.1386267816092
23002,60,60033,60300,Avilly-Saint-Léonard,avilly saint leonard,49.192588,2.5285590666667
23003,60,60034,60130,Avrechy,avrechy,49.444575909091,2.4236136363636
23004,60,60035,60310,Avricourt,avricourt,49.646655322581,2.8642072580645
23005,60,60036,60190,Avrigny,avrigny,49.384975957447,2.578445106383
23006,60,60037,60400,Babœuf,baboeuf,49.582175675676,3.0894279279279
23007,60,60038,60240,Bachivillers,bachivillers,49.284826987952,1.9696669879518
23008,60,60039,60120,Bacouël,bacouel,49.622239142857,2.3833358571429
23009,60,60040,60190,Bailleul-le-Soc,bailleul le soc,49.420341585366,2.5782379268293
23010,60,60041,60930,Bailleul-sur-Thérain,bailleul sur therain,49.383945348837,2.2248779069767
23011,60,60042,60140,Bailleval,bailleval,49.348282857143,2.4579019047619
23012,60,60043,60170,Bailly,bailly,49.498948395062,2.9805441975309
23013,60,60044,60250,Balagny-sur-Thérain,balagny sur therain,49.298401441441,2.3246012612613
23014,60,60045,60810,Barbery,barbery,49.226349375,2.674436125
23015,60,60046,60620,Bargny,bargny,49.17794516129,2.9555443548387
23016,60,60047,60300,Baron,baron,49.176117092199,2.7333094326241
23017,60,60048,60113,Baugy,baugy,49.4804343,2.7368895
23018,60,60048,60190,Baugy,baugy,49.463434,2.750712
23019,60,60049,60380,Bazancourt,bazancourt,49.551024736842,1.7381742105263
23020,60,60050,60700,Bazicourt,bazicourt,49.346096296296,2.6239083950617
23021,60,60051,60210,Beaudéduit,beaudeduit,49.683180227273,2.0647763636364
23022,60,60052,60640,Beaugies-sous-Bois,beaugies sous bois,49.639726511628,3.1012423255814
23023,60,60053,60310,Beaulieu-les-Fontaines,beaulieu les fontaines,49.66521322314,2.9037454545454
23024,60,60054,60390,Beaumont-les-Nonains,beaumont les nonains,49.323715784314,2.0040821568627
23025,60,60055,60400,Beaurains-lès-Noyon,beaurains les noyon,49.608224625,2.981673375
23026,60,60056,60700,Beaurepaire,beaurepaire,49.294191627907,2.5728537209302
23027,60,60057,60000,Beauvais,beauvais,49.4405213,2.08471155
23028,60,60058,60120,Beauvoir,beauvoir,49.602489186046,2.3276102325581
23029,60,60059,60400,Béhéricourt,behericourt,49.595576,3.0656165263158
23030,60,60060,60540,Belle-Église,belle eglise,49.186276222222,2.2114207777778
23031,60,60061,60490,Belloy,belloy,49.532748095238,2.6504561904762
23032,60,60062,60640,Berlancourt,berlancourt,49.678380461538,3.0810904615385
23033,60,60063,60390,Berneuil-en-Bray,berneuil en bray,49.356342364865,2.0586777702703
23034,60,60064,60350,Berneuil-sur-Aisne,berneuil sur aisne,49.423202763158,2.9980078947368
23035,60,60065,60370,Berthecourt,berthecourt,49.347260347826,2.2213346086957
23036,60,60066,60129,Béthancourt-en-Valois,bethancourt en valois,49.283698333333,2.8795848611111
23037,60,60067,60320,Béthisy-Saint-Martin,bethisy saint martin,49.28846076087,2.8105007608696
23038,60,60068,60320,Béthisy-Saint-Pierre,bethisy saint pierre,49.306279837398,2.7996214634146
23039,60,60069,60620,Betz,betz,49.156482912621,2.9426310679612
23040,60,60070,60280,Bienville,bienville,49.451125588235,2.8292295588235
23041,60,60071,60490,Biermont,biermont,49.577778113208,2.7423977358491
23042,60,60072,60350,Bitry,bitry,49.417221917808,3.0747165753425
23043,60,60073,60650,Blacourt,blacourt,49.457545869565,1.8666193478261
23044,60,60074,60460,Blaincourt-lès-Précy,blaincourt les precy,49.226850727273,2.3464474545455
23045,60,60075,60120,Blancfossé,blancfosse,49.663916865672,2.1897735820896
23046,60,60076,60220,Blargies,blargies,49.669338589744,1.7590788461539
23047,60,60077,60860,Blicourt,blicourt,49.560154031008,2.0619553488372
23048,60,60078,60190,Blincourt,blincourt,49.385066086957,2.6156573913043
23049,60,60079,60440,Boissy-Fresnoy,boissy fresnoy,49.166397866667,2.8943593333333
23050,60,60080,60240,Boissy-le-Bois,boissy le bois,49.277926794872,1.9434755128205
23051,60,60081,60510,Bonlier,bonlier,49.472683030303,2.1491054545454
23052,60,60082,60120,Bonneuil-les-Eaux,bonneuil les eaux,49.67875640625,2.238793515625
23053,60,60083,60123,Bonneuil-en-Valois,bonneuil en valois,49.286482,2.984765375
23054,60,60084,60112,Bonnières,bonnieres,49.509084019608,1.9567249019608
23055,60,60085,60120,Bonvillers,bonvillers,49.585815652174,2.3532943478261
23056,60,60086,60820,Boran-sur-Oise,boran sur oise,49.171483982301,2.35272
23057,60,60087,60300,Borest,borest,49.189249583333,2.676904375
23058,60,60088,60540,Bornel,bornel,49.201525090909,2.1925261212121
23059,60,60089,60240,Boubiers,boubiers,49.212027704918,1.8664181967213
23060,60,60090,60240,Bouconvillers,bouconvillers,49.174144590164,1.9117424590164
23061,60,60091,60620,Bouillancy,bouillancy,49.115863975904,2.9236842168675
23062,60,60092,60620,Boullarre,boullarre,49.129905280899,3.013004494382
23063,60,60093,60490,Boulogne-la-Grasse,boulogne la grasse,49.610934953271,2.6993218691589
23064,60,60094,60141,Boursonne,boursonne,49.1998841,3.0460349
23065,60,60095,60240,Boury-en-Vexin,boury en vexin,49.23942280303,1.7344893181818
23066,60,60096,60220,Boutavent,boutavent,49.638082244898,1.7498867346939
23067,60,60097,60590,Boutencourt,boutencourt,49.322692352941,1.8717518823529
23068,60,60098,60220,Bouvresse,bouvresse,49.652566153846,1.7598815384615
23069,60,60099,60113,Braisnes-sur-Aronde,braisnes sur aronde,49.474421132075,2.7766935849057
23070,60,60100,60810,Brasseuse,brasseuse,49.246963174603,2.6717312698413
23071,60,60101,60440,Brégy,bregy,49.084607176471,2.8717250588235
23072,60,60102,60870,Brenouille,brenouille,49.308596865672,2.5539313432836
23073,60,60103,60510,Bresles,bresles,49.41630734375,2.24721375
23074,60,60104,60120,Breteuil,breteuil,49.633041743119,2.2846379816514
23075,60,60105,60400,Brétigny,bretigny,49.560126132075,3.1150732075472
23076,60,60106,60840,Breuil-le-Sec,breuil le sec,49.374773488372,2.4543881395349
23077,60,60107,60600,Breuil-le-Vert,breuil le vert,49.364034926471,2.4251950735294
23078,60,60108,60210,Briot,briot,49.640133943662,1.9146067605634
23079,60,60109,60210,Brombos,brombos,49.645819074074,1.8913651851852
23080,60,60110,60220,Broquiers,broquiers,49.662270338983,1.8353855932203
23081,60,60111,60120,Broyes,broyes,49.628108,2.4568777777778
23082,60,60112,60130,Brunvillers-la-Motte,brunvillers la motte,49.557211320755,2.4517313207547
23083,60,60113,60480,Bucamps,bucamps,49.523659615385,2.3150814102564
23084,60,60114,60380,Buicourt,buicourt,49.533472891566,1.81476
23085,60,60115,60130,Bulles,bulles,49.453459349593,2.3357462601626
23086,60,60116,60250,Bury,bury,49.311442263158,2.3557398947368
23087,60,60117,60400,Bussy,bussy,49.628216521739,2.9799907246377
23088,60,60118,60400,Caisnes,caisnes,49.520889895833,3.0671727083333
23089,60,60119,60170,Cambronne-lès-Ribécourt,cambronne les ribecourt,49.505899770992,2.8975558015267
23090,60,60120,60290,Cambronne-lès-Clermont,cambronne les clermont,49.328761636364,2.4001722727273
23091,60,60121,60640,Campagne,campagne,49.647241587302,2.9604142857143
23092,60,60122,60220,Campeaux,campeaux,49.611129651163,1.750856744186
23093,60,60123,60480,Campremy,campremy,49.566543,2.3279301
23094,60,60124,60310,Candor,candor,49.628670136986,2.8843193150685
23095,60,60125,60680,Canly,canly,49.389511558442,2.7009553246753
23096,60,60126,60310,Cannectancourt,cannectancourt,49.547903679245,2.8927916037736
23097,60,60127,60310,Canny-sur-Matz,canny sur matz,49.600684246575,2.8014375342466
23098,60,60128,60220,Canny-sur-Thérain,canny sur therain,49.607195,1.7174038297872
23099,60,60129,60170,Carlepont,carlepont,49.522241848739,3.0196704201681
23100,60,60130,60840,Catenoy,catenoy,49.383619178082,2.5212239726027
23101,60,60131,60360,Catheux,catheux,49.648568992248,2.103567751938
23102,60,60132,60640,Catigny,catigny,49.635123205128,2.9470543589744
23103,60,60133,60130,Catillon-Fumechon,catillon fumechon,49.528851034483,2.3803563218391
23104,60,60134,60290,Cauffry,cauffry,49.312809879518,2.4350773493976
23105,60,60135,60730,Cauvigny,cauvigny,49.300560707071,2.2334736363636
23106,60,60136,60210,Cempuis,cempuis,49.654887727273,1.9867718181818
