,,,,-ORNE,,,
23659,61,61001,61000,Alençon,alencon,48.429603162393,0.08978717948718
23660,61,61002,61570,Almenêches,almeneches,48.694951694215,0.12221599173554
23661,61,61005,61130,Appenai-sous-Bellême,appenai sous belleme,48.338844796748,0.56743593495935
23662,61,61006,61200,Argentan,argentan,48.726279401198,-0.00818089820359
23663,61,61007,61100,Athis-Val de Rouvre,athis val de rouvre,48.82395,-0.408436
23664,61,61007,61430,Athis-Val de Rouvre,athis val de rouvre,48.8111631,-0.498677
23665,61,61008,61270,Aube,aube,48.732148791946,0.53953510067114
23666,61,61010,61120,Aubry-le-Panthou,aubry le panthou,48.8574344,0.2248241
23667,61,61011,61100,Aubusson,aubusson,48.779571071429,-0.5561505952381
23668,61,61012,61270,Auguaise,auguaise,48.697729318182,0.55121681818182
23669,61,61013,61500,Aunay-les-Bois,aunay les bois,48.546778387097,0.29557201612903
23670,61,61014,61200,Aunou-le-Faucon,aunou le faucon,48.720909018405,0.05078699386503
23671,61,61015,61500,Aunou-sur-Orne,aunou sur orne,48.60722180791,0.24475768361582
23672,61,61017,61240,Les Authieux-du-Puits,les authieux du puits,48.706321481481,0.33116407407407
23673,61,61018,61470,Avernes-Saint-Gourgon,avernes saint gourgon,48.935671360544,0.31636659863946
23674,61,61020,61150,Avoine,avoine,48.675733656716,-0.09240544776119
23675,61,61021,61700,Avrilly,avrilly,48.536863414634,-0.62018524390244
23676,61,61023,61160,Bailleul,bailleul,48.809981287879,-0.02602651515152
23677,61,61024,61450,Banvou,banvou,48.663562874251,-0.56879311377245
23678,61,61026,61170,Barville,barville,48.471699668874,0.34300543046358
23679,61,61028,61210,Bazoches-au-Houlme,bazoches au houlme,48.834776809651,-0.2628927613941
23680,61,61029,61560,Bazoches-sur-Hoëne,bazoches sur hoene,48.54847866242,0.46372191082803
23681,61,61030,61100,La Bazoque,la bazoque,48.782352545455,-0.60025436363636
23682,61,61032,61270,Beaufai,beaufai,48.748313920705,0.51388788546255
23683,61,61034,61190,Beaulieu,beaulieu,48.676065894737,0.73287468421053
23684,61,61035,61600,Beauvain,beauvain,48.622416054422,-0.30857714285714
23685,61,61036,61500,Belfonds,belfonds,48.610796049383,0.10385444444444
