,,,,-PAS-DE-CALAIS,,,
24064,62,62001,62153,Ablain-Saint-Nazaire,ablain saint nazaire,50.396425855856,2.6961381981982
24065,62,62002,62116,Ablainzevelle,ablainzevelle,50.151672830189,2.7441811320755
24066,62,62003,62320,Acheville,acheville,50.384769142857,2.8809717142857
24067,62,62004,62217,Achicourt,achicourt,50.274688764045,2.7540520224719
24068,62,62005,62121,Achiet-le-Grand,achiet le grand,50.130766521739,2.7825467391304
24069,62,62006,62121,Achiet-le-Petit,achiet le petit,50.126266125,2.757351
24070,62,62007,62144,Acq,acq,50.3507725,2.6550814285714
24071,62,62008,62380,Acquin-Westbécourt,acquin westbecourt,50.730714242424,2.0728992424242
24072,62,62009,62116,Adinfer,adinfer,50.192161764706,2.7034861764706
24073,62,62010,62380,Affringues,affringues,50.69095952381,2.0707458730159
24074,62,62011,62161,Agnez-lès-Duisans,agnez les duisans,50.309237721519,2.6490389873418
24075,62,62012,62690,Agnières,agnieres,50.351817313433,2.606113880597
24076,62,62013,62217,Agny,agny,50.251334166667,2.7617758333333
24077,62,62014,62120,Aire-sur-la-Lys,aire sur la lys,50.641054579832,2.3897035294118
24078,62,62015,62180,Airon-Notre-Dame,airon notre dame,50.442352295082,1.664643442623
24079,62,62016,62180,Airon-Saint-Vaast,airon saint vaast,50.425235869565,1.672794673913
24080,62,62017,62650,Aix-en-Ergny,aix en ergny,50.5844955,1.9992975
24081,62,62018,62170,Aix-en-Issart,aix en issart,50.480298692308,1.862424
24082,62,62019,62160,Aix-Noulette,aix noulette,50.420764206349,2.7107465079365
24083,62,62020,62850,Alembon,alembon,50.78112308642,1.8760497530864
24084,62,62021,62650,Alette,alette,50.525628640777,1.8580454368932
24085,62,62022,62142,Alincthun,alincthun,50.719979818182,1.8117176969697
24086,62,62023,62157,Allouagne,allouagne,50.531736923077,2.5068076923077
24087,62,62024,62850,Alquines,alquines,50.736182822581,1.9966991935484
24088,62,62025,62164,Ambleteuse,ambleteuse,50.811537672414,1.6168072413793
24089,62,62026,62310,Ambricourt,ambricourt,50.465797301587,2.1745249206349
24090,62,62027,62127,Ambrines,ambrines,50.309541041667,2.4638395833333
24091,62,62028,62190,Ames,ames,50.534890384615,2.415365
24092,62,62029,62260,Amettes,amettes,50.526802131148,2.3940363934426
24093,62,62030,62760,Amplier,amplier,50.137009550562,2.39705
24094,62,62031,62340,Andres,andres,50.86610375,1.9187169642857
24095,62,62032,62143,Angres,angres,50.409972807018,2.7536157017544
24096,62,62033,62880,Annay,annay,50.460117777778,2.88089
