,,,,-PUY-DE-DOME,,,
24956,63,63001,63260,Aigueperse,aigueperse,46.016371975309,3.2045439506173
24957,63,63002,63980,Aix-la-Fayette,aix la fayette,45.505120092593,3.528412962963
24958,63,63003,63600,Ambert,ambert,45.560512,3.739362835443
24959,63,63004,63770,Les Ancizes-Comps,les ancizes comps,45.932198444444,2.809503962963
24960,63,63005,63340,Antoingt,antoingt,45.499546666667,3.1825056349206
24961,63,63006,63420,Anzat-le-Luguet,anzat le luguet,45.330943661972,3.0333929859155
24962,63,63007,63420,Apchat,apchat,45.372314766082,3.1486499415205
24963,63,63008,63250,Arconsat,arconsat,45.89082908046,3.7142145977012
24964,63,63009,63420,Ardes,ardes,45.39996107438,3.1234112396694
24965,63,63010,63220,Arlanc,arlanc,45.421207135678,3.7235580904523
24966,63,63011,63700,Ars-les-Favets,ars les favets,46.199776641221,2.7479751145038
24967,63,63012,63460,Artonne,artonne,46.004046397059,3.1420366176471
24968,63,63013,63260,Aubiat,aubiat,45.977648363636,3.1846461818182
24969,63,63014,63170,Aubière,aubiere,45.751772575758,3.1244916666667
24970,63,63015,63120,Aubusson-d'Auvergne,aubusson d auvergne,45.75030104,3.60005512
24971,63,63016,63930,Augerolles,augerolles,45.739634344262,3.6389088797814
24972,63,63017,63340,Augnat,augnat,45.41324575419,3.1780635195531
24973,63,63019,63510,Aulnat,aulnat,45.791909545455,3.1695645454545
24974,63,63020,63210,Aurières,aurieres,45.684602589928,2.9158292086331
24975,63,63021,63114,Authezat,authezat,45.63838358209,3.1921144776119
24976,63,63022,63570,Auzat-la-Combelle,auzat la combelle,45.449116708861,3.3243679746835
24977,63,63023,63590,Auzelles,auzelles,45.612287344398,3.5123157261411
24978,63,63024,63690,Avèze,aveze,45.595179005236,2.5960794240838
24979,63,63025,63390,Ayat-sur-Sioule,ayat sur sioule,46.061494691358,2.887207345679
24980,63,63026,63970,Aydat,aydat,45.661648916968,2.9780414440433
24981,63,63027,63600,Baffie,baffie,45.474973518519,3.8248317592593
24982,63,63028,63810,Bagnols,bagnols,45.496829375,2.6387019886364
24983,63,63029,63570,Bansat,bansat,45.48287079096,3.3604094915254
24984,63,63030,63310,Bas-et-Lezat,bas et lezat,46.037544791667,3.3090633333333
24985,63,63031,63570,Beaulieu,beaulieu,45.440657849462,3.2884410752688
24986,63,63032,63110,Beaumont,beaumont,45.749397471264,3.0861164367816
24987,63,63033,63310,Beaumont-lès-Randan,beaumont les randan,45.994461492537,3.3814214925373
24988,63,63034,63116,Beauregard-l'Évêque,beauregard l eveque,45.815722268041,3.3027574226804
24989,63,63035,63460,Beauregard-Vendon,beauregard vendon,45.965810506329,3.1134663291139
24990,63,63036,63500,Bergonne,bergonne,45.507518709677,3.2187766129032
24991,63,63037,63480,Bertignat,bertignat,45.616557688442,3.6905120100502
24992,63,63038,63610,Besse-et-Saint-Anastaise,besse et saint anastaise,45.500648703008,2.9172013533835
24993,63,63039,63220,Beurières,beurieres,45.436664074074,3.7846559259259
24994,63,63040,63160,Billom,billom,45.726319615385,3.3334919871795
24995,63,63041,63640,Biollet,biollet,45.988466760563,2.6987406103286
24996,63,63042,63112,Blanzat,blanzat,45.825449569892,3.0735883870968
24997,63,63043,63440,Blot-l'Église,blot l eglise,46.031743568627,2.9598522352941
24998,63,63044,63160,Bongheat,bongheat,45.722976639344,3.4257968852459
24999,63,63045,63190,Bort-l'Étang,bort l etang,45.776214222222,3.4358795555556
25000,63,63046,63340,Boudes,boudes,45.451780545455,3.1866104545455
25001,63,63047,63150,La Bourboule,la bourboule,45.585033478261,2.7435735326087
25002,63,63048,63760,Bourg-Lastic,bourg lastic,45.661417384196,2.5647906811989
25003,63,63049,63910,Bouzel,bouzel,45.780819166667,3.3186172916667
25004,63,63050,63570,Brassac-les-Mines,brassac les mines,45.419601869919,3.3180704065041
25005,63,63051,63500,Brenat,brenat,45.552661847826,3.309245
