,,,,-PYRENEES-ATLANTIQUES,,,
25424,64,64001,64460,Aast,aast,43.29458625,-0.076214
25425,64,64002,64160,Abère,abere,43.389123146067,-0.17970606741573
25426,64,64003,64150,Abidos,abidos,43.391721568627,-0.63175352941176
25427,64,64004,64390,Abitain,abitain,43.419165606061,-0.99297560606061
25428,64,64005,64360,Abos,abos,43.347449177215,-0.54566936708861
25429,64,64006,64490,Accous,accous,42.940355796703,-0.58301909340659
25430,64,64007,64400,Agnos,agnos,43.153376451613,-0.62698655913978
25431,64,64008,64220,Ahaxe-Alciette-Bascassan,ahaxe alciette bascassan,43.144667608696,-1.162506173913
25432,64,64009,64210,Ahetze,ahetze,43.405132307692,-1.5602963736264
25433,64,64010,64120,Aïcirits-Camou-Suhast,aicirits camou suhast,43.353333417085,-1.0138461306533
25434,64,64011,64220,Aincille,aincille,43.137639876543,-1.1965886419753
25435,64,64012,64130,Ainharp,ainharp,43.26005,-0.93730811428571
25436,64,64013,64220,Ainhice-Mongelos,ainhice mongelos,43.20851601227,-1.162495398773
25437,64,64014,64250,Ainhoa,ainhoa,43.285963363636,-1.4823613636364
25438,64,64015,64470,Alçay-Alçabéhéty-Sunharette,alcay alcabehety sunharette,43.091120756579,-0.94805845394737
25439,64,64016,64430,Aldudes,aldudes,43.098271472868,-1.4225880620155
25440,64,64017,64470,Alos-Sibas-Abense,alos sibas abense,43.113380603448,-0.88049439655172
25441,64,64018,64120,Amendeuix-Oneix,amendeuix oneix,43.34459716129,-1.0460809677419
25442,64,64019,64120,Amorots-Succos,amorots succos,43.367028947368,-1.1187814736842
25443,64,64021,64420,Andoins,andoins,43.301298359375,-0.225254375
25444,64,64022,64390,Andrein,andrein,43.403239534884,-0.88894589147287
25445,64,64023,64510,Angaïs,angais,43.238244,-0.24859507692308
25446,64,64024,64600,Anglet,anglet,43.489670986842,-1.514426381579
25447,64,64025,64190,Angous,angous,43.295087387387,-0.8100518018018
25448,64,64026,64220,Anhaux,anhaux,43.151126150628,-1.2961665271967
25449,64,64027,64160,Anos,anos,43.400080978261,-0.28918967391304
25450,64,64028,64350,Anoye,anoye,43.397588839286,-0.13216455357143
25451,64,64029,64570,Aramits,aramits,43.136008019802,-0.73200059405941
25452,64,64031,64270,Arancou,arancou,43.441189027778,-1.054058125
25453,64,64032,64190,Araujuzon,araujuzon,43.348237791411,-0.83126
25454,64,64033,64190,Araux,araux,43.341103918919,-0.81819506756757
25455,64,64034,64120,Arbérats-Sillègue,arberats sillegue,43.338808521739,-0.99181165217391
25456,64,64035,64210,Arbonne,arbonne,43.419504404762,-1.5479725595238
25457,64,64036,64120,Arbouet-Sussaute,arbouet sussaute,43.377554739336,-1.0005781042654
25458,64,64037,64230,Arbus,arbus,43.321310855263,-0.51316585526316
25459,64,64038,64200,Arcangues,arcangues,43.420989361702,-1.514490212766
25460,64,64039,64400,Aren,aren,43.252610137931,-0.71181034482759
25461,64,64040,64570,Arette,arette,43.040622483221,-0.73667543624161
25462,64,64041,64320,Aressy,aressy,43.279315714286,-0.325515
25463,64,64042,64300,Argagnon,argagnon,43.464125076923,-0.67574884615385
25464,64,64043,64450,Argelos,argelos,43.44959887218,-0.34861368421053
25465,64,64044,64410,Arget,arget,43.545107974684,-0.53183012658228
25466,64,64045,64120,Arhansus,arhansus,43.255197213115,-1.0267160655738
25467,64,64046,64640,Armendarits,armendarits,43.293534319527,-1.1621380473373
25468,64,64047,64220,Arnéguy,arneguy,43.082246547085,-1.2763213452915
25469,64,64048,64370,Arnos,arnos,43.451962857143,-0.53224346938776
25470,64,64049,64120,Aroue-Ithorots-Olhaïby,aroue ithorots olhaiby,43.31803221875,-0.92616246875
25471,64,64050,64130,Arrast-Larrebieu,arrast larrebieu,43.28243294964,-0.85376208633093
25472,64,64051,64120,Arraute-Charritte,arraute charritte,43.413909471831,-1.1147957394366
25473,64,64052,64350,Arricau-Bordes,arricau bordes,43.502146086957,-0.14682782608696
25474,64,64053,64420,Arrien,arrien,43.312297572816,-0.16575718446602
25475,64,64054,64800,Arros-de-Nay,arros de nay,43.178455090909,-0.29554563636364
25476,64,64056,64350,Arrosès,arroses,43.546795449735,-0.11394497354497
25477,64,64057,64370,Arthez-de-Béarn,arthez de bearn,43.463357018634,-0.62042164596273
25478,64,64058,64800,Arthez-d'Asson,arthez d asson,43.082238598485,-0.25541071969697
25479,64,64059,64420,Artigueloutan,artigueloutan,43.273872134831,-0.24533786516854
25480,64,64060,64230,Artiguelouve,artiguelouve,43.308012636364,-0.472884
25481,64,64061,64170,Artix,artix,43.393576136364,-0.56826681818182
25482,64,64062,64260,Arudy,arudy,43.106344177215,-0.45506240506329
25483,64,64063,64410,Arzacq-Arraziguet,arzacq arraziguet,43.536414480519,-0.43015194805195
25484,64,64064,64660,Asasp-Arros,asasp arros,43.118071082474,-0.62419041237113
25485,64,64065,64310,Ascain,ascain,43.347135238095,-1.6404501904762
25486,64,64066,64220,Ascarat,ascarat,43.18019532967,-1.2651675274725
25487,64,64067,64510,Assat,assat,43.258708487395,-0.28440621848739
25488,64,64068,64800,Asson,asson,43.100531827815,-0.25772639735099
25489,64,64069,64260,Aste-Béon,aste beon,43.031656145833,-0.40630927083333
25490,64,64070,64450,Astis,astis,43.436475454545,-0.32110333333333
25491,64,64071,64390,Athos-Aspis,athos aspis,43.418229280576,-0.9587718705036
25492,64,64072,64290,Aubertin,aubertin,43.273654954128,-0.48580243119266
25493,64,64073,64230,Aubin,aubin,43.43405,-0.42301284482759
25494,64,64074,64330,Aubous,aubous,43.575223030303,-0.14149080808081
25495,64,64075,64190,Audaux,audaux,43.378778040541,-0.77303391891892
25496,64,64077,64450,Auga,auga,43.479398709677,-0.37672655913978
25497,64,64078,64450,Auriac,auriac,43.453009339623,-0.32362858490566
25498,64,64079,64350,Aurions-Idernes,aurions idernes,43.532194102564,-0.12597170940171
25499,64,64080,64230,Aussevielle,aussevielle,43.35742627451,-0.48100784313726
25500,64,64081,64130,Aussurucq,aussurucq,43.141272298851,-0.96387563218391
25501,64,64082,64270,Auterrive,auterrive,43.465427671233,-1.0107046575342
25502,64,64083,64390,Autevielle-Saint-Martin-Bideren,autevielle saint martin bideren,43.396758873239,-0.97768295774648
25503,64,64084,64330,Aydie,aydie,43.570732653061,-0.11597823129252
25504,64,64085,64490,Aydius,aydius,42.998638196721,-0.52032628415301
25505,64,64086,64240,Ayherre,ayherre,43.371518421053,-1.248010368421
25506,64,64087,64300,Baigts-de-Béarn,baigts de bearn,43.523270136054,-0.84859285714286
25507,64,64088,64300,Balansun,balansun,43.485091181102,-0.69530582677165
25508,64,64089,64460,Baleix,baleix,43.378391298701,-0.13049987012987
25509,64,64090,64330,Baliracq-Maumusson,baliracq maumusson,43.543826440678,-0.24584627118644
25510,64,64091,64510,Baliros,baliros,43.227518571429,-0.30884023809524
25511,64,64092,64430,Banca,banca,43.103608219697,-1.3770071590909
25512,64,64093,64130,Barcus,barcus,43.183950212766,-0.779476443769
25513,64,64094,64520,Bardos,bardos,43.470336104784,-1.2221307744875
25514,64,64095,64160,Barinque,barinque,43.402396666667,-0.27617472868217
25515,64,64096,64390,Barraute-Camu,barraute camu,43.381890294118,-0.89903808823529
25516,64,64097,64530,Barzun,barzun,43.215611136364,-0.13993284090909
25517,64,64098,64350,Bassillon-Vauzé,bassillon vauze,43.453420574713,-0.0760108045977
25518,64,64099,64190,Bastanès,bastanes,43.355272380952,-0.74872523809524
25519,64,64100,64200,Bassussarry,bassussarry,43.445139450549,-1.4972472527473
25520,64,64101,64800,Baudreix,baudreix,43.207496216216,-0.2579027027027
25521,64,64102,64100,Bayonne,bayonne,43.486843755459,-1.4672199563319
25522,64,64103,64460,Bédeille,bedeille,43.344806376812,-0.09617434782609
25523,64,64104,64490,Bedous,bedous,43.003534537815,-0.58643008403361
25524,64,64105,64120,Béguios,beguios,43.35570845,-1.09604235
25525,64,64106,64120,Béhasque-Lapiste,behasque lapiste,43.320156178862,-1.0080084552845
25526,64,64107,64220,Béhorléguy,behorleguy,43.120835692308,-1.1020084615385
25527,64,64108,64270,Bellocq,bellocq,43.510139205298,-0.9174157615894
25528,64,64109,64800,Bénéjacq,benejacq,43.194202486486,-0.1916972972973
25529,64,64110,64440,Béost,beost,42.985011363636,-0.33758579545455
25530,64,64111,64460,Bentayou-Sérée,bentayou seree,43.395794822695,-0.06431978723404
25531,64,64112,64300,Bérenx,berenx,43.492752163743,-0.86990766081871
25532,64,64113,64270,Bergouey-Viellenave,bergouey viellenave,43.42586969163,-1.0584398678414
25533,64,64114,64160,Bernadets,bernadets,43.377621034483,-0.27759701149425
25534,64,64115,64130,Berrogain-Laruns,berrogain laruns,43.24911484375,-0.8611459375
25535,64,64116,64260,Bescat,bescat,43.128330654206,-0.42607130841121
25536,64,64117,64150,Bésingrand,besingrand,43.373528461538,-0.56683384615385
25537,64,64118,64350,Bétracq,betracq,43.51933,-0.05478358974359
25538,64,64119,64800,Beuste,beuste,43.2203712,-0.23274146666667
25539,64,64120,64120,Beyrie-sur-Joyeuse,beyrie sur joyeuse,43.307816544118,-1.0978900735294
25540,64,64121,64230,Beyrie-en-Béarn,beyrie en bearn,43.372904933333,-0.4651936
25541,64,64122,64200,Biarritz,biarritz,43.479551730769,-1.5631997435897
25542,64,64123,64520,Bidache,bidache,43.470738115942,-1.1496199033816
25543,64,64124,64780,Bidarray,bidarray,43.273520288462,-1.3520725961539
25544,64,64125,64210,Bidart,bidart,43.436168265306,-1.5787569387755
25545,64,64126,64400,Bidos,bidos,43.174512765957,-0.60485914893617
25546,64,64127,64260,Bielle,bielle,43.049413611111,-0.4541849537037
25547,64,64128,64260,Bilhères,bilheres,43.06192744186,-0.47300912790698
25548,64,64129,64140,Billère,billere,43.304069157895,-0.39707315789474
25549,64,64130,64700,Biriatou,biriatou,43.324873373494,-1.7357854216867
25550,64,64131,64300,Biron,biron,43.457895633803,-0.7388485915493
25551,64,64132,64320,Bizanos,bizanos,43.294845348837,-0.33442058139535
25552,64,64133,64510,Boeil-Bezing,boeil bezing,43.229755882353,-0.24514419117647
25553,64,64134,64240,Bonloc,bonloc,43.368712222222,-1.2680587301587
25554,64,64135,64300,Bonnut,bonnut,43.548033958333,-0.76759354166667
25555,64,64136,64490,Borce,borce,42.851340492958,-0.58156288732394
25556,64,64137,64800,Bordères,borderes,43.202211086957,-0.22116608695652
25557,64,64138,64510,Bordes,bordes,43.246005463918,-0.27391041237113
