,,,,-PYRENEES-ORIENTALES,,,
26443,66,66001,66480,L'Albère,l albere,42.472198846154,2.8924743589744
26444,66,66002,66200,Alénya,alenya,42.642962794118,2.9804583823529
26445,66,66003,66110,Amélie-les-Bains-Palalda,amelie les bains palalda,42.450619504504,2.6777175225225
26446,66,66004,66210,Les Angles,les angles,42.581523807339,2.0224314220184
26447,66,66005,66760,Angoustrine-Villeneuve-des-Escaldes,angoustrine villeneuve des escaldes,42.552768780488,1.9662391869919
26448,66,66006,66220,Ansignan,ansignan,42.761940731707,2.5232753658537
26449,66,66007,66320,Arboussols,arboussols,42.661478243243,2.5068497297297
26450,66,66008,66700,Argelès-sur-Mer,argeles sur mer,42.5230322,3.0304702666667
26451,66,66009,66150,Arles-sur-Tech,arles sur tech,42.455301533333,2.6186136666667
26452,66,66010,66360,Ayguatébia-Talau,ayguatebia talau,42.556946184211,2.1929800877193
26453,66,66011,66670,Bages,bages,42.603984642857,2.8869558928571
26454,66,66012,66540,Baho,baho,42.703804358974,2.8229820512821
26455,66,66013,66320,Baillestavy,baillestavy,42.5669545,2.5218606666667
26456,66,66014,66390,Baixas,baixas,42.748031282051,2.8059148717949
26457,66,66015,66300,Banyuls-dels-Aspres,banyuls dels aspres,42.56756787037,2.859804537037
26458,66,66016,66650,Banyuls-sur-Mer,banyuls sur mer,42.470712720207,3.1222098445596
26459,66,66017,66420,Le Barcarès,le barcares,42.795085595238,3.0316880952381
26460,66,66018,66110,La Bastide,la bastide,42.536507938931,2.5771707633588
26461,66,66019,66720,Bélesta,belesta,42.727068514851,2.6355518316832
26462,66,66020,66210,Bolquère,bolquere,42.519424278846,2.0719211057692
26463,66,66021,66430,Bompas,bompas,42.730131463415,2.9445413414634
26464,66,66022,66130,Boule-d'Amont,boule d amont,42.59183490566,2.5955113207547
26465,66,66023,66130,Bouleternère,bouleternere,42.645766666667,2.5837438888889
26466,66,66024,66160,Le Boulou,le boulou,42.525280266667,2.8348044
26467,66,66025,66760,Bourg-Madame,bourg madame,42.435138225806,1.9661237096774
26468,66,66026,66620,Brouilla,brouilla,42.581058636364,2.8919889090909
26469,66,66027,66210,La Cabanasse,la cabanasse,42.505102181818,2.1128774545454
26470,66,66028,66330,Cabestany,cabestany,42.676368888889,2.9429313580247
26471,66,66029,66300,Caixas,caixas,42.60336974359,2.6572868864469
26472,66,66030,66600,Calce,calce,42.744948333333,2.7527739583333
26473,66,66032,66400,Calmeilles,calmeilles,42.548118090909,2.6688563636364
26474,66,66033,66300,Camélas,camelas,42.638715683453,2.6895988489209
26475,66,66034,66500,Campôme,campome,42.648576507937,2.3888921428571
26476,66,66035,66730,Campoussy,campoussy,42.700056103896,2.4571531168831
26477,66,66036,66360,Canaveilles,canaveilles,42.533205242718,2.2245004854369
26478,66,66037,66140,Canet-en-Roussillon,canet en roussillon,42.686507533333,3.0136088666667
26479,66,66038,66680,Canohès,canohes,42.650918378378,2.8356432432432
26480,66,66039,66720,Caramany,caramany,42.7338767,2.5628218
26481,66,66040,66130,Casefabre,casefabre,42.617387477477,2.6152531531531
26482,66,66041,66600,Cases-de-Pène,cases de pene,42.7828871875,2.78533671875
26483,66,66042,66720,Cassagnes,cassagnes,42.741053506493,2.6263622077922
26484,66,66043,66820,Casteil,casteil,42.501632209302,2.416623372093
26485,66,66044,66300,Castelnou,castelnou,42.61309485,2.70863405
26486,66,66045,66500,Catllar,catllar,42.637524597701,2.4269737931034
26487,66,66046,66220,Caudiès-de-Fenouillèdes,caudies de fenouilledes,42.817354695652,2.3814726956522
