,,,,-SAONE-ET-LOIRE,,,
28392,71,71001,71290,L'Abergement-de-Cuisery,l abergement de cuisery,46.580772051282,4.9608646153846
28393,71,71002,71370,L'Abergement-Sainte-Colombe,l abergement sainte colombe,46.752501686747,5.0317277911647
28394,71,71003,71350,Allerey-sur-Saône,allerey sur saone,46.912747294118,4.9688341764706
28395,71,71004,71380,Allériot,alleriot,46.804082222222,4.9531324691358
28396,71,71005,71510,Aluze,aluze,46.855626941176,4.6884801176471
28397,71,71006,71800,Amanzé,amanze,46.329182477064,4.2338217431193
28398,71,71007,71460,Ameugny,ameugny,46.521343235294,4.6681164705882
28399,71,71008,71170,Anglure-sous-Dun,anglure sous dun,46.235124705882,4.3639599159664
28400,71,71009,71550,Anost,anost,47.068139301676,4.100167849162
28401,71,71010,71400,Antully,antully,46.900814521739,4.4067723043478
28402,71,71011,71110,Anzy-le-Duc,anzy le duc,46.331011407035,4.0770074371859
28403,71,71012,71110,Artaix,artaix,46.243213014354,3.9995814832536
28404,71,71013,71270,Authumes,authumes,46.884594748201,5.3078023021583
28405,71,71014,71400,Autun,autun,46.948274808126,4.3050682167043
28406,71,71015,71400,Auxy,auxy,46.937008113208,4.4201633962264
28407,71,71016,71260,Azé,aze,46.433262580645,4.7445836774194
28408,71,71017,71220,Ballore,ballore,46.535835357143,4.3776589285714
28409,71,71018,71500,Bantanges,bantanges,46.602543389831,5.127601299435
28410,71,71019,71640,Barizey,barizey,46.792240810811,4.670277027027
28411,71,71020,71540,Barnay,barnay,47.082560909091,4.326361969697
28412,71,71021,71120,Baron,baron,46.49310295302,4.2751689932886
28413,71,71022,71800,Baudemont,baudemont,46.289717833333,4.2833485
28414,71,71023,71370,Baudrières,baudrieres,46.668127737226,5.0040276277372
28415,71,71024,71110,Baugy,baugy,46.306747241379,4.0315264367816
28416,71,71025,71220,Beaubery,beaubery,46.411349903382,4.3956818357488
28417,71,71026,71240,Beaumont-sur-Grosne,beaumont sur grosne,46.672195135135,4.8613092792793
28418,71,71027,71580,Beaurepaire-en-Bresse,beaurepaire en bresse,46.666977786885,5.3925992622951
28419,71,71028,71270,Beauvernois,beauvernois,46.846000220588,5.4420190441177
28420,71,71029,71270,Bellevesvre,bellevesvre,46.84712726257,5.3633718435754
28421,71,71030,71250,Bergesserin,bergesserin,46.398020948905,4.5626225547445
28422,71,71031,71960,Berzé-le-Châtel,berze le chatel,46.393260229885,4.6845074712644
28423,71,71032,71960,Berzé-la-Ville,berze la ville,46.372074660194,4.700795631068
28424,71,71033,71620,Bey,bey,46.8208986,4.9722504
28425,71,71034,71390,Bissey-sous-Cruchaud,bissey sous cruchaud,46.729444207317,4.6976950609756
28426,71,71035,71260,Bissy-la-Mâconnaise,bissy la maconnaise,46.484933723404,4.7759815957447
28427,71,71036,71460,Bissy-sous-Uxelles,bissy sous uxelles,46.56690122807,4.7270780701754
28428,71,71037,71460,Bissy-sur-Fley,bissy sur fley,46.663105925926,4.6183846296296
28429,71,71038,71710,Les Bizots,les bizots,46.754093550296,4.3876633727811
28430,71,71039,71250,Blanot,blanot,46.480066046512,4.740131627907
28431,71,71040,71450,Blanzy,blanzy,46.702172066116,4.389908553719
28432,71,71041,71800,Bois-Sainte-Marie,bois sainte marie,46.3351240625,4.3527415625
