,,,,-SARTHE,,,
28959,72,72001,72650,Aigné,aigne,48.062610076336,0.10421633587786
28960,72,72002,72600,Aillières-Beauvoir,aillieres beauvoir,48.398625503356,0.32711268456376
28961,72,72003,72700,Allonnes,allonnes,47.960306470588,0.13754713235294
28962,72,72004,72540,Amné,amne,48.034529220779,-0.04500331168831
28963,72,72005,72610,Ancinnes,ancinnes,48.357001042945,0.17442852760736
28964,72,72006,72610,Arçonnay,arconnay,48.394810549451,0.08372769230769
28965,72,72007,72370,Ardenay-sur-Mérize,ardenay sur merize,47.989110438596,0.42413254385965
28966,72,72008,72230,Arnage,arnage,47.929415473684,0.19027242105263
28967,72,72009,72270,Arthezé,artheze,47.787464778761,-0.1137582300885
28968,72,72010,72430,Asnières-sur-Vègre,asnieres sur vegre,47.888146356589,-0.22523488372093
28969,72,72011,72130,Assé-le-Boisne,asse le boisne,48.318669833333,-0.00910604166667
28970,72,72012,72170,Assé-le-Riboul,asse le riboul,48.201275695793,0.07758796116505
28971,72,72013,72800,Aubigné-Racan,aubigne racan,47.680823842364,0.2476045320197
28972,72,72015,72600,Les Aulneaux,les aulneaux,48.442184835165,0.34785203296703
28973,72,72016,72300,Auvers-le-Hamon,auvers le hamon,47.904391227437,-0.35321541516245
28974,72,72017,72540,Auvers-sous-Montfaucon,auvers sous montfaucon,48.000541262136,-0.07599485436893
28975,72,72018,72260,Avesnes-en-Saosnois,avesnes en saosnois,48.265421538462,0.36077903846154
28976,72,72019,72350,Avessé,avesse,47.958419429658,-0.26506878326996
28977,72,72020,72400,Avezé,aveze,48.231469160305,0.67468515267176
28978,72,72021,72430,Avoise,avoise,47.863225647059,-0.20338170588235
28979,72,72022,72200,Le Bailleul,le bailleul,47.773668375635,-0.17146111675127
28980,72,72023,72290,Ballon-Saint Mars,ballon saint mars,48.172931944444,0.25088904761905
28981,72,72024,72650,La Bazoge,la bazoge,48.098065580524,0.14376164794007
28982,72,72025,72200,Bazouges Cré sur Loir,bazouges cre sur loir,47.674402666667,-0.15327479166667
28983,72,72026,72110,Beaufay,beaufay,48.142624841629,0.34025986425339
28984,72,72027,72340,Beaumont-sur-Dême,beaumont sur deme,47.689103013699,0.58741321917808
28985,72,72028,72500,Beaumont-Pied-de-Bœuf,beaumont pied de boeuf,47.750676153846,0.38950328671329
28986,72,72029,72170,Beaumont-sur-Sarthe,beaumont sur sarthe,48.225312336449,0.10605009345794
28987,72,72031,72160,Beillé,beille,48.082290251256,0.51162809045226
28988,72,72032,72320,Berfay,berfay,48.00187703125,0.75994359375
28989,72,72033,72240,Bernay-en-Champagne,bernay en champagne,48.07518205298,-0.05926748344371
