,,,,-SAVOIE,,,
29322,73,73001,73610,Aiguebelette-le-Lac,aiguebelette le lac,45.5421121875,5.8201703125
29323,73,73002,73220,Aiguebelle,aiguebelle,45.535128571429,6.3016538095238
29324,73,73003,73260,Aigueblanche,aigueblanche,45.513864418605,6.5043405813953
29325,73,73004,73340,Aillon-le-Jeune,aillon le jeune,45.608515414013,6.0887089171974
29326,73,73005,73340,Aillon-le-Vieux,aillon le vieux,45.650747887324,6.0914597183099
29327,73,73006,73210,Aime-la-Plagne,aime la plagne,45.570970092593,6.6208258950617
29328,73,73007,73220,Aiton,aiton,45.577058571429,6.2596528571429
29329,73,73008,73100,Aix-les-Bains,aix les bains,45.69647640625,5.915662265625
29330,73,73010,73410,Entrelacs,entrelacs,45.78661865566,5.9271749764151
29331,73,73011,73200,Albertville,albertville,45.672995846154,6.4024506923077
29332,73,73012,73300,Albiez-le-Jeune,albiez le jeune,45.242522403846,6.3478148076923
29333,73,73013,73300,Albiez-Montrond,albiez montrond,45.192493398438,6.33925484375
29334,73,73014,73200,Allondaz,allondaz,45.709936410256,6.3744334615385
29335,73,73015,73550,Les Allues,les allues,45.364648060606,6.5888109090909
29336,73,73017,73190,Apremont,apremont,45.50776254902,5.9286452941176
29337,73,73018,73800,Arbin,arbin,45.510884642857,6.0705082142857
29338,73,73019,73220,Argentine,argentine,45.489486595745,6.3379570212766
29339,73,73020,73340,Arith,arith,45.720466725146,6.0668118128655
29340,73,73021,73110,Arvillard,arvillard,45.413518673139,6.1579591909385
29341,73,73022,73610,Attignat-Oncin,attignat oncin,45.513841367521,5.7732243589744
29342,73,73023,73500,Aussois,aussois,45.255013241379,6.7298228275862
29343,73,73024,73260,Les Avanchers-Valmorel,les avanchers valmorel,45.469983648649,6.441330472973
29344,73,73025,73240,Avressieux,avressieux,45.572396268657,5.693881641791
29345,73,73026,73500,Avrieux,avrieux,45.179699858156,6.7465546808511
29346,73,73027,73470,Ayn,ayn,45.569957469879,5.7502172289157
29347,73,73028,73170,La Balme,la balme,45.676503917526,5.7047317525773
29348,73,73029,73000,Barberaz,barberaz,45.553794415584,5.9415044155844
29349,73,73030,73230,Barby,barby,45.569449090909,5.9789390909091
29350,73,73031,73000,Bassens,bassens,45.581949310345,5.9373906896552
29351,73,73032,73540,La Bâthie,la bathie,45.639764230769,6.4780311538461
29352,73,73033,73360,La Bauche,la bauche,45.481559433962,5.7621261320755
29353,73,73034,73270,Beaufort,beaufort,45.688901878173,6.6070829441624
29354,73,73036,73340,Bellecombe-en-Bauges,bellecombe en bauges,45.738263969072,6.1327869072165
29355,73,73039,73330,Belmont-Tramonet,belmont tramonet,45.564431195652,5.6772717391304
29356,73,73040,73480,Bessans,bessans,45.286979889299,7.0429202214022
29357,73,73041,73390,Betton-Bettonet,betton bettonet,45.529562096774,6.1840293548387
29358,73,73042,73170,Billième,billieme,45.716616071429,5.8112935714286
29359,73,73043,73410,La Biolle,la biolle,45.761305487805,5.9247774390244
29360,73,73045,73260,Le Bois,le bois,45.486103095238,6.4985964285714
29361,73,73046,73260,Bonneval,bonneval,45.516305851852,6.4329904444444
29362,73,73047,73480,Bonneval-sur-Arc,bonneval sur arc,45.386486993007,7.096744965035
29363,73,73048,73460,Bonvillard,bonvillard,45.582566106195,6.3304636283186
29364,73,73049,73220,Bonvillaret,bonvillaret,45.5626924,6.3179799
29365,73,73050,73370,Bourdeau,bourdeau,45.672478484848,5.845563030303
29366,73,73051,73370,Le Bourget-du-Lac,le bourget du lac,45.635769421488,5.8514196694215
29367,73,73052,73110,Bourget-en-Huile,bourget en huile,45.484789038462,6.2065294230769
29368,73,73053,73390,Bourgneuf,bourgneuf,45.550835348837,6.2478952325581
29369,73,73054,73700,Bourg-Saint-Maurice,bourg saint maurice,45.671302019465,6.7828241605839
29370,73,73055,73350,Bozel,bozel,45.459867817259,6.653080964467
29371,73,73057,73570,Brides-les-Bains,brides les bains,45.453344955752,6.5743656637168
29372,73,73058,73520,La Bridoire,la bridoire,45.533133153153,5.7408358558559
29373,73,73059,73100,Brison-Saint-Innocent,brison saint innocent,45.740619130435,5.8949780434783
29374,73,73061,73200,Césarches,cesarches,45.701011363636,6.4160625
29375,73,73063,73730,Cevins,cevins,45.608863594771,6.4966261437909
29376,73,73064,73190,Challes-les-Eaux,challes les eaux,45.54593245283,5.9800213207547
29377,73,73065,73000,Chambéry,chambery,45.579975771144,5.9129007960199
29378,73,73067,73130,La Chambre,la chambre,45.366867105263,6.295805
29379,73,73068,73390,Chamousset,chamousset,45.56168826087,6.2098219565217
29380,73,73069,73390,Chamoux-sur-Gelon,chamoux sur gelon,45.534691176471,6.2289825
29381,73,73070,73240,Champagneux,champagneux,45.629652210526,5.6761133684211
29382,73,73071,73350,Champagny-en-Vanoise,champagny en vanoise,45.454590332326,6.7649764954683
29383,73,73072,73390,Champ-Laurent,champ laurent,45.508167479675,6.2107800813008
29384,73,73073,73310,Chanaz,chanaz,45.806576285714,5.8021405714286
29385,73,73074,73660,La Chapelle,la chapelle,45.422456515152,6.2927428787879
29386,73,73075,73110,La Chapelle-Blanche,la chapelle blanche,45.450523736264,6.0725575824176
29387,73,73076,73370,La Chapelle-du-Mont-du-Chat,la chapelle du mont du chat,45.7227592,5.8437184
29388,73,73077,73700,Les Chapelles,les chapelles,45.611514714286,6.7099507857143
29389,73,73078,73170,La Chapelle-Saint-Martin,la chapelle saint martin,45.650683247863,5.7552781196581
29390,73,73079,73390,Châteauneuf,chateauneuf,45.544890117647,6.1854817647059
29391,73,73080,73300,Le Châtel,le chatel,45.322578355263,6.3781915131579
29392,73,73081,73630,Le Châtelard,le chatelard,45.682983636364,6.1282371212121
29393,73,73082,73800,La Chavanne,la chavanne,45.489801333333,6.067553
29394,73,73083,73660,Les Chavannes-en-Maurienne,les chavannes en maurienne,45.391169210526,6.2913760526316
29395,73,73084,73800,Chignin,chignin,45.526466857143,6.0116891428571
29396,73,73085,73310,Chindrieux,chindrieux,45.819760686275,5.8471067647059
29397,73,73086,73460,Cléry,clery,45.645939384615,6.2740616153846
29398,73,73087,73160,Cognin,cognin,45.557258303571,5.8937914285714
29399,73,73088,73400,Cohennoz,cohennoz,45.757371,6.48116
29400,73,73088,73590,Cohennoz,cohennoz,45.757371,6.48116
29401,73,73089,73800,Coise-Saint-Jean-Pied-Gauthier,coise saint jean pied gauthier,45.519987674419,6.1317127906977
29402,73,73090,73630,La Compôte,la compote,45.65678661157,6.1450212396694
29403,73,73091,73310,Conjux,conjux,45.797304032258,5.8138691935484
29404,73,73092,73160,Corbel,corbel,45.441363240741,5.8337347222222
29405,73,73094,73590,Crest-Voland,crest voland,45.78710234375,6.517407109375
29406,73,73095,73110,La Croix-de-la-Rochette,la croix de la rochette,45.474656666667,6.113776969697
29407,73,73096,73800,Cruet,cruet,45.535150204082,6.0887867346939
29408,73,73097,73190,Curienne,curienne,45.56109635514,6.0128931775701
29409,73,73098,73230,Les Déserts,les deserts,45.634131428571,5.98308
29410,73,73099,73110,Détrier,detrier,45.444576588235,6.099088
29411,73,73100,73330,Domessin,domessin,45.541488165138,5.7026729357798
29412,73,73101,73630,Doucy-en-Bauges,doucy en bauges,45.694660634921,6.1751217460318
29413,73,73103,73420,Drumettaz-Clarafond,drumettaz clarafond,45.658966976744,5.9405491472868
29414,73,73104,73610,Dullin,dullin,45.550326404494,5.7513392134832
29415,73,73105,73360,Les Échelles,les echelles,45.451212638889,5.7454768055556
29416,73,73106,73630,École,ecole,45.633064980545,6.1815048249027
29417,73,73107,73670,Entremont-le-Vieux,entremont le vieux,45.458883069767,5.8799826511628
29418,73,73109,73220,Épierre,epierre,45.448770138889,6.3243013888889
29419,73,73110,73540,Esserts-Blay,esserts blay,45.623722285714,6.4247691428571
29420,73,73111,73110,Étable,etable,45.464056764706,6.1422502941177
29421,73,73112,73260,Feissons-sur-Isère,feissons sur isere,45.577850067568,6.4960668918919
29422,73,73113,73350,Feissons-sur-Salins,feissons sur salins,45.470935096154,6.5637024038462
29423,73,73114,73590,Flumet,flumet,45.832798456376,6.5284627516778
29424,73,73116,73300,Fontcouverte-la-Toussuire,fontcouverte la toussuire,45.245581501976,6.2858643478261
29425,73,73117,73500,Fourneaux,fourneaux,45.178663555556,6.6364173333333
29426,73,73118,73800,Francin,francin,45.495767826087,6.0280163043478
29427,73,73119,73500,Freney,freney,45.184818409091,6.6082027272727
29428,73,73120,73250,Fréterive,freterive,45.591635185185,6.2102474074074
29429,73,73121,73460,Frontenex,frontenex,45.635482745098,6.3100996078431
29430,73,73122,73470,Gerbaix,gerbaix,45.607544601227,5.739952392638
29431,73,73123,73590,La Giettaz,la giettaz,45.868180201342,6.4979971812081
29432,73,73124,73200,Gilly-sur-Isère,gilly sur isere,45.65872440678,6.3466413559322
