id,department_code,insee_code,zip_code,-SEINE-ET-MARNE,slug,gps_lat,gps_lng
30639,77,77001,77760,Achères-la-Forêt,acheres la foret,48.350971842105,2.5621642105263
30640,77,77002,77120,Amillis,amillis,48.734027209302,3.144147751938
30641,77,77003,77760,Amponville,amponville,48.294706315789,2.5266721052632
30642,77,77004,77390,Andrezel,andrezel,48.612030149254,2.8002411940298
30643,77,77005,77410,Annet-sur-Marne,annet sur marne,48.91934039604,2.7042978217822
30644,77,77006,77630,Arbonne-la-Forêt,arbonne la foret,48.416526153846,2.559061025641
30645,77,77007,77390,Argentières,argentieres,48.652658363636,2.8694958181818
30646,77,77008,77440,Armentières-en-Brie,armentieres en brie,48.976883918919,3.0089678378378
30647,77,77009,77890,Arville,arville,48.1829434,2.5558974
30648,77,77010,77720,Aubepierre-Ozouer-le-Repos,aubepierre ozouer le repos,48.615515879397,2.904171959799
30649,77,77011,77570,Aufferville,aufferville,48.202593255814,2.6065206976744
30650,77,77012,77560,Augers-en-Brie,augers en brie,48.670209263158,3.3443001052632
30651,77,77013,77120,Aulnoy,aulnoy,48.851657719298,3.0930671052632
30652,77,77014,77210,Avon,avon,48.412242131148,2.7317721311475
30653,77,77015,77480,Baby,baby,48.392028684211,3.342162631579
30654,77,77016,77167,Bagneaux-sur-Loing,bagneaux sur loing,48.218157027027,2.7104863513514
30655,77,77018,77700,Bailly-Romainvilliers,bailly romainvilliers,48.844104567901,2.8191022222222
30656,77,77019,77118,Balloy,balloy,48.40321,3.1485303030303
30657,77,77020,77970,Bannost-Villegagnon,bannost villegagnon,48.676436390977,3.190619924812
30658,77,77021,77130,Barbey,barbey,48.364987358491,3.0489037735849
30659,77,77022,77630,Barbizon,barbizon,48.449657377049,2.5996104918033
30660,77,77023,77910,Barcy,barcy,49.018452207792,2.8766063636364
30661,77,77024,77750,Bassevelle,bassevelle,48.916328421053,3.2698009473684
30662,77,77025,77118,Bazoches-lès-Bray,bazoches les bray,48.404025669291,3.1885767716535
30663,77,77026,77560,Beauchery-Saint-Martin,beauchery saint martin,48.601493232323,3.4257201010101
30664,77,77027,77890,Beaumont-du-Gâtinais,beaumont du gatinais,48.137575316456,2.4810465822785
30665,77,77028,77120,Beautheil,beautheil,48.762728522727,3.0870675
30666,77,77029,77390,Beauvoir,beauvoir,48.644354583333,2.8621975
30667,77,77030,77510,Bellot,bellot,48.845877537313,3.3270937313433
30668,77,77031,77540,Bernay-Vilbert,bernay vilbert,48.674841583333,2.9336568333333
30669,77,77032,77320,Beton-Bazoches,beton bazoches,48.70170112069,3.243665
30670,77,77033,77970,Bezalles,bezalles,48.668857321429,3.2390469642857
30671,77,77034,77115,Blandy,blandy,48.557408429752,2.7862382644628
30672,77,77035,77940,Blennes,blennes,48.239373777778,3.0082964444444
30673,77,77036,77970,Boisdon,boisdon,48.676967763158,3.2267318421053
30674,77,77037,77590,Bois-le-Roi,bois le roi,48.479177037037,2.7003655555556
30675,77,77038,77350,Boissettes,boissettes,48.523824375,2.6123678125
30676,77,77039,77350,Boissise-la-Bertrand,boissise la bertrand,48.531315294118,2.5961758823529
30677,77,77040,77310,Boissise-le-Roi,boissise le roi,48.516949367089,2.566374556962
30678,77,77041,77760,Boissy-aux-Cailles,boissy aux cailles,48.30947375,2.4970413888889
30679,77,77042,77169,Boissy-le-Châtel,boissy le chatel,48.82543117284,3.1341340123457
30680,77,77043,77750,Boitron,boitron,48.895419444444,3.2583038888889
30681,77,77044,77720,Bombon,bombon,48.56848775,2.866532
30682,77,77045,77570,Bougligny,bougligny,48.200994375,2.668588125
30683,77,77046,77760,Boulancourt,boulancourt,48.258829166667,2.4454506666667
30684,77,77047,77580,Bouleurs,bouleurs,48.879924111111,2.9057742222222
30685,77,77048,77780,Bourron-Marlotte,bourron marlotte,48.338150989011,2.6996876923077
30686,77,77049,77470,Boutigny,boutigny,48.912364649123,2.9301138596491
30687,77,77050,77620,Bransles,bransles,48.151638348624,2.8278283486239
30688,77,77051,77480,Bray-sur-Seine,bray sur seine,48.417751666667,3.2444607142857
30689,77,77052,77720,Bréau,breau,48.558169310345,2.8828813793103
30690,77,77053,77170,Brie-Comte-Robert,brie comte robert,48.688411952663,2.6168795266272
30691,77,77054,77940,La Brosse-Montceaux,la brosse montceaux,48.339552,3.0243435833333
30692,77,77055,77177,Brou-sur-Chantereine,brou sur chantereine,48.888244285714,2.6353978571429
30693,77,77056,77760,Burcy,burcy,48.23127475,2.5261745
30694,77,77057,77750,Bussières,bussieres,48.926955818182,3.2373016363636
30695,77,77058,77600,Bussy-Saint-Georges,bussy saint georges,48.831128951613,2.7164105645161
30696,77,77059,77600,Bussy-Saint-Martin,bussy saint martin,48.844874126984,2.679013968254
30697,77,77060,77760,Buthiers,buthiers,48.286398673469,2.4458289795918
30698,77,77061,77130,Cannes-Écluse,cannes ecluse,48.36108173913,2.9940304347826
30699,77,77062,77400,Carnetin,carnetin,48.904049215686,2.7006052941177
30700,77,77063,77515,La Celle-sur-Morin,la celle sur morin,48.804779634146,2.9702530487805
30701,77,77065,77930,Cély,cely,48.458097731959,2.5247517525773
30702,77,77066,77320,Cerneux,cerneux,48.706739615385,3.3450645192308
30703,77,77067,77240,Cesson,cesson,48.565005166667,2.5896081666667
30704,77,77068,77520,Cessoy-en-Montois,cessoy en montois,48.506384571429,3.144135
30705,77,77069,77930,Chailly-en-Bière,chailly en biere,48.471155701754,2.6178545614035
30706,77,77070,77120,Chailly-en-Brie,chailly en brie,48.793215615385,3.136092
30707,77,77071,77460,Chaintreaux,chaintreaux,48.189589517241,2.8110464827586
30708,77,77072,77171,Chalautre-la-Grande,chalautre la grande,48.548312105263,3.4493858947368
30709,77,77073,77160,Chalautre-la-Petite,chalautre la petite,48.525907912088,3.3061197802198
30710,77,77075,77144,Chalifert,chalifert,48.896480925926,2.7726059259259
30711,77,77076,77650,Chalmaison,chalmaison,48.487848764045,3.2546585393258
30712,77,77077,77910,Chambry,chambry,48.997977439024,2.8863224390244
30713,77,77078,77260,Chamigny,chamigny,48.986178344371,3.1371382781457
30714,77,77079,77430,Champagne-sur-Seine,champagne sur seine,48.4072825,2.8019435714286
30715,77,77080,77560,Champcenest,champcenest,48.667374883721,3.2820884883721
30716,77,77081,77390,Champdeuil,champdeuil,48.622365333333,2.732376
30717,77,77082,77720,Champeaux,champeaux,48.589114,2.8177804
30718,77,77083,77420,Champs-sur-Marne,champs sur marne,48.848761636364,2.5926254545455
30719,77,77084,77660,Changis-sur-Marne,changis sur marne,48.967659821429,3.0269607142857
30720,77,77085,77600,Chanteloup-en-Brie,chanteloup en brie,48.85570875,2.7391133928571
30721,77,77086,77720,La Chapelle-Gauthier,la chapelle gauthier,48.533372122905,2.8591855307263
30722,77,77087,77540,La Chapelle-Iger,la chapelle iger,48.650848869565,2.9858463478261
30723,77,77088,77760,La Chapelle-la-Reine,la chapelle la reine,48.316515698925,2.569405483871
30724,77,77089,77370,La Chapelle-Rablais,la chapelle rablais,48.507011724138,2.957184137931
30725,77,77090,77160,La Chapelle-Saint-Sulpice,la chapelle saint sulpice,48.558269193548,3.1785833870968
30726,77,77091,77610,Les Chapelles-Bourbon,les chapelles bourbon,48.74484637931,2.8378663793104
30727,77,77093,77320,La Chapelle-Moutils,la chapelle moutils,48.772323540373,3.3771965838509
30728,77,77094,77410,Charmentray,charmentray,48.952847471264,2.7832448275862
30729,77,77095,77410,Charny,charny,48.968116962025,2.7586549367089
30730,77,77096,77590,Chartrettes,chartrettes,48.499003,2.7130998571429
30731,77,77097,77320,Chartronges,chartronges,48.750409117647,3.2627561764706
30732,77,77098,77370,Châteaubleau,chateaubleau,48.583863174603,3.1063207936508
30733,77,77099,77570,Château-Landon,chateau landon,48.147371946903,2.6971044247788
30734,77,77100,77820,Le Châtelet-en-Brie,le chatelet en brie,48.500852279412,2.8037113235294
30735,77,77101,77126,Châtenay-sur-Seine,chatenay sur seine,48.417981287129,3.0982979207921
30736,77,77102,77167,Châtenoy,chatenoy,48.2331975,2.6321966071429
30737,77,77103,77820,Châtillon-la-Borde,chatillon la borde,48.537545,2.8179265625
30738,77,77104,77610,Châtres,chatres,48.708864421053,2.8137230526316
30739,77,77106,77169,Chauffry,chauffry,48.822384489796,3.1795819387755
30740,77,77107,77390,Chaumes-en-Brie,chaumes en brie,48.6664441875,2.8417898125
30741,77,77108,77500,Chelles,chelles,48.884205986395,2.5900682993197
30742,77,77109,77160,Chenoise,chenoise,48.624071851852,3.1932725925926
30743,77,77110,77570,Chenou,chenou,48.161071568627,2.6523160784314
30744,77,77111,77700,Chessy,chessy,48.870842166667,2.7704671666667
30745,77,77112,77760,Chevrainvilliers,chevrainvilliers,48.244770208333,2.6089670833333
30746,77,77113,77320,Chevru,chevru,48.738468739496,3.1871439495798
30747,77,77114,77173,Chevry-Cossigny,chevry cossigny,48.722396483516,2.6736542857143
30748,77,77115,77710,Chevry-en-Sereine,chevry en sereine,48.248885629139,2.9632285430464
30749,77,77116,77320,Choisy-en-Brie,choisy en brie,48.763096638655,3.2020839495798
30750,77,77117,77730,Citry,citry,48.957887166667,3.2482246666667
30751,77,77118,77410,Claye-Souilly,claye souilly,48.9405656,2.67686184
30752,77,77119,77370,Clos-Fontaine,clos fontaine,48.603872608696,3.0124373913044
30753,77,77120,77440,Cocherel,cocherel,49.01867,3.0933944897959
30754,77,77121,77090,Collégien,collegien,48.827776585366,2.6774941463415
30755,77,77122,77380,Combs-la-Ville,combs la ville,48.662867027027,2.573814954955
30756,77,77123,77290,Compans,compans,48.986065454545,2.6618322077922
30757,77,77124,77600,Conches-sur-Gondoire,conches sur gondoire,48.857985454545,2.7215396969697
30758,77,77125,77450,Condé-Sainte-Libiaire,conde sainte libiaire,48.898504915254,2.8348166101695
30759,77,77126,77440,Congis-sur-Thérouanne,congis sur therouanne,49.017282941176,2.9771847058824
30760,77,77127,77170,Coubert,coubert,48.680991460674,2.7120834831461
30761,77,77128,77860,Couilly-Pont-aux-Dames,couilly pont aux dames,48.88321702381,2.8630648809524
30762,77,77129,77840,Coulombs-en-Valois,coulombs en valois,49.081566943005,3.1271656476684
30763,77,77130,77580,Coulommes,coulommes,48.89359852459,2.9255878688525
30764,77,77131,77120,Coulommiers,coulommiers,48.815601804511,3.0969506015038
30765,77,77132,77700,Coupvray,coupvray,48.890234333333,2.7923718333333
30766,77,77133,77126,Courcelles-en-Bassée,courcelles en bassee,48.410265531915,3.0502036879433
30767,77,77134,77560,Courchamp,courchamp,48.643815604396,3.2896971428571
30768,77,77135,77540,Courpalay,courpalay,48.641412230216,2.9588060431655
30769,77,77136,77390,Courquetaine,courquetaine,48.67928010989,2.7445016483517
30770,77,77137,77560,Courtacon,courtacon,48.700283301887,3.2920509433962
30771,77,77138,77390,Courtomer,courtomer,48.658918,2.8957364444444
30772,77,77139,77181,Courtry,courtry,48.919222432432,2.5994527027027
30773,77,77140,77154,Coutençon,coutencon,48.474109272727,2.9962776363636
30774,77,77141,77580,Coutevroult,coutevroult,48.853233243243,2.8483248648649
30775,77,77142,77580,Crécy-la-Chapelle,crecy la chapelle,48.855485833333,2.9199346969697
30776,77,77143,77124,Crégy-lès-Meaux,cregy les meaux,48.975933207547,2.8740962264151
30777,77,77144,77610,Crèvecœur-en-Brie,crevecoeur en brie,48.74903140625,2.90353921875
30778,77,77145,77390,Crisenoy,crisenoy,48.606127619048,2.7448373809524
30779,77,77146,77183,Croissy-Beaubourg,croissy beaubourg,48.812978,2.6453424444444
30780,77,77147,77370,La Croix-en-Brie,la croix en brie,48.595069463087,3.0643404697987
30781,77,77148,77840,Crouy-sur-Ourcq,crouy sur ourcq,49.090050243902,3.0807379512195
30782,77,77149,77160,Cucharmoy,cucharmoy,48.585566,3.1776442222222
30783,77,77150,77165,Cuisy,cuisy,49.018911886792,2.7761186792453
30784,77,77151,77320,Dagny,dagny,48.71366,3.1650435365854
30785,77,77152,77190,Dammarie-les-Lys,dammarie les lys,48.516611914894,2.6200865957447
30786,77,77153,77230,Dammartin-en-Goële,dammartin en goele,49.05349525,2.6775873333333
30787,77,77154,77163,Dammartin-sur-Tigeaux,dammartin sur tigeaux,48.813651764706,2.9165439705882
30788,77,77155,77400,Dampmart,dampmart,48.894281428571,2.7428865306122
30789,77,77156,77140,Darvault,darvault,48.276610327869,2.7236532786885
30790,77,77157,77440,Dhuisy,dhuisy,49.035021489362,3.1652259574468
30791,77,77158,77940,Diant,diant,48.291024313725,3.0018473529412
30792,77,77159,77520,Donnemarie-Dontilly,donnemarie dontilly,48.480207089552,3.1187921641791
30793,77,77161,77130,Dormelles,dormelles,48.314535319149,2.8851686524823
30794,77,77162,77510,Doue,doue,48.876470666667,3.1650836
30795,77,77163,77139,Douy-la-Ramée,douy la ramee,49.059261219512,2.8845722764228
30796,77,77164,77830,Échouboulains,echouboulains,48.46791300813,2.9301921138211
30797,77,77165,77820,Les Écrennes,les ecrennes,48.498627021277,2.8761023404255
30798,77,77167,77126,Égligny,egligny,48.436876730769,3.1289755769231
30799,77,77168,77620,Égreville,egreville,48.187743148148,2.8833787962963
30800,77,77169,77184,Émerainville,emerainville,48.819404814815,2.6072833333333
30801,77,77171,77450,Esbly,esbly,48.901633064516,2.8130566129032
