,,,,-SOMME,,,
31704,80,80001,80100,Abbeville,abbeville,50.110205657143,1.8281326857143
31705,80,80002,80320,Ablaincourt-Pressoir,ablaincourt pressoir,49.840620153846,2.8259430769231
31706,80,80003,80560,Acheux-en-Amiénois,acheux en amienois,50.071849848485,2.5290121212121
31707,80,80004,80210,Acheux-en-Vimeu,acheux en vimeu,50.07079957265,1.6698525641026
31708,80,80005,80370,Agenville,agenville,50.172472857143,2.1093423809524
31709,80,80006,80150,Agenvillers,agenvillers,50.18168234375,1.9233875
31710,80,80008,80210,Aigneville,aigneville,50.037051627907,1.6146970930233
31711,80,80009,80690,Ailly-le-Haut-Clocher,ailly le haut clocher,50.081376741573,1.9957894382022
31712,80,80010,80250,Ailly-sur-Noye,ailly sur noye,49.748351410256,2.3550708974359
31713,80,80011,80470,Ailly-sur-Somme,ailly sur somme,49.911179928571,2.18253
31714,80,80013,80270,Airaines,airaines,49.974629130435,1.9416816149068
31715,80,80014,80240,Aizecourt-le-Bas,aizecourt le bas,49.986843235294,3.0267272058824
31716,80,80015,80200,Aizecourt-le-Haut,aizecourt le haut,49.967377307692,2.9857925641026
31717,80,80016,80300,Albert,albert,50.003058938547,2.649998547486
31718,80,80017,80200,Allaines,allaines,49.962058390805,2.935218045977
31719,80,80018,80130,Allenay,allenay,50.086207083333,1.49330625
31720,80,80019,80270,Allery,allery,49.961949196429,1.8834599107143
31721,80,80020,80260,Allonville,allonville,49.939846021505,2.3727582795699
31722,80,80021,80000,Amiens,amiens,49.89905,2.2752772
31723,80,80021,80080,Amiens,amiens,49.924529,2.2831512
31724,80,80021,80090,Amiens,amiens,49.8776661,2.3200417
31725,80,80022,80140,Andainville,andainville,49.888301276596,1.7820239361702
31726,80,80023,80700,Andechy,andechy,49.706187692308,2.702712
31727,80,80024,80470,Argœuves,argoeuves,49.938196575342,2.2422893150685
31728,80,80025,80120,Argoules,argoules,50.339169716981,1.8209866037736
31729,80,80026,80140,Arguel,arguel,49.873281343284,1.8038810447761
31730,80,80027,80700,Armancourt,armancourt,49.677909615385,2.7139473076923
31731,80,80028,80560,Arquèves,arqueves,50.077746391753,2.4740775257732
