,,,,-TARN-ET-GARONNE,,,
32805,82,82001,82290,Albefeuille-Lagarde,albefeuille lagarde,44.043148472222,1.27107875
32806,82,82002,82350,Albias,albias,44.082498125,1.4471581944444
32807,82,82003,82210,Angeville,angeville,43.994868448276,1.0304891954023
32808,82,82004,82120,Asques,asques,44.00907174359,0.95468984615385
32809,82,82005,82600,Aucamville,aucamville,43.796094653465,1.2267257425743
32810,82,82006,82500,Auterive,auterive,43.856318235294,0.96659838235294
32811,82,82007,82220,Auty,auty,44.18927244186,1.4691372093023
32812,82,82008,82340,Auvillar,auvillar,44.05811171875,0.88589104166667
32813,82,82009,82120,Balignac,balignac,43.955416885246,0.87865606557377
32814,82,82010,82340,Bardigues,bardigues,44.029581846154,0.88626407692308
32815,82,82011,82290,Barry-d'Islemade,barry d islemade,44.072317042254,1.2461485915493
32816,82,82012,82100,Les Barthes,les barthes,44.089524803922,1.1713066666667
32817,82,82013,82500,Beaumont-de-Lomagne,beaumont de lomagne,43.876407462121,1.0154535606061
32818,82,82014,82600,Beaupuy,beaupuy,43.818560366972,1.1161073394495
32819,82,82015,82500,Belbèze-en-Lomagne,belbeze en lomagne,43.907951111111,1.0662693827161
32820,82,82016,82150,Belvèze,belveze,44.327020676692,1.0907395488722
32821,82,82017,82170,Bessens,bessens,43.884620215054,1.2690158064516
32822,82,82018,82800,Bioule,bioule,44.100704454545,1.544069
32823,82,82019,82200,Boudou,boudou,44.104355392157,1.0149851960784
32824,82,82020,82600,Bouillac,bouillac,43.848745461255,1.11549
32825,82,82021,82110,Bouloc-en-Quercy,bouloc en quercy,44.297958454545,1.1168439090909
32826,82,82022,82190,Bourg-de-Visa,bourg de visa,44.249463093923,0.95164519337017
32827,82,82023,82700,Bourret,bourret,43.940563924731,1.1512843548387
32828,82,82024,82190,Brassac,brassac,44.22338467033,0.96904879120879
32829,82,82025,82710,Bressols,bressols,43.951712695652,1.3157549565217
32830,82,82026,82800,Bruniquel,bruniquel,44.056023548387,1.6586821505376
32831,82,82027,82370,Campsas,campsas,43.887616978417,1.3314143884892
32832,82,82028,82170,Canals,canals,43.859166904762,1.2965371428571
32833,82,82029,82160,Castanet,castanet,44.257116519337,1.9263591160221
32834,82,82030,82100,Castelferrus,castelferrus,44.007029354839,1.094891827957
32835,82,82031,82210,Castelmayran,castelmayran,44.027282097378,1.046462846442
32836,82,82032,82400,Castelsagrat,castelsagrat,44.175343474178,0.94772629107981
32837,82,82033,82100,Castelsarrasin,castelsarrasin,44.048446828087,1.1042109443099
32838,82,82034,82120,Castéra-Bouzet,castera bouzet,44.002575483871,0.91838032258064
32839,82,82035,82210,Caumont,caumont,44.019349548023,1.0001304519774
32840,82,82036,82500,Le Causé,le cause,43.803935431034,0.97333275862069
32841,82,82037,82300,Caussade,caussade,44.163595656566,1.5429045454545
32842,82,82038,82160,Caylus,caylus,44.238414337349,1.7624185542169
32843,82,82039,82440,Cayrac,cayrac,44.104433974359,1.4825455128205
32844,82,82040,82240,Cayriech,cayriech,44.215157011494,1.6065673563218
32845,82,82041,82140,Cazals,cazals,44.124908625,1.69008925
32846,82,82042,82110,Cazes-Mondenard,cazes mondenard,44.209431543624,1.218703557047
